Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Content Marketing Masterclass: Create Content That Sells,www.udemy.com/course/content-marketing-masterclass/,Brad Merrill,199.99,13.19,"4.5(1,070 ratings)",Marketing,,Content Marketing
Content Marketing: Grow Your Business with Content Marketing,www.udemy.com/course/content-marketing-for-beginners/,Phil Ebiner,199.99,13.19,4.5(80 ratings),Marketing,,Content Marketing
Content Marketing for Wordpress: Build a Website Audience,www.udemy.com/course/easy-wordpress-content-marketing/,Sean Kaye,94.99,11.39,4.6(31 ratings),Marketing,,Content Marketing
The Comprehensive YouTube Channel Marketing Growth Course,www.udemy.com/course/the-comprehensive-youtube-channel-marketing-growth-course/,Bryan Guerra,199.99,13.19,4.4(18 ratings),Marketing,,Content Marketing
Content Marketing Mastery 2018: Beginner's Ultimate Guide,www.udemy.com/course/content-marketing-mastery-2018-beginners-ultimate-guide/,Charlie Page,199.99,11.39,4.3(143 ratings),Marketing,,Content Marketing
Certification5 Business Coaching Content Marketing FECBC,www.udemy.com/course/business-coaching-part-5-content-marketing/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.39,4.8(12 ratings),Marketing,,Content Marketing
How to Use Content Marketing to Become Known as an Expert,www.udemy.com/course/how-to-use-content-marketing-to-become-known-as-an-expert/,Debbie LaChusa,74.99,11.39,4.0(63 ratings),Marketing,,Content Marketing
How To Develop A Successful Content Marketing Strategy,www.udemy.com/course/content-creation-marketing-plan/,MindMekka ®,99.99,11.39,4.3(14 ratings),Marketing,,Content Marketing
Content Marketing Mastery,www.udemy.com/course/content-marketing-mastery/,"Content Mark, LLC",19.99,11.99,4.2(108 ratings),Marketing,,Content Marketing
Content Strategy for SEO,www.udemy.com/course/content-strategy-for-seo/,Matthew Capala,19.99,11.39,4.4(4 ratings),Marketing,,Content Marketing
How to Put Your Business on Wikipedia,www.udemy.com/course/how-to-put-your-business-on-wikipedia/,Melvin Wong,79.99,11.39,4.2(37 ratings),Marketing,,Content Marketing
"Customer Centric Marketing | Know, Woo & Win Your Audience",www.udemy.com/course/customer-centric-marketing/,Peace Itimi,24.99,11.39,4.5(10 ratings),Marketing,,Content Marketing
"Content Marketing: Create, Manage and Monetize Strategies",www.udemy.com/course/make-money-with-content-marketing/,Oxford Learning Lab,104.99,11.39,4.2(18 ratings),Marketing,,Content Marketing
Become a Content Marketing Rockstar!,www.udemy.com/course/become-a-content-marketing-rockstar/,Ryan Wiley,39.99,11.39,4.5(34 ratings),Marketing,,Content Marketing
Certificate in Content Marketing Fundamentals,www.udemy.com/course/certificate-in-content-marketing-fundamentals/,iMarketer School LONDON,74.99,11.39,4.0(39 ratings),Marketing,,Content Marketing
Content Curation Blueprint,www.udemy.com/course/content-curation-blueprint/,IMSource Academy,44.99,11.39,4.1(61 ratings),Marketing,,Content Marketing
Buzzsumo 2019: How to Find Popular Content Step by Step,www.udemy.com/course/buzzsumo/,Brennan Zimmer,199.99,11.39,4.3(6 ratings),Marketing,,Content Marketing
