Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete Copywriting Course : Write to Sell in 2019,www.udemy.com/course/the-complete-copywriting-course/,Codestars by Rob Percival,199.99,11.99,"4.6(3,720 ratings)",Marketing,,Copywriting
Modern Copywriting: Writing copy that sells in 2019,www.udemy.com/course/modern-copywriting-writing-copy-that-sells-in-2018/,Evan Kimbrell,199.99,11.99,"4.5(1,382 ratings)",Marketing,,Copywriting
Copywriting Master Course - Work From Home 3 Hours A Week!,www.udemy.com/course/copywriting-marketing-work-from-home/,Max Barra,194.99,48.75,"4.9(1,684 ratings)",Marketing,,Copywriting
Copywriting secrets - How to write copy that sells,www.udemy.com/course/copywriting-secrets/,Len Smith,89.99,11.99,"4.5(4,304 ratings)",Marketing,,Copywriting
Writing Tools & Hacks: Copywriting/Blogging/Content Writing,www.udemy.com/course/writing-tools-hacks/,Tyler Speegle,194.99,11.99,"4.3(1,233 ratings)",Marketing,,Copywriting
Build a Lucrative Copywriting Portfolio from Scratch,www.udemy.com/course/build-an-awesome-copywriting-portfolio-from-scratch/,Tamsin Henderson,129.99,11.99,4.5(291 ratings),Marketing,,Copywriting
"Copywriting - Become a Freelance Copywriter, your own boss",www.udemy.com/course/how-to-become-a-copywriter-from-home/,Len Smith,89.99,11.99,"4.3(1,921 ratings)",Marketing,,Copywriting
The Ultimate Copywriting Masterclass: Pro Secrets To Success,www.udemy.com/course/the-ultimate-copywriting-masterclass-pro-secrets-to-success/,Sophie A (SuperSoph),199.99,11.99,4.7(229 ratings),Marketing,,Copywriting
Advanced Copywriting Strategies for Online Sales,www.udemy.com/course/copywriting-courses/,Brian Yang,124.99,11.99,4.4(403 ratings),Marketing,,Copywriting
Copywriting White Papers – An All Levels Strategy,www.udemy.com/course/copywriting-how-to-write-a-white-paper/,Len Smith,89.99,11.99,4.4(684 ratings),Marketing,,Copywriting
How To Start Your Own Freelance Copywriting Business,www.udemy.com/course/how-to-become-a-copywriter/,Eric John Campbell,164.99,11.99,4.5(236 ratings),Marketing,,Copywriting
Copywriting: How To Be A Crazy Good Copywriter,www.udemy.com/course/how-to-think-and-write-like-a-copywriter/,Derek Franklin,94.99,11.99,4.4(450 ratings),Marketing,,Copywriting
The Ultimate Marketing Training 2020 - Sales Copy Academy,www.udemy.com/course/sales-copy-academy/,James Ryan,194.99,11.99,4.7(306 ratings),Marketing,,Copywriting
Complete Copywriting Masterclass+Copywriter Master Checklist,www.udemy.com/course/complete-copywriting-masterclass-copywriters-checklist/,Sivakumar Kannan,189.99,11.99,4.7(36 ratings),Marketing,,Copywriting
Write to Ignite - Master the Art of Sales Copy & Copywriting,www.udemy.com/course/write-to-ignite-persuasive-copy-writing-course/,Steve McDonald,89.99,11.99,4.3(267 ratings),Marketing,,Copywriting
Copywriting - The Psychology Of Your Irresistible Offer,www.udemy.com/course/copywriting-the-psychology-of-your-irresistible-copywriting-offer/,Vladimir Raykov,199.99,11.99,4.3(379 ratings),Marketing,,Copywriting
30 Copywriting Secrets from the Best Ad Campaign of All Time,www.udemy.com/course/30-copywriting-secrets-from-the-best-ad-campaign-of-all-time/,Alan Sharpe,49.99,11.39,4.5(379 ratings),Marketing,,Copywriting
How to Become a Freelance Copywriter. Work from Home.,www.udemy.com/course/freelance-copywriter-in-a-week-start-a-copywriting-business/,Alan Sharpe,49.99,11.39,4.6(99 ratings),Marketing,,Copywriting
"Ninja Writing: Writing Skills, Copywriting & Content Writing",www.udemy.com/course/ninja-writing-writing-skills-copywriting-content-writing/,Jean-Gabriel Paquette,184.99,11.39,3.2(140 ratings),Marketing,,Copywriting
Freelance Copywriting: How To Succeed As An Elite Copywriter,www.udemy.com/course/freelance-writer/,Clare Lynch,44.99,11.39,4.2(133 ratings),Marketing,,Copywriting
Digital Copywriting & Content Creation Guide,www.udemy.com/course/copywriting-content-marketing-course/,Indian Institute of Digital Education - IIDE,49.99,11.39,4.4(130 ratings),Marketing,,Copywriting
Copywriting Headline Masterclass,www.udemy.com/course/copywriting-how-to-write-copywriting-headlines/,Vladimir Raykov,99.99,11.39,4.8(206 ratings),Marketing,,Copywriting
Copywriting Public Relations - master PR publicity skills,www.udemy.com/course/pr-for-start-ups/,Len Smith,89.99,11.39,4.4(117 ratings),Marketing,,Copywriting
Copywriting for Beginners Part 2 of 3: Headlines & Openers,www.udemy.com/course/copywriting-for-beginners-part-2-of-5-headlines-openers/,Alan Sharpe,49.99,11.39,4.8(74 ratings),Marketing,,Copywriting
Copywriting; Complete Copy Writing 4 Blogging & Online Sales,www.udemy.com/course/unofficial-copywriting-techniques-for-udemy-instructors/,John Colley,199.99,50.00,4.5(168 ratings),Marketing,,Copywriting
Copywriting Blueprint: Write Epic Marketing and Sales Copy,www.udemy.com/course/write-epic-marketing-and-sales-copy/,Joeel & Natalie Rivera,184.99,11.39,4.4(46 ratings),Marketing,,Copywriting
Online Copywriting: How to Write Persuasive Product Pages,www.udemy.com/course/online-copywriting-how-to-write-persuasive-product-pages/,Alan Sharpe,49.99,11.39,4.5(39 ratings),Marketing,,Copywriting
Simple Copywriting Secrets: How to Write Killer Sales Copy,www.udemy.com/course/simple-copywriting-secrets-how-to-write-killer-sales-copy/,Mirka Pohjanrinne,79.99,11.39,4.4(41 ratings),Marketing,,Copywriting
Copywriting Secrets: Become a Content Writing Expert,www.udemy.com/course/copywritingwordsandphrases/,Tyler Speegle,99.99,11.39,4.2(132 ratings),Marketing,,Copywriting
Become a More Effective Copy Editor,www.udemy.com/course/become-a-more-effective-copyeditor/,Jeremy Rehwaldt,44.99,11.39,4.0(52 ratings),Marketing,,Copywriting
Copywriting for Beginners Part 1 of 3: Seven Vital Questions,www.udemy.com/course/copywriting-for-beginners-part-1-of-5-seven-vital-questions/,Alan Sharpe,49.99,11.39,4.4(164 ratings),Marketing,,Copywriting
Copywriting 101 - How to Turn Words into Passive Income,www.udemy.com/course/copywriting-101-how-to-turn-words-into-passive-income/,Bryan Guerra,199.99,11.39,4.7(109 ratings),Marketing,,Copywriting
Website Copywriting,www.udemy.com/course/website-copywriting/,Mirasee Team,19.99,11.39,3.9(235 ratings),Marketing,,Copywriting
