Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete Cyber Security Course : Hackers Exposed!,www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/,Nathan House,119.99,11.99,"4.5(22,354 ratings)",IT & Software,,Cyber Security
The Complete Cyber Security Course : Network Security!,www.udemy.com/course/network-security-course/,Nathan House,119.99,11.99,"4.5(6,608 ratings)",IT & Software,,Cyber Security
"The Ultimate Dark Web, Anonymity, Privacy & Security Course",www.udemy.com/course/the-ultimate-dark-web-anonymity-privacy-security-course/,Zaid Sabih,194.99,11.99,4.7(593 ratings),IT & Software,,Cyber Security
The Complete Cyber Security Course : Anonymous Browsing!,www.udemy.com/course/the-complete-cyber-security-course-anonymous-browsing/,Nathan House,119.99,11.99,"4.6(2,610 ratings)",IT & Software,,Cyber Security
The Complete Cyber Security Course : End Point Protection!,www.udemy.com/course/the-complete-cyber-security-course-end-point-protection/,Nathan House,194.99,11.99,"4.6(2,148 ratings)",IT & Software,,Cyber Security
The Absolute Beginners Guide to Cyber Security 2019 - Part 1,www.udemy.com/course/the-absolute-beginners-guide-to-information-cyber-security/,Alexander Oni,99.99,11.99,"4.6(5,195 ratings)",IT & Software,,Cyber Security
The Absolute Beginners Guide to Cyber Security 2019 - Part 2,www.udemy.com/course/the-complete-2018-cyber-security-guide-for-non-professionals/,Alexander Oni,199.99,11.99,"4.5(1,006 ratings)",IT & Software,,Cyber Security
Hands-on Penetration Testing Labs 3.0,www.udemy.com/course/hands-on-penetration-testing-labs-30/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.99,4.6(111 ratings),IT & Software,,Cyber Security
Risk Management for Cybersecurity and IT Managers,www.udemy.com/course/risk-management-for-cybersecurity/,"Jason Dion • 140,000+ Students Worldwide",99.99,11.99,"4.4(1,481 ratings)",IT & Software,,Cyber Security
CISM Certification: CISM Domain 3 Video Boot Camp 2020,www.udemy.com/course/cism-domain-3/,"Thor Pedersen | 30,000+ students worldwide",199.99,11.99,4.5(66 ratings),IT & Software,,Cyber Security
MTA 98-367 Security Fundamentals Class & Exam Prep Bundle,www.udemy.com/course/mta-98-367-security-fundamentals-class-exam-prep-bundle/,Alton Hardin,99.99,11.99,4.8(167 ratings),IT & Software,,Cyber Security
The Complete Cyber Security Course - Practice Test - Vol 1,www.udemy.com/course/the-complete-cyber-security-course-practice-test-vol-1/,Nathan House,119.99,11.99,3.8(26 ratings),IT & Software,,Cyber Security
SOC Analyst Training with Hands-on to SIEM from Scratch,www.udemy.com/course/soc-analyst-cyber-security-training-with-siem-solution/,Vikram Saini,0,199.99,3.9(141 ratings),IT & Software,,Cyber Security
