Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
How to Become a DJ - Learn How to Start DJing Online Today,www.udemy.com/course/online-dj-course/,Ross Palmer,199.99,11.99,"4.6(1,943 ratings)",Music,,DJ
Rekordbox Dj - Mix like a Professional!,www.udemy.com/course/rekordbox-dj/,Dj Alon,0,19.99,4.4(60 ratings),Music,,DJ
Learn how to DJ From The Wu-Tang Clan,www.udemy.com/course/learn-how-to-dj-from-the-wu-tang-clan/,Dj Symphony Wu-Tang Clan,99.99,11.99,4.5(148 ratings),Music,,DJ
Learn How To DJ From Scratch - Professional DJ School,www.udemy.com/course/learn-how-to-dj-from-scratch/,Sam Skilz,34.99,11.99,4.2(22 ratings),Music,,DJ
Advanced Dj Scratch Course,www.udemy.com/course/advanced-dj-scratch-course/,Dj Symphony Wu-Tang Clan,99.99,11.99,4.3(51 ratings),Music,,DJ
"LEARN HOW TO DJ - LEARN EVERYTHING YOU NEED TO KNOW, FAST!",www.udemy.com/course/learn-how-to-dj-on-pioneer-dj-decks-and-serato/,Philip Harris,0,34.99,4.4(79 ratings),Music,,DJ
Millionaire DJ: FL Studio 12 - Pro Music Production Course,www.udemy.com/course/millionaire-dj/,Evan Humber,24.99,11.99,3.8(721 ratings),Music,,DJ
NEW: 10 STEPS 2 DJ | The Complete DJ Course For Beginners,www.udemy.com/course/10steps2dj/,Jak Bradley,49.99,11.99,4.4(40 ratings),Music,,DJ
Learn to DJ from beginners to advanced,www.udemy.com/course/learn-to-dj-from-beginners-to-advanced/,Christo Gil,19.99,11.99,4.5(10 ratings),Music,,DJ
In Depth Beginner Serato DJ Course,www.udemy.com/course/beginner-seratodj-course/,MissC Brown,39.99,11.99,4.0(39 ratings),Music,,DJ
"Advanced DJ for Pioneer XDJ-RX, XDJ-RX2, XDJ-RR",www.udemy.com/course/advanceddj/,Gustav .,24.99,11.99,4.0(4 ratings),Music,,DJ
How to DJ Course - from International DJ Andrew Pololos,www.udemy.com/course/how-to-dj-course-from-international-dj-andrew-pololos/,Andrew Pololos,199.99,11.99,4.2(15 ratings),Music,,DJ
Ableton Live - DJ Mixtape & Podcasts in Ableton Live Course,www.udemy.com/course/how-to-make-a-dj-mixtape-in-ableton-step-by-step-course/,Martin Svensson,19.99,11.99,4.3(63 ratings),Music,,DJ
How To DJ With The Numark Party Mix,www.udemy.com/course/how-to-dj-with-the-numark-party-mix/,Joey Santos,24.99,11.99,4.2(14 ratings),Music,,DJ
