Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Beginner Nikon Digital SLR (DSLR) Photography,www.udemy.com/course/jp-nikon-dslr-for-beginners/,JP Teaches Photo .,29.99,11.99,"4.6(3,773 ratings)",Photography,,DSLR
Digital Photography for Beginners with DSLR cameras,www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/,Villiers Steyn,99.99,11.99,"4.6(1,763 ratings)",Photography,,DSLR
Photography Beginners: DSLR Photography Camera Settings,www.udemy.com/course/dslr-camera-settings-photography-for-beginners-photography-made-easy/,Rosie Parsons,99.99,11.99,4.7(986 ratings),Photography,,DSLR
Beginner Canon Digital SLR (DSLR) Photography,www.udemy.com/course/beginner-canon-digital-slr-dslr-photography-class-jp/,JP Teaches Photo .,29.99,11.99,"4.6(1,869 ratings)",Photography,,DSLR
Nikon DSLR Photography: Getting Started with Your DSLR,www.udemy.com/course/nikon-camera-photography-course/,Phil Ebiner,99.99,11.99,4.8(51 ratings),Photography,,DSLR
Canon DSLR Photography: Getting Started with Your DSLR,www.udemy.com/course/canon-dslr-photography-course/,Phil Ebiner,99.99,11.99,4.7(141 ratings),Photography,,DSLR
DSLR Video Production - Start Shooting Better Video Today,www.udemy.com/course/dslr-video-production-online-course-tutorial-training/,Phil Ebiner,199.99,11.99,"4.4(1,044 ratings)",Photography,,DSLR
EasyDSLR Digital Photography Course for Beginners,www.udemy.com/course/easydslr-for-beginners/,Ken Schultz,34.99,11.99,4.6(648 ratings),Photography,,DSLR
DSLR Filmmaking: From Beginner to PRO!,www.udemy.com/course/dslr-filmmaking-beginner-pro/,Jordy Vandeput,69.99,11.99,4.5(512 ratings),Photography,,DSLR
EasyDSLR Digital Photography Course: Advanced,www.udemy.com/course/easydslr-advanced/,Ken Schultz,74.99,11.99,4.2(179 ratings),Photography,,DSLR
Nikon D7500 Crash Course,www.udemy.com/course/nikon-d7500-crash-course/,Michael Andrew,0,39.99,4.6(28 ratings),Photography,,DSLR
Nikon D850 Crash Course,www.udemy.com/course/nikon-d850-crash-course/,Michael Andrew,0,39.99,4.4(48 ratings),Photography,,DSLR
Nikon D750 Crash Course,www.udemy.com/course/nikon-d750-crash-course/,Michael Andrew,0,39.99,4.6(6 ratings),Photography,,DSLR
Canon DSLR Videography - Better your Video Production Skills,www.udemy.com/course/on-point-dslr-video-production/,James Buffin,59.99,11.99,4.2(23 ratings),Photography,,DSLR
Canon lens course. The best lenses for your Canon DSLR,www.udemy.com/course/canon-lens-course-the-best-lenses-for-your-canon-dslr/,Jeremy Bayston,34.99,11.99,5.0(6 ratings),Photography,,DSLR
Nikon D500 Crash Course,www.udemy.com/course/nikon-d500-crash-course/,Michael Andrew,0,39.99,4.5(22 ratings),Photography,,DSLR
Learn DSLR Filmmaking — Make Better Videos by Yourself,www.udemy.com/course/learn-dslr-filmmaking/,Caleb Wojcik,119.99,11.39,4.1(78 ratings),Photography,,DSLR
Canon EOS 6D DSLR User Guide for every photographer,www.udemy.com/course/canon-eos-6d-dslr-user-guide-for-every-photographer/,John Hoeft,49.99,11.39,4.2(48 ratings),Photography,,DSLR
