Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Video Editing in DaVinci Resolve 15:  Beginner to Advanced,www.udemy.com/course/davinci-resolve-15-course/,Louay Zambarakji,199.99,14.39,4.5(834 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 15: The Complete Video Editing Course,www.udemy.com/course/davinci-resolve15/,Phil Ebiner,199.99,16.79,4.4(756 ratings),Photography,,DaVinci Resolve
Fusion VFX in Davinci Resolve 16,www.udemy.com/course/fusion-vfx-in-davinci-resolve/,Nick Carter,19.99,11.39,4.1(23 ratings),Photography,,DaVinci Resolve
Complete Color Grading & Color Correction in DaVinci Resolve,www.udemy.com/course/grading-in-davinci-resolve/,Kashif Altaf,199.99,15.59,4.3(51 ratings),Photography,,DaVinci Resolve
Learn to Color Grade and Edit video with DaVinci Resolve 15,www.udemy.com/course/davinciediting/,Logan Bean,99.99,11.39,4.4(728 ratings),Photography,,DaVinci Resolve
Davinci Resolve 15: FAIRLIGHT Sound post-production,www.udemy.com/course/fairlight/,Film Pro,54.99,11.39,4.1(69 ratings),Photography,,DaVinci Resolve
Davinci Resolve 16/15: Fusion Basics,www.udemy.com/course/dr15-fusion-basics/,Abdelmalek Litim,24.99,11.39,4.1(47 ratings),Photography,,DaVinci Resolve
Color Grading and Correction with DaVinci Resolve,www.udemy.com/course/color-correction-with-davinci-resolve/,GetFilming Film School,34.99,11.39,4.3(336 ratings),Photography,,DaVinci Resolve
Beginners Guide to Davinci Resolve 16,www.udemy.com/course/beginners-guide-to-davinci-resolve-16/,Nick Carter,19.99,11.39,4.0(6 ratings),Photography,,DaVinci Resolve
"Davinci Resolve 15: FUSION, Robust VFX for FREE",www.udemy.com/course/davinci-resolve-15-fusion/,Film Pro,59.99,11.39,4.0(89 ratings),Photography,,DaVinci Resolve
Motion Graphics in Davinci Resolve 16,www.udemy.com/course/motion-graphics-in-davinci-resolve-16/,Nick Carter,19.99,11.39,3.1(2 ratings),Photography,,DaVinci Resolve
ACES In Davinci Resolve 16,www.udemy.com/course/aces-in-davinci-resolve-16/,Film Pro,34.99,11.39,4.0(10 ratings),Photography,,DaVinci Resolve
Video Editing using DaVinci Resolve,www.udemy.com/course/video-editing-using-davinci-resolve-for-beginners/,Uri Soglowek,49.99,12.50,4.1(117 ratings),Photography,,DaVinci Resolve
Davinci Resolve 16 the new CUT page in-depth,www.udemy.com/course/davinci-resolve-16-the-new-cut-page-in-depth/,Film Pro,34.99,11.39,3.8(6 ratings),Photography,,DaVinci Resolve
Davinci Resolve 16: TITLES,www.udemy.com/course/davinci-resolve-16-titles/,Film Pro,39.99,11.39,3.6(2 ratings),Photography,,DaVinci Resolve
Filmmaking Using DaVinci Resolve. Free Software Included,www.udemy.com/course/davinci-resolve-video-editing/,IFH Courses,99.99,11.39,4.1(21 ratings),Photography,,DaVinci Resolve
Davinci Resolve 15: Color Correction & Grading,www.udemy.com/course/davinci-resolve-color-correction/,Film Pro,64.99,11.39,3.7(75 ratings),Photography,,DaVinci Resolve
Davinci Resolve 15 Fusion: Pro VFX - Remove Markers & Wires,www.udemy.com/course/davinci-resolve-fusion-marker-removal-wire-removal/,Film Pro,59.99,11.39,3.7(8 ratings),Photography,,DaVinci Resolve
Davinci Resolve 15: Editing,www.udemy.com/course/davinci-resolve-15-editing/,Film Pro,59.99,11.39,3.7(20 ratings),Photography,,DaVinci Resolve
DaVinci Resolve Beginners Course,www.udemy.com/course/davinci-resolve-beginners-course/,iVito .,19.99,11.39,4.0(4 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 14+: Complete Guide to Video Editing,www.udemy.com/course/complete-guide-to-davinci-resolve-14/,Chris Navarre,29.99,11.39,4.1(21 ratings),Photography,,DaVinci Resolve
Davinci Resolve 15 : From Beginner To Professional,www.udemy.com/course/davinci-resolve-15-from-beginner-to-professional/,Joseph adam,199.99,11.39,3.3(26 ratings),Photography,,DaVinci Resolve
DaVinci Resolve（ダビンチリゾルブ）15の使い方！基礎マスターコース【Mac & Windows】,www.udemy.com/course/davinciresolve/,山田 どうそん,199.99,11.39,4.8(20 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 14 - Subito in pista,www.udemy.com/course/davinci-resolve-14-subito-in-pista/,Teacher-in-a-Box | Videocorsi Professionali,0,69.99,4.8(88 ratings),Photography,,DaVinci Resolve
Premiere Proユーザー必見！Davinci Resolve 15でプロ並みの動画を作ろう！超入門編,www.udemy.com/course/davinci-resolve-japan/,OMOKAGE TV,24.99,11.39,4.6(75 ratings),Photography,,DaVinci Resolve
Edición de vídeo y corrección de Color en Davinci Resolve,www.udemy.com/course/edicion-de-video-y-correccion-de-color-en-davinci-resolve/,Herminio Lopez Ariza,74.99,11.39,3.8(26 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 15/16 - (1) Videobearbeitung (Einsteiger),www.udemy.com/course/davinci-resolve-videobearbeitung-und-videoschnitt/,Jürgen Möthrath,24.99,11.39,4.3(35 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 14 - Edição de Vídeo - Montagem de Cinema,www.udemy.com/course/davinci-resolve-14/,Pedro Carvalho,39.99,11.39,4.2(173 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 10: correzione colore nel video - Base,www.udemy.com/course/davinci-resolve-10-correzione-colore-nel-video-base/,Teacher-in-a-Box | Videocorsi Professionali,0,69.99,4.1(7 ratings),Photography,,DaVinci Resolve
Kurs Color Grading,www.udemy.com/course/kurs-color-grading/,eduweb.pl - Kursy Wideo,0,54.99,4.6(6 ratings),Photography,,DaVinci Resolve
DaVinci Resolve - Specials (1),www.udemy.com/course/davinci-resolve-specials-1/,Jürgen Möthrath,19.99,11.39,5.0(1 rating),Photography,,DaVinci Resolve
Aprenda a Editar Vídeos com o DaVinci Resolve 14,www.udemy.com/course/edicao-davinci-14/,Marco Aurélio Gomes,34.99,11.39,4.4(130 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 11: correzione colore - Avanzato,www.udemy.com/course/davinci-resolve-11-correzione-colore-avanzato/,Teacher-in-a-Box | Videocorsi Professionali,0,69.99,4.4(8 ratings),Photography,,DaVinci Resolve
DaVinci Resolve: lavorare con Premiere Pro CC e Final Cut X,www.udemy.com/course/davinci-resolve-lavorare-con-premiere-pro-cc-e-final-cut-x/,Teacher-in-a-Box | Videocorsi Professionali,0,69.99,2.9(2 ratings),Photography,,DaVinci Resolve
DaVinci Resolve 11: montaggio video,www.udemy.com/course/davinci-resolve-11-montaggio-video/,Teacher-in-a-Box | Videocorsi Professionali,0,69.99,0.0(0 ratings),Photography,,DaVinci Resolve
لتصحيح الألوان DaVinci Resolve 15 تعليم برنامج,www.udemy.com/course/davinci-resolve-15-the-easy-way-in-arabic/,Mounir Bendouzane,19.99,11.39,3.0(4 ratings),Photography,,DaVinci Resolve
