Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Deep Learning A-Z™: Hands-On Artificial Neural Networks,www.udemy.com/course/deeplearning/,Kirill Eremenko,199.99,11.99,"4.5(26,019 ratings)",Development,,Deep Learning
Complete Guide to TensorFlow for Deep Learning with Python,www.udemy.com/course/complete-guide-to-tensorflow-for-deep-learning-with-python/,Jose Portilla,194.99,11.99,"4.4(13,048 ratings)",Development,,Deep Learning
Deep Learning: Advanced Computer Vision,www.udemy.com/course/advanced-computer-vision/,Lazy Programmer Inc.,199.99,11.99,"4.7(1,925 ratings)",Development,,Deep Learning
Natural Language Processing with Deep Learning in Python,www.udemy.com/course/natural-language-processing-with-deep-learning-in-python/,Lazy Programmer Inc.,199.99,11.99,"4.6(4,288 ratings)",Development,,Deep Learning
Deep Learning: Advanced NLP and RNNs,www.udemy.com/course/deep-learning-advanced-nlp/,Lazy Programmer Inc.,199.99,11.99,"4.6(1,462 ratings)",Development,,Deep Learning
Advanced AI: Deep Reinforcement Learning in Python,www.udemy.com/course/deep-reinforcement-learning-in-python/,Lazy Programmer Inc.,179.99,11.99,"4.6(2,561 ratings)",Development,,Deep Learning
PyTorch for Deep Learning with Python Bootcamp,www.udemy.com/course/pytorch-for-deep-learning-with-python-bootcamp/,Jose Portilla,199.99,11.99,4.6(426 ratings),Development,,Deep Learning
Data Science: Deep Learning in Python,www.udemy.com/course/data-science-deep-learning-in-python/,Lazy Programmer Inc.,179.99,11.99,"4.6(5,581 ratings)",Development,,Deep Learning
TensorFlow 2.0 Practical,www.udemy.com/course/tensorflow-2-practical/,"Dr. Ryan Ahmed, Ph.D., MBA",199.99,11.99,4.3(140 ratings),Development,,Deep Learning
The Complete Self-Driving Car Course - Applied Deep Learning,www.udemy.com/course/applied-deep-learningtm-the-complete-self-driving-car-course/,Rayan Slim,199.99,11.99,"4.5(1,805 ratings)",Development,,Deep Learning
Modern Deep Learning in Python,www.udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,Lazy Programmer Inc.,179.99,11.99,"4.5(1,963 ratings)",Development,,Deep Learning
Deep Learning with TensorFlow 2.0 [2019],www.udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,365 Careers,194.99,11.99,"4.5(1,434 ratings)",Development,,Deep Learning
Deep Learning with Python and Keras,www.udemy.com/course/deep-learning-with-python-and-keras/,Data Weekends,199.99,11.99,"4.3(2,256 ratings)",Development,,Deep Learning
