Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Ultimate Digital Painting Course - Beginner to Advanced,www.udemy.com/course/the-ultimate-digital-painting-course-beginner-to-advanced/,Jaysen Batchelor,194.99,11.99,"4.5(1,091 ratings)",Design,,Digital Painting
The Digital Painting MEGA Course: Beginner to Advanced,www.udemy.com/course/the-digital-painting-mega-course-beginner-to-advanced/,Austin Batchelor,199.99,11.99,"4.5(2,843 ratings)",Design,,Digital Painting
The Complete Environment Painting Super Course,www.udemy.com/course/the-complete-environment-painting-super-course/,Colton Dubell,139.99,11.99,4.6(66 ratings),Design,,Digital Painting
The Ultimate Guide to Digitally Painting Everything,www.udemy.com/course/the-ultimate-guide-to-digitally-painting-everything/,Austin Batchelor,199.99,11.99,4.5(474 ratings),Design,,Digital Painting
Digital Painting Master Class : Beginner to Advanced,www.udemy.com/course/adobe-photoshop-illustrator-digital-painting-master-class/,[ School of Game Design ],154.99,11.99,4.6(610 ratings),Design,,Digital Painting
Digitally Painting Light and Color: Amateur to Master,www.udemy.com/course/master-painting-light-and-color-amateur-to-advanced/,Austin Batchelor,139.99,11.99,"4.6(1,028 ratings)",Design,,Digital Painting
Character Painting: Design and Render Like a Pro,www.udemy.com/course/character-painting/,Hardy Fowler,119.99,11.99,4.7(759 ratings),Design,,Digital Painting
Photorealistic Digital Painting From Beginner To Advanced.,www.udemy.com/course/photorealistic-digital-painting-from-beginner-to-advanced/,Austin Batchelor,109.99,11.99,"4.3(1,552 ratings)",Design,,Digital Painting
Painting Faces with the Power of Photoshop,www.udemy.com/course/painting-faces/,Hardy Fowler,59.99,11.99,4.6(700 ratings),Design,,Digital Painting
The Digital Painting w/ Procreate Guide | Grayscale method,www.udemy.com/course/procreatepainting/,Kurt Michael Russell,49.99,11.99,4.7(396 ratings),Design,,Digital Painting
Digital Landscapes : Painting Environments with Photoshop,www.udemy.com/course/digital-landscapes-painting-environments-with-photoshop/,Hardy Fowler,24.99,11.99,"4.2(1,050 ratings)",Design,,Digital Painting
Digital Painting: From Sketch to Finished Product,www.udemy.com/course/digital-painting-from-sketch-to-finished-product/,Hardy Fowler,24.99,11.99,"4.5(1,185 ratings)",Design,,Digital Painting
The Adventurers Guide to Drawing and Painting Dragons,www.udemy.com/course/the-adventurers-guide-to-drawing-and-painting-dragons/,Austin Batchelor,119.99,11.99,4.2(49 ratings),Design,,Digital Painting
Concept Art Essentials | Digital Painting From Scratch,www.udemy.com/course/concept-art-essentials/,Kemane Ba,119.99,11.99,4.2(61 ratings),Design,,Digital Painting
Digital Painting in Photoshop: Create Amazing Concept Art,www.udemy.com/course/digital-painting-in-photoshop-create-amazing-concept-art/,Robert Marzullo,199.99,11.99,4.6(261 ratings),Design,,Digital Painting
The Complete Sketching and Speedpainting Super Course,www.udemy.com/course/the-complete-sketching-and-speedpainting-super-course/,Colton Dubell,139.99,11.99,4.5(23 ratings),Design,,Digital Painting
Drawing and Painting in Adobe Fresco,www.udemy.com/course/adobe-fresco/,Brad Colbow,19.99,11.99,4.8(25 ratings),Design,,Digital Painting
Complete Beginner's Guide to Digital Painting,www.udemy.com/course/digital-painting-for-the-absolute-beginner/,Rich Graysonn,199.99,11.99,4.4(129 ratings),Design,,Digital Painting
Paint like Bob Ross digitally,www.udemy.com/course/bob-ross/,Neil Fontaine,49.99,11.99,4.1(16 ratings),Design,,Digital Painting
Digital Creations,www.udemy.com/course/digital-creations/,Hardy Fowler,19.99,11.99,4.9(244 ratings),Design,,Digital Painting
Digital Pet Paintings Using Photoshop ,www.udemy.com/course/digital-pet-paintings-using-photoshop/,Lori Jill,49.99,11.99,4.6(295 ratings),Design,,Digital Painting
Paint and Blend with Photoshop and Procreate,www.udemy.com/course/paint-and-blend-with-photoshop-and-procreate/,Maurizio De Angelis,109.99,11.99,4.5(38 ratings),Design,,Digital Painting
Turn Photographs Into Digital Paintings Using Photoshop ,www.udemy.com/course/turn-your-photographs-into-paintings-using-photoshop/,Lori Jill,99.99,11.99,4.3(336 ratings),Design,,Digital Painting
Learn Digital Painting to Make Cell Shaded Concept Art,www.udemy.com/course/learn-digital-painting-to-make-cell-shaded-concept-art/,Austin Batchelor,64.99,11.99,4.4(337 ratings),Design,,Digital Painting
Digital Painting - Amazing Fantasy Art in Manga Studio 5,www.udemy.com/course/digitally-painting-amazing-fantasy-art-in-manga-studio-5/,Robert Marzullo,199.99,11.99,4.6(113 ratings),Design,,Digital Painting
Digital Painting in Manga Studio 5 - Character Design,www.udemy.com/course/digital-painting-in-manga-studio-5-character-design/,Robert Marzullo,199.99,11.99,4.2(100 ratings),Design,,Digital Painting
Character Design Course - Create Amazing Character Art,www.udemy.com/course/character-design-class-the-power-of-the-silhouette/,Robert Marzullo,199.99,11.99,4.6(18 ratings),Design,,Digital Painting
Digital Painting in Photoshop : A Beginner's Guide,www.udemy.com/course/introduction-to-digital-painting-in-photoshop/,Robert Marzullo,199.99,11.99,4.6(40 ratings),Design,,Digital Painting
How to Digitally Paint -- Paint with Manga Studio 5,www.udemy.com/course/how-to-paint-with-manga-studio-5/,Neil Fontaine,94.99,11.99,4.3(136 ratings),Design,,Digital Painting
Photoshop: Learn Digital Painting Basics in Photoshop,www.udemy.com/course/photoshop-painting-tutorial/,Adam Zollinger,49.99,11.99,3.7(90 ratings),Design,,Digital Painting
Digital Painting in Manga Studio 5 - Working in Perspective,www.udemy.com/course/digital-painting-in-manga-studio-5-working-in-perspective/,Robert Marzullo,199.99,11.99,4.3(54 ratings),Design,,Digital Painting
Cinematic Illustration Digital Painting in Photoshop,www.udemy.com/course/cinematic-illustration/,Victory3D LLC,44.99,11.99,3.9(17 ratings),Design,,Digital Painting
Digital Painting | Powerful Fundamentals for New Artists,www.udemy.com/course/digital-painting-fundamentals-beginner-artists-photoshop-illustration/,[ School of Game Design ],19.99,11.39,3.9(51 ratings),Design,,Digital Painting
Paint Watercolor Florals & Leaves on the iPad,www.udemy.com/course/paint-watercolor-florals-leaves-on-the-ipad-free-brushes/,Liz Kohler Brown,19.99,11.99,4.7(25 ratings),Design,,Digital Painting
Character Design & Digital Art Demo in Adobe Illustrator,www.udemy.com/course/character-design-and-digital-painting-in-adobe-illustrator/,Michael Austin,99.99,11.39,3.7(111 ratings),Design,,Digital Painting
"Digital Painting, Corel Painter Essentials, Beginners Guide",www.udemy.com/course/digital-painting-corel-painter-essentials-beginners-guide/,Robin Slee | Art | Illustration | iPad | Software Development,19.99,11.39,4.3(7 ratings),Design,,Digital Painting
Digital Painting | Tools & Techniques For Beginners,www.udemy.com/course/digital-painting-tools-techniques-for-all-artist-photoshop/,[ School of Game Design ],19.99,11.39,4.2(16 ratings),Design,,Digital Painting
Photoshop: Quick & Easy Digital Painting Like a Professional,www.udemy.com/course/photoshop-quick-easy-digital-painting-like-a-professional/,Kristen Palana,74.99,11.39,4.2(118 ratings),Design,,Digital Painting
Learn to Digitally Paint and Texture a Stylized Creature,www.udemy.com/course/3dmotive-learn-to-digitally-paint-and-texture-a-stylized-creature/,3dmotive LLC,19.99,11.99,4.4(23 ratings),Design,,Digital Painting
Digital Painting for Cartoon Characters,www.udemy.com/course/digital-painting-for-cartoon-characters/,Bader Badruddin,29.99,11.39,3.4(193 ratings),Design,,Digital Painting
Digital Painting Series: Ominous Alien and Tribal Dino,www.udemy.com/course/digital-painting-series-ep1-ominous-alien/,Austin Batchelor,59.99,11.39,4.8(33 ratings),Design,,Digital Painting
Create a Paper-Cut Light Box in Procreate,www.udemy.com/course/papercutlightboxinprocreate/,Lettie Blue,19.99,11.39,4.5(1 rating),Design,,Digital Painting
Complete Digital Painting Training with Corel Painter,www.udemy.com/course/digital-portrait-painting/,Gurasis Anand,49.99,11.39,3.5(41 ratings),Design,,Digital Painting
Learn to create traditional looking paintings in Photoshop,www.udemy.com/course/learn-to-create-a-traditional-looking-paintings-in-photoshop/,Justin Donaldson,29.99,11.39,4.4(10 ratings),Design,,Digital Painting
Digital Painting Fundamentals in Photoshop,www.udemy.com/course/digital-painting-fundamentals-in-photoshop/,QScutter Tutorials,19.99,11.39,3.6(45 ratings),Design,,Digital Painting
Digital Art : Painting Realistic Hair,www.udemy.com/course/painting-realistic-hair-in-photoshop/,Margarita Bourkova,24.99,11.39,3.9(15 ratings),Design,,Digital Painting
Creative Texturing with Adobe Illustrator,www.udemy.com/course/creative-texturing-with-adobe-illustrator/,Taiwo Kajopelaye-ola,19.99,11.39,3.7(3 ratings),Design,,Digital Painting
Sketch Anything in 10 Minutes (or less),www.udemy.com/course/sketch-anything-in-10-minutes-or-less/,Margarita Bourkova,19.99,11.39,3.8(17 ratings),Design,,Digital Painting
Learn to Draw Digital Landscapes,www.udemy.com/course/learn-to-draw-digital-landscapes/,Bryant Dodd,24.99,11.39,3.2(22 ratings),Design,,Digital Painting
Digital Art : Painting A Pet Portrait,www.udemy.com/course/digital-art-painting-a-pet-portrait/,Margarita Bourkova,24.99,11.39,3.3(9 ratings),Design,,Digital Painting
digital painting for environment with Camille Kuo,www.udemy.com/course/digital-painting-for-environment-with-camille-kuo/,Camille Kuo,19.99,11.39,3.5(6 ratings),Design,,Digital Painting
Learn how to shade in Photoshop,www.udemy.com/course/learn-the-foundation-of-digital-painting-in-photoshop/,Maurizio De Angelis,49.99,11.39,3.5(1 rating),Design,,Digital Painting
How to create Digital Painting Effect in Adobe Photoshop,www.udemy.com/course/how-to-create-digital-painting-effect-in-adobe-photoshop/,Harsh Vardhan Art,199.99,11.39,4.4(30 ratings),Design,,Digital Painting
Learn Digital Painting From Scratch With Photoshop,www.udemy.com/course/photoshop-course-environment-painting-for-beginners/,Jia Sen,49.99,11.39,4.3(67 ratings),Design,,Digital Painting
Paint 360°art to Facebook in Photoshop,www.udemy.com/course/create-a-360-panorama-artwork-to-facebook/,Peter Nagy,59.99,11.39,5.0(2 ratings),Design,,Digital Painting
The Essential ArtRage Guide | An Artists Tutorial,www.udemy.com/course/the-essential-artrage-guide-an-artists-tutorial/,Programming Tut,19.99,11.39,4.4(13 ratings),Design,,Digital Painting
Getting Started With Digital Painting Using Krita,www.udemy.com/course/getting-started-with-digital-painting-using-krita/,Danan Thilakanathan,19.99,11.99,3.5(40 ratings),Design,,Digital Painting
Paint an Eye: An Intro to Digital Painting,www.udemy.com/course/paint-an-eye/,Brendon Schumacker,29.99,11.39,0.0(0 ratings),Design,,Digital Painting
