Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Digital Photography for Beginners with DSLR cameras,www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/,Villiers Steyn,99.99,11.99,"4.6(1,763 ratings)",Photography,,Digital Photography
Sony A7Riii / A7iii Crash Course,www.udemy.com/course/sony-a7riii-crash-course/,Michael Andrew,0,39.99,4.5(85 ratings),Photography,,Digital Photography
EasyDSLR Digital Photography Course for Beginners,www.udemy.com/course/easydslr-for-beginners/,Ken Schultz,34.99,11.99,4.6(648 ratings),Photography,,Digital Photography
Fuji X-T3 Crash Course,www.udemy.com/course/fuji-x-t3-crash-course/,Michael Andrew,0,39.99,4.4(41 ratings),Photography,,Digital Photography
EasyDSLR Digital Photography Course: Advanced,www.udemy.com/course/easydslr-advanced/,Ken Schultz,74.99,11.99,4.2(179 ratings),Photography,,Digital Photography
Digital Photography for Kids,www.udemy.com/course/fun-with-photography-a-course-for-kids/,Jeannie Taylor,19.99,11.99,4.7(45 ratings),Photography,,Digital Photography
Darktable software for photo editing,www.udemy.com/course/darktable-software-for-photo-editing/,Nicolas Forgue,39.99,11.99,3.8(9 ratings),Photography,,Digital Photography
"Ultimate photography course, where beginners become masters",www.udemy.com/course/ultimate-photography-course/,Lance van de Vyver,99.99,11.99,4.5(12 ratings),Photography,,Digital Photography
Beginner's Digital Photography - Part 2,www.udemy.com/course/beginners-digital-photography-part-2/,JP Teaches Photo .,29.99,11.99,4.2(43 ratings),Photography,,Digital Photography
Sony A9 Crash Course,www.udemy.com/course/sony-a9-crash-course/,Michael Andrew,0,39.99,4.3(3 ratings),Photography,,Digital Photography
"Beginner Digital Photography, How Do I Use My Camera?",www.udemy.com/course/beginner-digital-photography-how-do-i-use-my-camera/,JP Teaches Photo .,29.99,11.99,4.5(282 ratings),Photography,,Digital Photography
Success with Infrared Photography,www.udemy.com/course/success-with-infrared-photography/,Patrick C. Cook,99.99,11.99,4.2(18 ratings),Photography,,Digital Photography
"Learn Digital Photography, Canon , Nikon, Sony, Best Seller",www.udemy.com/course/the-complete-digital-photography-course-amazon-top-seller/,Steven Riley,19.99,11.99,3.8(117 ratings),Photography,,Digital Photography
Understanding Depth Of Field (It's not just about F-stops),www.udemy.com/course/understanding-depth-of-field-its-not-just-about-f-stops/,Denis Lemay,19.99,11.99,4.0(4 ratings),Photography,,Digital Photography
Anatomy of Digital Photography,www.udemy.com/course/anatomy-of-digital-photography/,George Kingsnorth,19.99,11.99,4.7(7 ratings),Photography,,Digital Photography
Diving Deeper into Photography- Advanced Digital Photography,www.udemy.com/course/advanced-digital-photography/,Megan Hartman,19.99,11.99,3.5(4 ratings),Photography,,Digital Photography
Digital Photography: Shooting in Manual for Beginners,www.udemy.com/course/digital-photography-shooting-in-manual/,Christine Smith,49.99,11.39,3.8(26 ratings),Photography,,Digital Photography
