Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Docker and Kubernetes: The Complete Guide,www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Stephen Grider,99.99,11.99,"4.6(19,625 ratings)",Development,,Docker
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,www.udemy.com/course/docker-mastery/,Bret Fisher,199.99,11.99,"4.6(28,665 ratings)",Development,,Docker
Docker for the Absolute Beginner - Hands On - DevOps,www.udemy.com/course/learn-docker/,Mumshad Mannambeth,199.99,11.99,"4.6(8,863 ratings)",Development,,Docker
Build a Backend REST API with Python & Django - Advanced,www.udemy.com/course/django-python-advanced/,Mark Winterbottom,59.99,11.99,"4.5(1,348 ratings)",Development,,Docker
Docker for Node.js Projects From a Docker Captain,www.udemy.com/course/docker-mastery-for-nodejs/,Bret Fisher,89.99,11.99,4.7(433 ratings),Development,,Docker
Docker: A Project-Based Approach to Learning,www.udemy.com/course/docker-tutorial/,Jason Cannon,199.99,11.99,4.6(95 ratings),Development,,Docker
Docker for Java Developers - with Spring Boot Microservices,www.udemy.com/course/docker-course-with-java-and-spring-boot-for-beginners/,in28Minutes Official,29.99,11.99,4.5(179 ratings),Development,,Docker
Docker for Java Developers,www.udemy.com/course/docker-for-java-developers/,John Thompson,149.99,11.99,"4.2(1,810 ratings)",Development,,Docker
Docker Crash Course for busy DevOps and Developers,www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,Tao W.,124.99,11.99,"4.4(8,260 ratings)",Development,,Docker
Docker - SWARM - Hands-on - DevOps,www.udemy.com/course/learn-docker-advanced/,Mumshad Mannambeth,199.99,11.99,4.6(737 ratings),Development,,Docker
Docker - Hands On for Java Developers,www.udemy.com/course/docker-hands-on/,Richard Chesterwood,24.99,11.99,4.6(855 ratings),Development,,Docker
Selenium WebDriver with Docker,www.udemy.com/course/selenium-webdriver-with-docker/,Vinoth Selvaraj,194.99,11.99,4.6(312 ratings),Development,,Docker
DevOps Tutorial: Complete Beginners Training - 5 in 1 Bundle,www.udemy.com/course/devops-docker-complete-guide-hands-on-with-practical/,Up Degree,19.99,11.99,"3.4(1,732 ratings)",Development,,Docker
"Deploy and Run Apps with Docker, Kubernetes, Helm, Rancher",www.udemy.com/course/deploy-and-run-apps-with-docker-kubernetes-helm-rancher/,Martin Bergljung,0,29.99,4.6(20 ratings),Development,,Docker
"Docker, From Zero To Hero: Become a DevOps Docker Master",www.udemy.com/course/docker-from-zero-to-hero/,Ricardo Andre Gonzalez Gomez,119.99,11.99,4.6(243 ratings),Development,,Docker
Docker: A Beginner's Guide From Container To Swarm,www.udemy.com/course/docker-a-beginners-guide-from-container-to-swarm/,Raphael Asghar,19.99,11.99,4.7(23 ratings),Development,,Docker
Deploy Machine Learning & NLP Models with Dockers (DevOps),www.udemy.com/course/deploy-data-science-nlp-models-with-docker-containers/,UNP United Network of Professionals,49.99,11.39,4.4(434 ratings),Development,,Docker
Get into DevOps: Best Practices for Docker with Jenkins,www.udemy.com/course/continuous-integration-docker-jenkins/,Miiro Juuso,169.99,13.19,3.8(133 ratings),Development,,Docker
The Docker for DevOps course: From development to production,www.udemy.com/course/the-docker-for-devops-course-from-development-to-production/,Nick Janetakis,24.99,11.39,"4.2(1,611 ratings)",Development,,Docker
"Docker, Dockerfile, and Docker-Compose (2020 ready!)",www.udemy.com/course/docker-and-docker-compose-hands-on-by-example/,Thomas Wiesner,199.99,11.39,4.6(25 ratings),Development,,Docker
Hands on With Docker & Docker Compose From a Docker Captain,www.udemy.com/course/hands-on-with-docker-and-docker-compose/,Nick Janetakis,59.99,11.39,4.5(375 ratings),Development,,Docker
"Docker - Introducing Docker Essentials, Containers, and more",www.udemy.com/course/docker-containers/,David Joseph Katz,199.99,11.39,4.3(785 ratings),Development,,Docker
Getting started with DevOps using Azure DevOps & Docker,www.udemy.com/course/devops-using-vsts-docker-azure/,Houssem Dellai,19.99,11.99,3.5(156 ratings),Development,,Docker
Scaling Docker on AWS,www.udemy.com/course/scaling-docker-on-aws/,Nick Janetakis,24.99,13.19,4.2(858 ratings),Development,,Docker
"Hands-on introduction to OpenStack, Docker & Cloud Computing",www.udemy.com/course/introduction-to-openstack-cloud-computing/,Naveen Joy,199.99,11.39,4.3(144 ratings),Development,,Docker
DOCKER | Step by Step for Beginners | with Sample Project,www.udemy.com/course/what-is-docker-step-by-step-for-beginners/,Raghav Pal,19.99,11.39,4.3(387 ratings),Development,,Docker
Deploying Docker Containers to Amazon Web Services,www.udemy.com/course/deploying-docker-containers-to-amazon-web-services/,Infinite Skills,49.99,11.39,4.5(116 ratings),Development,,Docker
Docker MasterClass : Docker & Swarm for DevOps,www.udemy.com/course/docker-for-devops/,LevelUp360° Degree,119.99,11.99,4.1(96 ratings),Development,,Docker
Docker for Developers and DevOps,www.udemy.com/course/docker-for-developers/,Luke Angel,199.99,11.39,"4.3(2,281 ratings)",Development,,Docker
DevOps 2018 - Docker for Beginners - Fully Updated,www.udemy.com/course/docker-10days/,Junaid ( Jay ) M,24.99,11.39,4.5(477 ratings),Development,,Docker
Docker and Kubernetes: for Beginners,www.udemy.com/course/kubernetes-from-scratch/,Mike Mcmillan,199.99,11.39,4.6(5 ratings),Development,,Docker
Projects in Docker,www.udemy.com/course/projects-in-docker/,Eduonix Learning Solutions,49.99,11.39,4.0(44 ratings),Development,,Docker
Hands-On Docker for Microservices,www.udemy.com/course/hands-on-docker-for-microservices/,Packt Publishing,124.99,11.39,3.0(13 ratings),Development,,Docker
HANDS ON DOCKER for JAVA Developers,www.udemy.com/course/introduction-to-docker-for-java-developers/,Pictolearn Technologies,19.99,11.39,4.4(529 ratings),Development,,Docker
Introduction to Docker and the DCA Certification,www.udemy.com/course/introduction-to-docker-and-the-dca-certification/,Loony Corn,99.99,11.39,4.1(151 ratings),Development,,Docker
"Docker, Apache Mesos & DCOS: Run and manage cloud datacenter",www.udemy.com/course/docker-apache-mesos-dcos-iaas-cloud-datacenter/,TetraNoodle Team,194.99,11.39,3.7(434 ratings),Development,,Docker
Essential Docker for Python Flask Development,www.udemy.com/course/docker-flask-course/,Jorge Escobar,29.99,11.39,4.1(144 ratings),Development,,Docker
Docker for ASP.NET Core MVC,www.udemy.com/course/docker-for-aspnet-core-mvc/,Packt Publishing,124.99,11.39,3.2(28 ratings),Development,,Docker
Docker - From A Beginner To An Expert - Detailed Explanation,www.udemy.com/course/docker-for-all/,Kartik Agrawal,199.99,11.39,4.2(13 ratings),Development,,Docker
Docker Swarm: BEGINNER + ADVANCED,www.udemy.com/course/docker-swarm-from-beginner-to-advanced-with-docker-cluster-hosting/,Luke Angel,199.99,11.39,"4.1(1,156 ratings)",Development,,Docker
Docker Certification Practice Exam,www.udemy.com/course/docker-certification-practice-exam-2019/,Padmesh Tripathi,19.99,11.39,4.7(2 ratings),Development,,Docker
Essentials of Docker For .Net Developers,www.udemy.com/course/docker-for-dotnet-developers/,BPB Online + 90 Million Books Sold,19.99,11.39,3.6(28 ratings),Development,,Docker
Beyond Jupyter Notebooks,www.udemy.com/course/beyond-jupyter-notebooks/,Joshua Görner,19.99,11.39,3.5(62 ratings),Development,,Docker
Mastering Docker (2017) the devops way by School of Devops®,www.udemy.com/course/zero-to-docker/,Gourav Shah,94.99,11.39,4.2(171 ratings),Development,,Docker
Introduction to Kubernetes using Docker,www.udemy.com/course/introduction-to-kubernetes-using-docker/,Stone River eLearning,99.99,11.39,4.3(336 ratings),Development,,Docker
Mysql Database on Docker : On-Premise & AWS Cloud,www.udemy.com/course/foundation-to-mysql-database-on-docker-on-prem-aws-cloud/,Kshitij (DB Alchemist Academy),29.99,11.39,4.6(23 ratings),Development,,Docker
Deploying Oracle WebLogic using Docker,www.udemy.com/course/deploying-oracle-weblogic-using-docker/,Chris Parent,19.99,11.99,4.0(69 ratings),Development,,Docker
Docker Compose in Depth,www.udemy.com/course/docker-compose-in-depth/,Stone River eLearning,99.99,11.39,3.7(202 ratings),Development,,Docker
Docker & Docker Compose for Beginners,www.udemy.com/course/docker-for-php-developers/,Jan Zavrel,19.99,11.39,4.0(146 ratings),Development,,Docker
Containerization with Docker by Example,www.udemy.com/course/containerization-with-docker-by-example/,Nic Raboy,19.99,11.39,4.3(22 ratings),Development,,Docker
Docker and Containers Essentials,www.udemy.com/course/docker-and-containers-essentials/,Nelson Djalo,99.99,11.39,4.3(15 ratings),Development,,Docker
Docker Interview Questions Preparation Course,www.udemy.com/course/docker-interview-questions/,KnowledgePowerhouse !,99.99,11.39,3.4(29 ratings),Development,,Docker
Working with Advanced Docker Operations,www.udemy.com/course/working-with-advanced-docker-operations/,Packt Publishing,124.99,11.39,3.8(19 ratings),Development,,Docker
Practical Guide to Penetration Testing with Kali Linux,www.udemy.com/course/practical-guide-to-penetration-testing-with-kali-linux/,Packt Publishing,199.99,11.39,5.0(2 ratings),Development,,Docker
Docker Essentials for Python Developers,www.udemy.com/course/docker-essentials-for-python-developers/,Kris Celmer,99.99,11.39,5.0(2 ratings),Development,,Docker
Docker Made Simple,www.udemy.com/course/docker-made-simple/,Vipin Gupta,199.99,11.39,4.6(16 ratings),Development,,Docker
LEARNING PATH: Docker: Application Deployment with Docker,www.udemy.com/course/learning-path-docker-application-deployment-with-docker/,Packt Publishing,199.99,11.39,4.1(6 ratings),Development,,Docker
Docker Complete Training,www.udemy.com/course/docker-essential-training/,QScutter Tutorials,19.99,11.39,3.8(110 ratings),Development,,Docker
"Docker and Continuous Integration: Code, Build, Test, Deploy",www.udemy.com/course/docker-continuous-integration-delivery-automate-code-build-test-deploy/,Luke Angel,199.99,11.39,3.5(190 ratings),Development,,Docker
Introduction to Docker,www.udemy.com/course/introduction-to-docker/,Stone River eLearning,74.99,11.39,3.8(459 ratings),Development,,Docker
Docker for web developers,www.udemy.com/course/docker-for-web-development/,Nevyan Neykov,199.99,11.39,0.0(0 ratings),Development,,Docker
Microservices introduction for Data Science,www.udemy.com/course/datasciencemicroservices/,Carlos Perales Gravan,49.99,11.39,3.1(7 ratings),Development,,Docker
Docker for absolute beginners: Learn Docker from scratch,www.udemy.com/course/docker-for-absolute-beginners-learn-docker-from-scratch/,Bluelime Learning Solutions,114.99,11.39,4.3(30 ratings),Development,,Docker
Learn how to deploy Docker applications to production,www.udemy.com/course/learn-how-to-deploy-docker-applications-to-production/,Emmet O'Grady,119.99,11.39,4.3(69 ratings),Development,,Docker
Android Continuous Integration with Docker and Jenkins,www.udemy.com/course/android-continuous-integration-with-docker-and-jenkins/,Packt Publishing,124.99,11.99,3.2(4 ratings),Development,,Docker
Dockerization - Do more with Docker,www.udemy.com/course/dockerization-do-more-with-docker/,Packt Publishing,124.99,11.99,0.0(0 ratings),Development,,Docker
Devops Bootcamp,www.udemy.com/course/devops-bootcamp/,Maksym Postument,99.99,11.99,3.6(23 ratings),Development,,Docker
