Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete MailChimp Email Marketing Course,www.udemy.com/course/mailchimp-email-marketing/,COURSE ENVY,49.99,11.99,"4.5(1,587 ratings)",Marketing,,Email Marketing
Start & Run a Local Viral Email Marketing Home Business,www.udemy.com/course/home-business/,Chris Towland,194.99,11.99,"4.5(1,074 ratings)",Marketing,,Email Marketing
Email & Affiliate Marketing Mastermind,www.udemy.com/course/email-affiliate-marketing-mastermind/,Bryan Guerra,199.99,11.99,"4.4(1,384 ratings)",Marketing,,Email Marketing
Build Your Own SMTP Email Server and Send Unlimited Emails!,www.udemy.com/course/build-mail-server-with-linux-ubuntu-aws/,Hasan Aboul Hasan,54.99,11.99,4.6(175 ratings),Marketing,,Email Marketing
Email Marketing Master Class,www.udemy.com/course/email-marketing-class/,AWeber Academy,0,144.99,4.3(291 ratings),Marketing,,Email Marketing
KLAVIYO Email Marketing Mastery course for Ecommerce,www.udemy.com/course/the-complete-klaviyo-email-marketing-course-for-e-commerce/,Andriy Boychuk,0,99.99,4.2(44 ratings),Marketing,,Email Marketing
10 Email Marketing Strategies That Make Me 6-Figures,www.udemy.com/course/emailstrategies/,Nik Swami,99.99,11.99,4.5(126 ratings),Marketing,,Email Marketing
Email marketing: Build an email list of your ideal buyers,www.udemy.com/course/email-marketing-build-an-email-list-of-your-ideal-buyers/,Eli Natoli,99.99,11.99,4.4(125 ratings),Marketing,,Email Marketing
"Email Marketing Campaigns, A Complete Guide",www.udemy.com/course/email-marketing-campaigns-a-complete-guide/,Joeel & Natalie Rivera,199.99,11.99,4.1(90 ratings),Marketing,,Email Marketing
"Email Marketing with PowerMTA, IP Rotation and Mailwizz",www.udemy.com/course/email-marketing-with-powermta-ip-rotation-and-mailwizz/,Dhiraj Rahul,79.99,11.99,4.2(86 ratings),Marketing,,Email Marketing
Solo Ad Secrets: Build A Private 100K+ Email Marketing List,www.udemy.com/course/solo-ad-mastery-secrets-build-a-private-100k-email-marketing-list/,Zach Miller,99.99,11.99,4.7(88 ratings),Marketing,,Email Marketing
Email Marketing for Charities & Non-Profits,www.udemy.com/course/email-marketing-for-charities-non-profits/,Jean O'Brien,74.99,11.99,4.5(7 ratings),Marketing,,Email Marketing
Email Marketing with Mailchimp + Sales Funnels & Copywriting,www.udemy.com/course/email-marketing-a-z-mailchimp-masterclass-for-business-course-tutorial/,Pouya Eti • Digital Marketing Expert,194.99,11.99,3.9(264 ratings),Marketing,,Email Marketing
Complete Email Marketing Strategy Made Easy with MailerLite,www.udemy.com/course/how-to-do-complete-email-marketing-strategy-mailerlite/,David Lee,94.99,11.99,4.8(34 ratings),Marketing,,Email Marketing
Email Marketing: Send Unlimited Emails via Own Mail Server,www.udemy.com/course/email-marketing-send-unlimited-emails-via-own-mail-server/,Dhiraj Rahul,34.99,11.99,3.6(158 ratings),Marketing,,Email Marketing
Ultimate Email Marketing And Email Autoresponders Guide,www.udemy.com/course/ultimate-cours-to-email-marketing-and-autoresponders/,Alex Genadinik,99.99,11.99,4.0(83 ratings),Marketing,,Email Marketing
#1 Professional Email Signature Creation: Photoshop to HTML,www.udemy.com/course/photoshop-design-into-an-html-email-signature-2019-novice/,Marty Englander,199.99,11.99,4.5(14 ratings),Marketing,,Email Marketing
Email Marketing: Start Growing Your Own Email List Today,www.udemy.com/course/how-to-build-your-email-list-with-mailpoet-mailchimp-aweber/,Phil Ebiner,99.99,11.99,4.7(285 ratings),Marketing,,Email Marketing
Email Marketing Mastery: Make More Sales By Sending Emails,www.udemy.com/course/email-marketing-get-subscribers-and-double-your-sales/,Brandon Hakim,194.99,11.99,4.4(172 ratings),Marketing,,Email Marketing
Email Marketing With Aweber Email Marketing For More Sales,www.udemy.com/course/email-marketing-listbuilding-increase-sales/,Dave Espino,139.99,11.99,4.4(22 ratings),Marketing,,Email Marketing
"Communicate for Business: Write, Email, Close the Loop",www.udemy.com/course/communicate-for-business-write-email-close-the-loop/,Eleventure Team,19.99,11.99,4.3(903 ratings),Marketing,,Email Marketing
Email Marketing: Sales Automation for E-commerce,www.udemy.com/course/email-marketing-automation-for-e-commerce/,Calvin Torra,0,199.99,4.5(17 ratings),Marketing,,Email Marketing
The Full Getresponse Tutorial for Email Marketing Tasks,www.udemy.com/course/getresponse-tutorial/,Ricky Wahowa,199.99,11.99,4.1(36 ratings),Marketing,,Email Marketing
Email Inboxing - Get Your Email Delivered To Inbox Always,www.udemy.com/course/email-inboxing-get-your-email-delivered-to-inbox-always/,Winston Wee,49.99,11.99,4.1(35 ratings),Marketing,,Email Marketing
"Lead Generation, Email Marketing and Sales Automation (2020)",www.udemy.com/course/leads-emails-sales/,iMarket XL,119.99,11.99,4.3(2 ratings),Marketing,,Email Marketing
Email Marketing Profits - Quickly Boost Your Sales by 34%+,www.udemy.com/course/email-marketing-profits-for-small-businesses/,Chris Towland,49.99,11.99,4.8(9 ratings),Marketing,,Email Marketing
Email Marketing Made Easy: How to Build an Email List Fast,www.udemy.com/course/email-marketing-secrets/,Tom Corson-Knowles,149.99,11.99,4.5(111 ratings),Marketing,,Email Marketing
Ultimate Guide to Email Marketing,www.udemy.com/course/ultimate-guide-to-email-marketing/,Melvin Wong,99.99,11.99,4.2(95 ratings),Marketing,,Email Marketing
Email Marketing: Build Responsive HTML Emails using MJML,www.udemy.com/course/build-responsive-html-emails-using-mjml/,Robin Louw,189.99,11.99,4.1(6 ratings),Marketing,,Email Marketing
Email Marketing 2018: Build and Launch Effective Campaigns,www.udemy.com/course/email-marketing-2016-build-and-launch-effective-campaigns/,Ron Stefanski,0,79.99,4.4(145 ratings),Marketing,,Email Marketing
