Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Emotional Intelligence (EQ) Practitioner Cert (ACCREDITED),www.udemy.com/course/emotional-intelligence-practitioner-certification/,Graham Nicholls,199.99,13.79,4.5(371 ratings),Personal Development,,Emotional Intelligence
Master Your Emotions and Revolutionise Your Social Skills,www.udemy.com/course/emotional-intelligence-and-social-skills-online-course/,Kain Ramsay,144.99,15.59,"3.9(1,263 ratings)",Personal Development,,Emotional Intelligence
"Emotional Intelligence: Master Anxiety, Fear, & Emotions",www.udemy.com/course/master-your-emotions-uncertainty-stress-anxiety-and-fear/,Joeel & Natalie Rivera,134.99,14.39,4.2(962 ratings),Personal Development,,Emotional Intelligence
Understanding and developing Emotional Intelligence,www.udemy.com/course/developing-emotional-intelligence/,Skill Boosters,49.99,11.39,"4.4(3,658 ratings)",Personal Development,,Emotional Intelligence
21 Day Crash Course in Emotional Intelligence,www.udemy.com/course/eq-crash-course/,Dr. Patricia Thompson,49.99,11.39,"4.4(1,709 ratings)",Personal Development,,Emotional Intelligence
Conflict Management with Emotional Intelligence,www.udemy.com/course/conflict-management-with-emotional-intelligence/,Robin Hills,179.99,11.39,4.2(877 ratings),Personal Development,,Emotional Intelligence
Emotional Intelligence at Work: Learn from Your Emotions,www.udemy.com/course/emotional-intelligence-at-work-learn-from-your-emotions/,Leila Bulling Towne,99.99,11.39,"4.4(1,580 ratings)",Personal Development,,Emotional Intelligence
Developing Emotional Intelligence in Teams,www.udemy.com/course/developing-emotional-intelligence-in-teams/,Robin Hills,179.99,11.39,"4.3(1,012 ratings)",Personal Development,,Emotional Intelligence
Emotional Intelligence Certification: Self Awareness Level 1,www.udemy.com/course/emotional-intelligence-certification-self-awareness/,Robert Jerus,199.99,11.39,4.0(216 ratings),Personal Development,,Emotional Intelligence
The Complete Emotional Intelligence Secret Formulas,www.udemy.com/course/the-complete-emotional-intelligence-secret-formulas/,Louay El Charif,199.99,11.39,4.6(27 ratings),Personal Development,,Emotional Intelligence
Build Authentic Relationships using Emotional Intelligence,www.udemy.com/course/interpersonal-relationships/,Robin Hills,124.99,11.39,4.0(122 ratings),Personal Development,,Emotional Intelligence
Emotional Intelligence: Gaining Control Over Emotions,www.udemy.com/course/emotional_intelligence_success/,Joseph Phillips,49.99,11.39,4.6(90 ratings),Personal Development,,Emotional Intelligence
Emotional Intelligence Certification Self Management Level 2,www.udemy.com/course/emotional-intelligence-self-management/,Scott Paton,199.99,11.39,4.4(58 ratings),Personal Development,,Emotional Intelligence
Using Emotional Intelligence on the Job,www.udemy.com/course/using-emotional-intelligence-on-the-job/,Sorin Dumitrascu,174.99,13.79,4.3(202 ratings),Personal Development,,Emotional Intelligence
"Alternatives to saying ""No! Don't, Stop!"" without giving in",www.udemy.com/course/alternatives-to-saying-no-dont-or-stop-without-giving-in/,Robin Booth,74.99,11.39,4.3(73 ratings),Personal Development,,Emotional Intelligence
Using Emotional Intelligence and Managing Aggressive People,www.udemy.com/course/using-emotional-intelligence-and-managing-aggressive-people/,Sorin Dumitrascu,174.99,11.39,4.6(92 ratings),Personal Development,,Emotional Intelligence
Leading With Emotional Intelligence,www.udemy.com/course/leading-with-emotional-intelligence/,Carolyn Stern,199.99,11.39,4.3(23 ratings),Personal Development,,Emotional Intelligence
Emotional Intelligence in the Workplace,www.udemy.com/course/emotional-intelligence-at-work/,Joeel & Natalie Rivera,184.99,11.39,4.0(139 ratings),Personal Development,,Emotional Intelligence
Collaboration and Emotional Intelligence,www.udemy.com/course/collaboration-and-emotional-intelligence/,Robin Hills,179.99,11.39,4.2(520 ratings),Personal Development,,Emotional Intelligence
Communication Skills: Personality and Behaviour in Business,www.udemy.com/course/behaviour-in-business/,Robin Hills,179.99,11.39,4.1(147 ratings),Personal Development,,Emotional Intelligence
The Ultimate Emotional Intelligence Training Program ®,www.udemy.com/course/the-emotional-intelligence-control-scientific-formula-20/,The Best-Selling Author | Noah Merriby ​,199.99,11.39,3.0(43 ratings),Personal Development,,Emotional Intelligence
Emotional Intelligence Coaching,www.udemy.com/course/emotional-intelligence-coaching/,Robin Hills,179.99,11.39,4.7(4 ratings),Personal Development,,Emotional Intelligence
Enhance your Emotional Intelligence; The Science of Emotions,www.udemy.com/course/leadership-psychology-be-intelligent-about-your-emotions/,Sivakami S,79.99,11.39,4.4(184 ratings),Personal Development,,Emotional Intelligence
Develop your Self Awareness with Emotional Intelligence,www.udemy.com/course/making-sense-of-who-you-are-in-the-world/,Robin Hills,124.99,11.39,4.3(50 ratings),Personal Development,,Emotional Intelligence
Empower You As A Woman,www.udemy.com/course/empower-you/,Maz Schirmer,0,19.99,4.8(17 ratings),Personal Development,,Emotional Intelligence
Next Level Emotional Intelligence: Developing for the Future,www.udemy.com/course/advanced-emotional-intelligence/,Robin Hills,159.99,11.39,5.0(2 ratings),Personal Development,,Emotional Intelligence
"Mind Coaching Academy Not CBT, NLP but PRT that set me free.",www.udemy.com/course/simply-the-best-stress-mastery-method/,Paul mcloughlin,174.99,11.39,5.0(9 ratings),Personal Development,,Emotional Intelligence
Emotional Unavailability & Neediness,www.udemy.com/course/emotional-unavailability-neediness/,Gabriella Kortsch,99.99,12.59,4.7(85 ratings),Personal Development,,Emotional Intelligence
