Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Learn Ethical Hacking From Scratch,www.udemy.com/course/learn-ethical-hacking-from-scratch/,Zaid Sabih,194.99,11.99,"4.5(53,391 ratings)",IT & Software,,Ethical Hacking
The Complete Ethical Hacking Course: Beginner to Advanced!,www.udemy.com/course/penetration-testing/,Ermin Kreponic,199.99,11.99,"4.3(24,419 ratings)",IT & Software,,Ethical Hacking
Learn Website Hacking / Penetration Testing From Scratch,www.udemy.com/course/learn-website-hacking-penetration-testing-from-scratch/,Zaid Sabih,189.99,11.99,"4.5(5,350 ratings)",IT & Software,,Ethical Hacking
Network Hacking Continued - Intermediate to Advanced,www.udemy.com/course/network-hacking-continued-intermediate-to-advanced/,Zaid Sabih,189.99,11.99,"4.7(1,209 ratings)",IT & Software,,Ethical Hacking
Complete Ethical Hacking & Cyber Security Masterclass Course,www.udemy.com/course/ethicalhackingcourse/,Joe Parys,199.99,11.99,4.4(113 ratings),IT & Software,,Ethical Hacking
Practical Ethical Hacking - The Complete Course,www.udemy.com/course/practical-ethical-hacking/,Heath Adams,0,199.99,4.9(153 ratings),IT & Software,,Ethical Hacking
The Complete Ethical Hacking Course,www.udemy.com/course/the-complete-ethical-hacking-course/,Codestars by Rob Percival,199.99,11.99,4.5(784 ratings),IT & Software,,Ethical Hacking
Hands-on: Complete Penetration Testing and Ethical Hacking,www.udemy.com/course/hands-on-complete-penetration-testing-and-ethical-hacking/,Muharrem AYDIN,199.99,11.99,4.6(633 ratings),IT & Software,,Ethical Hacking
The Complete Nmap Ethical Hacking Course : Network Security,www.udemy.com/course/the-complete-nmap-ethical-hacking-course-network-security/,Nathan House,99.99,11.99,"4.5(1,654 ratings)",IT & Software,,Ethical Hacking
Hacking in Practice: Certified Ethical Hacking MEGA Course,www.udemy.com/course/it-security-beginner-certified-hacking-training/,IT Security Academy,194.99,11.99,"4.4(2,782 ratings)",IT & Software,,Ethical Hacking
The Complete Ethical Hacking Bootcamp 2019,www.udemy.com/course/the-complete-ethical-hacking-bootcamp/,HackerSploit Academy,199.99,11.99,4.5(166 ratings),IT & Software,,Ethical Hacking
Ethical Hacking and CompTIA PenTest+ with 2 Practice Tests,www.udemy.com/course/ethical-hacking-and-comptia-pentest-exam-prep-pt0-001/,"Total Seminars • 200,000+ Students",194.99,11.99,4.5(431 ratings),IT & Software,,Ethical Hacking
Complete Web Application Hacking & Penetration Testing,www.udemy.com/course/complete-web-application-hacking-penetration-testing/,Muharrem AYDIN,199.99,11.99,4.7(74 ratings),IT & Software,,Ethical Hacking
Hands-on Penetration Testing Labs 1.0,www.udemy.com/course/kali-linux-hands-on-penetration-testing-labs/,"Jesse Kurrus, M.S., OSCP, CEH, Security+, Linux+, Network+, CISSP",24.99,11.99,4.6(457 ratings),IT & Software,,Ethical Hacking
Python For Ethical Hacking: Develop Pentesting Tools,www.udemy.com/course/python-for-ethical-hacking-develop-pentesting-tools/,HackerSploit Academy,199.99,11.99,4.4(102 ratings),IT & Software,,Ethical Hacking
Hacking For Beginners,www.udemy.com/course/hacking-for-beginners/,Hackers Academy - Online Ethical Hacking Tutorials,94.99,11.99,"4.5(2,181 ratings)",IT & Software,,Ethical Hacking
Learn Ethical Hacking in 2020: Beginner to Advanced!,www.udemy.com/course/ethical-hacking-kali-linux/,Joseph Delgadillo,199.99,11.39,4.4(925 ratings),IT & Software,,Ethical Hacking
Learn Hacking Using Android From Scratch,www.udemy.com/course/learn-hackingpenetration-testing-using-android-from-scratch/,Zaid Sabih,99.99,11.39,4.4(573 ratings),IT & Software,,Ethical Hacking
The Complete Penetration Testing Course: Beginner To Expert,www.udemy.com/course/the-complete-ethical-hacking-masterclass/,HackerSploit Academy,199.99,11.39,4.3(532 ratings),IT & Software,,Ethical Hacking
The Complete Ethical Hacker Certification Exam Prep Course,www.udemy.com/course/the-complete-ceh-exam-prep-course-become-an-ethical-hacker/,Tim Pierson,199.99,11.39,4.3(790 ratings),IT & Software,,Ethical Hacking
The RedTeam Blueprint - A Unique Guide To Ethical Hacking,www.udemy.com/course/the-redteam-blueprint/,Brandon Dennis,159.99,11.39,4.2(122 ratings),IT & Software,,Ethical Hacking
Learn Ethical Hacking from Entry to Expertise,www.udemy.com/course/mastering-hacking-and-penetration-testing-5-courses-pack/,InSEC- Techs,39.99,11.39,4.1(355 ratings),IT & Software,,Ethical Hacking
Real-World Ethical Hacking: Hands-on Cybersecurity,www.udemy.com/course/real-world-ethical-hacking/,Bryson Payne,49.99,11.39,"4.4(1,084 ratings)",IT & Software,,Ethical Hacking
Certified Ethical Hacker (CEH) Certification Prep Course,www.udemy.com/course/ethical-hacker-eh/,Stone River eLearning,199.99,11.39,4.1(182 ratings),IT & Software,,Ethical Hacking
Learn Hacking using Raspberry Pi From Scratch,www.udemy.com/course/learn-hacking-using-raspberry-pi-from-scratch/,Saad Sarraj,199.99,11.39,4.4(206 ratings),IT & Software,,Ethical Hacking
Learn Hacking Windows 10 Using Metasploit From Scratch,www.udemy.com/course/learn-hacking-10-windows-using-metasploit-from-scratch/,Saad Sarraj,199.99,11.99,4.4(318 ratings),IT & Software,,Ethical Hacking
Hacking and Securing Docker Containers (2019 Edition),www.udemy.com/course/hacking-and-securing-docker-containers/,CloudSecTraining .,199.99,11.39,4.5(79 ratings),IT & Software,,Ethical Hacking
"Ethical Hacking With Python, JavaScript and Kali Linux",www.udemy.com/course/ethical-hacking-with-python-javascript-and-kali-linux/,Sachin Kafle,199.99,11.39,3.9(101 ratings),IT & Software,,Ethical Hacking
