Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Visually Effective Excel Dashboards,www.udemy.com/course/excel-dashboards-reports/,Leila Gharani,174.99,11.99,"4.6(5,803 ratings)",Office Productivity,,Excel Dashboard
Microsoft Excel Data Analysis and Dashboard Reporting,www.udemy.com/course/microsoft-excel-data-analysis-and-dashboard-reporting/,Kyle Pew,99.99,11.99,"4.7(1,489 ratings)",Office Productivity,,Excel Dashboard
Excel Dashboards and Data Analysis Masterclass,www.udemy.com/course/excel-charts-learn-everything-about-charts-with-excel-2013/,Andreas Exadaktylos,99.99,11.39,4.6(781 ratings),Office Productivity,,Excel Dashboard
Microsoft Advanced Excel Dashboard : Zero To Hero (Complete),www.udemy.com/course/advanced-excel-dashboard-with-business-intelligence/,Yoda Learning,99.99,11.39,4.6(244 ratings),Office Productivity,,Excel Dashboard
"Easy Excel Dashboards, Models, Visualizations & Power Query",www.udemy.com/course/easy-excel-dashboards-models-visualizations-power-query/,Jonathan Ng,199.99,11.39,4.6(298 ratings),Office Productivity,,Excel Dashboard
Excel with Interactive Excel Dashboards,www.udemy.com/course/excel-dashboard/,Mynda Treacy,0,199.99,4.5(256 ratings),Office Productivity,,Excel Dashboard
Learn Excel Data Analysis with Interactive Excel Dashboards,www.udemy.com/course/learn-excel-data-analysis-with-2-dynamic-excel-dashboards/,Skills On Demand,199.99,11.39,3.9(81 ratings),Office Productivity,,Excel Dashboard
HR Analytics - Build Dynamic Excel Dashboard from Scratch,www.udemy.com/course/excel-dashboard-from-scratch/,Unlock HR,184.99,11.39,4.5(8 ratings),Office Productivity,,Excel Dashboard
Microsoft Excel Dashboard Infographics Masterclass Volume 1,www.udemy.com/course/microsoft-excel-infographics-masterclass/,Suhas Dakhole,29.99,11.39,4.4(242 ratings),Office Productivity,,Excel Dashboard
Excel Interactive Dashboards and Data Analysis,www.udemy.com/course/excel-interactive-dashboards-and-data-analysis/,Ian Littlejohn,99.99,11.39,4.3(138 ratings),Office Productivity,,Excel Dashboard
Excel Dashboards : Build a Dashboard from Scratch!,www.udemy.com/course/excel-dashboards-joes-to-pros/,Abdelrahman Abdou,194.99,11.39,4.7(316 ratings),Office Productivity,,Excel Dashboard
Excel Advanced Dashboard Infographics MasterClass Volume  2,www.udemy.com/course/microsoft-excel-advanced-infographics-masterclass-volume-2/,Suhas Dakhole,29.99,11.39,4.2(141 ratings),Office Productivity,,Excel Dashboard
"Building dynamic interactive human resource dashboard, Excel",www.udemy.com/course/building-dynamic-interactive-human-resource-dashboards/,Gloria Tibakunirwa,19.99,11.39,4.2(44 ratings),Office Productivity,,Excel Dashboard
Microsoft Excel: Data Reporting and Dashboards From Scratch!,www.udemy.com/course/microsoft-excel-reporting-and-dashboards/,Kamal Vaswani,189.99,11.39,4.6(82 ratings),Office Productivity,,Excel Dashboard
The secrets to generate the most automated Excel Dashboards,www.udemy.com/course/the-secrets-to-generate-the-most-automated-excel-dashboards/,Daniele Protti,179.99,11.39,3.7(38 ratings),Office Productivity,,Excel Dashboard
Excel Map Dashboard with VBA,www.udemy.com/course/excel-map-dashboard-with-vba/,BY MMB,94.99,11.39,4.7(36 ratings),Office Productivity,,Excel Dashboard
Beautiful and Dynamic Excel Dashboard,www.udemy.com/course/beautiful-and-dynamic-excel-dashboard/,Damon Martin,74.99,11.99,4.4(21 ratings),Office Productivity,,Excel Dashboard
Microsoft Excel Training - Interactive Dashboards,www.udemy.com/course/interactive-charts-in-excel/,Lokesh Paliwal,29.99,11.99,4.3(102 ratings),Office Productivity,,Excel Dashboard
Learn excel by building dashboards and calculators,www.udemy.com/course/learn-excel-by-building-dashboards-and-calculators/,Excel University,199.99,11.99,4.8(11 ratings),Office Productivity,,Excel Dashboard
DIY Dashboards for Excel & Business Apps for iPhones & iPads,www.udemy.com/course/diydashboards/,Luke Rochester,0,94.99,4.9(62 ratings),Office Productivity,,Excel Dashboard
Vacation and Attendance Tracker Dashboard in Excel,www.udemy.com/course/vacation-attendance-tracker-excel-dashboard/,ind zara,0,24.99,5.0(1 rating),Office Productivity,,Excel Dashboard
Data Analytics Introduction and Excel Dashboarding,www.udemy.com/course/data-analytics-introduction-and-excel-dashboarding/,Skillup Training,49.99,11.99,4.2(17 ratings),Office Productivity,,Excel Dashboard
Excel Automated Reports,www.udemy.com/course/excel-automated-reports/,Yasser Elsherif,39.99,11.99,5.0(1 rating),Office Productivity,,Excel Dashboard
Excel Dashboard Secrets - Create Awesome Excel Dashboard,www.udemy.com/course/excel-dashboard-secrets/,Amey Dabholkar,39.99,11.99,4.0(101 ratings),Office Productivity,,Excel Dashboard
Create Advanced Excel Dashboard: Single Sheet Analytics,www.udemy.com/course/excel-dashboard-advanced-single-sheet-tracker/,Yoda Learning,49.99,11.99,4.2(8 ratings),Office Productivity,,Excel Dashboard
Excellence in Excel! Create an advanced Excel Dashboard!,www.udemy.com/course/excel-dashboard-course/,Nicky Wong,19.99,11.99,3.0(1 rating),Office Productivity,,Excel Dashboard
Executive Report  & Dashboard to Analyze Results... Today!,www.udemy.com/course/executive-report-multi-scenario-comparative-analytics/,Armando Alfonzo Torres,99.99,11.99,4.1(5 ratings),Office Productivity,,Excel Dashboard
Mastering Essential Excel in 3 HOURS,www.udemy.com/course/mastering-essential-excel-in-3-hours/,Damtew Engida,99.99,11.99,4.2(23 ratings),Office Productivity,,Excel Dashboard
Excellence in Excel! Create a Sales Funnel Excel Dashboard!,www.udemy.com/course/sales-funnel-excel/,Nicky Wong,19.99,11.99,5.0(1 rating),Office Productivity,,Excel Dashboard
Excel Interactive Dashboard with Formulas,www.udemy.com/course/excel-interactive-dashboard-with-formulas-by-ramzanrajani/,Ramzan Rajani,49.99,11.99,4.4(36 ratings),Office Productivity,,Excel Dashboard
Microsoft Excel - Creating Dynamic Dashboards,www.udemy.com/course/microsoft-excel-creating-dynamic-dashboards/,Infinite Skills,49.99,11.99,3.9(49 ratings),Office Productivity,,Excel Dashboard
Create Advanced Excel files using Java,www.udemy.com/course/create-advanced-excel-files-using-java-apache-poi/,Dries Horions,44.99,11.99,4.1(12 ratings),Office Productivity,,Excel Dashboard
Dashboards 101 - Using Metrics to Improve Performance,www.udemy.com/course/dashboards-101-using-metrics-to-improve-performance/,Bob Norton,34.99,11.99,3.7(16 ratings),Office Productivity,,Excel Dashboard
Excel 2013 Dashboard Design,www.udemy.com/course/excel-2013-dashboard-design/,Packt Publishing,84.99,11.99,4.4(88 ratings),Office Productivity,,Excel Dashboard
