Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Master Microsoft Excel Macros and Excel VBA,www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/,Kyle Pew,49.99,11.99,"4.5(6,936 ratings)",Office Productivity,,Excel Macros
Coaching Course: Creative Excel Macro Part 1,www.udemy.com/course/coaching-course-creative-excel-macro/,DioPACT Learning,0,169.99,4.0(1 rating),Office Productivity,,Excel Macros
Coaching Course: Creative Excel Macro Part 2,www.udemy.com/course/coaching-course-creative-excel-macro-part-2/,DioPACT Learning,0,169.99,0.0(0 ratings),Office Productivity,,Excel Macros
Excel Macros & Excel VBA Programming for Beginners,www.udemy.com/course/excel-macros-excel-vba-for-non-programmers/,Andreas Exadaktylos,49.99,11.99,4.6(408 ratings),Office Productivity,,Excel Macros
Macros & VBA Excel,www.udemy.com/course/ioniya-macros-vba-excel/,Parallel Learning,19.99,11.99,"4.0(1,456 ratings)",Office Productivity,,Excel Macros
Automate Excel using Python - Xlwings | Series 1,www.udemy.com/course/automate-excel-using-python-xlwings-series-1/,Block.Hub Academy,29.99,11.99,3.0(10 ratings),Office Productivity,,Excel Macros
Advanced Excel Training,www.udemy.com/course/advanced-excel-training-m/,Corinne Bonet,19.99,11.99,4.8(10 ratings),Office Productivity,,Excel Macros
Excel Macros & VBA for Excel Report Automation,www.udemy.com/course/excel-macros-vba-for-excel-report-automation-by-ramzan-rajani/,Ramzan Rajani,19.99,11.99,4.7(14 ratings),Office Productivity,,Excel Macros
Excel VBA Blueprint: Build 9 VBA Macros & Automate Excel,www.udemy.com/course/excel-vba-blueprint-build-9-vba-macros-automate-excel/,Sisu Alexandru,94.99,11.99,4.4(31 ratings),Office Productivity,,Excel Macros
Your Excel VBA Automation Machine,www.udemy.com/course/your-excel-vba-automation-machine/,Martyn Blythin,49.99,11.99,4.3(11 ratings),Office Productivity,,Excel Macros
Excel Macros and VBA: Automate Your Excel Workload,www.udemy.com/course/excel-2013-macros-automate-your-excel-workload/,Think Forward Online Training,49.99,11.99,4.2(411 ratings),Office Productivity,,Excel Macros
Excel Macros/VBA: Create 4 Real World Projects from Scratch,www.udemy.com/course/excel-macros-create-4-real-world-projects-from-scratch/,Think Forward Online Training,129.99,11.99,3.5(189 ratings),Office Productivity,,Excel Macros
Excel VBA Programming & Macros for all levels,www.udemy.com/course/excel-vba-programming-macros-for-all-levels/,ZiyaUlHaq Shaik,39.99,11.99,2.4(3 ratings),Office Productivity,,Excel Macros
Excel 2016 Macro Basics,www.udemy.com/course/excel-2016-macro-basics/,Tim Wright,19.99,11.99,4.3(5 ratings),Office Productivity,,Excel Macros
Intro to Excel Macros Part 2,www.udemy.com/course/intro-excel-macros-part-2/,Illumeo Learning,49.99,11.99,4.8(3 ratings),Office Productivity,,Excel Macros
"Excel 2013: Advanced Macro with Goal seek, Solver & More !",www.udemy.com/course/excel-2013-advanced-macro-with-goal-seek-solver-more/,Rit Shrestha,59.99,11.99,4.2(10 ratings),Office Productivity,,Excel Macros
Protect your Excel Files with Usage Time or by PC's,www.udemy.com/course/use-licenses-with-online-date-for-your-excel-files/,Armando Alfonzo Torres,99.99,11.39,5.0(2 ratings),Office Productivity,,Excel Macros
Excel 2016: Macros and Advanced Queries,www.udemy.com/course/excel-2016-macros-and-advanced-queries/,Raouf Nabi,19.99,11.39,3.9(40 ratings),Office Productivity,,Excel Macros
VBA Excel - Start Basic Finish Advanced!,www.udemy.com/course/vba-excel-start-basic-finish-advanced/,Craig Barry,19.99,11.39,4.1(3 ratings),Office Productivity,,Excel Macros
Learn and Record your First Excel Macro in 3 simple steps,www.udemy.com/course/ntamacro/,Nurture Tech Academy,24.99,11.39,3.8(65 ratings),Office Productivity,,Excel Macros
Intro to Excel Macros Part 3,www.udemy.com/course/intro-to-excel-macros-part-3/,Illumeo Learning,49.99,11.39,5.0(1 rating),Office Productivity,,Excel Macros
Microsoft Excel - Recording Macros,www.udemy.com/course/microsoft-excel-recording-macros/,eLearnExcel,19.99,11.39,4.5(13 ratings),Office Productivity,,Excel Macros
Intro to Excel Macros Part 4,www.udemy.com/course/intro-to-excel-macros-part-4/,Illumeo Learning,49.99,11.39,5.0(1 rating),Office Productivity,,Excel Macros
Excel Macros without Programming|Record Your Own Macros,www.udemy.com/course/excel-macros-without-programming-knowledge/,Kaustubh Kelkar,19.99,11.39,0.0(0 ratings),Office Productivity,,Excel Macros
Learn VBA Macros,www.udemy.com/course/learn-vba-macros/,Akesh Dhiman,49.99,11.39,2.0(1 rating),Office Productivity,,Excel Macros
How to Record and Run a Macro in 4 Easy Steps,www.udemy.com/course/how-to-record-and-run-a-macro-in-4-easy-steps/,Matthew Bernath,0,Free,4.3(440 ratings),Office Productivity,,Excel Macros
"Macros y VBA: Programa, automatiza y amplía Microsoft Excel.",www.udemy.com/course/macros-vba-programa-microsoft-excel/,David Asurmendi,99.99,11.99,"4.5(3,492 ratings)",Office Productivity,,Excel Macros
Excel VBA[第2弾](脱・入門編)請求書を1クリックで出力するマクロを作成！文系・非IT職もできるプログラミング,www.udemy.com/course/excel23vba2/,エクセル兄さん たてばやし淳,34.99,11.39,4.7(419 ratings),Office Productivity,,Excel Macros
Excel VBA[第3弾](実用マクロ入門編)受注データを5秒で入力できるユーザーフォーム作成 VBAプログラミング,www.udemy.com/course/excel23vba3/,エクセル兄さん たてばやし淳,34.99,11.39,4.6(256 ratings),Office Productivity,,Excel Macros
Excel VBA[第4弾]大量ブック・大量シート操作編！50個のExcelブックを一気にデータ収集するマクロ3時間講義,www.udemy.com/course/excel23vba4/,エクセル兄さん たてばやし淳,34.99,11.39,4.6(175 ratings),Office Productivity,,Excel Macros
Apprendre les Macros et le langage VBA avec Excel 2016,www.udemy.com/course/apprendre-les-macros-et-le-langage-vba-avec-excel-2016/,Jean-philippe Parein,149.99,11.39,4.7(105 ratings),Office Productivity,,Excel Macros
Excel VBA[第5弾]ファイル出力マクロ編！ブックをシート別に分割して自動出力。CSVやPDF出力、印刷も自動化！,www.udemy.com/course/excel23vba5/,エクセル兄さん たてばやし淳,34.99,11.39,4.6(67 ratings),Office Productivity,,Excel Macros
Excel Makros - Automatisiere Deine Excel Arbeit!,www.udemy.com/course/excel-makros-automatisiere-deine-arbeit/,Daniel Kogan,199.99,11.39,4.5(152 ratings),Office Productivity,,Excel Macros
Macro para Excel VBA para Iniciantes,www.udemy.com/course/macro-para-excel-vba-basico/,João Paulo de Lira,19.99,11.39,"4.6(1,092 ratings)",Office Productivity,,Excel Macros
Excel Makro (VBA) - Temelden Uzmanlığa Kadar (İkinci bedava),www.udemy.com/course/excel-makro-vba-egitimi-temelden-uzmanliga-kadar/,Kenan Çılman,19.99,11.39,4.6(118 ratings),Office Productivity,,Excel Macros
Macros de Excel y VBA para personas ocupadas,www.udemy.com/course/curso-aprende-macros-vba-de-excel/,Luis Cruz,19.99,11.39,4.4(99 ratings),Office Productivity,,Excel Macros
エクセルのマクロが3時間でわかる！ | 初心者のための講座,www.udemy.com/course/excelvba_beginner/,Re-Start Yamaguchi,24.99,11.39,3.9(146 ratings),Office Productivity,,Excel Macros
Programación Avanzada de Formularios VBA Excel,www.udemy.com/course/programacion-avanzada-de-formularios-vba-excel/,Cristian Silva Alvarez,29.99,11.39,4.6(14 ratings),Office Productivity,,Excel Macros
Macros de Excel para la oficina,www.udemy.com/course/macros-de-excel-para-la-oficina/,Daniel Saldarriaga,29.99,11.39,4.6(60 ratings),Office Productivity,,Excel Macros
Curso Excel Programación en Macros VBA desde cero Especial,www.udemy.com/course/curso-especializado-de-programacion-en-macros-vba-desde-cero/,Cristian Silva Alvarez,29.99,11.39,4.6(9 ratings),Office Productivity,,Excel Macros
DESARROLLA 4 SISTEMAS CRUD CON MACROS VBA EXCEL,www.udemy.com/course/desarrolla-4-sistemas-crud-con-macros-vba-excel/,Edison Aburto,19.99,11.39,4.4(9 ratings),Office Productivity,,Excel Macros
Curso Intensivo de Tablas Dinámicas en Excel,www.udemy.com/course/curso-intensivo-de-tablas-dinamicas/,Oscar Colunga,19.99,11.39,4.0(59 ratings),Office Productivity,,Excel Macros
Protege tus Archivos de Excel con Tiempo de Uso o por PC's,www.udemy.com/course/licencias-temporales-para-tus-archivos-de-excel/,Armando Alfonzo Torres,99.99,11.39,4.1(5 ratings),Office Productivity,,Excel Macros
VBA Macro untuk Pemula,www.udemy.com/course/vba-macro-untuk-pemula/,Jubilee Enterprise,19.99,11.39,4.3(4 ratings),Office Productivity,,Excel Macros
Como crear un sistema de ventas en Excel con VBA,www.udemy.com/course/crea-tu-propio-sistema-de-ventas-en-excel-con-visual-basic/,Oscar Ricardo Hernández Cervantes,19.99,11.39,5.0(1 rating),Office Productivity,,Excel Macros
Excel : FONCTIONS DE RECHERCHE,www.udemy.com/course/excel-fonctions-de-recherche/,Nabran Aboubacar,29.99,11.39,4.5(166 ratings),Office Productivity,,Excel Macros
Macros | Excel Forever,www.udemy.com/course/macros-excelforever/,Everton Pires,24.99,11.39,0.0(0 ratings),Office Productivity,,Excel Macros
Automatizações com Gráficos Dinâmicos do EXCEL,www.udemy.com/course/graficos-dinamicos-do-excel/,CONAENGE .,29.99,11.99,3.5(14 ratings),Office Productivity,,Excel Macros
Programación para Mails Correos Macros Excel VBA,www.udemy.com/course/programacion-especial-macros-excel-vba-para-mails-o-correos/,Cristian Silva Alvarez,29.99,11.39,5.0(1 rating),Office Productivity,,Excel Macros
Macros y Controles en Excel. Automatiza tus procesos.,www.udemy.com/course/macros-y-controles-en-excel-automatiza-tus-procesos/,Nicolas Laczka,54.99,11.39,3.0(16 ratings),Office Productivity,,Excel Macros
Programación para Redes internas en Macros Excel VBA,www.udemy.com/course/programacion-especial-en-macros-excel-vba-para-redes-interna/,Cristian Silva Alvarez,49.99,11.39,4.0(3 ratings),Office Productivity,,Excel Macros
Macros y VBA para Excel desde cero,www.udemy.com/course/macros-y-vba-para-excel-desde-cero/,Wilson Sotelo Galindo,0,Free,"4.0(1,202 ratings)",Office Productivity,,Excel Macros
