Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Excel PRO TIPS: 75+ Tips to go from Excel Beginner to Pro,www.udemy.com/course/microsoft-excel-pro-tips-for-power-users/,Maven Analytics,174.99,11.99,4.6(696 ratings),Office Productivity,,Excel Shortcut
Master Excel Keyboard Shortcuts & Mouse-Free Navigation,www.udemy.com/course/master-excel-keyboard-shortcuts/,Eric Andrews,99.99,11.99,4.7(74 ratings),Office Productivity,,Excel Shortcut
Microsoft Excel - Advanced Excel Tricks that Impress,www.udemy.com/course/microsoft-excel-advanced-excel-tricks-that-impress/,Alan Murray,74.99,11.99,4.7(57 ratings),Office Productivity,,Excel Shortcut
Excel Shortcuts for Management Consultants,www.udemy.com/course/excel-shortcuts-for-management-consultants/,Asen Gyczew,89.99,11.99,4.4(44 ratings),Office Productivity,,Excel Shortcut
"MS Excel - Top Excel Tips, Excel Tricks, Excel Shortcuts",www.udemy.com/course/microsoft-excel-reports-mastering-excel-shortcuts/,Institute of Investment Banking,99.99,11.99,3.7(44 ratings),Office Productivity,,Excel Shortcut
Microsoft Excel From Scratch - For Testers and Developers,www.udemy.com/course/microsoft-excel-training-course/,Vijay Shinde,99.99,11.99,0.0(0 ratings),Office Productivity,,Excel Shortcut
Excel Basic Keyboard Shortcuts (Skills by Drills),www.udemy.com/course/microsoft-excel-essential-skills-by-drills/,Grant Gamble,44.99,11.99,4.4(21 ratings),Office Productivity,,Excel Shortcut
Microsoft Excel Keyboard Shortcuts: A Comprehensive Guide,www.udemy.com/course/microsoft-excel-shortcuts-for-2007-2010-2013-2016/,The ProductivityMe Company,39.99,11.99,4.1(39 ratings),Office Productivity,,Excel Shortcut
The Ultimate Excel shortcuts guide,www.udemy.com/course/excel-shortcuts-course/,Deepak Chandran,19.99,11.99,4.4(56 ratings),Office Productivity,,Excel Shortcut
"Excel Using Only Keyboard- Advance Shortcuts,Tips & Tricks",www.udemy.com/course/excel-using-only-keyboard/,Himanshu Verma,49.99,11.99,4.5(15 ratings),Office Productivity,,Excel Shortcut
Mastering Microsoft Excel Date and Time,www.udemy.com/course/mastering-microsoft-excel-date-and-time/,Institute of Investment Banking,99.99,11.99,4.2(51 ratings),Office Productivity,,Excel Shortcut
Microsoft Excel: 10 Useful Keyboard Shortcuts for Beginners,www.udemy.com/course/microsoft-excel-excel-keyboard-shortcuts/,The ProductivityMe Company,39.99,11.99,4.3(51 ratings),Office Productivity,,Excel Shortcut
Microsoft Excel Beginner Course - Introduction Excel,www.udemy.com/course/microsoft-excel-beginner-course-introduction-excel/,Deepali Sharma,19.99,11.99,4.0(5 ratings),Office Productivity,,Excel Shortcut
Excel shortcuts Master - Increase speed by 100%,www.udemy.com/course/excel-shortcuts-for-beginner-start-with-0-experience/,Derek Humble,19.99,11.99,3.5(9 ratings),Office Productivity,,Excel Shortcut
Tips and tricks to save your time in MS Excel,www.udemy.com/course/tips-and-tricks-to-save-your-time-in-ms-excel/,Karel Kohout,19.99,11.99,3.8(10 ratings),Office Productivity,,Excel Shortcut
Powerful shortcuts in Excel,www.udemy.com/course/powerful-shortcuts-in-excel/,Hossam Khalaf,19.99,11.99,0.0(0 ratings),Office Productivity,,Excel Shortcut
