Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Microsoft Excel - Excel from Beginner to Advanced,www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,Kyle Pew,149.99,11.99,"4.6(83,428 ratings)",Office Productivity,,Excel
Microsoft Excel - Data Analysis with Excel Pivot Tables,www.udemy.com/course/data-analysis-with-excel-pivot-tables/,Maven Analytics,174.99,11.99,"4.6(11,805 ratings)",Office Productivity,,Excel
Beginner to Pro in Excel: Financial Modeling and Valuation,www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,365 Careers,194.99,11.99,"4.5(17,358 ratings)",Office Productivity,,Excel
"Microsoft Excel - Data Visualization, Excel Charts & Graphs",www.udemy.com/course/advanced-excel-charts-graphs/,Maven Analytics,174.99,11.99,"4.5(4,854 ratings)",Office Productivity,,Excel
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3",www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/,Alan Jarvis,199.99,11.99,"4.5(11,260 ratings)",Office Productivity,,Excel
Excel Essentials for the Real World (Complete Excel Course),www.udemy.com/course/microsoft-excel-essentials/,Leila Gharani,174.99,11.99,4.7(652 ratings),Office Productivity,,Excel
The Ultimate Excel Programmer Course,www.udemy.com/course/ultimate-excel-programmer/,Daniel Strong,199.99,11.99,"4.5(10,976 ratings)",Office Productivity,,Excel
Microsoft Excel for Project Management  - Earn 5 PDUs,www.udemy.com/course/microsoft-excel-for-project-management/,Joseph Phillips,49.99,11.99,"4.3(2,784 ratings)",Office Productivity,,Excel
Excel PRO TIPS: 75+ Tips to go from Excel Beginner to Pro,www.udemy.com/course/microsoft-excel-pro-tips-for-power-users/,Maven Analytics,174.99,11.99,4.6(696 ratings),Office Productivity,,Excel
Microsoft Excel - From Beginner to Expert in 6 Hours,www.udemy.com/course/thebestexcel/,Todd McLeod,24.99,11.99,"4.4(11,798 ratings)",Office Productivity,,Excel
Data Analysis Essentials Using Excel,www.udemy.com/course/business-data-analysis-excel/,Symon He,194.99,11.99,"4.5(2,057 ratings)",Office Productivity,,Excel
Excel Crash Course: Master Excel for Financial Analysis,www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Tim Vipond,44.99,11.99,"4.5(2,491 ratings)",Office Productivity,,Excel
Excel to Access: Intro to Microsoft Access for Excel Users,www.udemy.com/course/import-excel-into-access/,Bruce Myron,199.99,11.99,"4.6(2,556 ratings)",Office Productivity,,Excel
Master Google Sheets (and see why it's better than Excel),www.udemy.com/course/google-spreadsheet-tutorial/,Justin Mares,174.99,11.99,"4.3(1,953 ratings)",Office Productivity,,Excel
Statistics for Data Analysis Using Excel 2016,www.udemy.com/course/statistics-using-excel/,Sandeep Kumar ­,134.99,11.99,4.5(899 ratings),Office Productivity,,Excel
Master Microsoft Excel - Excel from Beginner to Advanced,www.udemy.com/course/microsoft-excel-2016-excel-from-beginner-to-advanced/,Kirt Kershaw,149.99,11.99,4.5(278 ratings),Office Productivity,,Excel
Excel 2016 - The Complete Excel Mastery Course for Beginners,www.udemy.com/course/how-to-use-microsoft-excel-beginning-to-advanced-tutorials/,Steve McDonald,99.99,16.79,"4.6(3,478 ratings)",Office Productivity,,Excel
Microsoft Excel - Excel with The Ultimate Excel Course,www.udemy.com/course/excel-with-the-ultimate-microsoft-excel-course/,Steve McDonald,189.99,16.79,"4.5(1,073 ratings)",Office Productivity,,Excel
