Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Complete Filmmaker Guide: Become an Incredible Video Creator,www.udemy.com/course/incrediblevideocreator/,Julian Melanson,199.99,11.99,"4.4(2,040 ratings)",Photography,,Filmmaking
Make Epic Videos for the Internet!,www.udemy.com/course/make-epic-videos-for-the-internet/,Gene Nagata,0,49.99,4.7(769 ratings),Photography,,Filmmaking
Learn to Storyboard for Film or Animation,www.udemy.com/course/storyboard-for-film-or-animation/,Siobhan Twomey,99.99,11.99,4.5(367 ratings),Photography,,Filmmaking
Hollywood Film School: Filmmaking & TV Directing Masterclass,www.udemy.com/course/hollywood-film-television-video-directing-filmmaker/,IFH Courses,174.99,11.99,4.4(705 ratings),Photography,,Filmmaking
Documentary Filmmaking Masterclass,www.udemy.com/course/documentary-filmmaking-masterclass/,Jonny Von Wallström,99.99,11.99,4.2(329 ratings),Photography,,Filmmaking
"Filmmaking: Write, Direct and Distribute Your Feature Film",www.udemy.com/course/indiefilmmaking/,Paul Bright,199.99,11.99,4.5(276 ratings),Photography,,Filmmaking
How To Make A Living Making Films: Business Of Filmmaking,www.udemy.com/course/how-to-earn-6-figures-making-films-business-of-filmmaking/,Matti Haapoja,94.99,23.75,4.2(421 ratings),Photography,,Filmmaking
Filmmaking in a Box: Indie Feature Film Masterclass,www.udemy.com/course/filmmaker-in-a-box-filmmaking-video-production/,IFH Courses,99.99,11.99,3.9(79 ratings),Photography,,Filmmaking
DSLR Filmmaking: From Beginner to PRO!,www.udemy.com/course/dslr-filmmaking-beginner-pro/,Jordy Vandeput,69.99,11.99,4.5(512 ratings),Photography,,Filmmaking
Start Your Filmmaking Career: A Video Production Course,www.udemy.com/course/start-a-filmmaking-career/,Julian Melanson,199.99,11.99,4.3(251 ratings),Photography,,Filmmaking
Filmmaking Secrets! Write a ZERO Budget Movie|Master Course,www.udemy.com/course/screenwriting-a-movie-for-zero-budget-master-course/,Craig McMahon,49.99,11.99,4.8(169 ratings),Photography,,Filmmaking
Movie Directing Made Simple: How To Direct Movies,www.udemy.com/course/how-to-direct-movies/,Leslie Lello,199.99,11.99,4.5(21 ratings),Photography,,Filmmaking
The Beginner's Course in Film Making and Video Production,www.udemy.com/course/erickvonschulz/,Erick Von Schulz,199.99,11.99,3.4(141 ratings),Photography,,Filmmaking
Apple Motion 5 : Create Titles for Final Cut X,www.udemy.com/course/motion5_titles/,James Rickards,29.99,11.99,4.8(10 ratings),Photography,,Filmmaking
Storytelling Through Video for Filmmaking Enthusiasts,www.udemy.com/course/storytellingthroughvideo/,Jun Ng,74.99,11.99,4.3(25 ratings),Photography,,Filmmaking
Film Festival Guide: Learn How To Submit Your Film Worldwide,www.udemy.com/course/film-festival-guide/,Daniels Joffe,49.99,11.99,3.8(15 ratings),Photography,,Filmmaking
Film Festival Hacks: How to Submit to Festivals Like a Pro,www.udemy.com/course/film-festival-hacks-filmmaking/,IFH Courses,174.99,11.39,3.6(65 ratings),Photography,,Filmmaking
Documentary Filmmaking - Concept to Creation for Documentary,www.udemy.com/course/documentary-filmmaking-concept-to-creation-for-documentary/,James Buffin,129.99,11.39,4.0(17 ratings),Photography,,Filmmaking
How to Shoot & Direct an Indie Feature Film in 24 Hours,www.udemy.com/course/how-to-shoot-direct-an-feature-film-filmmaking-video-production/,IFH Courses,174.99,11.39,4.1(17 ratings),Photography,,Filmmaking
DSLR Filmmaking Masterclass: Learn to Shoot & Tell a Story,www.udemy.com/course/fundamentals-of-filmmaking/,Mitchell Bouchard,189.99,11.39,4.0(26 ratings),Photography,,Filmmaking
Movie Producing Made Simple: Make a Short Film in 30 Days,www.udemy.com/course/hey-actors-get-the-starring-roll-produce-your-own-movie/,Leslie Lello,199.99,11.39,4.0(80 ratings),Photography,,Filmmaking
Digital Marketing for Filmmaking: Learn to Sell Your Film,www.udemy.com/course/digital-marketing-for-filmmaking-masterclass-film-school/,IFH Courses,174.99,11.39,4.6(12 ratings),Photography,,Filmmaking
