Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Python for Finance: Investment Fundamentals & Data Analytics,www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,194.99,13.19,"4.5(9,486 ratings)",Finance & Accounting,,Finance Fundamentals
"Introduction to Finance, Accounting, Modeling and Valuation",www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,Chris Haroun,199.99,18.59,"4.4(9,795 ratings)",Finance & Accounting,,Finance Fundamentals
Python for Financial Analysis and Algorithmic Trading,www.udemy.com/course/python-for-finance-and-trading-algorithms/,Jose Portilla,194.99,13.79,"4.5(9,045 ratings)",Finance & Accounting,,Finance Fundamentals
Manage Finance Data with Python & Pandas: Unique Masterclass,www.udemy.com/course/finance-data-with-python-and-pandas/,Alexander Hagmann,199.99,13.19,4.7(91 ratings),Finance & Accounting,,Finance Fundamentals
The Complete Introduction To Accounting and Finance,www.udemy.com/course/finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",199.99,14.39,4.4(524 ratings),Finance & Accounting,,Finance Fundamentals
Finance for Non Finance Executives,www.udemy.com/course/finance-for-non-finance-executives/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,13.19,4.2(193 ratings),Finance & Accounting,,Finance Fundamentals
The Complete Advanced Accounting and Finance Course,www.udemy.com/course/advanced-finance-and-accounting-for-startups/,"Chris Benjamin, MBA & CFO",149.99,13.19,4.2(52 ratings),Finance & Accounting,,Finance Fundamentals
Canadian Securities Course (CSC) tutorials,www.udemy.com/course/prep-for-canadian-securities-course-csc/,EduFinWizards Edu,44.99,11.39,3.9(69 ratings),Finance & Accounting,,Finance Fundamentals
Finance for Non-Finance: Learn Quick and Easy,www.udemy.com/course/finance-for-non-financials-make-profitable-decisions/,Anthony Jameson,19.99,11.99,4.4(443 ratings),Finance & Accounting,,Finance Fundamentals
FinTech - Prepare for the revolution in Finance,www.udemy.com/course/fintech-prepare-for-the-revolution-in-finance/,Tanuja Yadav,49.99,11.39,4.0(65 ratings),Finance & Accounting,,Finance Fundamentals
Financial Modeling: Build Your Own Stock Valuation System,www.udemy.com/course/stock-valuation-using-multiples/,Fervent #LearnWithDistinction,149.99,13.19,4.4(22 ratings),Finance & Accounting,,Finance Fundamentals
"Budgets, Cashflow Forecasting and Management Accounts",www.udemy.com/course/budgets-cashflow-forecasting-and-management-accounts/,Lisa Newton,29.99,13.19,4.3(63 ratings),Finance & Accounting,,Finance Fundamentals
Basics of Business Finance,www.udemy.com/course/basics-of-business-finance/,Binny Mathews,29.99,13.19,4.0(156 ratings),Finance & Accounting,,Finance Fundamentals
Business Administration for Your Business - BUS102,www.udemy.com/course/micro-mba-program-for-everyone-learn-with-erik-and-susan/,Animate U,19.99,11.39,4.6(539 ratings),Finance & Accounting,,Finance Fundamentals
Introduction to Sarbanes Oxley (SOX),www.udemy.com/course/sarbanes-oxley-sox-overview/,Illumeo Learning,74.99,13.19,3.9(107 ratings),Finance & Accounting,,Finance Fundamentals
The Complete Financial Statement Analysis Course,www.udemy.com/course/the-complete-financial-statement-analysis-course/,Andrew P.C.,149.99,11.99,3.5(110 ratings),Finance & Accounting,,Finance Fundamentals
Fundamental Market Analysis with Python,www.udemy.com/course/fundamental-market-analysis-with-python/,Manuel Amunategui,0,99.99,4.9(9 ratings),Finance & Accounting,,Finance Fundamentals
M&A Due Diligence Best Practices,www.udemy.com/course/ma-due-diligence-best-practices/,Illumeo Learning,49.99,11.39,3.9(50 ratings),Finance & Accounting,,Finance Fundamentals
"Accounting, Finance and Banking - A Comprehensive Study",www.udemy.com/course/accounting-finance-and-banking-a-comprehensive-study/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.99,3.7(156 ratings),Finance & Accounting,,Finance Fundamentals
Understand Core Finance Principles in 60 Minutes,www.udemy.com/course/core-finance-principles-in-60-minutes/,Illumeo Learning,74.99,11.39,4.1(469 ratings),Finance & Accounting,,Finance Fundamentals
The Personal Finance and Wealth Management Masterclass,www.udemy.com/course/private-wealth-management/,Raj Gupta,199.99,11.39,4.5(32 ratings),Finance & Accounting,,Finance Fundamentals
Finance Fundamentals: Project Evaluation with NPV,www.udemy.com/course/finance-fundamentals-project-evaluation-with-npv/,Minh Pham,24.99,11.39,4.6(54 ratings),Finance & Accounting,,Finance Fundamentals
Business Finance: A Complete Introduction,www.udemy.com/course/business-finance-a-complete-introduction/,Ray Harkins,74.99,11.39,4.2(27 ratings),Finance & Accounting,,Finance Fundamentals
Trading Basics: Cryptocurrency Technical Analysis,www.udemy.com/course/trading-basics-cryptocurrency/,Sam Capizzi,24.99,11.39,4.3(44 ratings),Finance & Accounting,,Finance Fundamentals
Understanding Financial Derivatives,www.udemy.com/course/understanding-financial-derivatives/,Manohar V Dansingani,59.99,11.39,3.9(70 ratings),Finance & Accounting,,Finance Fundamentals
CFA Corporate Finance Level 2,www.udemy.com/course/advanced-capital-budgeting-techniques/,"Raja Natarajan, B.Com., PGDBA, FCA",199.99,11.39,3.6(15 ratings),Finance & Accounting,,Finance Fundamentals
Finance Mastery: Mind Techniques for Increasing Abundance,www.udemy.com/course/finance-mastery-mind-techniques-for-increasing-abundance/,David Childerley,199.99,11.39,4.8(62 ratings),Finance & Accounting,,Finance Fundamentals
Fundamental Financial Math,www.udemy.com/course/fundamental-financial-math/,Starweaver Group,24.99,11.39,4.3(112 ratings),Finance & Accounting,,Finance Fundamentals
