Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete Financial Analyst Course 2019,www.udemy.com/course/the-complete-financial-analyst-course/,365 Careers,194.99,11.99,"4.5(24,725 ratings)",Business,,Financial Analysis
The Complete Financial Analyst Training & Investing Course,www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,Chris Haroun,199.99,11.99,"4.5(10,983 ratings)",Business,,Financial Analysis
Investment Analysis & Portfolio Management - Core Finance,www.udemy.com/course/investment-analysis-portfolio-management/,Fervent #LearnWithDistinction,179.99,11.99,4.5(402 ratings),Business,,Financial Analysis
Excel Crash Course: Master Excel for Financial Analysis,www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,Tim Vipond,44.99,11.99,"4.5(2,491 ratings)",Business,,Financial Analysis
CFA Level 1 (2020) - Complete Alternative Investments,www.udemy.com/course/cfa-level-1-complete-alternative-investments/,"PrepNuggets | Keith Tan, CFA",39.99,11.99,4.5(164 ratings),Business,,Financial Analysis
How to Analyze a Wholesale Deal in Real Estate,www.udemy.com/course/wholesaling-investment-analysis/,Symon He,174.99,11.99,4.6(214 ratings),Business,,Financial Analysis
The Credit Analyst Training course,www.udemy.com/course/the-credit-analyst-skills-training-cast-course/,Ashish Agarwal,74.99,11.99,4.1(764 ratings),Business,,Financial Analysis
Finance Training for Financial Analysts,www.udemy.com/course/the-financial-analyst-skills-training-fast-course-2017/,Ashish Agarwal,144.99,11.99,4.2(469 ratings),Business,,Financial Analysis
Investment Analysis & Portfolio Management (with Python),www.udemy.com/course/investment-analysis-portfolio-management-with-python/,Fervent #LearnWithDistinction,199.99,11.99,4.5(3 ratings),Business,,Financial Analysis
"Excel, Fin Analysis, Valuation and Financial Modeling 2019",www.udemy.com/course/excel-fin-analysis-valuation-and-financial-modeling-bundle/,Institute of Investment Banking,199.99,11.99,3.8(303 ratings),Business,,Financial Analysis
Learn to be a Financial Analyst,www.udemy.com/course/learn-to-be-a-financial-analyst/,Adriane Hernandez,24.99,11.99,4.4(309 ratings),Business,,Financial Analysis
Corporate Finance 101: Financial Statement Analysis & Ratios,www.udemy.com/course/corp-fin-101-fsa-ratios/,Loony Corn,99.99,11.99,4.2(84 ratings),Business,,Financial Analysis
How to Use the Top 11 Real Estate Fin Ratios in the Best Way,www.udemy.com/course/how-to-use-the-top-11-real-estate-fin-ratios-in-the-best-way/,Svetoslav Deltchev,159.99,11.99,4.5(11 ratings),Business,,Financial Analysis
Accounting 101: Understanding & Analyzing Balance Sheets,www.udemy.com/course/learn-about-balance-sheets-how-to-read-interpret-analyze/,"Chris Benjamin, MBA & CFO",19.99,11.99,4.0(17 ratings),Business,,Financial Analysis
Complete analysis of Financial Statements and Key Ratios,www.udemy.com/course/complete-analysis-of-financial-statements-and-key-ratios/,Joshua Gujjarlamudi,189.99,11.99,3.8(22 ratings),Business,,Financial Analysis
"Income Statement Reading, Interpretation & Analysis in 2020",www.udemy.com/course/interpreting-and-analyzing-year-end-income-statements-basics/,"Chris Benjamin, MBA & CFO",49.99,11.99,4.5(25 ratings),Business,,Financial Analysis
The Complete Masterclass: Financial Statement Ratio Analysis,www.udemy.com/course/learn-financial-ratio-analysis-in-excel-top-15-ratios/,"Chris Benjamin, MBA & CFO",149.99,11.99,3.8(19 ratings),Business,,Financial Analysis
Financial Statement Analysis A Complete Study,www.udemy.com/course/financial-statement-analysis-a-complete-study/,"Raja Natarajan, B.Com., PGDBA, FCA",149.99,11.99,3.7(2 ratings),Business,,Financial Analysis
Practical Financial Statement Analysis,www.udemy.com/course/practical-financial-statement-analysis/,Jason Williams,74.99,11.99,3.9(62 ratings),Business,,Financial Analysis
Analyse and interpret hotels overall financial statements,www.udemy.com/course/analyse-and-interpret-hotels-overall-financial-statements/,Hotel Management School Your learning Partner,149.99,11.99,3.0(1 rating),Business,,Financial Analysis
Project Finance and Financial Modeling in Excel,www.udemy.com/course/project-finance-and-financial-modeling-in-excel/,Institute of Investment Banking,99.99,11.99,1.8(33 ratings),Business,,Financial Analysis
Investment and Technical Analysis Methods on Stock Markets,www.udemy.com/course/investment-and-technical-analysis-methods/,Mustafa Küçükakarsu,99.99,11.99,4.5(25 ratings),Business,,Financial Analysis
Stock Market Investment: Applied Financial analysis,www.udemy.com/course/stock-market-investment-applied-financial-analysis/,Knowledge Pursue,199.99,11.99,3.7(17 ratings),Business,,Financial Analysis
Financial analysis: Compare performance of companies,www.udemy.com/course/financial-performance-analysis/,Ashish Agarwal,49.99,11.99,4.4(80 ratings),Business,,Financial Analysis
Financial Analytics - Introduction,www.udemy.com/course/financial-analytics-introduction/,Jigsaw Academy,19.99,11.99,0.0(0 ratings),Business,,Financial Analysis
Master Analyzing Hotel Income Statement - Rooms Department,www.udemy.com/course/hotel-income-statement-rooms-department/,Hotel Management School Your learning Partner,44.99,11.99,0.0(0 ratings),Business,,Financial Analysis
