Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Beginner to Pro in Excel: Financial Modeling and Valuation,www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/,365 Careers,194.99,20.99,"4.5(17,358 ratings)",Business,,Financial Modeling
Investment Analysis & Portfolio Management - Core Finance,www.udemy.com/course/investment-analysis-portfolio-management/,Fervent #LearnWithDistinction,179.99,13.19,4.5(402 ratings),Business,,Financial Modeling
Financial Modeling for Startups & Small Businesses,www.udemy.com/course/financial-modeling-for-startups-small-businesses/,Evan Kimbrell,194.99,11.39,"4.4(1,732 ratings)",Business,,Financial Modeling
The Real Estate Pro Forma Modeling Master Class,www.udemy.com/course/the-real-estate-pro-forma-modeling-master-class/,Justin Kivel,199.99,12.59,4.8(565 ratings),Business,,Financial Modeling
Financial Modeling: Build a Complete DCF Valuation Model,www.udemy.com/course/learn-how-to-value-a-company-and-build-a-dcf-model/,365 Careers,94.99,14.99,"4.4(1,640 ratings)",Business,,Financial Modeling
Financial modeling | Project Finance & Infrastructure | 2018,www.udemy.com/course/financial-modeling-project-finance-infrastructure/,DealMaker Financial Training,119.99,30.00,4.3(688 ratings),Business,,Financial Modeling
Financial modeling | Renewable Energy: Solar & Wind | 2018,www.udemy.com/course/financial-modeling-solar-wind-power-plants-2018/,DealMaker Financial Training,119.99,30.00,4.4(347 ratings),Business,,Financial Modeling
Introduction to Financial Modeling for Beginners,www.udemy.com/course/intro-to-financial-modeling/,Symon He,104.99,13.19,4.4(903 ratings),Business,,Financial Modeling
Financial Budgeting and Forecasting In Excel Complete Course,www.udemy.com/course/financial-modeling-in-excel-for-startups/,"Chris Benjamin, MBA & CFO",199.99,13.19,3.9(233 ratings),Business,,Financial Modeling
Financial Modeling for Business Analysts and Consultants,www.udemy.com/course/financial-modeling-for-business-analysts-and-consultants/,Asen Gyczew,94.99,13.19,4.3(341 ratings),Business,,Financial Modeling
Financial Modeling for Algorithmic Trading using Python,www.udemy.com/course/financial-modeling-for-algorithmic-trading-using-python/,Packt Publishing,199.99,11.39,4.3(16 ratings),Business,,Financial Modeling
Equity Research & Financial Modeling,www.udemy.com/course/fv-financial-modeling/,ForeVision Academy,0,49.99,4.3(54 ratings),Business,,Financial Modeling
"Excel, Fin Analysis, Valuation and Financial Modeling 2019",www.udemy.com/course/excel-fin-analysis-valuation-and-financial-modeling-bundle/,Institute of Investment Banking,199.99,13.19,3.8(303 ratings),Business,,Financial Modeling
The Complete Financial Model Builder Course-Build 7 Models,www.udemy.com/course/the-complete-financial-model-builder-course-build-7-models/,Andrew de Bruyn,74.99,13.19,3.9(110 ratings),Business,,Financial Modeling
Financial Modeling for Startups,www.udemy.com/course/financial-modeling-for-startups/,Asen Gyczew,89.99,11.39,4.4(58 ratings),Business,,Financial Modeling
Build Financial Models & Value Companies The Easy Way,www.udemy.com/course/build-basic-financial-models-valuation-companies-the-easy-way/,Chris Haroun,19.99,11.99,4.4(216 ratings),Business,,Financial Modeling
Remove Wealth Blocks & Create Abundance 30 Day Challenge,www.udemy.com/course/remove-financial-blocks-create-abundance-30-day-challenge/,Marisa Russo,74.99,11.99,4.6(10 ratings),Business,,Financial Modeling
Financial Modeling: Build Your Own Stock Valuation System,www.udemy.com/course/stock-valuation-using-multiples/,Fervent #LearnWithDistinction,149.99,11.99,4.4(22 ratings),Business,,Financial Modeling
Real Estate Financial Modeling - The Complete Guide,www.udemy.com/course/real-estate-financial-modeling-the-complete-guide/,Nate @ Wisdify,44.99,11.99,4.8(72 ratings),Business,,Financial Modeling
Practical Financial Modeling - building a model of Google,www.udemy.com/course/practical-financial-modeling/,CorpFin Pro,19.99,11.99,4.5(11 ratings),Business,,Financial Modeling
Financial Modeling and Valuation: Complete Beginner to Pro,www.udemy.com/course/financial-modeling-and-valuation-complete-beginner-to-pro/,iBanking Training,94.99,11.99,3.1(116 ratings),Business,,Financial Modeling
Return on Investment (ROI) Modeling and Analysis,www.udemy.com/course/return-on-investment-roi-analysis/,Ray Harkins,24.99,11.99,4.4(31 ratings),Business,,Financial Modeling
Creating a Financial Plan for Your Business,www.udemy.com/course/financial-plan/,Ken Burke,149.99,11.99,4.7(42 ratings),Business,,Financial Modeling
AI for Finance,www.udemy.com/course/ai-for-finance/,Packt Publishing,124.99,11.99,3.4(14 ratings),Business,,Financial Modeling
Financial modeling: Build a forward looking integrated model,www.udemy.com/course/how-to-make-an-integrated-financial-model/,Ashish Agarwal,49.99,11.99,4.3(83 ratings),Business,,Financial Modeling
Financial Analysis Masterclass for Financial Analysts,www.udemy.com/course/financial-modeling-and-equity-research-hands-on/,Institute of Investment Banking,99.99,11.99,3.4(15 ratings),Business,,Financial Modeling
Financial Modeling & DCF Valuation Model: Investment Banking,www.udemy.com/course/financial-modeling-dcf-valuation-model-investment-banking/,Jean-Gabriel Paquette,184.99,11.99,3.1(126 ratings),Business,,Financial Modeling
