Course,URL,instructor,Price (full),Price (discount),Rank
Complete Fitness Trainer Certification: Beginner To Advanced,www.udemy.com/course/complete-fitness-trainer-certification-beginner-to-advanced/,Felix Harder,199.99,16.19,"4.5(1,018 ratings)"
Internationally Accredited Diploma Certificate in Fitness,www.udemy.com/course/internationally-accredited-diploma-certificate-in-fitness/,Akash Sehrawat,199.99,11.39,"4.4(1,094 ratings)"
Build Your SuperHuman Body: Become Your Own Personal Trainer,www.udemy.com/course/build-your-superhuman-body-become-your-own-personal-trainer/,Jonathan Levi,74.99,11.39,4.3(23 ratings)
Fitness Trainer Certification: Gym Workouts & Bodybuilding,www.udemy.com/course/fitness-trainer-certification-gym-workouts-bodybuilding/,Felix Harder,149.99,15.59,4.6(139 ratings)
Lazy Dancer Ballet Burn - 30 Days Fitness Ballet Programme,www.udemy.com/course/lazy-dancer-ballet-burn/,Alessia Lugoboni,24.99,11.39,4.7(143 ratings)
Accredited Barre Teacher Training Program,www.udemy.com/course/barre-teacher-training/,Callie Kim,0,199.99,5.0(1 rating)
Use Your Health & Fitness Expertise to Earn A Living Online,www.udemy.com/course/create-online-health-fitness-business/,Dave Smith,49.99,11.39,4.4(246 ratings)
15 Minute Hell: The Ultimate Bodyweight Workout For Warriors,www.udemy.com/course/15-minute-hell/,Chris Pizzo,99.99,12.59,4.2(304 ratings)
Learn Secret Chinese Exercises: Live energized & happy now,www.udemy.com/course/learn-secret-chinese-exercises-live-energized-happy-now/,Peter Caughey,59.99,11.39,4.7(192 ratings)
"Treat lower back in swimming, swim 1k freestyle",www.udemy.com/course/learn-to-swim-freestyle-west/,Ori Sela,64.99,11.39,4.6(131 ratings)
Personal Training Masterclass: Your Complete Training Plan,www.udemy.com/course/personal-training-masterclass-complete-training-plan/,"Jen Puzio, Certified Personal Trainer",199.99,11.39,4.6(62 ratings)
Calisthenics Masterclass for Beginners,www.udemy.com/course/calisthenics-mastery-course-for-beginners/,Arash Sohrabie,99.99,11.39,4.6(97 ratings)
Climber Yoga: 20-Minute Flexibility Routines for Climbers,www.udemy.com/course/climberyoga/,Elan Solveson,49.99,11.39,4.8(116 ratings)
The Beginner's Guide to Bodyweight Training,www.udemy.com/course/bodyweightexercises101/,Charles Smith,49.99,11.39,4.8(41 ratings)
