Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
3 Minute French - Course 1 | Language lessons for beginners,www.udemy.com/course/3-minute-french-full-course-1/,Kieran Ball,199.99,11.99,"4.6(3,213 ratings)",Teaching & Academics,,French Language
3 Minute French - Course 2 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-2/,Kieran Ball,199.99,11.39,4.6(524 ratings),Teaching & Academics,,French Language
Practice and Perfect your French - Intermediate Level (HD),www.udemy.com/course/intermediate-french-master-the-past-tenses/,Anne Le Grand,99.99,11.39,"4.7(1,004 ratings)",Teaching & Academics,,French Language
Sound Like a Native - French Pronunciation Full Course (HD),www.udemy.com/course/frenchpronunciation/,Anne Le Grand,99.99,11.39,4.7(598 ratings),Teaching & Academics,,French Language
Français Intensif - Intensive French Course for Beginners,www.udemy.com/course/francais-intensif-intensive-french-course-for-beginners/,Kamil Pakula,29.99,11.39,4.5(540 ratings),Teaching & Academics,,French Language
3 Minute French - Course 3 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-3/,Kieran Ball,199.99,11.39,4.7(216 ratings),Teaching & Academics,,French Language
The French Subjunctive - Full Course - Intermediate Level,www.udemy.com/course/french-subjunctive/,Anne Le Grand,99.99,13.19,4.8(194 ratings),Teaching & Academics,,French Language
French for Beginners : Level 1,www.udemy.com/course/french-for-beginner-course-level-1/,French Toast,24.99,11.39,"4.6(1,236 ratings)",Teaching & Academics,,French Language
3 Minute French - Course 4 | Language lessons for beginners,www.udemy.com/course/3-minute-french-course-4/,Kieran Ball,199.99,11.39,4.5(129 ratings),Teaching & Academics,,French Language
Français Intensif - Intensive French Intermediate Level,www.udemy.com/course/francais-intensif-intensive-french-intermediate-level/,Kamil Pakula,34.99,11.39,4.3(81 ratings),Teaching & Academics,,French Language
"French for you, French course for beginners and intermediate",www.udemy.com/course/french-for-you-course-for-beginners-and-false-beginners/,Michel Cioffi,49.99,12.50,4.3(15 ratings),Teaching & Academics,,French Language
Conversational French Made Easy,www.udemy.com/course/conversational-french-made-easy/,Esteban Perez Rodriguez,144.99,12.59,4.7(781 ratings),Teaching & Academics,,French Language
3 Minute French - Course 5 | French lessons for beginners,www.udemy.com/course/3-minute-french-course-5/,Kieran Ball,199.99,11.39,4.8(38 ratings),Teaching & Academics,,French Language
