Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Learn German Language: Complete German Course - Beginners,www.udemy.com/course/german-course-for-beginners-learn-german/,AbcEdu Online,199.99,11.99,"4.3(4,065 ratings)",Teaching & Academics,,German Language
Learn German Language: Complete German Course - Intermediate,www.udemy.com/course/german-language-course-intermediate/,AbcEdu Online,199.99,11.99,4.4(400 ratings),Teaching & Academics,,German Language
German Made Simple: A Complete Course for Serious Learners,www.udemy.com/course/german-made-simple/,Ingo Depner,199.99,11.99,"4.5(2,892 ratings)",Teaching & Academics,,German Language
Learn German Language: German Course - Upper Intermediate,www.udemy.com/course/german-language-course-upper-intermediate/,AbcEdu Online,199.99,11.99,4.3(113 ratings),Teaching & Academics,,German Language
German for beginners (A1 - Part 1/5),www.udemy.com/course/germanforbeginners-part1/,Juliane Klingenberg Nery,99.99,11.99,4.6(924 ratings),Teaching & Academics,,German Language
German B1 - Intermediate German,www.udemy.com/course/german-b1-intermediate-german/,Julia Krist,79.99,11.99,4.5(160 ratings),Teaching & Academics,,German Language
German Language A1: Learn German For Beginners!,www.udemy.com/course/deutsch-a1-1/,Julia Krist,79.99,11.99,4.4(271 ratings),Teaching & Academics,,German Language
German for beginners (A1 - Part 2/5),www.udemy.com/course/germanforbeginners-part2/,Juliane Klingenberg Nery,99.99,11.99,4.7(164 ratings),Teaching & Academics,,German Language
Learn German for Beginners:An Immersive Language Journey A1+,www.udemy.com/course/learn-german-immersive/,Germanix Learning,119.99,11.99,4.7(436 ratings),Teaching & Academics,,German Language
Deutsch Intensiv - Intensive German Course for Beginners,www.udemy.com/course/deutsch-intensiv-intensive-german-course-for-beginners/,Kamil Pakula,24.99,11.99,4.4(667 ratings),Teaching & Academics,,German Language
Best way to learn German -  Full Beginner Course (A1),www.udemy.com/course/best-way-to-learn-german-full-beginner-starter-kit/,Sandra 11Percent,164.99,11.99,4.6(382 ratings),Teaching & Academics,,German Language
Speak German like a Native: A Practical Conversation Course,www.udemy.com/course/speak-german-like-a-native-german-conversation/,Ingo Depner,149.99,11.99,4.3(366 ratings),Teaching & Academics,,German Language
German for beginners (A1 - Part 3/5),www.udemy.com/course/germanforbeginners-part3/,Juliane Klingenberg Nery,99.99,11.99,4.6(69 ratings),Teaching & Academics,,German Language
3 Minute German - Course 1 | Language lessons for beginners,www.udemy.com/course/3-minute-german-full-course-1/,Kieran Ball,199.99,11.99,4.6(513 ratings),Teaching & Academics,,German Language
German for beginners (A1 - Part 4/5),www.udemy.com/course/germanforbeginners-part4/,Juliane Klingenberg Nery,119.99,11.99,4.9(46 ratings),Teaching & Academics,,German Language
German for beginners (A1 - Part 5/5),www.udemy.com/course/germanforbeginners-part5/,Juliane Klingenberg Nery,99.99,11.99,4.8(25 ratings),Teaching & Academics,,German Language
German Pronunciation Masterclass,www.udemy.com/course/german-pronunciation/,Ingo Depner,199.99,11.39,4.6(39 ratings),Teaching & Academics,,German Language
German for You: a German Language Course for Beginners A1/A2,www.udemy.com/course/german-for-you-a-german-language-course-for-beginners/,Esther Hartwig,19.99,11.39,4.5(28 ratings),Teaching & Academics,,German Language
Perfect Your German: Tips & Tricks to Avoid Common Mistakes,www.udemy.com/course/perfect-your-german/,Ingo Depner,149.99,11.39,4.6(838 ratings),Teaching & Academics,,German Language
3 Minute German - Course 2 | Language lessons for beginners,www.udemy.com/course/3-minute-german-course-2/,Kieran Ball,199.99,11.39,4.2(80 ratings),Teaching & Academics,,German Language
German Course 1 | The Easy Way to Learn German,www.udemy.com/course/german-course-1/,Marcus Fritzsche,99.99,11.39,4.5(5 ratings),Teaching & Academics,,German Language
"German for You: Grammar A2 B1, Elementary to Intermediate",www.udemy.com/course/german-grammar-explained-intermediate/,Esther Hartwig,19.99,11.39,4.1(18 ratings),Teaching & Academics,,German Language
German Course 2 | The Easy Way to Learn German,www.udemy.com/course/german-course-2-the-easy-way-to-learn-german/,Marcus Fritzsche,129.99,11.39,4.6(4 ratings),Teaching & Academics,,German Language
3 Minute German - Course 3,www.udemy.com/course/3-minute-german-course-3/,Kieran Ball,199.99,11.39,4.8(25 ratings),Teaching & Academics,,German Language
3 Minute German - Course 4,www.udemy.com/course/3-minute-german-course-4/,Kieran Ball,199.99,11.39,4.9(14 ratings),Teaching & Academics,,German Language
Hack the German Cases & Adjective Declension,www.udemy.com/course/hack-the-german-cases-declension-adjective-declension/,Sandra 11Percent,99.99,11.39,4.8(22 ratings),Teaching & Academics,,German Language
German for You: Intermediate Business Language & More,www.udemy.com/course/business-german-esther-hartwig/,Esther Hartwig,19.99,11.39,4.3(9 ratings),Teaching & Academics,,German Language
German for You: a Structured Approach through German Grammar,www.udemy.com/course/german-grammar-course-a1-a-very-structured-approach/,Esther Hartwig,19.99,11.39,4.2(17 ratings),Teaching & Academics,,German Language
German for Engineers - Level B1 B2 - Deutsch für Ingenieure,www.udemy.com/course/german-for-engineers-level-b1-b2-deutsch-fur-ingenieure/,Melih Cılga,89.99,11.39,3.9(21 ratings),Teaching & Academics,,German Language
