Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
[2020] Growth Hacking with Digital Marketing (Version 7.1),www.udemy.com/course/growth-hacking-masterclass-become-a-digital-marketing-ninja/,Davis Jones,194.99,11.99,"4.4(4,077 ratings)",Marketing,,Growth Hacking
The NEW 2020 Complete Growth Hacking & Conversion Course,www.udemy.com/course/growth-hacking-conversion/,iMarket XL,199.99,11.99,4.4(556 ratings),Marketing,,Growth Hacking
Become a Growth Marketer: Learn Growth Marketing & Get a Job,www.udemy.com/course/become-a-marketer-learn-growth-marketing-get-a-job/,Evan Kimbrell,194.99,11.99,4.6(891 ratings),Marketing,,Growth Hacking
Growth Hacking with Digital Marketing Masterclass,www.udemy.com/course/growthhacking/,Diego Davila,199.99,11.99,4.6(7 ratings),Marketing,,Growth Hacking
Startup Growth Strategies: Simple Approaches for Fast Growth,www.udemy.com/course/startup-growth-strategies-simple-approaches-for-fast-growth/,Ian Bednowitz,184.99,11.99,4.0(211 ratings),Marketing,,Growth Hacking
Discover GrowthHacks with Digital Marketing (2019),www.udemy.com/course/growth-hacking-with-digital-marketing-2019/,Kapil Chopra I The Strategist I Digital Marketing Trainer I Growth Hacker,19.99,11.99,4.5(48 ratings),Marketing,,Growth Hacking
Growth Hacking Masterclass Digital Marketing Tactics & Hacks,www.udemy.com/course/growth-hacking-masterclass/,Ruben Portz,24.99,11.99,4.6(98 ratings),Marketing,,Growth Hacking
Build a VIRAL Referral FB ChatBot + Free ManyChat TEMPLATE,www.udemy.com/course/build-a-viral-referral-fb-chatbot-free-manychat-template/,Charlie Walker,179.99,11.99,4.2(7 ratings),Marketing,,Growth Hacking
Certification10 Business Coaching Growth Hacking FECBC,www.udemy.com/course/business-coaching-part-10-growth-hacking/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.99,4.6(17 ratings),Marketing,,Growth Hacking
Growth Hacking: an Introduction,www.udemy.com/course/growth-hackers-conference/,Gagan Biyani,39.99,11.99,3.8(126 ratings),Marketing,,Growth Hacking
Growth hacks for entrepreneurs,www.udemy.com/course/growth-hacks-for-entrepreneurs/,Asen Gyczew,89.99,11.99,4.4(67 ratings),Marketing,,Growth Hacking
Growth Team Management - How to Build a Growth Team,www.udemy.com/course/growth-team/,Archie Abrams,199.99,11.99,4.0(589 ratings),Marketing,,Growth Hacking
Certification12 Career Coaching ACECC Growth Hacking,www.udemy.com/course/career-coaching-certification-phase-12/,Experts Coach Academy |Career Coaching Experts,199.99,11.99,4.5(9 ratings),Marketing,,Growth Hacking
HypeBomb - Growth Hacking for Startups,www.udemy.com/course/hypebomb-growth-hacking-for-startups/,Doug Logue,34.99,11.99,3.8(90 ratings),Marketing,,Growth Hacking
"Growth Hacking, Business Development: Marketing Fundamentals",www.udemy.com/course/growth-hacking-business-development-marketing-fundamentals/,Jean-Gabriel Paquette,184.99,11.99,3.1(114 ratings),Marketing,,Growth Hacking
Advanced Digital Marketing - Growth Hacking Course,www.udemy.com/course/advanced-digital-marketing-growth-hacking-course/,Sumit Pareek,19.99,11.99,3.5(7 ratings),Marketing,,Growth Hacking
Infinite Email Subscribers: Viral Giveaway & Social Contests,www.udemy.com/course/infinite-email-subscribers-viral-marketing-giveaway-social-contests/,Zach Miller,39.99,11.99,4.5(30 ratings),Marketing,,Growth Hacking
Powerful Growth Hacking Strategies & Tools - 2019+Checklist,www.udemy.com/course/powerful-growth-hacking-toolsstrategies-2018hack-checklist/,Sivakumar Kannan,189.99,11.99,4.4(62 ratings),Marketing,,Growth Hacking
Become a Mobile App Growth Hacker . Total Theory & Training,www.udemy.com/course/become-a-mobile-app-growth-hacker-total-theory-and-training/,Yohann Taieb,199.99,11.99,4.1(19 ratings),Marketing,,Growth Hacking
Growth Team: Tools and Processes to Boost your Business,www.udemy.com/course/growth-team-tools/,Yury Drogan,199.99,11.99,5.0(1 rating),Marketing,,Growth Hacking
