Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
GIMP 2.10 Made Easy for Beginners.  Learn GIMP from a pro!,www.udemy.com/course/gimp-made-easy/,Chris Parker,199.99,11.99,"4.6(1,045 ratings)",Photography,,Image Editing
Adobe Lightroom CC + Classic // Learn Photo Editing by Pro,www.udemy.com/course/master-adobe-lightroom-6-in-1-day/,Chris Parker,199.99,11.39,4.3(921 ratings),Photography,,Image Editing
Capture One 12 in Action for Beginners,www.udemy.com/course/c1-in-action-beginners/,Kasia Zmokla,0,69.99,4.6(11 ratings),Photography,,Image Editing
The Ultimate Photography Course in Post-Processing & Editing,www.udemy.com/course/the-ultimate-post-processing-and-editing-course-for-beginners/,Jellis Vaes,199.99,11.39,4.2(167 ratings),Photography,,Image Editing
"Mac Photos 2018: Photo Editing, Organizing, & Sharing on Mac",www.udemy.com/course/mac-photos-course/,Phil Ebiner,99.99,11.99,4.6(199 ratings),Photography,,Image Editing
Adobe Lightroom Classic CC - Zero to Pro,www.udemy.com/course/adobe-lightroom-classic-cc/,Marcin Mikus,199.99,13.19,4.1(183 ratings),Photography,,Image Editing
Photoshop Masterclass for Landscape and Nature Photography,www.udemy.com/course/post-processing-masterclass-for-the-landscape-photographer/,Daniel Fleischhacker,69.99,11.39,4.4(9 ratings),Photography,,Image Editing
Quick Start to Capture One Pro,www.udemy.com/course/quick-start-to-capture-one/,Dan LeFebvre,79.99,11.39,3.9(27 ratings),Photography,,Image Editing
Snapseed. Fun and Easy Editing,www.udemy.com/course/snapseed-fun-and-easy-editing/,Sebastian Vaida,39.99,11.39,4.6(13 ratings),Photography,,Image Editing
"Genealogy Photo Editing, Care and Repair",www.udemy.com/course/genealogy-photo-care-repair/,Michele Boyer,39.99,11.39,4.6(12 ratings),Photography,,Image Editing
Macphun's Luminar 2018 (Best Photo Editor),www.udemy.com/course/macphuns-luminar-2018-best-photo-editor/,Sakshain Aleek,19.99,11.99,3.7(44 ratings),Photography,,Image Editing
Pixlr Power: How to use the Pixlr Editor,www.udemy.com/course/pixlr-power/,Michele Berner,49.99,11.39,4.3(32 ratings),Photography,,Image Editing
Learning Adobe Lightroom - Start Editing Photos Like a Pro ,www.udemy.com/course/lightroom4course/,Manfred Werner,19.99,11.39,4.4(46 ratings),Photography,,Image Editing
"Paint.NET: Learn ""Photoshopping"" skills the free & easy way!",www.udemy.com/course/photoshopping-skills-with-a-free-easy-app-paintnet/,Jared Gaul,89.99,11.39,4.4(19 ratings),Photography,,Image Editing
Mastering Photoshop Luminosity Masks,www.udemy.com/course/mastering-photoshop-luminosity-masks/,Robin Whalley,19.99,11.39,4.0(26 ratings),Photography,,Image Editing
Advanced Photoshop: Falling Down the Rabbit Hole,www.udemy.com/course/advanced-photo-manipulation/,Dan LeFebvre,99.99,11.39,0.0(0 ratings),Photography,,Image Editing
Photo Editing Made Simple: Free Tools to Great Pictures.,www.udemy.com/course/photo-editing-made-simple-free-tools-to-great-pictures/,Andrew Hind,19.99,11.39,3.9(29 ratings),Photography,,Image Editing
PicsArt Full Guide: Zero To Hero In Photo Editing & Retouch,www.udemy.com/course/picsart-full-guide-zero-to-hero-in-photo-editing-retouch/,Dhabaleshwar Das,199.99,11.39,3.3(85 ratings),Photography,,Image Editing
Image and Photo Editing for Everyone with Paint.NET,www.udemy.com/course/image-and-photo-editing-for-everyone-with-paintnet/,Ulrika Garner,49.99,11.39,4.7(11 ratings),Photography,,Image Editing
Digital Scrapbooking for Absolute Beginners,www.udemy.com/course/digital-scrapbooking-for-absolute-beginners/,Melissa Shanhun,49.99,11.39,4.5(1 rating),Photography,,Image Editing
Colour fundamentals for photo editing,www.udemy.com/course/colour-fundamentals-for-photo-editing/,Paul Naude,19.99,11.39,4.2(12 ratings),Photography,,Image Editing
Ditch Photoshop today! Zero to Pro Photo editing in 8 hours!,www.udemy.com/course/ditchphotoshoptoday/,Anton Ngo,99.99,11.39,3.5(1 rating),Photography,,Image Editing
Image Editing: Edit and Perfect your Selfies with Facetune,www.udemy.com/course/image-editing/,Matilda Pellén,189.99,11.39,4.6(18 ratings),Photography,,Image Editing
Retouching VR Photography with Photoshop and After Effects,www.udemy.com/course/retouching-360-spherical-panorama/,Chris Converse,19.99,11.39,4.5(5 ratings),Photography,,Image Editing
Advanced Photoshop: Alice in Wonderland Forced Perspective,www.udemy.com/course/photo-editing-photoshop/,Dan LeFebvre,99.99,11.39,0.0(0 ratings),Photography,,Image Editing
Photo Editing for Absolute Beginners,www.udemy.com/course/photo-editing-for-absolute-beginners/,Melissa Shanhun,24.99,11.39,3.8(3 ratings),Photography,,Image Editing
PhotoDirector 7 - Photo Editing Made Easy,www.udemy.com/course/professional-photo-editing-with-cyberlink-photodirector/,CyberLink Software,0,19.99,4.6(143 ratings),Photography,,Image Editing
Edit Like a Pro! 1 & 3 - Process Night Shots & Light Trails,www.udemy.com/course/edit-like-a-pro-1-3-process-night-shots-light-trails/,Joe Houghton,34.99,11.39,4.7(2 ratings),Photography,,Image Editing
Snapseed 2020:A Complete Guide to Mobile Photography Editing,www.udemy.com/course/snapseed-2020-a-complete-guide-to-snapseed-editing/,Fakhar Ayub,64.99,11.39,0.0(0 ratings),Photography,,Image Editing
A Practical Guide To Learning Photoshop CS6,www.udemy.com/course/a-practical-guide-to-learning-photoshop-cs6/,Mahmud Shuaib,19.99,11.39,0.0(0 ratings),Photography,,Image Editing
Learn How to use Aperture: Importing/Making Adjustments,www.udemy.com/course/learn-how-to-use-aperture-importing-making-adjustments/,Miguel Jose Dominic Ilagan,19.99,11.39,0.0(0 ratings),Photography,,Image Editing
How To Edit Your Photos,www.udemy.com/course/how-to-edit-your-photos/,Ed Mercer,19.99,11.39,2.0(3 ratings),Photography,,Image Editing
Wildlife Photography Lightroom CC Basic Photo Editing,www.udemy.com/course/wildlife-photography-lightroom/,Wofty Photo,24.99,11.39,3.2(2 ratings),Photography,,Image Editing
High End Image Editing with Adobe Photoshop CS6,www.udemy.com/course/high-end-image-editing-with-adobe-photoshop-cs6/,Abul Hossain,199.99,11.39,4.0(34 ratings),Photography,,Image Editing
No-Brainer Image Background Removal For Non-Designers,www.udemy.com/course/no-brainer-image-background-removal-for-non-designers/,Martha Flick,19.99,11.39,0.0(0 ratings),Photography,,Image Editing
Photo Editing With Free Software,www.udemy.com/course/photo-editing-with-free-software/,Phillip Dillow,19.99,11.39,2.8(13 ratings),Photography,,Image Editing
Fundamentals of image smoothing,www.udemy.com/course/fundamentals-of-image-smoothing/,Evergreen Technologies,19.99,11.39,0.0(0 ratings),Photography,,Image Editing
Non Destructive Edition with Photoshop,www.udemy.com/course/non-destructive-edition-with-photoshop/,Mariana Cabral,34.99,11.39,0.0(0 ratings),Photography,,Image Editing
How to find and create exceptional images for presentations,www.udemy.com/course/how-to-find-and-create-memorable-images-for-presentations/,Paul Naude,19.99,11.39,4.1(6 ratings),Photography,,Image Editing
Edit Like a Pro! - 4 - Castletown Stately Home,www.udemy.com/course/edit-like-a-pro-4-castletown-stately-home/,Joe Houghton,19.99,11.39,5.0(1 rating),Photography,,Image Editing
Paint.net: Edit Images Like a Pro,www.udemy.com/course/paintnet-beginner/,Brenda Leroux Babin,0,49.99,5.0(2 ratings),Photography,,Image Editing
Understanding Images,www.udemy.com/course/understanding-images/,Kray Mitchell,19.99,11.39,3.9(103 ratings),Photography,,Image Editing
Learn Picasa from Scratch,www.udemy.com/course/learnpicasa/,Ed Vinson,19.99,11.39,3.5(1 rating),Photography,,Image Editing
