Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete Financial Analyst Training & Investing Course,www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/,Chris Haroun,199.99,11.99,"4.5(10,983 ratings)",Finance & Accounting,,Investing
Python for Finance: Investment Fundamentals & Data Analytics,www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/,365 Careers,194.99,11.99,"4.5(9,486 ratings)",Finance & Accounting,,Investing
Investment Analysis & Portfolio Management - Core Finance,www.udemy.com/course/investment-analysis-portfolio-management/,Fervent #LearnWithDistinction,179.99,11.99,4.5(402 ratings),Finance & Accounting,,Investing
Investing Success: Learn Keys From A Millionaire Investor!,www.udemy.com/course/investing-success/,"Steve Ballinger, MBA",199.99,11.99,4.3(802 ratings),Finance & Accounting,,Investing
Investing 101: The Complete Online Investing Course 2019,www.udemy.com/course/online-investing-guide/,Wealthy Education,199.99,11.99,"4.3(1,399 ratings)",Finance & Accounting,,Investing
Value Investing Strategies for Stock Market Investing,www.udemy.com/course/value-investing-strategies-for-the-stock-market/,Indian Insight,199.99,11.99,4.7(379 ratings),Finance & Accounting,,Investing
"Comprehensive Guide to Financial Markets, Investing &Trading",www.udemy.com/course/financial-markets-a-to-z-for-beginners/,Hari Swaminathan,0,29.99,"4.5(1,577 ratings)",Finance & Accounting,,Investing
Bond Valuation Mastery - Learn To Value Bonds From Scratch.,www.udemy.com/course/bond-valuation-mastery/,Fervent #LearnWithDistinction,119.99,11.99,4.5(106 ratings),Finance & Accounting,,Investing
Investing Masterclass: Become Your Own CFO In 2019,www.udemy.com/course/investing-masterclass-become-your-own-cfo/,Roshani Pandey,199.99,11.99,4.6(39 ratings),Finance & Accounting,,Investing
Investing The Lazy Investor Way,www.udemy.com/course/investing-lazy-investor-course/,"Steve Ballinger, MBA",199.99,11.99,4.4(232 ratings),Finance & Accounting,,Investing
Get Rich Stock Trading : My Killer Stock Trading Strategy,www.udemy.com/course/get-rich-stock-trading-my-killer-stock-trading-strategy/,Yossof Sharifi,34.99,11.99,4.1(66 ratings),Finance & Accounting,,Investing
"Investment Appraisal Mastery - NPV, IRR, Payback, PI, ARR",www.udemy.com/course/investment-appraisal-mastery/,Fervent #LearnWithDistinction,99.99,11.99,4.7(64 ratings),Finance & Accounting,,Investing
Options Trading: How I trade using Greeks (live trading),www.udemy.com/course/advanced-volatility-trading-vxx-ultimate-trading-experience/,"Pedro Branco (Book Author, Options Trader, Instructor)",19.99,11.99,4.9(63 ratings),Finance & Accounting,,Investing
Financial Modeling: Build Your Own Stock Valuation System,www.udemy.com/course/stock-valuation-using-multiples/,Fervent #LearnWithDistinction,149.99,11.99,4.4(22 ratings),Finance & Accounting,,Investing
"Tesla Company Analysis: Strategy, Marketing, Financials",www.udemy.com/course/tesla-company-analysis-strategy-marketing-financials/,365 Careers,199.99,11.99,4.4(149 ratings),Finance & Accounting,,Investing
The Intelligent Investor,www.udemy.com/course/the-intelligent-investor/,Alex Ramos,29.99,11.99,4.3(122 ratings),Finance & Accounting,,Investing
The Motley Fool's Guide to Investing,www.udemy.com/course/the-motley-fool-guide-to-investing/,The Motley Fool,199.99,11.39,4.3(92 ratings),Finance & Accounting,,Investing
Investment Portfolio Analysis with R,www.udemy.com/course/investment-portfolio-analysis-with-r/,Diego Fernandez,49.99,11.39,4.4(98 ratings),Finance & Accounting,,Investing
Investment Portfolio Analysis with Excel,www.udemy.com/course/investment-portfolio-analysis-with-excel/,Diego Fernandez,49.99,11.39,4.2(53 ratings),Finance & Accounting,,Investing
Index Mutual Funds: Lower Cost-Risk & High Return Investing!,www.udemy.com/course/index-mutual-fund-investing/,"Steve Ballinger, MBA",199.99,11.39,4.3(80 ratings),Finance & Accounting,,Investing
Mastering Mutual Fund Investment - Part 1 of 3,www.udemy.com/course/mastering-mutual-fund-investment-part-1-of-3/,Partha Majumdar,24.99,11.39,4.2(22 ratings),Finance & Accounting,,Investing
Global Macro Investing - Take Control Of The World's Markets,www.udemy.com/course/global-macro-trading-take-control-of-the-worlds-markets/,Tyler Kling,29.99,11.39,4.3(109 ratings),Finance & Accounting,,Investing
The Investing For COMPLETE Beginners Animated Course,www.udemy.com/course/the-investing-for-beginners-animated-course/,Muhammad Abdul Rahim,99.99,11.39,4.3(10 ratings),Finance & Accounting,,Investing
Advanced Portfolio Analysis with Python,www.udemy.com/course/advanced-portfolio-analysis-with-python/,Diego Fernandez,49.99,11.39,4.5(1 rating),Finance & Accounting,,Investing
IncomeMAX - Spreads and Straddles using Options,www.udemy.com/course/incomemax-spreads-and-straddles-using-options/,Hari Swaminathan,0,199.99,4.6(17 ratings),Finance & Accounting,,Investing
Mobile Home Park Investing Experts,www.udemy.com/course/mobile-home-park-investing-experts/,Michael Kane,24.99,11.39,4.6(3 ratings),Finance & Accounting,,Investing
Become a Professional Trader - Beginner Education series,www.udemy.com/course/become-a-professional-trader-beginner-series/,Hitesh Chotalia,19.99,11.39,4.8(5 ratings),Finance & Accounting,,Investing
Investing for Beginners: Learn Investing Strategies & Tools,www.udemy.com/course/investing-strategies/,Upclass - Investing & Finance Coaching,104.99,11.39,4.2(61 ratings),Finance & Accounting,,Investing
Financial Modeling & DCF Valuation Model: Investment Banking,www.udemy.com/course/financial-modeling-dcf-valuation-model-investment-banking/,Jean-Gabriel Paquette,184.99,11.39,3.1(126 ratings),Finance & Accounting,,Investing
Stock Trading: Invest and Trade Safely with Stock Sector ETF,www.udemy.com/course/etf-trading-how-to-invest-safely-profitably-using-efts-stock-trading/,Luca Moschini,199.99,11.99,4.0(35 ratings),Finance & Accounting,,Investing
