Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Complete JavaScript Course 2020: Build Real Projects!,www.udemy.com/course/the-complete-javascript-course/,Jonas Schmedtmann,199.99,11.39,"4.6(58,832 ratings)",Development,,JavaScript
JavaScript - The Complete Guide 2020 (Beginner + Advanced),www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,Academind by Maximilian Schwarzmüller,199.99,11.39,"4.7(2,241 ratings)",Development,,JavaScript
The New Modern Javascript Bootcamp Course (2020),www.udemy.com/course/javascript-beginners-complete-tutorial/,Colt Steele,199.99,11.39,4.7(964 ratings),Development,,JavaScript
Advanced JavaScript Concepts,www.udemy.com/course/advanced-javascript-concepts/,Andrei Neagoie,179.99,13.19,"4.7(3,441 ratings)",Development,,JavaScript
Modern JavaScript From The Beginning,www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,174.99,13.19,"4.7(14,417 ratings)",Development,,JavaScript
JavaScript: Understanding the Weird Parts,www.udemy.com/course/understand-javascript/,Anthony Alicea,174.99,13.19,"4.7(34,893 ratings)",Development,,JavaScript
The Modern JavaScript Bootcamp,www.udemy.com/course/modern-javascript/,Andrew Mead,84.99,12.59,"4.7(7,125 ratings)",Development,,JavaScript
Modern JavaScript (from Novice to Ninja),www.udemy.com/course/modern-javascript-from-novice-to-ninja/,The Net Ninja (Shaun Pelling),99.99,11.99,"4.8(2,178 ratings)",Development,,JavaScript
Learn JavaScript: Full-Stack from Scratch,www.udemy.com/course/learn-javascript-full-stack-from-scratch/,Brad Schiff,199.99,11.99,"4.7(1,309 ratings)",Development,,JavaScript
JavaScript Beginner Bootcamp (2020),www.udemy.com/course/javascript-the-basics-for-beginners/,Rob Merrill,199.99,12.59,"4.6(3,914 ratings)",Development,,JavaScript
Accelerated ES6 JavaScript Training,www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Maximilian Schwarzmüller,109.99,11.99,"4.7(3,740 ratings)",Development,,JavaScript
JavaScript Basics for Beginners,www.udemy.com/course/javascript-basics-for-beginners/,Mosh Hamedani,119.99,11.99,"4.5(2,976 ratings)",Development,,JavaScript
Accelerated JavaScript Training,www.udemy.com/course/javascript-bootcamp-2016/,Maximilian Schwarzmüller,109.99,11.99,"4.7(3,854 ratings)",Development,,JavaScript
JavaScript 50+ projects and applications Monster JavaScript,www.udemy.com/course/javascript-course-projects/,Laurence Svekis,199.99,11.99,4.6(213 ratings),Development,,JavaScript
ES6 Javascript: The Complete Developer's Guide,www.udemy.com/course/javascript-es6-tutorial/,Stephen Grider,79.99,11.99,"4.5(8,003 ratings)",Development,,JavaScript
Object-oriented Programming in JavaScript,www.udemy.com/course/javascript-object-oriented-programming/,Mosh Hamedani,49.99,11.99,"4.6(1,953 ratings)",Development,,JavaScript
Make a Spotify Clone from Scratch: JavaScript PHP and MySQL,www.udemy.com/course/spotify-clone/,Reece Kenney,49.99,11.99,"4.6(1,191 ratings)",Development,,JavaScript
Advanced Javascript,www.udemy.com/course/javascript-advanced/,Asim Hussain,199.99,11.99,"4.5(4,268 ratings)",Development,,JavaScript
The Complete JavaScript Course - Beginner to Professional,www.udemy.com/course/javascript-training/,Codestars by Rob Percival,199.99,11.99,"4.3(1,471 ratings)",Development,,JavaScript
Javascript Tutorial and Projects Course,www.udemy.com/course/javascript-tutorial-for-beginners-w/,John Smilga,19.99,11.99,4.8(758 ratings),Development,,JavaScript
JavaScript Interview Prep: Practice Problems,www.udemy.com/course/javascript-interview-prep/,Eric Traub,174.99,11.99,4.7(758 ratings),Development,,JavaScript
Make a Responsive Portfolio Website: JavaScript and HTML,www.udemy.com/course/portfolio-website/,Reece Kenney,49.99,11.99,4.6(765 ratings),Development,,JavaScript
Make a YouTube Clone from Scratch: JavaScript PHP and MySQL,www.udemy.com/course/youtube-clone/,Reece Kenney,49.99,11.39,4.6(296 ratings),Development,,JavaScript
JavaScript Design Patterns: 20 Patterns for Expert Code,www.udemy.com/course/javascript-design-patterns-20-patterns-for-expert-code/,Packt Publishing,94.99,11.39,4.2(593 ratings),Development,,JavaScript
The Complete Vue JS Developer Course – inc. Vue JS 2!,www.udemy.com/course/vue-js-2-the-full-guide-by-real-apps-vuex-router-node/,Filip Jerga,179.99,11.39,4.6(116 ratings),Development,,JavaScript
The Complete Full-Stack JavaScript Course!,www.udemy.com/course/full-stack-javascript/,Joseph Delgadillo,199.99,11.39,"4.3(1,076 ratings)",Development,,JavaScript
Getting started with WebAssembly & Emscripten,www.udemy.com/course/webassembly-emscripten/,Ray Viljoen,159.99,11.39,4.6(196 ratings),Development,,JavaScript
Learning Algorithms in JavaScript from Scratch,www.udemy.com/course/learning-algorithms-in-javascript-from-scratch/,Eric Traub,174.99,11.99,"4.5(1,468 ratings)",Development,,JavaScript
"Asynchronous JavaScript: Promises, Callbacks, Async Await",www.udemy.com/course/asynchronous-javascript-promises-callbacks-async-await/,Viktor Pyskunov,39.99,11.39,4.6(314 ratings),Development,,JavaScript
JavaScript Bible - JavaScript Bootcamp 2020,www.udemy.com/course/javascript-bible/,Bogdan Stashchuk,99.99,11.39,4.7(820 ratings),Development,,JavaScript
Your Second JavaScript Course,www.udemy.com/course/javascript-boost/,OnlyKiosk Tech,99.99,11.39,4.7(20 ratings),Development,,JavaScript
JavaScript For Beginners - Learn JavaScript From Scratch,www.udemy.com/course/javascript-for-beginners-learn-javascript-from-scratch/,Robin Haney,199.99,11.39,"4.3(2,821 ratings)",Development,,JavaScript
Modern JavaScript The Complete Course - Build +15 Projects,www.udemy.com/course/modern-javascript-the-complete-course-build-10-projects/,Juan Pablo De la torre Valdez,199.99,11.39,4.8(307 ratings),Development,,JavaScript
Advanced JavaScript Topics,www.udemy.com/course/learn-modern-javascript-advanced-topics/,Steven Hancock,99.99,11.39,4.7(321 ratings),Development,,JavaScript
Asynchronous JavaScript,www.udemy.com/course/asynchronous-javascript/,Asim Hussain,119.99,11.39,4.5(606 ratings),Development,,JavaScript
Learning Data Structures in JavaScript from Scratch,www.udemy.com/course/learning-data-structures-in-javascript-from-scratch/,Eric Traub,174.99,11.39,"4.6(1,689 ratings)",Development,,JavaScript
