Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Leadership: Practical Leadership Skills,www.udemy.com/course/practical-leadership/,Chris Croft,89.99,11.99,"4.6(7,717 ratings)",Personal Development,,Leadership
Management Skills - Team Leadership Skills Masterclass 2020,www.udemy.com/course/leadership-and-lean-management-masterclass/,Mark Timberlake,199.99,13.19,"4.4(1,792 ratings)",Personal Development,,Leadership
The Science of Leadership,www.udemy.com/course/neuromanagement/,Gregory Caremans - Brain Academy,199.99,11.39,"4.6(1,655 ratings)",Personal Development,,Leadership
Management Skills: Team Leadership Skills Master Class,www.udemy.com/course/team-kata/,Lawrence M. Miller,199.99,11.39,"4.5(1,240 ratings)",Personal Development,,Leadership
"Lean Leadership, Lean Culture & Lean Management",www.udemy.com/course/lean-leadership-lean-culture-change-management/,Lawrence M. Miller,149.99,11.39,4.6(876 ratings),Personal Development,,Leadership
Acumen Presents: Seth Godin's Leadership Workshop,www.udemy.com/course/seth-godins-leadership-workshop/,+Acumen Courses,179.99,45.00,"4.3(2,893 ratings)",Personal Development,,Leadership
Think Like a Leader with Brian Tracy,www.udemy.com/course/think-like-a-leader-with-brian-tracy/,Brian Tracy,0,199.99,"4.5(1,441 ratings)",Personal Development,,Leadership
IT Leadership: Succeeding in the CIO/CTO/IT Director role,www.udemy.com/course/it-leadership-succeeding-in-the-cioctoit-director-role/,CIO Academy,124.99,11.39,3.9(214 ratings),Personal Development,,Leadership
Leadership: The Emotionally Intelligent Leader,www.udemy.com/course/the-emotionally-intelligent-leader/,Robin Hills,179.99,11.39,4.3(432 ratings),Personal Development,,Leadership
Leadership Lessons and Building high performing teams,www.udemy.com/course/leadership-lessons-and-building-high-performing-teams/,Stuart Lancaster,149.99,16.19,4.5(191 ratings),Personal Development,,Leadership
Influence: Communication Skills for Management & Leadership,www.udemy.com/course/communication-skills-for-leadership-and-management-influence/,Kain Ramsay,124.99,11.39,4.4(187 ratings),Personal Development,,Leadership
"The PMO Bootcamp (find the job, ace it, & master the PMO)",www.udemy.com/course/the-pmo-bootcamp-find-the-job-ace-it-master-the-pmo/,Hussain Bandukwala,179.99,11.39,4.2(38 ratings),Personal Development,,Leadership
"Leadership: How to Influence, Inspire and Impact as a Leader",www.udemy.com/course/leadership-influence-everyone/,Life Progression Project,159.99,11.39,"4.3(1,162 ratings)",Personal Development,,Leadership
"Succeed, Influence and Inspire as a Woman in Leadership",www.udemy.com/course/how-to-succeed-as-a-woman-in-leadership/,Life Progression Project,99.99,11.39,4.4(593 ratings),Personal Development,,Leadership
"Management - Leadership, Negotiating, Assertiveness, Sales",www.udemy.com/course/management-101/,Chris Croft,79.99,11.39,4.6(316 ratings),Personal Development,,Leadership
Leadership Skills Mastery Vol. 1: Leadership for 2019,www.udemy.com/course/leadershipskills/,Ken Wells,199.99,11.39,4.3(532 ratings),Personal Development,,Leadership
Leadership: Growth Mindset for Leadership and Organizations,www.udemy.com/course/growth-mindset-for-leadership-and-organizations/,Joeel & Natalie Rivera,149.99,12.59,4.4(314 ratings),Personal Development,,Leadership
Leadership: Leading When You Are Not In Charge!,www.udemy.com/course/leadership-leading-not-in-charge/,"Steve Ballinger, MBA",199.99,11.39,4.3(366 ratings),Personal Development,,Leadership
Fifteen Great CTO Leadership Hacks,www.udemy.com/course/fifteen-great-cto-leadership-hacks/,Mark Farragher,89.99,11.39,4.3(95 ratings),Personal Development,,Leadership
Leadership: Advanced Training for Experienced Managers,www.udemy.com/course/leadership-advanced-training-for-experienced-managers/,LearnSmart LLC,0,199.99,4.6(147 ratings),Personal Development,,Leadership
Leadership: You Can Speak Like a Leader,www.udemy.com/course/how-to-speak-like-a-leader/,TJ Walker,199.99,11.39,4.3(269 ratings),Personal Development,,Leadership
"The Complete Course on Leadership, Execution & Resilience",www.udemy.com/course/the-complete-course-on-leadership-execution-resilience/,Leon Chaudhari,199.99,11.39,4.0(147 ratings),Personal Development,,Leadership
Leadership Training - Leadership and Management Skills,www.udemy.com/course/leadership-skills-training-how-to-become-a-great-leader/,James Bruce,69.99,11.39,4.5(30 ratings),Personal Development,,Leadership
"Leadership, management & entrepreneurship in the 21 Century",www.udemy.com/course/the21principles/,Leadapreneur Academy,74.99,11.39,4.4(528 ratings),Personal Development,,Leadership
Become a Leadership Professional - Certified Course,www.udemy.com/course/leadership-for-new-managers/,Russell Potter,24.99,11.39,4.8(19 ratings),Personal Development,,Leadership
Managing and Leading Change: Real World Strategies & Tools,www.udemy.com/course/managing-and-leading-change/,Mike Clayton,49.99,11.39,4.1(522 ratings),Personal Development,,Leadership
Leadership & Management Essentials: Leadership For Success!,www.udemy.com/course/leadership-management-essentials/,Alan Jarvis,199.99,11.39,4.3(96 ratings),Personal Development,,Leadership
Leadership Masterclass,www.udemy.com/course/leadershipmasterclass/,Marshall Goldsmith,0,199.99,4.4(706 ratings),Personal Development,,Leadership
Transformational Leadership - Leadership Course & Training,www.udemy.com/course/transformational-leadership-training-course/,"Prof. Paul Cline, Ed.D",199.99,11.39,4.4(89 ratings),Personal Development,,Leadership
"Spiritual Insights for Businesses, Leaders and Entrepreneurs",www.udemy.com/course/spiritual-wisdom-for-leadership/,Sadhguru Jaggi Vasudev,99.99,11.39,5.0(30 ratings),Personal Development,,Leadership
Leadership Styles and Corporate Culture,www.udemy.com/course/leadership-and-life-cycles/,Lawrence M. Miller,24.99,11.39,4.7(100 ratings),Personal Development,,Leadership
Leading Effective Meetings,www.udemy.com/course/how-to-lead-effective-meetings/,PracticalGrowth,99.99,11.39,4.2(541 ratings),Personal Development,,Leadership
Moral Leadership: The Principles of Transformational Leaders,www.udemy.com/course/leadership-the-transforming-power-of-principles/,Lawrence M. Miller,99.99,11.39,4.2(147 ratings),Personal Development,,Leadership
Six Tools To Improve Your Tech Leadership & Communication,www.udemy.com/course/how-to-become-an-outstanding-tech-leader/,Mark Farragher,89.99,11.39,4.5(48 ratings),Personal Development,,Leadership
"Leadership: How to Become an Effective CEO, Leader, Manager",www.udemy.com/course/ceo-training-how-to-become-an-effective-ceo-or-manager/,Elizabeth C. Pagé,124.99,11.39,4.4(158 ratings),Personal Development,,Leadership
Leadership: Foundational Training for First Time Managers,www.udemy.com/course/leadership-ultimate-training-for-first-time-managers/,LearnSmart LLC,0,199.99,4.5(234 ratings),Personal Development,,Leadership
How To Become A Great Leader,www.udemy.com/course/how-to-build-influence-and-become-a-great-leader/,Gordon Tredgold,199.99,16.19,4.6(80 ratings),Personal Development,,Leadership
