Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Learn Linux in 5 Days and Level Up Your Career,www.udemy.com/course/learn-linux-in-5-days/,Jason Cannon,194.99,11.39,"4.5(18,533 ratings)",IT & Software,,Linux
Linux Mastery: Master the Linux Command Line in 11.5 Hours,www.udemy.com/course/linux-mastery/,Ziyad Yehia,194.99,11.39,"4.7(5,370 ratings)",IT & Software,,Linux
Complete Linux Training Course to Get Your Dream IT Job 2019,www.udemy.com/course/complete-linux-training-course-to-get-your-dream-it-job/,Imran Afzal,199.99,11.39,"4.5(3,491 ratings)",IT & Software,,Linux
Linux Shell Scripting: A Project-Based Approach to Learning,www.udemy.com/course/linux-shell-scripting-projects/,Jason Cannon,199.99,11.39,"4.5(3,124 ratings)",IT & Software,,Linux
Linux Command Line Basics,www.udemy.com/course/linux-command-line-volume1/,Ahmed Alkabary,199.99,11.39,"4.5(9,835 ratings)",IT & Software,,Linux
Linux for Network Engineers: Practical Linux with GNS3,www.udemy.com/course/linux-for-network-engineers-practical-linux-with-gns3/,David Bombal,34.99,11.39,4.7(736 ratings),IT & Software,,Linux
Complete Linux Training with Troubleshooting Skills-Hands On,www.udemy.com/course/red-hat-linux-administration-advance-level-troubleshooting/,Shikhar Verma,114.99,11.39,"4.4(1,421 ratings)",IT & Software,,Linux
Linux for Beginners,www.udemy.com/course/linuxforbeginners/,Jason Cannon,94.99,11.99,"4.5(3,850 ratings)",IT & Software,,Linux
Embedded Linux Step by Step using Beaglebone Black,www.udemy.com/course/embedded-linux-step-by-step-using-beaglebone/,FastBit Embedded Brain Academy,19.99,11.99,"4.4(1,020 ratings)",IT & Software,,Linux
Ubuntu Linux Fundamentals - Learn Linux Server with Ubuntu,www.udemy.com/course/ubuntu-server-fundamentals-manage-linux-server-with-ubuntu/,Ted LeRoy,109.99,11.39,4.5(283 ratings),IT & Software,,Linux
Linux Troubleshooting Course with Practical Examples,www.udemy.com/course/linux-troubleshooting-course/,Imran Afzal,199.99,11.39,4.4(185 ratings),IT & Software,,Linux
Fundamentals of Unix and Linux System Administration,www.udemy.com/course/fundamentals-of-unix-and-linux-system-administration/,Eduonix Learning Solutions,49.99,11.39,4.4(826 ratings),IT & Software,,Linux
Complete Linux Cyber Security with Practical Examples,www.udemy.com/course/complete-linux-security-hardening-with-practical-examples/,Imran Afzal,199.99,11.39,4.5(88 ratings),IT & Software,,Linux
Linux Academy Red Hat Certified Engineer Prep,www.udemy.com/course/linux-academy-red-hat-certified-engineer-prep/,Linux Academy,79.99,11.39,4.2(249 ratings),IT & Software,,Linux
Complete Linux course: Become a Linux professional,www.udemy.com/course/linux-crash-course/,Muhammed Torkey,194.99,11.39,"4.3(2,451 ratings)",IT & Software,,Linux
The Complete Linux LPIC-1 Certification Course Exams 101-102,www.udemy.com/course/linux-lpic-1-certification-complete-course/,Ahmad Nadeem,199.99,11.39,3.9(666 ratings),IT & Software,,Linux
Ubuntu Linux Server Basics,www.udemy.com/course/become-an-ubuntu-server-pro-in-just-3-days/,Cody Ray Miller,94.99,11.39,"4.5(1,370 ratings)",IT & Software,,Linux
Linux Inter Process Communication (IPC) from Scratch,www.udemy.com/course/linuxipc/,Abhishek Sagar,19.99,11.39,4.4(174 ratings),IT & Software,,Linux
Hands-on Linux: Self-Hosted WordPress for Linux Beginners,www.udemy.com/course/hands-on-linux-self-hosted-wordpress-for-linux-beginners/,David Cohen,24.99,11.39,4.7(639 ratings),IT & Software,,Linux
Projects in Linux - Learn Linux Doing Real World Projects,www.udemy.com/course/projects-in-linux-learn-linux-doing-real-world-projects/,Eduonix Learning Solutions,59.99,11.39,4.0(77 ratings),IT & Software,,Linux
Linux Diagnostics And Troubleshooting,www.udemy.com/course/linux-diagnostics-and-troubleshooting/,Shikhar Verma,149.99,11.39,4.4(112 ratings),IT & Software,,Linux
Red Hat Linux Certified System Admin - SA2 (RHEL7),www.udemy.com/course/red-hat-system-administration-rh134/,Shikhar Verma,49.99,11.39,4.5(97 ratings),IT & Software,,Linux
Linux Performance Monitoring & Analysis,www.udemy.com/course/linux-performance-monitoring-analyzing/,Shikhar Verma,49.99,11.39,4.1(240 ratings),IT & Software,,Linux
Advanced Linux System Administration,www.udemy.com/course/advanced-linux-administration/,Shikhar Verma,74.99,11.39,3.9(145 ratings),IT & Software,,Linux
Linux Technical interview questions and answers,www.udemy.com/course/linux-technical-interview-questions-and-answers/,Kashif Ali,199.99,11.39,4.5(250 ratings),IT & Software,,Linux
System C Project - Write a Garbage Collector from Scratch,www.udemy.com/course/memory-leak-detector/,Abhishek Sagar,19.99,11.39,4.3(27 ratings),IT & Software,,Linux
Ubuntu Desktop for Beginners: Start Using Linux Today!,www.udemy.com/course/ubuntu-desktop-for-beginners-course-tutorial/,Cody Ray Miller,94.99,11.39,4.4(442 ratings),IT & Software,,Linux
Embedded Linux,www.udemy.com/course/embedded-linux/,Rahul Ravi,39.99,11.39,3.7(93 ratings),IT & Software,,Linux
CompTIA Linux+ (LX0-103 and LX0-104) (Part 1 of 2),www.udemy.com/course/comptia-linux-2009-part-1-of-part-2/,Stone River eLearning,199.99,11.39,4.1(60 ratings),IT & Software,,Linux
Learning Linux Essentials: Taking your first steps in Linux,www.udemy.com/course/learning-linux-essentials-taking-your-first-steps-in-linux/,Andrew Mallett,19.99,11.39,4.3(457 ratings),IT & Software,,Linux
Foreman With Puppet For Linux / Windows For DevOps,www.udemy.com/course/foreman-with-puppet-for-linux-windows-for-devops/,Mostafa Yasin,199.99,11.39,4.0(73 ratings),IT & Software,,Linux
Ubuntu Linux Server Troubleshooting,www.udemy.com/course/ubuntu-linux-server-troubleshooting/,Cody Ray Miller,94.99,11.39,4.0(191 ratings),IT & Software,,Linux
Linux Shell Programming for Beginners,www.udemy.com/course/linux-shell-programming-for-beginners/,Eduonix Learning Solutions,39.99,11.99,4.4(512 ratings),IT & Software,,Linux
"Linux Bootcamp : Command Line, AWK and SED, vi editor, GREP",www.udemy.com/course/linux-commands/,Deepali Srivastava,149.99,11.99,4.6(190 ratings),IT & Software,,Linux
Linux KVM for System Engineers,www.udemy.com/course/linux-kvm-for-system-engineers/,Yogesh Mehta,29.99,11.99,4.2(212 ratings),IT & Software,,Linux
A Complete Guide on Linux LVM,www.udemy.com/course/a-complete-guide-on-linux-lvm/,Shikhar Verma,34.99,11.99,4.4(32 ratings),IT & Software,,Linux
Perfect 3 Days Linux Course,www.udemy.com/course/perfect-3-days-linux-course/,Imran Afzal,199.99,11.99,4.3(106 ratings),IT & Software,,Linux
Linux Crash Course For Beginners,www.udemy.com/course/learn-linux-on-a-weekend/,Imran Afzal,199.99,11.99,4.9(35 ratings),IT & Software,,Linux
Linux OS Mastery,www.udemy.com/course/linux-mastery-course/,Mustafa Mahmoud,199.99,11.99,4.5(24 ratings),IT & Software,,Linux
Asterisk Made Easy: Learn to Install Asterisk and Linux,www.udemy.com/course/how-to-install-asterisk-on-centos-linux-video/,Jon Manning,44.99,11.99,4.5(696 ratings),IT & Software,,Linux
COMPLETE Red Hat Server Administration: RHCE 2019,www.udemy.com/course/rhel-red-hat-enterprise-linux-essentials/,Harshit Srivastava,64.99,11.99,4.2(84 ratings),IT & Software,,Linux
CompTIA Linux+ (LX0-103 and LX0-104) (Part 2 of 2),www.udemy.com/course/comptia-linux-2009-part-2-of-part2/,Stone River eLearning,19.99,11.99,4.2(12 ratings),IT & Software,,Linux
Linux Logical Volume Manager (LVM),www.udemy.com/course/linux-logical-volume-manager-lvm/,Jason Cannon,149.99,11.99,4.6(46 ratings),IT & Software,,Linux
Linux Basics: All You Need To Know To Start,www.udemy.com/course/introduction-to-linux-centos-7/,Muhammed Torkey,99.99,11.99,"4.3(3,445 ratings)",IT & Software,,Linux
Linux: Linux Security Masterclass: 3-in-1,www.udemy.com/course/linux-linux-security-masterclass-3-in-1/,Packt Publishing,199.99,11.99,4.1(16 ratings),IT & Software,,Linux
System C/C++ Project : Design and Implement Timer/Schedulers,www.udemy.com/course/wheeltimers/,Abhishek Sagar,19.99,11.99,4.3(8 ratings),IT & Software,,Linux
Learning Linux Device Drivers Development,www.udemy.com/course/learning-linux-device-drivers-development/,Packt Publishing,124.99,11.99,2.6(20 ratings),IT & Software,,Linux
Debian Linux Server Setup and Administration Essentials,www.udemy.com/course/linux-server-setup-essentials-for-business-and-personal-use/,Aleksey Grebeshkov,189.99,11.99,4.2(128 ratings),IT & Software,,Linux
