Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Mega Digital Marketing Course A-Z: 12 Courses in 1 + Updates,www.udemy.com/course/digital-marketing-strategy-course-wordpress-seo-instagram-facebook/,Pouya Eti • Digital Marketing Expert,199.99,11.39,"4.4(1,866 ratings)",Marketing,,Marketing Strategy
Modern Marketing with Seth Godin,www.udemy.com/course/modern-marketing-with-seth-godin/,Seth Godin,0,199.99,4.5(440 ratings),Marketing,,Marketing Strategy
"Digital Marketing Masterclass:Get Your First 1,000 Customers",www.udemy.com/course/how-to-get-your-first-1000-customers/,Evan Kimbrell,199.99,11.39,"4.5(1,675 ratings)",Marketing,,Marketing Strategy
Affiliate Marketing In 1 Day: Home Business Success 2020,www.udemy.com/course/make-money-with-affiliate-marketing-earn-passive-income/,Alex Genadinik,39.99,11.39,4.5(969 ratings),Marketing,,Marketing Strategy
Marketing Psychology: How To Become A Master Of Influence,www.udemy.com/course/marketing-psychology-how-to-become-a-master-of-influence/,Vladimir Raykov,199.99,11.39,4.3(738 ratings),Marketing,,Marketing Strategy
Critical Skills to Sell Effectively on Weixin,www.udemy.com/course/benefit-selling-model/,WeMediaTech Pte. Ltd.,0,199.99,5.0(2 ratings),Marketing,,Marketing Strategy
Marketing Analytics: Stand Out by Becoming an Analytics Pro!,www.udemy.com/course/learn-marketing-analytics/,Nate @ Wisdify,44.99,11.39,4.4(863 ratings),Marketing,,Marketing Strategy
Complete 2019 Marketing MASTERCLASS for Startups and Leaders,www.udemy.com/course/marketing-masterclass/,"Brian Bozarth, M.A. Marketing",199.99,11.39,"4.5(1,224 ratings)",Marketing,,Marketing Strategy
Smart Marketing with Price Psychology,www.udemy.com/course/price-psychology-online-marketing/,"Andrew Luttrell, Ph.D.",149.99,11.39,4.6(899 ratings),Marketing,,Marketing Strategy
Branding & Marketing for Startups: Learn How To Stand Out,www.udemy.com/course/branding-course-online-how-to-build-outstanding-brand/,Mac Piechota,94.99,11.39,"4.4(1,054 ratings)",Marketing,,Marketing Strategy
"SEO & Social Media Marketing Strategy To Reach 1,000,000 Ppl",www.udemy.com/course/marketing-plan-strategy-become-a-great-marketer/,Alex Genadinik,49.99,11.39,"4.4(1,450 ratings)",Marketing,,Marketing Strategy
Marketing: How to Market Yourself as a Coach or Consultant,www.udemy.com/course/how-to-market-yourself-as-a-coach-or-consultant/,Debbie LaChusa,199.99,11.39,4.6(656 ratings),Marketing,,Marketing Strategy
Marketing And Manipulation: A Consumer's Guide,www.udemy.com/course/marketing-and-neuroscience/,Gregory Caremans - Brain Academy,149.99,11.39,4.7(554 ratings),Marketing,,Marketing Strategy
Marketing Fundamentals,www.udemy.com/course/marketing-fundamentals/,Jobs University LLC,19.99,11.39,"4.5(1,316 ratings)",Marketing,,Marketing Strategy
Business Fundamentals: Marketing Strategy,www.udemy.com/course/business-fundamentals-marketing-strategy/,365 Careers,149.99,11.39,4.3(449 ratings),Marketing,,Marketing Strategy
How to Start a Marketing Ad Agency,www.udemy.com/course/marketing-agency/,COURSE ENVY,199.99,11.39,4.9(200 ratings),Marketing,,Marketing Strategy
Digital Advertising & Marketing 101: Take The Complete Guide,www.udemy.com/course/digital-advertising-marketing-101/,Ben Silverstein,199.99,11.99,"4.3(1,154 ratings)",Marketing,,Marketing Strategy
Data Driven Marketing A-Z: Improve Your Campaign Performance,www.udemy.com/course/data-driven-marketing-a-ztm-beginners-guide-to-analytics/,David Tanaskovic,79.99,11.99,4.5(277 ratings),Marketing,,Marketing Strategy
Digital Advertising & Marketing 301: The Professional Course,www.udemy.com/course/digital-advertising-marketing-301-the-professional-course/,Ben Silverstein,199.99,11.99,4.6(57 ratings),Marketing,,Marketing Strategy
"Marketing Customer Analytics, Segmentation, and Targeting",www.udemy.com/course/learn-customer-analytics-market-segmentation-and-targeting/,Mohammad Reza Habibi,199.99,11.99,4.8(31 ratings),Marketing,,Marketing Strategy
Produce your company's winning marketing strategy,www.udemy.com/course/produce-your-companys-winning-marketing-strategy/,Stephanie Gentle,199.99,11.99,4.4(19 ratings),Marketing,,Marketing Strategy
Dirty Marketing Secrets for Viral Website Traffic. No SEO,www.udemy.com/course/quick-and-dirty-website-traffic-secrets/,Uday Byri,199.99,11.99,4.5(276 ratings),Marketing,,Marketing Strategy
Create an Amazing and Profitable Digital Marketing Strategy,www.udemy.com/course/profitable-digital-marketing-strategy/,Gary Shouldis,49.99,11.99,4.8(16 ratings),Marketing,,Marketing Strategy
Marketing Strategy for Business:The Complete Master Guide,www.udemy.com/course/marketing-strategy-for-business/,Oxford Learning Lab,199.99,11.99,4.0(84 ratings),Marketing,,Marketing Strategy
Understanding Strategic Marketing,www.udemy.com/course/understanding-strategic-marketing/,Chris Croft,79.99,11.99,4.4(242 ratings),Marketing,,Marketing Strategy
How to Build a Six Figure Coaching Business,www.udemy.com/course/michael-serwa-how-to-build-a-six-figure-coaching-business/,Michael Serwa,0,199.99,4.4(73 ratings),Marketing,,Marketing Strategy
Instagram Business - Sell On Instagram - Customer Psychology,www.udemy.com/course/instabusiness-instagram-marketing-2019-customer-psychology/,Jun Wu - Instagram Influencer,199.99,11.99,4.8(67 ratings),Marketing,,Marketing Strategy
Marketing Psychology: Learn To Sell With Psychology,www.udemy.com/course/marketing-psychology-learn-to-sell-with-psychology/,Leon Chaudhari,199.99,11.99,4.3(115 ratings),Marketing,,Marketing Strategy
Social Media Contests For Massive Traffic To Your Product,www.udemy.com/course/social-contest-blueprints-for-online-sellers-and-shopify-sites/,Jason Miles,199.99,11.99,4.5(105 ratings),Marketing,,Marketing Strategy
"Wholesale Real Estate Marketing - Buy, Sell and Succeed",www.udemy.com/course/real-estate-investors-fast-track-marketing-blue-print/,Ebonie Caldwell,109.99,11.99,4.2(16 ratings),Marketing,,Marketing Strategy
MBA Business Level Marketing,www.udemy.com/course/mba-business-level-marketing/,Damian Foster,19.99,11.99,4.5(142 ratings),Marketing,,Marketing Strategy
2019 Complete Marketing Masterclass #5 | Content Strategy,www.udemy.com/course/marketing-course-session-5/,"Brian Bozarth, M.A. Marketing",99.99,11.99,4.4(67 ratings),Marketing,,Marketing Strategy
Marketing Fundamentals - Small Business Marketing Success,www.udemy.com/course/smart-marketing-for-small-business-owners/,Alexandra Krieger,94.99,11.99,4.5(104 ratings),Marketing,,Marketing Strategy
Film Festival Guide: Learn How To Submit Your Film Worldwide,www.udemy.com/course/film-festival-guide/,Daniels Joffe,49.99,11.99,3.8(15 ratings),Marketing,,Marketing Strategy
Better Storytelling for Business,www.udemy.com/course/storytelling-for-business-r/,communication360 online,149.99,11.99,4.6(8 ratings),Marketing,,Marketing Strategy
The Complete Marketing Attribution Course,www.udemy.com/course/marketing-attribution/,Mel Restori,89.99,11.99,4.2(61 ratings),Marketing,,Marketing Strategy
10 Offline Marketing Strategies To Promote A Business,www.udemy.com/course/offline-marketing-strategies/,Alex Genadinik,49.99,11.99,4.7(30 ratings),Marketing,,Marketing Strategy
Certification2 Business Coaching Market Research FECBC,www.udemy.com/course/business-coaching-part-2-market-research/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.99,4.3(36 ratings),Marketing,,Marketing Strategy
Marketing Strategy : 21 Digital Marketing Tips & Techniques,www.udemy.com/course/digital-social-media-marketing-principles-tips-techniques-sale/,Alireza Etemadi | Marketing Strategy Expert |,184.99,11.99,4.3(212 ratings),Marketing,,Marketing Strategy
Agile Marketing Training Course,www.udemy.com/course/agile-marketing-training-m/,CXConversion .com,199.99,11.99,4.1(14 ratings),Marketing,,Marketing Strategy
Marketing Psychology: How To Influence Customers To Buy Now,www.udemy.com/course/marketing-psychology-for-digital-marketing-increase-your-influence/,Vladimir Raykov,149.99,11.99,4.3(244 ratings),Marketing,,Marketing Strategy
Marketing Strategies of Consumer Brands  (FMCG/CPG),www.udemy.com/course/marketing-strategy-consumer-brand-fmcg-cpg/,FMCG Academy,199.99,50.00,3.8(3 ratings),Marketing,,Marketing Strategy
Small Business Management and Marketing Essentials,www.udemy.com/course/small-business-management/,Alvaro Santizo,44.99,11.99,4.1(42 ratings),Marketing,,Marketing Strategy
Marketing Fundamentals: Marketing Strategy & Marketing Plan!,www.udemy.com/course/basic-marketing-d/,It's all about Marketing,49.99,11.99,3.5(14 ratings),Marketing,,Marketing Strategy
Hospitality marketing: Help hotels get more direct bookings,www.udemy.com/course/hospitality-marketing/,Jeremiah Magone,29.99,19.99,4.2(41 ratings),Marketing,,Marketing Strategy
Offline Marketing Success for Health Practitioners,www.udemy.com/course/offline-marketing-success-for-health-practitioners/,Karen Bartle,0,194.99,1.0(1 rating),Marketing,,Marketing Strategy
Key Account Management (KAM) Essentials: grow your business,www.udemy.com/course/key-account-management-essentials/,Oxford Learning Lab,94.99,11.99,3.7(3 ratings),Marketing,,Marketing Strategy
Certification6 Business Coaching Marketing Strategy FECBC,www.udemy.com/course/business-coaching-part-6-marketing-strategy/,Fearless Entrepreneur Academy |Business Coaching Experts,199.99,11.99,4.8(15 ratings),Marketing,,Marketing Strategy
The Complete Linux Performance Analysis Course,www.udemy.com/course/linux-performance-analysis-course/,"Smartech Academy, Inc.",199.99,11.99,4.1(13 ratings),Marketing,,Marketing Strategy
Pinterest Marketing for Beginners,www.udemy.com/course/pinterest-marketing-ads/,Robin & Jesper | Digital Marketing Professionals,124.99,11.99,4.3(42 ratings),Marketing,,Marketing Strategy
Search Engine Marketing (SEM): #1 Step-by-Step Tutorial ,www.udemy.com/course/search-engine-marketing-sem-seo-tutorial-2016/,Kent Mauresmo,199.99,11.99,3.8(299 ratings),Marketing,,Marketing Strategy
The Complete Guide to Partnership Marketing Course,www.udemy.com/course/the-complete-guide-to-partnership-marketing-course/,Jim Howard,59.99,11.99,4.1(77 ratings),Marketing,,Marketing Strategy
Marketing Communications for Professional Marketers,www.udemy.com/course/winning-marketing-communications/,Oxford Learning Lab,149.99,11.99,4.4(24 ratings),Marketing,,Marketing Strategy
B2B Marketing Basics,www.udemy.com/course/b2b-marketing-basics/,Cassie Coke,24.99,11.99,4.4(25 ratings),Marketing,,Marketing Strategy
How Exactly To Do PR & Press Release Marketing From Scratch!,www.udemy.com/course/how-to-do-public-relations/,Andrew Miller,19.99,11.99,4.3(5 ratings),Marketing,,Marketing Strategy
"Internet Marketing, Laser Targeted Marketing & Facebook Ads",www.udemy.com/course/laser-targeted-marketing-facebook-ads-2019/,The Elite Team,199.99,11.99,4.9(6 ratings),Marketing,,Marketing Strategy
Target Marketing & Digital Marketing Find Your Tribe & Niche,www.udemy.com/course/target-marketing-find-your-tribe-and-niche/,Joeel & Natalie Rivera,94.99,11.99,4.3(48 ratings),Marketing,,Marketing Strategy
Sell Your Beauty Product - Direct to Consumer or Wholesale,www.udemy.com/course/sell-your-beauty-product-direct-to-consumer-or-wholesale/,Lauren Casgren,139.99,11.99,4.7(3 ratings),Marketing,,Marketing Strategy
Marketing Fundamentals: Basic Essentials For Beginners,www.udemy.com/course/marketing-fundamentals-basic-essentials-for-beginners/,Ali Haider,64.99,11.99,4.3(59 ratings),Marketing,,Marketing Strategy
Marketing Psychology: How to Get People to Buy More & Fast!,www.udemy.com/course/marketing-consumer-psychology-how-to-get-people-to-buy-more-fast/,Basim Salim,199.99,11.99,4.5(30 ratings),Marketing,,Marketing Strategy
Internet Marketing Classroom,www.udemy.com/course/earners-classroom-complete-internet-marketing-course/,Earners Classroom,114.99,11.99,4.3(180 ratings),Marketing,,Marketing Strategy
