Course,URL,instructor,Price (full),Price (discount),Rank
Master Math by Coding in Python,www.udemy.com/course/math-with-python/,Codestars by Rob Percival,199.99,12.59,4.6(222 ratings)
Master the Fundamentals of Math,www.udemy.com/course/fundamentals-of-math/,Krista King,199.99,11.39,"4.7(3,520 ratings)"
Mathematics for Computer Games Development using Unity,www.udemy.com/course/games_mathematics/,Penny de Byl,19.99,11.39,4.7(498 ratings)
Complete High Speed Vedic Math Course,www.udemy.com/course/vedicmaths/,Gaurav Tekriwal,34.99,11.39,4.3(505 ratings)
QC051: Math Prerequisites for Quantum Computing,www.udemy.com/course/mathematics-prerequisites-for-quantum-computing-and-quantum-physics/,Kumaresan Ramanathan,29.99,11.39,4.6(98 ratings)
Fourier and Laplace Transforms,www.udemy.com/course/fourier-and-laplace-transforms/,Ross McGowan,29.99,11.99,4.7(15 ratings)
Deep Learning & Neural Nets  Mathematical Derivations-Part-1,www.udemy.com/course/deep-learning-neural-nets-with-math-derivations-part-1/,Ahmed Fathy Hagar,199.99,11.39,4.5(6 ratings)
Advanced Calculus/Real Analysis with the Math Sorcerer,www.udemy.com/course/advanced-calculusreal-analysis-with-the-math-sorcerer/,The Math Sorcerer,19.99,11.39,4.7(19 ratings)
Abacus Math From Scratch,www.udemy.com/course/abacus-math-from-scratch/,Christine Lee,199.99,12.59,4.2(109 ratings)
Quickly Master Basic Math,www.udemy.com/course/easily-learn-basic-math/,Kevin Ventura,199.99,11.39,4.6(162 ratings)
Faster than Calculator - The Mental Math Tricks & Techniques,www.udemy.com/course/faster-than-calculator-super-speed-your-math/,Rajinder Goswami,99.99,11.39,4.5(130 ratings)
Prep for GRE® Subject Math Exam-Module7:Additional Topics,www.udemy.com/course/gre-subject-math-additional-topics/,Gilad Pagi,0,54.99,4.8(37 ratings)
GMAT® Math | Official Guide 2018,www.udemy.com/course/neatprep/,"Néve Chen, NeatPrep",149.99,37.50,4.3(312 ratings)
Algebra 1 Explained,www.udemy.com/course/algebra-1-explained/,"John Greene, M.A.",49.99,11.39,4.5(19 ratings)
Learn basic high school Maths the easy way!,www.udemy.com/course/learn-basic-high-school-maths-the-easy-way/,Chanda Academy,19.99,11.99,4.6(136 ratings)
Prep for GRE® Subject Math Exam-Module6:Abstract Algebra,www.udemy.com/course/gre-subject-math-prep-module6abstract-algebra/,Gilad Pagi,0,34.99,4.7(33 ratings)
Prep for GRE® Subject Math Exam-Module8:Advanced Methods,www.udemy.com/course/gre-subject-math-advanced/,Gilad Pagi,0,54.99,4.7(16 ratings)
Perfect your  Math Fundamentals,www.udemy.com/course/perfect-your-mathematics-fundamentals/,Ruchi Chhabra,199.99,13.19,4.7(61 ratings)
Calculus of Variations,www.udemy.com/course/calculus-of-variations/,Ross McGowan,29.99,11.39,4.7(14 ratings)
High School Math (Pure Mathematics 1),www.udemy.com/course/high-school-math-pure-mathematics-1/,Ruchi Chhabra,199.99,12.59,4.2(19 ratings)
