Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
MINDFULNESS MEDITATION with Jack Kornfield,www.udemy.com/course/mindfulness-meditation-jack-kornfield/,"Jack Kornfield, Ph.D.",49.99,11.99,4.5(315 ratings),Health & Fitness,,Meditation
Meditation Practitioner / Teacher Certification (ACCREDITED),www.udemy.com/course/meditation-practitioner-teacher-certification-accredited/,Graham Nicholls,199.99,11.99,4.7(330 ratings),Health & Fitness,,Meditation
Learn Meditation with Certification to Guide + 10 MP3 Audios,www.udemy.com/course/learn-to-meditate/,Melissa Crowhurst,104.99,11.99,"4.7(1,227 ratings)",Health & Fitness,,Meditation
"Sounds True's Freedom to Choose Something Different, Part 1",www.udemy.com/course/freedom-to-choose-something-different-by-pema-chodron-pt-1/,Pema Chödrön,199.99,11.99,"4.6(6,486 ratings)",Health & Fitness,,Meditation
Power of the Mind in Health and Healing,www.udemy.com/course/power-of-the-mind-in-health-and-healing/,"Keith R. Holden, M.D.",149.99,11.99,4.6(908 ratings),Health & Fitness,,Meditation
Meditation for Beginners: How to Meditate Deeply & Quickly,www.udemy.com/course/meditation-for-beginners-learn-to-be-free-from-anxiety-now/,Ken Wells,199.99,11.99,4.4(803 ratings),Health & Fitness,,Meditation
Mindfulness for Anxiety and Sleep - with Tara Brach,www.udemy.com/course/heal-anxiety-sleep-easily-tara-brach/,"Tara Brach, Ph.D.",49.99,11.99,4.5(434 ratings),Health & Fitness,,Meditation
How To Create & Sell Your Own Guided Meditations from Home,www.udemy.com/course/how-to-create-and-sell-your-own-meditation-audios-from-home/,Billy Allen,199.99,11.99,4.6(734 ratings),Health & Fitness,,Meditation
Yoga Nidra Facilitators Course: Teacher Training Program,www.udemy.com/course/yoga-nidra-facilitators-course-teacher-training-program/,Tripura Yoga,44.99,11.99,4.4(97 ratings),Health & Fitness,,Meditation
"Sounds True's Freedom to Choose Something Different, Part 2",www.udemy.com/course/freedom-to-choose-something-different-by-pema-chodron-pt-2/,Pema Chödrön,199.99,11.99,4.7(975 ratings),Health & Fitness,,Meditation
Fully Accredited Complete Meditation Certification Diploma,www.udemy.com/course/complete-meditation-for-all-fully-accredited-course/,Dr Karen E Wells,94.99,11.99,4.5(532 ratings),Health & Fitness,,Meditation
Taoist Meditation Course & Guided Meditation,www.udemy.com/course/taoist-meditation-course-taoism-guided-meditation/,Master Gu,44.99,11.99,4.5(321 ratings),Health & Fitness,,Meditation
Meditation and the Evolution of Consciousness with Daaji,www.udemy.com/course/the-evolution-of-consciousness-heartfulness-meditation/,Kamlesh D. Patel,19.99,11.99,"4.5(1,556 ratings)",Health & Fitness,,Meditation
Meditation and Mudras,www.udemy.com/course/meditation-mudras/,Lisa Powers,199.99,11.99,4.7(417 ratings),Health & Fitness,,Meditation
Master Meditation - Creating & Selling Meditation Recordings,www.udemy.com/course/master-meditation-creating-selling-meditation-recordings/,Dr Karen E Wells,94.99,11.99,4.1(33 ratings),Health & Fitness,,Meditation
Sacred Sound & Breath Meditation,www.udemy.com/course/sound-breath-meditation/,Lisa Powers,49.99,11.99,4.7(244 ratings),Health & Fitness,,Meditation
Awakening - A complete meditation and mind training course,www.udemy.com/course/meditation-course/,Michaël Bijker,199.99,11.39,5.0(14 ratings),Health & Fitness,,Meditation
Sounds True Presents: Good Medicine,www.udemy.com/course/good-medicine-by-pema-chodron/,Pema Chödrön,79.99,13.79,"4.6(1,016 ratings)",Health & Fitness,,Meditation
Meditation For Warriors - Subjective Pathworking Meditation,www.udemy.com/course/warrior-pathworking/,Chris Pizzo,99.99,11.39,4.8(20 ratings),Health & Fitness,,Meditation
OCTASCENSION PRACTICE BASIC LEVEL,www.udemy.com/course/octascension-practice-basic-level/,Demian Haye Magic Vibrations Healing,79.99,11.39,4.9(12 ratings),Health & Fitness,,Meditation
Chakras Ascension Codes : Part 1,www.udemy.com/course/chakras-ascension-codes-part-1/,Demian Haye Magic Vibrations Healing,39.99,11.39,4.7(50 ratings),Health & Fitness,,Meditation
Chakras Activation part 2,www.udemy.com/course/chakras-activation-part-2/,Demian Haye Magic Vibrations Healing,49.99,11.39,4.9(41 ratings),Health & Fitness,,Meditation
Certified Discover How to Chakra Dance and do Meditation,www.udemy.com/course/chakra-dance-and-meditate-the-fun-way-to-renewed-health/,Sharon Ramel,94.99,11.39,4.3(116 ratings),Health & Fitness,,Meditation
Flourishing in Stressful Times - with Tara Brach,www.udemy.com/course/flourishing-in-stressful-times-with-tara-brach/,"Tara Brach, Ph.D.",49.99,11.39,"4.2(1,017 ratings)",Health & Fitness,,Meditation
Complete Energy Healing + Reiki + Meditation Certification,www.udemy.com/course/iamhealingprogram/,Mohmood Valimohamed,179.99,11.39,4.9(40 ratings),Health & Fitness,,Meditation
Diploma in Meditation|Meditation for Beginner to Advanced,www.udemy.com/course/diploma-in-meditationmeditation-for-beginner-to-advanced/,Akash Sehrawat,199.99,11.39,4.1(168 ratings),Health & Fitness,,Meditation
The Art of Mindfulness Meditation:  Mindfulness Made Simple,www.udemy.com/course/mindfulness-meditation/,Ken Wells,199.99,11.39,4.4(227 ratings),Health & Fitness,,Meditation
Energize Your Life - Complete Wellbeing Certification Course,www.udemy.com/course/energize-your-life-complete-wellbeing-program/,Ashwani Deswal,44.99,11.39,4.9(8 ratings),Health & Fitness,,Meditation
Advanced Guided Meditations!,www.udemy.com/course/advanced-guided-meditations/,NIKOLAOS BARALOS,39.99,11.39,4.7(73 ratings),Health & Fitness,,Meditation
