Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Microsoft Azure cloud - Beginner Bootcamp (Updated Sep 2019),www.udemy.com/course/the-complete-walkthrough-of-microsoft-azure-services/,Varma Rudra,99.99,11.99,"4.4(2,275 ratings)",IT & Software,,Microsoft Azure
AZ-301 Azure Architect Design Exam Prep 2020,www.udemy.com/course/az301-azure/,"Scott Duffy  • 200,000+ Students",79.99,11.99,4.2(255 ratings),IT & Software,,Microsoft Azure
A-Z Machine Learning using Azure Machine Learning (AzureML),www.udemy.com/course/machine-learning-using-azureml/,Jitesh Khurkhuriya,99.99,11.99,"4.5(1,581 ratings)",IT & Software,,Microsoft Azure
Microsoft Azure Solutions (Exam 70-533) – 9 Course Bundle,www.udemy.com/course/azure-cloud-services-6-course-bundle/,Intellezy Trainers,199.99,11.99,"4.3(1,590 ratings)",IT & Software,,Microsoft Azure
Learn Azure DevOps CI/CD pipelines,www.udemy.com/course/azure-devops-ci-cd-pipelines/,Houssem Dellai,39.99,11.99,4.2(368 ratings),IT & Software,,Microsoft Azure
Exam AZ-300: Microsoft Azure Architect Technologies,www.udemy.com/course/az-102-azure-administrator-certification-transition/,Alan Rodrigues,149.99,11.99,4.5(389 ratings),IT & Software,,Microsoft Azure
Azure DevOps Boards for Project Managers/Analyst/Developers,www.udemy.com/course/azure-devops-for-project-managers-analyst/,Patrick Videos,19.99,11.99,4.4(732 ratings),IT & Software,,Microsoft Azure
Learning Terraform on Microsoft Azure,www.udemy.com/course/learning-terraform-on-microsoft-azure/,L11 Training,34.99,11.99,4.4(475 ratings),IT & Software,,Microsoft Azure
Microsoft Intune Training,www.udemy.com/course/intune-training/,Pavan Kumar,19.99,11.99,3.8(93 ratings),IT & Software,,Microsoft Azure
Azure Data Factory V2: Hands on practical course,www.udemy.com/course/azure-data-factory-v2/,Amit Navgire,49.99,11.99,4.1(105 ratings),IT & Software,,Microsoft Azure
Azure - Active Directory,www.udemy.com/course/azure-active-directory/,Intellezy Trainers,39.99,11.99,"4.3(1,084 ratings)",IT & Software,,Microsoft Azure
"A to Z of Azure Network services - Covers AZ 300, 103 & more",www.udemy.com/course/the-complete-walkthrough-of-azure-network-services/,Varma Rudra,49.99,11.99,4.5(656 ratings),IT & Software,,Microsoft Azure
Azure Fundamentals: AZ-900 Certification,www.udemy.com/course/azure-fundamentals-az-900-certification/,Kevin Brown,99.99,11.99,4.4(188 ratings),IT & Software,,Microsoft Azure
"Azure Data Lake, Data Factory and HDInsight for beginners",www.udemy.com/course/microsoft-azure-database-and-analytics/,Eshant Garg,99.99,11.99,3.8(83 ratings),IT & Software,,Microsoft Azure
AZ-900: Microsoft Azure Fundamentals Certification,www.udemy.com/course/az-900-microsoft-azure-fundamentals-certification/,Anand Nednur,34.99,11.99,4.2(241 ratings),IT & Software,,Microsoft Azure
The complete walkthrough of Azure Virtual machines,www.udemy.com/course/deploy-and-manage-azure-virtual-machines/,Varma Rudra,44.99,11.99,4.4(108 ratings),IT & Software,,Microsoft Azure
LEARNING PATH: Azure: Explore Azure Functions and Logic Apps,www.udemy.com/course/learning-path-azure-explore-azure-functions-and-logic-apps/,Packt Publishing,199.99,11.39,4.3(244 ratings),IT & Software,,Microsoft Azure
Azure Administrator: AZ-103,www.udemy.com/course/azure-administrator-az-103/,Kevin Brown,199.99,11.39,4.7(20 ratings),IT & Software,,Microsoft Azure
Introduction to Microsoft Azure IoT,www.udemy.com/course/introduction-to-microsoft-azure-iot/,Venkatesh Varadachari,199.99,11.39,4.5(30 ratings),IT & Software,,Microsoft Azure
