Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Office 365 Administration (Exam 70-346),www.udemy.com/course/office-365-administration-exam-70-346/,Intellezy Trainers,64.99,15.59,"4.4(3,544 ratings)",Office Productivity,,Microsoft Office 365
Microsoft 365 Identity And Services (Exam MS-100),www.udemy.com/course/microsoft-365-identity-and-services-exam-ms-100/,Intellezy Trainers,64.99,15.59,4.3(224 ratings),Office Productivity,,Microsoft Office 365
Mastering Office 365 (2019),www.udemy.com/course/mastering-office-365-2016/,Chip Reaves,39.99,14.99,"4.3(1,350 ratings)",Office Productivity,,Microsoft Office 365
Crash Course to pass the Microsoft 365 Fundamentals MS-900,www.udemy.com/course/crash-course-to-pass-the-microsoft-365-fundamentals-ms-900/,Andre Hiotis,39.99,11.39,4.1(216 ratings),Office Productivity,,Microsoft Office 365
Office 365 SharePoint Sites,www.udemy.com/course/office-365-sites/,Intellezy Trainers,49.99,14.99,4.3(989 ratings),Office Productivity,,Microsoft Office 365
Microsoft Office Essential Skills,www.udemy.com/course/microsoft-office-essential-skills/,David Millard,39.99,14.99,4.5(582 ratings),Office Productivity,,Microsoft Office 365
Microsoft Office 2016 Essential Training: 9 Course Bundle,www.udemy.com/course/microsoft-office-2016-training-course-bundle/,Simon Sez IT,199.99,15.59,4.3(588 ratings),Office Productivity,,Microsoft Office 365
Migrating from Microsoft Exchange to O365,www.udemy.com/course/migrating-from-microsoft-exchange-to-o365/,Thomas Mitchell,39.99,14.99,4.5(540 ratings),Office Productivity,,Microsoft Office 365
Office 365 - Exchange Online - Beginner to Professional 2019,www.udemy.com/course/o365exchangeonline/,Andy Petrovic,59.99,15.59,4.4(194 ratings),Office Productivity,,Microsoft Office 365
Master Microsoft Office 365,www.udemy.com/course/microsoft-office-365-en/,SONIC Performance Support - E-Learning Experts,19.99,11.99,4.4(215 ratings),Office Productivity,,Microsoft Office 365
Practical Office 365 Administration,www.udemy.com/course/practical-office-365-administration/,Packt Publishing,124.99,14.99,4.0(118 ratings),Office Productivity,,Microsoft Office 365
Microsoft Exchange Hybrid Migration to Office 365,www.udemy.com/course/microsoft-exchange-hybrid-migration-to-office-365/,Ashraf Ismail,19.99,11.99,4.2(283 ratings),Office Productivity,,Microsoft Office 365
Office 365 Planner,www.udemy.com/course/office-365-planner/,Intellezy Trainers,29.99,14.99,4.4(109 ratings),Office Productivity,,Microsoft Office 365
