Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
The Ultimate Microsoft Office 2016 Training Bundle,www.udemy.com/course/the-ultimate-microsoft-office-2016-training-bundle/,Simon Sez IT,199.99,19.79,"4.4(2,111 ratings)",Office Productivity,,Microsoft Office
"Microsoft Office; Excel, Word & PowerPoint 2019 - Beginners",www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word/,Simon Sez IT,49.99,14.99,4.2(31 ratings),Office Productivity,,Microsoft Office
The Ultimate Microsoft Office 2013 Training Bundle 71 Hours,www.udemy.com/course/microsoft-office-2013-training-courses/,Simon Sez IT,199.99,15.59,4.5(384 ratings),Office Productivity,,Microsoft Office
The Ultimate Microsoft Office 2010 Training Bundle  48 Hours,www.udemy.com/course/the-ultimate-microsoft-office-2010-training-bundle/,Simon Sez IT,199.99,14.99,4.5(288 ratings),Office Productivity,,Microsoft Office
"Microsoft Excel, Outlook and Word 2016 for Beginners",www.udemy.com/course/microsoft-excel-outlook-and-word-2016-training-course-for-beginners/,Simon Sez IT,144.99,14.99,4.1(159 ratings),Office Productivity,,Microsoft Office
Microsoft Office Shortcuts and Speed Tips,www.udemy.com/course/office-shortcuts/,Christopher Boykin,79.99,14.99,4.4(948 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2010 Made Easy,www.udemy.com/course/office-2010-made-easy/,Dr. Harold L. Fisher,19.99,11.39,4.3(170 ratings),Office Productivity,,Microsoft Office
MS Office 2013: 10-in-1 Courses To Maximize Productivity,www.udemy.com/course/microsoft-office-2013-training-course-bundle/,Simon Sez IT,199.99,13.19,3.7(299 ratings),Office Productivity,,Microsoft Office
Ultimate Microsoft Office Productivity Tips ,www.udemy.com/course/boost-productivity-with-8-simple-tips-from-microsoft-office/,Kyle Pew,39.99,11.39,4.5(113 ratings),Office Productivity,,Microsoft Office
Microsoft Excel and PowerPoint Training With Certificate,www.udemy.com/course/microsoft-excel-and-powerpoint-training-with-certificate/,Startup Saturdays,19.99,11.39,3.8(128 ratings),Office Productivity,,Microsoft Office
Microsoft Office Time-Saving Techniques,www.udemy.com/course/microsoft-office-2013-time-saving-tools-for-the-office-newb/,Kyle Pew,39.99,11.39,4.6(87 ratings),Office Productivity,,Microsoft Office
MS Office 2010 Complete Training - Beginner to Expert Level,www.udemy.com/course/ms-office-2010-complete-training/,Himanshu Dhar,49.99,11.39,4.0(28 ratings),Office Productivity,,Microsoft Office
Learn how to simplified HR Reports,www.udemy.com/course/learn-how-to-simplified-hr-reports-like-a-pro/,Info Trek,34.99,11.39,4.8(27 ratings),Office Productivity,,Microsoft Office
Microsoft Sway Essentials,www.udemy.com/course/microsoft-sway-essentials/,Chip Reaves,24.99,11.39,4.3(61 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2016 Essentials: 5 Course Bundle,www.udemy.com/course/microsoft-office-2016-essentials-5-course-training-bundle/,Simon Sez IT,199.99,11.39,3.9(37 ratings),Office Productivity,,Microsoft Office
MS Office - Advanced - Efficiency Training,www.udemy.com/course/ms-office-efficiency/,Learn iT! Anytime,24.99,11.39,4.4(131 ratings),Office Productivity,,Microsoft Office
Microsoft Excell ( Conditional formatting),www.udemy.com/course/microsoft-excell-conditional-formatting/,Denis Kulikov,104.99,11.39,3.3(19 ratings),Office Productivity,,Microsoft Office
Working With Microsoft Office On The iPad ,www.udemy.com/course/working-with-microsoft-office-on-the-ipad/,Infinite Skills,49.99,11.39,4.7(10 ratings),Office Productivity,,Microsoft Office
PowerPoint 2016 Essentials for Mac - In-depth training,www.udemy.com/course/powerpoint-2016-essentials-for-mac/,ITPro TV,99.99,11.39,3.9(5 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2016 Bundle - Maximize your productivity!,www.udemy.com/course/microsoft-office-2016-bundle-maximize-your-productivity/,ABC Tuts,149.99,11.39,4.0(24 ratings),Office Productivity,,Microsoft Office
The Business Guide to Microsoft Office,www.udemy.com/course/the-business-guide-to-microsoft-office/,Elizabeth Nofs,199.99,11.39,4.7(6 ratings),Office Productivity,,Microsoft Office
Learn What's New in Microsoft Office 2016!,www.udemy.com/course/new-in-office-2016/,SONIC Performance Support - E-Learning Experts,19.99,11.39,3.9(4 ratings),Office Productivity,,Microsoft Office
Office 2016 Integrated Solution Development,www.udemy.com/course/office-2016-integrated-solution-development/,Russell Mangum,19.99,11.39,4.3(12 ratings),Office Productivity,,Microsoft Office
"Word 2016 Advanced for MAC - Intermediate, in-depth training",www.udemy.com/course/word-2016-advanced-for-mac/,ITPro TV,99.99,11.39,4.0(1 rating),Office Productivity,,Microsoft Office
Microsoft Word: Become Word Expert in 5 Days Urdu/Hindi,www.udemy.com/course/excel-live-classroom/,Accountech Training & Solutions,164.99,11.39,4.7(6 ratings),Office Productivity,,Microsoft Office
Learn What's New in Office 2013,www.udemy.com/course/learn-whats-new-in-office-2013/,ClipTraining LLC,29.99,11.39,4.1(5 ratings),Office Productivity,,Microsoft Office
Mastering Microsoft Office 2010 Training Tutorial,www.udemy.com/course/mastering-microsoft-office-2010-made-easy-training-tutorial/,"TeachUcomp, Inc.",29.99,11.39,3.9(9 ratings),Office Productivity,,Microsoft Office
Word 2016 Expert - In-depth training for long documents,www.udemy.com/course/word-2016-expert/,ITPro TV,99.99,11.39,4.7(2 ratings),Office Productivity,,Microsoft Office
Office 2010 New Features,www.udemy.com/course/cwoffice-2010-new-features/,Intellezy Trainers,39.99,11.39,4.5(17 ratings),Office Productivity,,Microsoft Office
"Excel 2016 Advanced for Mac- Intermediate, in-depth training",www.udemy.com/course/excel-2016-advanced-for-mac/,ITPro TV,99.99,11.39,4.3(2 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2019: New Features,www.udemy.com/course/microsoft-office-2019-new-features/,Integrity Training,49.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
Office 2019 New Features - Beginner,www.udemy.com/course/office-2019-new-features-beginner/,Intellezy Trainers,39.99,11.39,5.0(2 ratings),Office Productivity,,Microsoft Office
"Office 2013 For Dummies Video Training, Deluxe Edition",www.udemy.com/course/office-2013-for-dummies-video-training-deluxe-edition/,John Wiley & Sons,49.99,11.39,4.1(18 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2016 Excel Basic,www.udemy.com/course/microsoft-office-2016-excel-basic/,Integrity Training,199.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2013: PowerPoint,www.udemy.com/course/microsoft-office-2013-powerpoint/,Stone River eLearning,199.99,11.39,4.5(3 ratings),Office Productivity,,Microsoft Office
Getting Started With Microsoft Office 2010 Tutorial,www.udemy.com/course/getting-started-with-microsoft-office-2010/,Infinite Skills,49.99,11.39,3.9(9 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2013: Outlook,www.udemy.com/course/microsoft-office-2013-outlook/,Stone River eLearning,199.99,11.39,4.6(3 ratings),Office Productivity,,Microsoft Office
Microsoft Office Tips and Tricks: Get in Pro Mode,www.udemy.com/course/microsoft-office-tips-and-tricks-get-in-pro-mode-in-no-time-word-excel/,Coding Academy,99.99,11.39,3.6(80 ratings),Office Productivity,,Microsoft Office
"PowerPoint 2016 Essentials - Beginner, in-depth training",www.udemy.com/course/powerpoint-2016-essentials/,ITPro TV,99.99,11.39,4.1(2 ratings),Office Productivity,,Microsoft Office
PowerPoint 2016 Advanced - In-depth training,www.udemy.com/course/powerpoint-2016-advanced-itprotv/,ITPro TV,99.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
Office 2007 New Features,www.udemy.com/course/cwoffice-2007-new-features/,Intellezy Trainers,39.99,11.39,5.0(1 rating),Office Productivity,,Microsoft Office
PowerPoint Presentation Design for 2016 | PPT Online Course,www.udemy.com/course/office-pro-text-editing-tricks-shortcuts-and-pdf-recipes/,Yoda Learning,19.99,11.39,4.3(2 ratings),Office Productivity,,Microsoft Office
Microsoft Word Learning Made Easy,www.udemy.com/course/learn-microsoft-office-from-base-to-advance/,Pardeep Sharma,34.99,11.39,2.5(3 ratings),Office Productivity,,Microsoft Office
Awesome MS Office Tips You Must Know to Thrive @ Workplace,www.udemy.com/course/awesome-ms-office-tips-you-must-know-to-thrive-workplace/,Dr. Adrian Low,19.99,11.39,4.1(66 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2013: Excel,www.udemy.com/course/microsoft-office-2013-excel/,Stone River eLearning,199.99,11.39,4.0(1 rating),Office Productivity,,Microsoft Office
What's New in Office 2013 and Windows 8?,www.udemy.com/course/whats-new-in-office-2013-and-windows-8/,SONIC Performance Support - E-Learning Experts,19.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
Gain Focus in Your Day with Microsoft To Do,www.udemy.com/course/microsoft-to-do/,Adam Steinfurth,19.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
"Excel 2016 Essentials for Mac - Beginner, in-depth training",www.udemy.com/course/excel-2016-essentials-for-mac/,ITPro TV,99.99,11.39,4.0(1 rating),Office Productivity,,Microsoft Office
Technological Adaptability,www.udemy.com/course/technological-adaptability1/,Melonie R McMichael,19.99,11.99,5.0(1 rating),Office Productivity,,Microsoft Office
The College Guide to Microsoft Office 2013,www.udemy.com/course/the-college-guide-to-microsoft-office-2013/,Elizabeth Nofs,199.99,11.99,4.3(2 ratings),Office Productivity,,Microsoft Office
Take your Excel Skills to the Next Level,www.udemy.com/course/take-your-excel-skills-to-the-next-level/,Joshua Hamilton,19.99,11.99,0.0(0 ratings),Office Productivity,,Microsoft Office
Learn What's New in Office 2010,www.udemy.com/course/learn-whats-new-in-office-2010/,ClipTraining LLC,19.99,11.99,0.0(0 ratings),Office Productivity,,Microsoft Office
What's New in Office 2010 and Windows 7?,www.udemy.com/course/whats-new-in-office-2010-and-windows-7/,SONIC Performance Support - E-Learning Experts,19.99,11.99,4.7(3 ratings),Office Productivity,,Microsoft Office
Upgrading from Office 2003 to Office 2010 - Essentials,www.udemy.com/course/2003-2010/,VideoTraining Online,19.99,11.99,0.0(0 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2013: Access,www.udemy.com/course/microsoft-office-2013-access/,Stone River eLearning,199.99,11.99,4.9(6 ratings),Office Productivity,,Microsoft Office
"Learn Microsoft Word, PowerPoint & Outlook In 90 Minutes!",www.udemy.com/course/learn-microsoft-word-powerpoint-outlook-in-90-minutes/,MyExcelOnline John Michaloudis,199.99,11.99,4.2(13 ratings),Office Productivity,,Microsoft Office
Office 2013 New Features - Learn Now!,www.udemy.com/course/office-2013-new-features/,Learn iT! Anytime,39.99,11.99,4.0(2 ratings),Office Productivity,,Microsoft Office
Radically Easy Microsoft Office Integration 1.0,www.udemy.com/course/radically-easy-microsoft-office-integration-10/,Joy Jolie,19.99,11.99,4.3(3 ratings),Office Productivity,,Microsoft Office
Office 2013 New Features,www.udemy.com/course/office-2013-new-features2/,Intellezy Trainers,39.99,11.99,4.0(11 ratings),Office Productivity,,Microsoft Office
Office 2016 New Features,www.udemy.com/course/office-2016-new-features/,Intellezy Trainers,39.99,11.99,4.3(3 ratings),Office Productivity,,Microsoft Office
Quickmigration Office 2003 to 2010 migration training,www.udemy.com/course/migration-training-office-2003-2010/,Erwin Nelissen,0,Free,4.1(107 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2016 Suite of Applications,www.udemy.com/course/microsoft-office-2016-suite-of-applications/,Dr. Jeelani S. F.,0,Free,4.1(263 ratings),Office Productivity,,Microsoft Office
PowerPoint for Business - a Beginners Guide to Presentations,www.udemy.com/course/powerpoint-for-business-a-beginners-guide-to-presentations/,Lita Doolan,0,Free,3.8(6 ratings),Office Productivity,,Microsoft Office
Das große Microsoft Office 2016 - 2019 Einsteiger Training,www.udemy.com/course/das-grosse-microsoft-office-2016-fur-einsteiger-und-umsteiger/,René Fürst,94.99,11.99,4.5(311 ratings),Office Productivity,,Microsoft Office
Pacote Office - Microsoft Office Essencial Todas as Versões.,www.udemy.com/course/pacote-office-essencial/,Wagner Cardoso,19.99,11.99,"4.7(2,017 ratings)",Office Productivity,,Microsoft Office
Microsoft Office 2016 de A à Z | Guide Complet,www.udemy.com/course/microsoft-office-2016-fr/,Michel Martin,194.99,11.99,4.1(237 ratings),Office Productivity,,Microsoft Office
Microsoft Office - Word e Excel Iniciante ao Intermediário,www.udemy.com/course/excel-completo-do-basico-ao-dinamico/,Wagner Cardoso,19.99,11.99,4.8(481 ratings),Office Productivity,,Microsoft Office
Corso sul Pacchetto OFFICE 2016,www.udemy.com/course/corso-sul-pacchetto-office-2016/,Lezione online,199.99,11.99,4.5(138 ratings),Office Productivity,,Microsoft Office
"Pacote Office - Word, Excel e PowerPoint",www.udemy.com/course/officeessencial/,Luan Murilo de Oliveira e Souza,74.99,11.99,4.2(81 ratings),Office Productivity,,Microsoft Office
Informática Completo do Zero,www.udemy.com/course/curso-de-informatica-completo/,Emerson Serra,199.99,11.99,4.1(231 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2010,www.udemy.com/course/microsoft-office-20102/,Etraining S.A DE C.V,49.99,11.99,4.5(321 ratings),Office Productivity,,Microsoft Office
"Office 2016 (Word, Excel, İleri Excel, PowerPoint, Outlook)",www.udemy.com/course/office-2016-word-excel-ileri-excel-powerpoint-outlook/,Sanal Ogretim Setleri Sanal Ogretim,0,34.99,4.6(44 ratings),Office Productivity,,Microsoft Office
Dominando o Office 2019,www.udemy.com/course/dominando-o-office-2019/,Hugo Vasconcelos,199.99,11.99,4.7(150 ratings),Office Productivity,,Microsoft Office
"Curso Microsoft Office Completo. Word, Excel e Power Point",www.udemy.com/course/curso-expert-em-microsoft-officce-word-excel-e-power-point/,André Rossiter,199.99,11.99,4.6(24 ratings),Office Productivity,,Microsoft Office
"Windows, word, excel, powerpoint, internet em 162 videoaulas",www.udemy.com/course/windows-word-excel-powerpoint-internet-em-162-videoaulas/,Neri Neitzke,34.99,11.99,3.9(211 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2019（Word、Excel、PowerPoint）習得パック,www.udemy.com/course/microsoft-office-2019-pack/,アテイン 株式会社,39.99,11.99,5.0(2 ratings),Office Productivity,,Microsoft Office
Microsoft Office 2010 - Word Excel PowerPoint,www.udemy.com/course/microsoft-office-2010-word-excel-powerpoint/,NeoSistemas Limitada,19.99,11.99,4.1(42 ratings),Office Productivity,,Microsoft Office
Microsoft Excel - O curso completo do Básico ao Avançado,www.udemy.com/course/excel_essencial/,Lucas Prado,39.99,11.99,4.4(98 ratings),Office Productivity,,Microsoft Office
Access e Excel - Microsoft Office para Análise de Dados,www.udemy.com/course/access-e-excel-microsoft-office-365-com-analise-de-dados/,Wagner Cardoso,19.99,11.99,4.1(59 ratings),Office Productivity,,Microsoft Office
"Fonctionnalités avancées de Word, Excel, PowerPoint",www.udemy.com/course/word-excel-powerpoint/,Clément Amzallag,34.99,11.99,3.5(2 ratings),Office Productivity,,Microsoft Office
Office 2013 im Beruf schneller und effizienter anwenden,www.udemy.com/course/office-2013-kurs/,Effektiv Life,194.99,11.39,4.1(7 ratings),Office Productivity,,Microsoft Office
Microsoft Office und Google Drive im Team - das Kompendium!,www.udemy.com/course/microsoft-office-und-google-drive-im-team/,Volker Buntrock,49.99,11.39,0.0(0 ratings),Office Productivity,,Microsoft Office
20 Tipps + Tricks für Office 2010/2013/2016/2019/365,www.udemy.com/course/microsoft-office-kostenlos/,Effektiv Life,49.99,11.39,4.6(47 ratings),Office Productivity,,Microsoft Office
Excel do Zero para Iniciantes ao Expert,www.udemy.com/course/excel-essencial/,Emerson Serra,199.99,11.39,4.3(201 ratings),Office Productivity,,Microsoft Office
Office 2013教材コース（Word、Excel、PowerPoint、Access、Outlook、Win10）,www.udemy.com/course/office-2013-windows-10/,アテイン 株式会社,44.99,11.39,3.8(18 ratings),Office Productivity,,Microsoft Office
Office 2010 im Beruf schneller und effizienter anwenden,www.udemy.com/course/office-2010-kurs/,Effektiv Life,194.99,11.39,3.5(5 ratings),Office Productivity,,Microsoft Office
"Aprenda Windows, Office 2016 e Internet",www.udemy.com/course/aprenda-windows-office-2016-e-internet/,Tiago de Almeida Marchi,74.99,11.39,4.3(46 ratings),Office Productivity,,Microsoft Office
