Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Microsoft Power BI - A Complete Introduction,www.udemy.com/course/powerbi-complete-introduction/,Manuel Lorenz,199.99,14.99,"4.5(22,319 ratings)",Business,,Microsoft Power BI
Microsoft Power BI - Up & Running With Power BI Desktop,www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/,Maven Analytics,199.99,11.39,"4.6(9,445 ratings)",Business,,Microsoft Power BI
Powerful Reports and Dashboards with Microsoft Power BI,www.udemy.com/course/powerful-reports-and-dashboards-with-microsoft-powerbi/,Ian Littlejohn,99.99,11.99,"4.5(2,582 ratings)",Business,,Microsoft Power BI
Microsoft Power BI - Publishing to Power BI Service,www.udemy.com/course/power-bi-service/,Maven Analytics,199.99,11.39,4.6(516 ratings),Business,,Microsoft Power BI
Power BI A-Z: Hands-On Power BI Training For Data Science!,www.udemy.com/course/mspowerbi/,Kirill Eremenko,199.99,11.39,"4.5(5,280 ratings)",Business,,Microsoft Power BI
Power BI Masterclass - beginners to advanced,www.udemy.com/course/power-bi-masterclass-beginners-to-advanced/,Dan We,199.99,14.39,"4.3(1,423 ratings)",Business,,Microsoft Power BI
Power BI Master Class - Data Modeling and DAX Formulas,www.udemy.com/course/power-bi-master-class-data-modelling-and-dax-formulas/,Ian Littlejohn,99.99,15.59,"4.4(1,360 ratings)",Business,,Microsoft Power BI
The Complete Power BI Practical Course 2019,www.udemy.com/course/the-complete-power-bi-practical-course/,365 Careers,199.99,11.39,4.4(66 ratings),Business,,Microsoft Power BI
Microsoft Power BI Business Scenarios,www.udemy.com/course/advanced-microsoft-power-bi-business-scenarios/,BizticsCom King,199.99,11.39,4.4(53 ratings),Business,,Microsoft Power BI
Power BI Master Class - Dashboards and Power BI Service,www.udemy.com/course/power-bi-master-class-dashboards-and-power-bi-service/,Ian Littlejohn,99.99,11.39,4.5(666 ratings),Business,,Microsoft Power BI
Power BI Master Class - Consume and Transform Data,www.udemy.com/course/power-bi-master-class-consume-and-transform-data/,Ian Littlejohn,99.99,11.39,4.3(658 ratings),Business,,Microsoft Power BI
Microsoft Power BI Masterclass - Expand Excellence,www.udemy.com/course/microsoft-power-bi-masterclass-expand-excellence/,Dan We,199.99,11.39,4.4(284 ratings),Business,,Microsoft Power BI
Data Visualization and Interactive Dashboards with Power BI,www.udemy.com/course/data-visualization-and-interactive-dashboards-with-power-bi/,Packt Publishing,199.99,11.39,4.2(45 ratings),Business,,Microsoft Power BI
BI Developer : Learn ( Power BI |SSIS |SSRS |SSAS|DW|T-SQL ),www.udemy.com/course/bi-developer-learn-power-bi-ssis-ssrs-ssasdwt-sql/,Bluelime Learning Solutions,139.99,11.39,3.9(48 ratings),Business,,Microsoft Power BI
Learn Power BI Fast,www.udemy.com/course/learn-power-bi-fast/,Parker Stevens,99.99,11.39,4.5(486 ratings),Business,,Microsoft Power BI
"Power BI Masterclass 8 - Python, Finance, and advanced DAX",www.udemy.com/course/power-bi-masterclass-8-python-finance-and-advanced-dax/,Dan We,194.99,11.39,4.6(58 ratings),Business,,Microsoft Power BI
Microsoft Power BI Desktop - Data Analytics with Dashboards,www.udemy.com/course/power-bi-desktop-sales-dashboard-in-1-hour/,Charlie Walker,94.99,11.99,4.4(251 ratings),Business,,Microsoft Power BI
"Mastering Intermediate DAX - Power BI, Power Pivot & SSAS",www.udemy.com/course/mastering-intermediate-dax-power-bi-power-pivot-ssas/,Paula Guilfoyle,89.99,16.19,4.4(147 ratings),Business,,Microsoft Power BI
Power BI Masterclass - Data Analysis Deep Dive,www.udemy.com/course/power-bi-masterclass-data-analysis-deep-dive/,Dan We,199.99,11.39,4.1(127 ratings),Business,,Microsoft Power BI
Power BI Masterclass - How to use CALCULATE in DAX,www.udemy.com/course/power-bi-masterclass-how-to-use-calculate-in-dax/,Dan We,189.99,11.39,4.6(15 ratings),Business,,Microsoft Power BI
Power BI Essentials: Introduction to Microsoft Power BI,www.udemy.com/course/microsoft-power-bi-introduction/,Grant Gamble,199.99,13.19,4.2(713 ratings),Business,,Microsoft Power BI
"Microsoft Power BI Masterclass 7  Learn DAX, R, and Gateways",www.udemy.com/course/microsoft-power-bi-masterclass-7-learn-dax-r-and-gateways/,Dan We,199.99,11.39,4.3(80 ratings),Business,,Microsoft Power BI
70-778: Analyzing & Visualizing Data with Microsoft Power BI,www.udemy.com/course/analyzing-visualizing-data-with-microsoft-power-bi/,Rahul Kumar,199.99,11.39,3.7(5 ratings),Business,,Microsoft Power BI
Excel 2016 Power BI - 10 Easy Steps for Beginners,www.udemy.com/course/excel-2016-power-bi-10-easy-steps-for-beginners/,Gilly Dow,129.99,11.39,4.6(44 ratings),Business,,Microsoft Power BI
Microsoft Power BI Masterclass™ - A Complete Hands-on Guide,www.udemy.com/course/microsoft-power-bi-hands-on/,Apex Education,199.99,11.39,3.3(12 ratings),Business,,Microsoft Power BI
From Excel Pivot Table to Power BI,www.udemy.com/course/pivot-table-to-power-bi/,Dr. Nitin Paranjape,0,49.99,4.4(748 ratings),Business,,Microsoft Power BI
The Power BI Masterclass - Tips and Tricks,www.udemy.com/course/the-power-bi-masterclass-tips-and-tricks/,Dan We,99.99,11.39,4.5(28 ratings),Business,,Microsoft Power BI
"Power BI Masterclass - DAX, Excel And More",www.udemy.com/course/power-bi-masterclass-dax-excel-and-more/,Dan We,199.99,11.39,4.6(73 ratings),Business,,Microsoft Power BI
"Excel 2016 PowerPivot, PowerQuery, PowerView & BI",www.udemy.com/course/excel-2016-powerpivot-advanced-business-intelligence-tools/,Optima Train,29.99,12.59,3.7(286 ratings),Business,,Microsoft Power BI
Microsoft Power BI Intermediate,www.udemy.com/course/power-bi-intermediate/,Lee Hawthorn,19.99,11.39,4.1(170 ratings),Business,,Microsoft Power BI
Master Microsoft Power BI Dashboards in 90 Minutes!,www.udemy.com/course/master-microsoft-power-bi-dashboards-in-90-minutes/,MyExcelOnline John Michaloudis,199.99,11.39,4.3(12 ratings),Business,,Microsoft Power BI
The Power BI Masterclass - Additional Tips and Tricks,www.udemy.com/course/the-power-bi-masterclass-additional-tips-and-tricks/,Dan We,99.99,11.39,4.7(4 ratings),Business,,Microsoft Power BI
Office 365 Power BI,www.udemy.com/course/office-365-power-bi/,Intellezy Trainers,49.99,11.39,4.3(279 ratings),Business,,Microsoft Power BI
Professional Power BI: Data Visualization and Dashboards,www.udemy.com/course/professional-power-bi-data-visualization-and-dashboards/,Packt Publishing,199.99,11.39,3.9(12 ratings),Business,,Microsoft Power BI
Microsoft Power BI for beginners,www.udemy.com/course/microsoft-power-bi-beginners/,Shivprasad Koirala,19.99,11.39,4.0(37 ratings),Business,,Microsoft Power BI
Power BI - Analyze and Interactively Visualize Business Data,www.udemy.com/course/microsoft-power-bi-training/,SONIC Performance Support - E-Learning Experts,49.99,11.39,4.8(6 ratings),Business,,Microsoft Power BI
Power BI - Tips for your next Data Analytics Project,www.udemy.com/course/power-bi-tips-for-your-next-data-analytics-project/,Dan We,99.99,11.39,4.7(4 ratings),Business,,Microsoft Power BI
Power BI Masterclass - your future in data analytics,www.udemy.com/course/power-bi-masterclass-your-future-in-data-analytics/,Dan We,199.99,11.39,4.4(46 ratings),Business,,Microsoft Power BI
Learn Microsoft Power BI,www.udemy.com/course/learn-microsoft-power-bi/,Lee Hawthorn,19.99,11.39,4.3(215 ratings),Business,,Microsoft Power BI
Power BI Masterclass Business Intelligence in action,www.udemy.com/course/business-intelligence-with-microsoft-power-bi/,Dan We,199.99,11.39,4.2(56 ratings),Business,,Microsoft Power BI
Power BI Bookmarks: A Power BI Game-Changing Feature,www.udemy.com/course/power-bi-bookmarks-and-business-narratives/,Grant Gamble,99.99,11.39,4.4(61 ratings),Business,,Microsoft Power BI
Power BI Masterclass from Scratch in 60 minutes : 2020,www.udemy.com/course/power-bi-in-60-minutes/,Learn Anywhere,199.99,12.59,4.1(159 ratings),Business,,Microsoft Power BI
"Power BI Desktop Combo - Query Editor, Data Modelling, DAX",www.udemy.com/course/power-bi-desktop-combo-query-editor-dax-data-modelling-relationship/,Abhay Gadiya,0,49.99,4.4(5 ratings),Business,,Microsoft Power BI
Power BI  for beginners,www.udemy.com/course/power-bi-for-beginners/,Bluelime Learning Solutions,64.99,11.39,4.3(48 ratings),Business,,Microsoft Power BI
Power BI: From Zero to Hero,www.udemy.com/course/power-bi-from-zero-to-hero-am/,Vardges Zardaryan,99.99,11.39,4.3(17 ratings),Business,,Microsoft Power BI
Power BI Training - 16 Hrs - Learnoa Certification,www.udemy.com/course/power-bi-training-learnoa-certification/,Learnoa .com,114.99,28.75,3.0(1 rating),Business,,Microsoft Power BI
Power BI - Custom Visuals,www.udemy.com/course/power-bi-custom-visuals/,Marek Pilczuk,29.99,11.39,4.6(2 ratings),Business,,Microsoft Power BI
Mastering DAX and Data Models in Power BI Desktop,www.udemy.com/course/power-bi-desktop-dax-data-modeling-relationship-training/,Abhay Gadiya,0,49.99,4.3(2 ratings),Business,,Microsoft Power BI
Microsoft Power BI-A Complete Data Analysis Training Package,www.udemy.com/course/microsoft-power-bi-a-complete-hands-on-training-new-updates/,Deepesh Vashistha,99.99,11.39,4.2(200 ratings),Business,,Microsoft Power BI
Power BI CRASH COURSE : Hands on Practical Demos,www.udemy.com/course/power-bi-essentials-crash-course/,Amit Navgire,19.99,11.39,4.2(9 ratings),Business,,Microsoft Power BI
Building Interactive Dashboards with Microsoft Power BI,www.udemy.com/course/building-interactive-dashboards-with-microsoft-power-bi/,Packt Publishing,124.99,11.39,4.0(7 ratings),Business,,Microsoft Power BI
Microsoft Power BI Complete Course,www.udemy.com/course/microsoft-power-bi-complete-course/,Knowasap Training,199.99,11.39,2.8(2 ratings),Business,,Microsoft Power BI
