Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Master Microsoft Word Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/,Kyle Pew,149.99,11.99,"4.6(4,613 ratings)",Office Productivity,,Microsoft Word
Master Microsoft Word  - Word from Beginner to Advanced,www.udemy.com/course/microsoft-word-from-beginner-to-advanced/,Kirt Kershaw,149.99,11.99,4.7(286 ratings),Office Productivity,,Microsoft Word
Microsoft Word VBA Macro Programming - Introduction,www.udemy.com/course/gcs-microsoft-word-vba-macro-programming-introduction/,Grant Gamble,94.99,11.99,4.2(571 ratings),Office Productivity,,Microsoft Word
Advanced Microsoft Word VBA Macro Programming,www.udemy.com/course/advanced-word-vba-online-course/,Grant Gamble,124.99,11.99,4.6(116 ratings),Office Productivity,,Microsoft Word
"Microsoft Excel, PowerPoint and Word 2016 for Beginners",www.udemy.com/course/microsoft-excel-powerpoint-and-word-2016-course/,Simon Sez IT,199.99,11.99,4.2(448 ratings),Office Productivity,,Microsoft Word
"Microsoft Office: Word, Excel and Access Productivity Bundle",www.udemy.com/course/microsoft-office-word-excel-access/,IsáBel .,199.99,11.99,4.6(192 ratings),Office Productivity,,Microsoft Word
Learn Microsoft Word 2016 For Beginners - Basics to Advanced,www.udemy.com/course/learn-microsoft-word-2016-for-beginners-training/,Simon Sez IT,74.99,11.99,4.8(461 ratings),Office Productivity,,Microsoft Word
Microsoft Word 1: 9 hours to Specialist (intermediate) level,www.udemy.com/course/77-418-session-1improve-ms-word-skills-to-certificate-level/,Phillip Burton,124.99,11.99,4.6(107 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2016: Beginner and Intermediate Training,www.udemy.com/course/microsoft-word-2016-beginner-and-intermediate-training/,365 Careers,94.99,11.99,4.4(200 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2016 - Bootcamp - Zero to Hero training,www.udemy.com/course/microsoft-word-2016-bootcamp-zero-to-hero-training/,Daniel Walter Scott,199.99,11.99,4.8(66 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2: from Intermediate to Expert certification,www.udemy.com/course/microsoft-word-from-intermediate-to-expert-certification/,Phillip Burton,124.99,11.99,4.4(57 ratings),Office Productivity,,Microsoft Word
Microsoft Word for Mac - Office 365 on Mac OS,www.udemy.com/course/word-for-mac/,Colin Marks,39.99,11.99,4.5(82 ratings),Office Productivity,,Microsoft Word
MS Word for Writers,www.udemy.com/course/ms-word-for-writers/,Demi Stevens,199.99,11.99,4.5(21 ratings),Office Productivity,,Microsoft Word
Word 2016 Advanced,www.udemy.com/course/word-2016-advanced/,Intellezy Trainers,39.99,11.99,4.6(103 ratings),Office Productivity,,Microsoft Word
Microsoft Word for Mac - From Beginner to Expert in 5 Hours,www.udemy.com/course/microsoft-word-for-mac/,Todd McLeod,19.99,11.99,4.4(166 ratings),Office Productivity,,Microsoft Word
Master Microsoft Word with Word 2019/365 for Beginners,www.udemy.com/course/microsoft-word-2019-online-course/,Simon Sez IT,29.99,11.99,4.2(2 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2019 for All Levels + Job Guide,www.udemy.com/course/shortest-microsoft-word/,Jed Guinto,19.99,11.39,4.0(879 ratings),Office Productivity,,Microsoft Word
"Format MS Word for Amazon Kindle, Get Beautiful Ebooks",www.udemy.com/course/formatting-ms-word-for-amazon-kindle/,Jason Matthews,99.99,11.39,4.6(75 ratings),Office Productivity,,Microsoft Word
Microsoft Word Level 3 - Advanced Word,www.udemy.com/course/microsoft-word-level-3-advanced-word/,Kirt Kershaw,49.99,11.39,4.4(9 ratings),Office Productivity,,Microsoft Word
Learn Microsoft Word 2016 - From Beginner to Expert,www.udemy.com/course/learn-microsoft-word-2016-from-beginner-to-expert/,Scott Falls,79.99,11.39,4.3(106 ratings),Office Productivity,,Microsoft Word
"Microsoft Word Like a Boss - Get Certified, Master Long Docs",www.udemy.com/course/word-like-a-boss/,Brian Culp,149.99,11.39,4.4(20 ratings),Office Productivity,,Microsoft Word
"Microsoft Word: Forms, Mail Merge, and Field Code Rules",www.udemy.com/course/word-training/,IsáBel .,124.99,11.39,4.4(90 ratings),Office Productivity,,Microsoft Word
"Microsoft Word 2013 Tutorial, Learn To Master Microsoft Word",www.udemy.com/course/microsoft-word-2013/,Infinite Skills,49.99,11.39,4.8(143 ratings),Office Productivity,,Microsoft Word
Microsoft Word Time Saving Tips To Boost Your Productivity ✔,www.udemy.com/course/microsoft-word-tips/,IsáBel .,149.99,11.39,4.5(50 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2013 for Administrative Assistants,www.udemy.com/course/microsoft-word-2013-for-administrative-assistants/,"Therese D. O'Neil, M.Ed.",19.99,18.99,4.8(22 ratings),Office Productivity,,Microsoft Word
Learning Microsoft Word 2016 for Mac,www.udemy.com/course/learning-microsoft-word-2016-for-mac/,Infinite Skills,49.99,11.39,4.8(44 ratings),Office Productivity,,Microsoft Word
Microsoft Word - Labels & Mail Merge for Small Businesses,www.udemy.com/course/microsoft-word-labels-mail-merge/,Kimberly Smith,29.99,11.39,4.9(11 ratings),Office Productivity,,Microsoft Word
Microsoft Word 2019-2016-2013 Course Bundle: 3 In 1,www.udemy.com/course/microsoft-word-2019-bundle/,Syed Ali,199.99,11.39,4.5(27 ratings),Office Productivity,,Microsoft Word
Word 2016 Intermediate,www.udemy.com/course/word-2016-intermediate/,Intellezy Trainers,39.99,11.39,4.7(28 ratings),Office Productivity,,Microsoft Word
Word 2016 The Key Ingredients,www.udemy.com/course/word-2016-the-key-ingredients/,Andy Lanning,19.99,11.39,4.5(225 ratings),Office Productivity,,Microsoft Word
Comprehensive Microsoft Word,www.udemy.com/course/comprehensive-microsoft-word/,Jordan Hudgens,19.99,11.39,4.3(276 ratings),Office Productivity,,Microsoft Word
Microsoft Word Level 2 - Intermediate Word,www.udemy.com/course/microsoft-word-level-2-intermediate-word/,Kirt Kershaw,49.99,11.39,5.0(3 ratings),Office Productivity,,Microsoft Word
The Complete Guide to MS Word,www.udemy.com/course/the-complete-guide-to-ms-word/,Talal El Awar,19.99,11.99,4.0(8 ratings),Office Productivity,,Microsoft Word
