Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
"Music Theory Comprehensive Complete! (Levels 1, 2, & 3)",www.udemy.com/course/music-theory-complete/,Jason Allen,74.99,11.99,"4.5(9,118 ratings)",Music,,Music Theory
"Music Theory Comprehensive Complete: Part 4, 5, & 6",www.udemy.com/course/music-theory-comprehensive-combined-part-4-5-6/,Jason Allen,114.99,11.99,"4.7(1,310 ratings)",Music,,Music Theory
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3",www.udemy.com/course/music-theory-for-electronic-music-complete-parts-1-2-3/,Jason Allen,119.99,11.99,"4.6(4,234 ratings)",Music,,Music Theory
"Music Theory Comprehensive Complete: Part 7, 8, & 9",www.udemy.com/course/music-theory-comprehensive-combined-part-7-8-9/,Jason Allen,114.99,11.99,4.7(264 ratings),Music,,Music Theory
"Music Theory Comprehensive Complete: Part 10, 11, & 12",www.udemy.com/course/music-theory-comprehensive-combined-part-10-11-12/,Jason Allen,104.99,11.99,4.7(106 ratings),Music,,Music Theory
"Music Theory Comprehensive Complete: Parts 13, 14, & 15",www.udemy.com/course/music-theory-comprehensive-parts-13-14-15/,Jason Allen,109.99,11.99,4.6(15 ratings),Music,,Music Theory
Music Theory for Electronic Producers - The Complete Course!,www.udemy.com/course/electronicmusictheory/,Tomas George,194.99,11.99,4.6(760 ratings),Music,,Music Theory
Practical Music Theory 101 For Guitar,www.udemy.com/course/music-theory-101-for-guitar/,Henry Olsen,199.99,11.99,4.6(180 ratings),Music,,Music Theory
The Complete Piano & Music Theory Beginners Course,www.udemy.com/course/piano-lessons-music-theory-beginners-course/,Musicians Inspired,99.99,11.99,"4.3(1,443 ratings)",Music,,Music Theory
Orchestration,www.udemy.com/course/orchestration/,Jonathan Peters,149.99,11.99,4.6(302 ratings),Music,,Music Theory
Music Theory,www.udemy.com/course/musictheory/,Jonathan Peters,99.99,11.99,4.5(316 ratings),Music,,Music Theory
Prepare for Music Theory ABRSM 1 to 5,www.udemy.com/course/prepare-for-music-theory-abrsm-1-to-5/,Michael Luck,39.99,11.99,4.6(231 ratings),Music,,Music Theory
"Music Theory for Electronic Musicians, Part 1: Chords",www.udemy.com/course/music-theory-for-electronic-musicians/,Jason Allen,34.99,11.99,"4.5(1,150 ratings)",Music,,Music Theory
Music Theory Comprehensive: Part 1 - How To Read Music,www.udemy.com/course/music-theory1/,Jason Allen,34.99,11.99,4.5(343 ratings),Music,,Music Theory
Music Theory ABRSM Grade 5,www.udemy.com/course/abrsm-grade-5-music-theory/,Victoria Williams LmusTCL BA(Mus),109.99,11.99,4.6(222 ratings),Music,,Music Theory
The Beginner's Guide to Music Theory and Reading Music,www.udemy.com/course/music-theory-and-reading-music-course/,Tomas George,194.99,11.99,4.6(63 ratings),Music,,Music Theory
Why Music Works,www.udemy.com/course/why-music-works/,Music Monkey Guru,19.99,11.99,4.9(39 ratings),Music,,Music Theory
The Elements of Music | Music Theory and Foundations!,www.udemy.com/course/the-elements-of-music-theory-ear-training-foundations/,Rajiv Narang,199.99,11.99,4.2(51 ratings),Music,,Music Theory
Music Theory for Electronic Musicians 2: Minor keys and More,www.udemy.com/course/music-theory-for-electronic-musicians-2-minor-keys/,Jason Allen,39.99,11.99,4.5(499 ratings),Music,,Music Theory
Practical Counterpoint Music Theory,www.udemy.com/course/practical-counterpoint/,Victoria Williams LmusTCL BA(Mus),99.99,11.99,3.9(70 ratings),Music,,Music Theory
Music Theory | ABRSM Grade 8 Music Theory Complete Course,www.udemy.com/course/composition-grade-8-abrsm-music-theory/,Victoria Williams LmusTCL BA(Mus),109.99,11.99,4.2(85 ratings),Music,,Music Theory
Music Theory #1- Circle of 5ths Master Class 12 Keys,www.udemy.com/course/the-magic-circle-circle-of-5ths-or-circle-of-4ths/,Rosa Suen,199.99,11.99,4.4(408 ratings),Music,,Music Theory
Take your Sibelius skills to the next level - Course 1,www.udemy.com/course/take-your-sibelius-skills-to-the-next-level-course-1/,Alex Vaughan,34.99,11.99,4.8(8 ratings),Music,,Music Theory
Learn To Read & Write Music - Go From Beginner To Advanced,www.udemy.com/course/learnmusic/,Joe Parys,199.99,11.99,4.6(136 ratings),Music,,Music Theory
Music Theory for Electronic Musicians 3: Extended Harmony,www.udemy.com/course/music-theory-for-electronic-musicians-3/,Jason Allen,44.99,11.99,4.7(179 ratings),Music,,Music Theory
How to Play the Thumb Harp ( Kalimba ),www.udemy.com/course/thumbharp/,Micah Blake,99.99,11.99,3.7(11 ratings),Music,,Music Theory
Music Theory Basics for Ableton Electronic Music Production,www.udemy.com/course/music-theory-basics-for-ableton-electronic-music-production/,Will Edwards,59.99,11.99,4.4(47 ratings),Music,,Music Theory
Species Counterpoint -  Music Theory Skills,www.udemy.com/course/species-counterpoint/,Victoria Williams LmusTCL BA(Mus),29.99,11.99,4.4(48 ratings),Music,,Music Theory
More Expressive Music Theory for Ableton & Electronic Music,www.udemy.com/course/more-music-theory-for-ableton-electronic-music-production/,Will Edwards,59.99,11.99,4.5(9 ratings),Music,,Music Theory
Music Theory for a Digital Age,www.udemy.com/course/music-theory-for-a-digital-age/,Michael Hewitt,24.99,11.99,4.8(12 ratings),Music,,Music Theory
Creating Binaural Beat,www.udemy.com/course/creating-binaural-beat/,Isaac Cotec,49.99,11.99,4.5(35 ratings),Music,,Music Theory
"Music Theory Comprehensive: Part 2 - Chords, Scales, & Keys",www.udemy.com/course/music-theory-2/,Jason Allen,34.99,11.99,4.7(125 ratings),Music,,Music Theory
Music Theory - Melody Composition for Grade 6 ABRSM,www.udemy.com/course/grade-6-music-theory-composition-abrsm/,Victoria Williams LmusTCL BA(Mus),99.99,11.39,4.6(66 ratings),Music,,Music Theory
