Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Master your brain: Neuroscience for personal development,www.udemy.com/course/my-brain-and-i/,Gregory Caremans - Brain Academy,199.99,13.19,"4.6(4,097 ratings)",Personal Development,,Neuroscience
Neuroscience for parents: How to raise amazing kids,www.udemy.com/course/neuroscience-and-parenting/,Gregory Caremans - Brain Academy,99.99,11.39,"4.5(3,367 ratings)",Personal Development,,Neuroscience
Master Neuroscience and Neuroanatomy.,www.udemy.com/course/neuroanatomy/,Dr. Najeeb Lectures,29.99,11.39,4.7(113 ratings),Personal Development,,Neuroscience
The Neuroscience of Attachment,www.udemy.com/course/the-neuroscience-of-attachment/,Robert Rhoton,64.99,11.39,3.6(37 ratings),Personal Development,,Neuroscience
Control Your Brain Chemistry – Become Confident and Creative,www.udemy.com/course/control-your-brain-chemistry/,Global Harmony Crew,199.99,11.39,4.5(263 ratings),Personal Development,,Neuroscience
The Neuroscience of Self-Compassion by Kelly McGonigal,www.udemy.com/course/kelly-mcgonigal/,Sounds True,99.99,25.00,4.7(594 ratings),Personal Development,,Neuroscience
"Learning Strategies for Exam: Brain Training, Improve Memory",www.udemy.com/course/neuroscience-for-exams-learning-strategies/,"Ina Ilie┃ Neuroscience, Neuroplasticity, Brain Training Coach",199.99,11.39,4.5(45 ratings),Personal Development,,Neuroscience
Neuroplasticity: Everything you need to know!,www.udemy.com/course/neuroplasticity-rewire-your-brain-creativity-focus-and-iq/,Amine Benyakoub,19.99,11.39,4.6(32 ratings),Personal Development,,Neuroscience
Neuroscience Synthesis To Rewire Your Brain ®,www.udemy.com/course/neuroscience-synthesis-to-rewire-your-brain/,The Best-Selling Author | Noah Merriby ​,199.99,11.39,4.5(39 ratings),Personal Development,,Neuroscience
Practical Neuroscience: 30+ Exercises for a Better Brain,www.udemy.com/course/practical-neuroscience-exercises-for-a-better-brain/,"Ina Ilie┃ Neuroscience, Neuroplasticity, Brain Training Coach",199.99,11.39,4.7(22 ratings),Personal Development,,Neuroscience
Learn Neuroscience: How Your Brain Works in Six Lectures,www.udemy.com/course/learn-neuroscience/,"André Klapper, PhD",99.99,11.39,4.1(51 ratings),Personal Development,,Neuroscience
"Negotiation - Newgotiation ""The Neuroscience of Negotiation""",www.udemy.com/course/neogotiation/,Yann Duzert,199.99,11.39,4.6(5 ratings),Personal Development,,Neuroscience
That Stranger In The Mirror: Neuroscience For Everyone,www.udemy.com/course/neuroscience-for-everyone/,Loony Corn,99.99,11.39,4.6(53 ratings),Personal Development,,Neuroscience
Sounds True Presents: The Neuroscience Training Summit,www.udemy.com/course/the-neuroscience-training-summit/,Sounds True,99.99,25.00,4.5(71 ratings),Personal Development,,Neuroscience
"Sounds True Presents: The Enlightened Brain, Part 2",www.udemy.com/course/the-enlightened-brain-by-dr-rick-hanson-part-2/,Sounds True,179.99,45.00,5.0(3 ratings),Personal Development,,Neuroscience
Know your Brain: A Neurological insight into the brain,www.udemy.com/course/know-your-brain/,BrighterMinds OLC,0,19.99,4.7(11 ratings),Personal Development,,Neuroscience
Introduction to Interpersonal Neurobiology for Everyday Life,www.udemy.com/course/an-introduction-to-interpersonal-neurobiology-for-everyday-life/,Sounds True,159.99,40.00,5.0(2 ratings),Personal Development,,Neuroscience
Neuroscience For Beginners,www.udemy.com/course/neuroscience-for-beginners/,MJ Politis,19.99,11.99,3.8(6 ratings),Personal Development,,Neuroscience
Neuroscience Made Easy,www.udemy.com/course/neuroscience-made-easy/,Dr Asif Kamal,199.99,11.99,2.9(2 ratings),Personal Development,,Neuroscience
Multiple Sclerosis Matters: Neurology for Non-Neurologists,www.udemy.com/course/multiple-sclerosis-matters-neurology-for-non-neurologists/,Stephen Martino MD,29.99,11.99,0.0(0 ratings),Personal Development,,Neuroscience
Understanding Brain Injury,www.udemy.com/course/brain-injury-awareness/,CEADDAONLINE DebC,54.99,11.99,4.3(32 ratings),Personal Development,,Neuroscience
