Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Internationally Accredited Diploma Certificate in Nutrition,www.udemy.com/course/internationally-accredited-diploma-certificate-in-nutrition/,Akash Sehrawat,199.99,11.99,"4.4(2,839 ratings)",Health & Fitness,,Nutrition
Diet And Nutrition Coach Certification: Beginner To Advanced,www.udemy.com/course/diet-nutrition-coach-certification-beginner-to-advanced/,Felix Harder,199.99,11.99,4.6(818 ratings),Health & Fitness,,Nutrition
"Eat Real Food: How to Eat a Whole-Food, Plant-Based Diet",www.udemy.com/course/whole-food-plant-based-diet/,Evita Ochel,49.99,11.99,"4.6(1,179 ratings)",Health & Fitness,,Nutrition
Nutrition Masterclass: Build Your Perfect Diet & Meal Plan,www.udemy.com/course/nutrition-masterclass-build-your-perfect-diet-meal-plan/,Felix Harder,99.99,11.99,"4.4(1,721 ratings)",Health & Fitness,,Nutrition
Internationally Accredited Diploma in Diet Planning,www.udemy.com/course/diet-plan-mastery/,Akash Sehrawat,199.99,11.99,4.5(455 ratings),Health & Fitness,,Nutrition
Fully Accredited Professional Nutritionist Diploma Course,www.udemy.com/course/complete-nutrition-for-all-fully-accredited-course/,Dr Karen E Wells,94.99,11.99,4.1(283 ratings),Health & Fitness,,Nutrition
Vegan Nutrition: Build Your Plant Based Diet & Meal Plan,www.udemy.com/course/vegan-nutrition-build-your-plant-based-diet-meal-plan/,Felix Harder,99.99,11.99,4.2(153 ratings),Health & Fitness,,Nutrition
Meal Planning Masterclass: Create Your Own Meal Plan,www.udemy.com/course/meal-planning-mastery/,Brad Newton,149.99,11.99,4.4(849 ratings),Health & Fitness,,Nutrition
Diploma Certificate in Dietary Supplements Advisor,www.udemy.com/course/diploma-certificate-in-dietary-supplements-advisor/,Akash Sehrawat,199.99,11.99,4.4(321 ratings),Health & Fitness,,Nutrition
Essentials of Green Smoothies,www.udemy.com/course/green-smoothies/,Evita Ochel,29.99,11.99,4.7(214 ratings),Health & Fitness,,Nutrition
The Plant-Based Diet & Nutrition Masterclass,www.udemy.com/course/the-ultimate-guide-to-plant-based-eating-for-beginners/,Gentry Rosario,199.99,11.99,4.8(45 ratings),Health & Fitness,,Nutrition
Diploma in Yogic Nutrition,www.udemy.com/course/diploma-in-yogic-nutrition/,Akash Sehrawat,199.99,11.99,4.6(23 ratings),Health & Fitness,,Nutrition
Weight Loss And Nutrition: Lose Fat & Get Your Dream Body,www.udemy.com/course/weight-loss-masterclass-lose-fat-get-your-dream-body-now/,Felix Harder,99.99,11.99,4.4(335 ratings),Health & Fitness,,Nutrition
Superfood Nutrition Coach: 60+ Foods For Health & Fitness,www.udemy.com/course/superfood-nutrition-60-best-foods-for-health-longevity/,Felix Harder,99.99,11.99,4.4(26 ratings),Health & Fitness,,Nutrition
Brazilian Body System: Gain Lean Muscle and Lose Weight,www.udemy.com/course/home-workout-build-muscle-burn-fat-get-ripped-in-28-days/,Gam Sassoon,199.99,11.99,4.4(14 ratings),Health & Fitness,,Nutrition
Fat Loss & Muscle Building Diet Plans,www.udemy.com/course/fat-loss-muscle-building-diet-plans/,Akash Sehrawat,199.99,11.99,4.2(15 ratings),Health & Fitness,,Nutrition
"Get to Know Your Food: Claims, Labels & Ingredients",www.udemy.com/course/get-to-know-your-food/,Evita Ochel,29.99,11.39,4.7(44 ratings),Health & Fitness,,Nutrition
"Superfoods, Herbs & Nutrition for a Better Brain",www.udemy.com/course/superfoods-herbs-nutrition-for-a-better-brain/,Jess Reynolds,29.99,11.39,5.0(60 ratings),Health & Fitness,,Nutrition
Nutrition 4 Optimal Health,www.udemy.com/course/nutrition-4-optimal-health/,Angela Poch,149.99,11.39,4.5(38 ratings),Health & Fitness,,Nutrition
Nutritional Therapy - How food affects DNA and much more!,www.udemy.com/course/nutritional-therapy-how-food-affects-dna-and-much-more/,Angela Poch,149.99,11.39,4.4(31 ratings),Health & Fitness,,Nutrition
A Beginners Guide to Easy Raw Vegan Food Preparation,www.udemy.com/course/a-beginners-guide-to-easy-raw-food-preparation/,Ann Sheldon,59.99,11.39,4.5(26 ratings),Health & Fitness,,Nutrition
"Superfoods, Herbalism, Nutrition Basics and Your Health",www.udemy.com/course/superfoods/,Scott Paton,199.99,11.39,4.1(111 ratings),Health & Fitness,,Nutrition
"What Are Vitamins and Minerals, and Why Do We Need Them?",www.udemy.com/course/what-are-vitamins-and-minerals/,Cody Ray Miller,94.99,11.39,4.5(37 ratings),Health & Fitness,,Nutrition
Wellness. Simplified. Happy & Healthy Living: Nutrition,www.udemy.com/course/wellness-simplified-happy-healthy-living-nutrition/,"Matthew Strohhacker, MPH, MBA, CPH",199.99,11.39,4.7(49 ratings),Health & Fitness,,Nutrition
How to Get Kids to Eat Healthy,www.udemy.com/course/get-kids-to-eat-healthy/,Evita Ochel,39.99,11.39,4.5(10 ratings),Health & Fitness,,Nutrition
Naturopathic Nutrition Diploma: Health and Wellbeing,www.udemy.com/course/naturopathic-nutrition-diploma-health-and-wellbeing/,Steve Phillips,189.99,11.39,3.0(18 ratings),Health & Fitness,,Nutrition
Tennis Nutrition,www.udemy.com/course/tennis-nutrition/,Jeffrey Rothschild,49.99,11.39,4.4(125 ratings),Health & Fitness,,Nutrition
"Accredited Supplement Certification: Fitness, Health & Focus",www.udemy.com/course/supplement-masterclass-fat-loss-muscle-growth-health/,Felix Harder,99.99,11.39,4.6(22 ratings),Health & Fitness,,Nutrition
Mushrooms for Health,www.udemy.com/course/mushrooms-for-health/,Derek Weaver,39.99,11.39,4.0(26 ratings),Health & Fitness,,Nutrition
Nutrition Foundation Masterclass,www.udemy.com/course/nutrition-foundation-masterclass/,Joshua Graham,184.99,11.39,4.7(8 ratings),Health & Fitness,,Nutrition
Food is Your Best Medicine,www.udemy.com/course/food-is-your-best-medicine/,"Veronica Waks M.D., N.D.",29.99,11.39,4.8(63 ratings),Health & Fitness,,Nutrition
Eating For Energy,www.udemy.com/course/eating-for-energy/,Michael Gross,19.99,11.39,4.7(201 ratings),Health & Fitness,,Nutrition
12 Weeks to Clean Eating Without Losing Your Mind,www.udemy.com/course/12-weeks-to-clean-eating-without-losing-your-mind/,Emeroy Bernardo,99.99,11.99,4.5(31 ratings),Health & Fitness,,Nutrition
Fitness Nutrition 101: How to Lose Fat & Build Muscle,www.udemy.com/course/fitness-nutrition-101-how-to-lose-fat-build-muscle/,Bryan Guerra,199.99,11.99,4.1(66 ratings),Health & Fitness,,Nutrition
Macronutrient Nutrition Mastery,www.udemy.com/course/flexi-dieting/,Mitch Asser,19.99,11.99,4.0(22 ratings),Health & Fitness,,Nutrition
Food Hygiene Course,www.udemy.com/course/food-hygiene-course/,Bilal Semih Bozdemir,19.99,11.99,0.0(0 ratings),Health & Fitness,,Nutrition
"Stop Binge Eating in Just 10 Weeks, Be Healthier & Happier",www.udemy.com/course/stop-binge-eating-in-just-10-weeks-be-healthier-happier/,Pauline Hanuise,59.99,11.99,2.5(15 ratings),Health & Fitness,,Nutrition
Intuitive Eating: Fix Your Relationship with Food,www.udemy.com/course/intuitive-eating-fix-your-relationship-with-food/,Daxle Collier,0,49.99,4.0(15 ratings),Health & Fitness,,Nutrition
