Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Options Trading MasterClass: Options With Technical Analysis,www.udemy.com/course/option-trading-option-strategies-with-technical-analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,4.5(947 ratings),Finance & Accounting,,Options Trading
Options Trading Basics (3-Course Bundle),www.udemy.com/course/learn-options-trading-courses/,Hari Swaminathan,0,49.99,"4.5(4,116 ratings)",Finance & Accounting,,Options Trading
Options Trading - How to Win with Weekly Options,www.udemy.com/course/work-from-home-setup-your-own-options-trading-business/,Jeff Tompkins,114.99,11.99,"4.2(2,216 ratings)",Finance & Accounting,,Options Trading
How to Win 97% of Your Options Trades,www.udemy.com/course/how-to-win-97-percent-of-your-trades/,Jeff Tompkins,124.99,11.39,"4.3(1,243 ratings)",Finance & Accounting,,Options Trading
Options Trading for Rookies:  Understand Options Completely,www.udemy.com/course/complete-course-introduction-to-option-trading/,Kal Zurn,149.99,11.39,4.8(632 ratings),Finance & Accounting,,Options Trading
The Complete Options Trading Course (New 2019),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,199.99,17.39,4.4(421 ratings),Finance & Accounting,,Options Trading
How I Make Consistent Returns Trading Options,www.udemy.com/course/how-i-make-15-per-month-trading-options/,Stephen Burnich,199.99,11.39,4.7(535 ratings),Finance & Accounting,,Options Trading
Options Trading for Rookies: Basic Stock Options Strategies,www.udemy.com/course/basic-option-strategies-trading-vertical-options/,Kal Zurn,94.99,11.39,4.9(254 ratings),Finance & Accounting,,Options Trading
Options Trading for Rookies: Complete Guide to Stock Options,www.udemy.com/course/option-trading-for-rookies-the-complete-guide-to-options/,Kal Zurn,59.99,11.39,4.7(188 ratings),Finance & Accounting,,Options Trading
Option Spreads and Credit Spreads Bundle,www.udemy.com/course/option-spreads-and-credit-spreads-bundle/,Hari Swaminathan,0,49.99,4.5(469 ratings),Finance & Accounting,,Options Trading
Options Trading: Technical Analysis For Options Trading 2019,www.udemy.com/course/technical-analysis-for-options-trading/,Wealthy Education,199.99,11.39,4.5(163 ratings),Finance & Accounting,,Options Trading
