Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
PLC Programming From Scratch (PLC I),www.udemy.com/course/plc-programming-from-scratch/,Paul Lynn,99.99,11.99,"4.6(11,487 ratings)",IT & Software,,PLC
Practical PLC Programming (PLC II),www.udemy.com/course/plc_programming/,Paul Lynn,99.99,11.99,"4.7(1,873 ratings)",IT & Software,,PLC
Siemens TIA Portal Step 7 WinCC PLC HMI (PLC-S),www.udemy.com/course/siemens-tia-portal-step-7-wincc-plc-hmi/,Paul Lynn,99.99,11.99,4.6(925 ratings),IT & Software,,PLC
Process Visualization with HMI / SCADA (PLC III),www.udemy.com/course/hmi-scada/,Paul Lynn,99.99,11.99,"4.6(1,154 ratings)",IT & Software,,PLC
Allen Bradley PLC Training - RSLogix 5000 Series,www.udemy.com/course/allen-bradley-plc-training-rslogix-5000-series/,shane welcher,0,39.99,4.4(350 ratings),IT & Software,,PLC
"From Wire to PLC , A Bootcamp In Industrial Automation",www.udemy.com/course/from-wire-to-plc-a-to-z-compilation/,Mouhammad Hamsho,79.99,11.99,"4.7(1,190 ratings)",IT & Software,,PLC
"Learn 5 PLCs in a Day-AB, Siemens, Schneider, Omron & Delta",www.udemy.com/course/nfi-plc-online-leaning/,Rajvir Singh,49.99,11.99,"4.4(2,457 ratings)",IT & Software,,PLC
Advanced Programming Paradigms (PLC IV),www.udemy.com/course/advanced-plc-programming/,Paul Lynn,99.99,11.99,4.7(527 ratings),IT & Software,,PLC
PLC Programming - Training from Scratch on RSLogix500 & 5000,www.udemy.com/course/plc-programming-training-from-scratch-on-rslogix500-5000/,Vladimir Romanov,129.99,11.99,4.4(544 ratings),IT & Software,,PLC
PLC Object Oriented Programming :Advanced Infrastructure,www.udemy.com/course/plc-object-oriented-programming-advanced-infastrucutre/,Mouhammad Hamsho,79.99,11.99,4.5(159 ratings),IT & Software,,PLC
Servo Motion Mastery   (PLC Programming),www.udemy.com/course/servo-motion-mastery/,shane welcher,0,34.99,4.6(98 ratings),IT & Software,,PLC
Factory Automation using PLC Logics,www.udemy.com/course/factory-automation-using-plc-logics/,Rajvir Singh,49.99,11.99,4.6(372 ratings),IT & Software,,PLC
PLC & AC Drive with Automatic & Manual Industrial Control,www.udemy.com/course/plc-ac-drive-with-automatic-manual-industrial-control/,YouCan Academy,94.99,11.99,3.9(266 ratings),IT & Software,,PLC
"Integrate Arduino ,Soft PLC and HMI using ModBus TCP",www.udemy.com/course/arduino-for-industrial-automation-plc-and-hmi-integration/,Mouhammad Hamsho,19.99,11.99,4.7(120 ratings),IT & Software,,PLC
Advanced Servo Motion Mastery 1 (Servo PLC Programming),www.udemy.com/course/advanced-servo-motion-mastery-1-plc-programming/,shane welcher,0,34.99,4.6(24 ratings),IT & Software,,PLC
PLC Programming Basics to Advanced Siemens S7-1200,www.udemy.com/course/introduction-to-automation-tutorialbay/,Mepi.pl Video Tutorials,179.99,11.99,4.0(133 ratings),IT & Software,,PLC
PLC from zero to Hero(TIA portal / SIMATIC STEP 7 / ITS PLC),www.udemy.com/course/learn-plc-from-zero-to-hero-tia-portal-and-simatic-step7/,NewWay Academy,149.99,11.39,4.4(42 ratings),IT & Software,,PLC
Siemens Tia Portal - S71200 PLC-Motion Control,www.udemy.com/course/siemens-tia-portal-s71200-plc-motion-control/,Orhan Tarıkcı,0,19.99,4.0(71 ratings),IT & Software,,PLC
RSLogix5000 Training Using PLC Function Block Diagrams,www.udemy.com/course/plc-programming-using-fbds-with-logixstudio5000/,Jeff Sharman,49.99,11.39,4.5(49 ratings),IT & Software,,PLC
PLC Programming in Siemens TIA,www.udemy.com/course/plc-programming-in-siemens-tia/,Seyed Parvini,104.99,11.39,4.7(9 ratings),IT & Software,,PLC
