Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
PMP Exam Prep Seminar -  PMBOK Guide 6,www.udemy.com/course/pmp-pmbok6-35-pdus/,Joseph Phillips,199.99,14.99,"4.6(34,448 ratings)",Business,,PMBOK
"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",www.udemy.com/course/capm-pmbok6/,Joseph Phillips,199.99,11.99,"4.5(6,202 ratings)",Business,,PMBOK
PMP® Certification:35 pdu Formal PMP Exam Prep-Get your PMP!,www.udemy.com/course/project-management-skills-math-concepts-you-should-know/,PMP Sabri C.,199.99,11.99,4.5(461 ratings),Business,,PMBOK
PMP PMBOK 6 Practice Exams: Set One for PMP Candidates,www.udemy.com/course/pmp_practice_exams_1/,Joseph Phillips,99.99,15.59,4.2(501 ratings),Business,,PMBOK
"PMP Certification Exam Prep PMBOK 6th Edition, 600 Questions",www.udemy.com/course/pmp-practice-exams-pmbok-guide-6th-edition/,Technical Institute of America,19.99,11.99,4.2(442 ratings),Business,,PMBOK
PMP PMBOK 6 Practice Exams: Set Two for PMP Candidates,www.udemy.com/course/pmp-exams-set-2/,Joseph Phillips,99.99,14.99,4.1(247 ratings),Business,,PMBOK
PMP PMBOK 6 Vocabulary Exams - All PMP Terms,www.udemy.com/course/pmp_vocabulary_exams/,Joseph Phillips,99.99,14.39,4.6(132 ratings),Business,,PMBOK
[PMBOK® V6] - PMP® Exam Simulator - Two Complete Exams,www.udemy.com/course/pmbok-v6-pmp-exam-simulator/,Leithy Mohamed Leithy,99.99,11.39,3.9(111 ratings),Business,,PMBOK
PMP Practical Exams​ 2019 Based on PMBOK Guide 6th Edition,www.udemy.com/course/pmp-practical-exams-2018-based-on-pmbok-guide-6th-edition/,Waleed Elbasyouni,19.99,11.39,3.7(290 ratings),Business,,PMBOK
PMP Question Bank as per PMBOK6,www.udemy.com/course/pmp-questions-pmbok6/,Project Management House,49.99,13.79,4.2(209 ratings),Business,,PMBOK
CAPM PMBOK 6 Practice Exams: Set Two for CAPM Candidates,www.udemy.com/course/capm-exams-set2/,Joseph Phillips,99.99,11.39,4.0(29 ratings),Business,,PMBOK
1000+ CAPM Q&A - PMBOK Guide 6th edition,www.udemy.com/course/1000-capm-qa-pmbok6/,Project Management House,39.99,11.39,4.4(10 ratings),Business,,PMBOK
"Practice PMP Exams -PMBOK 6th Edition Updated, 600 Questions",www.udemy.com/course/project-management-professional-pmp-practice-tests-2018/,"Shadi Al Sha'er, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",34.99,11.39,4.7(47 ratings),Business,,PMBOK
"PMP PMBOK 6th Practice Exam: 150 Math based Questions, 2020",www.udemy.com/course/pmp-pmbok-6th-practice-exam-150-math-based-questions/,"Shadi Al Sha'er, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",29.99,11.39,4.7(12 ratings),Business,,PMBOK
PMP PMBOK 6th Practice Exam: 200 ITTO & Definition Questions,www.udemy.com/course/pmp-pmbok-6th-practice-exam-200-itto-definition-questions/,"Shadi Al Sha'er, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",29.99,11.39,4.3(21 ratings),Business,,PMBOK
Accelerate CAPM® + PMP® SelfStudy How-2-Read the PMBoK-Guide,www.udemy.com/course/how-to-read-the-pmbok-and-leverage-your-self-study-effort/,Simon Harris,19.99,11.39,4.0(12 ratings),Business,,PMBOK
