Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
PMP Exam Prep Seminar -  PMBOK Guide 6,www.udemy.com/course/pmp-pmbok6-35-pdus/,Joseph Phillips,199.99,13.19,"4.6(34,448 ratings)",Business,,PMP
PMP EXAM PREP-Project Management Professional FULL TRAINING,www.udemy.com/course/pmp-training-for-pmp-certification-pmp-exam/,"Umer Waqar,PMP",199.99,11.39,"4.4(4,383 ratings)",Business,,PMP
PMP Certification Exam Prep Course 35 PDU Contact Hours/PDU,www.udemy.com/course/pmp-certification-exam-prep-course-pmbok-6th-edition/,Technical Institute of America,149.99,16.19,"4.4(1,396 ratings)",Business,,PMP
Project Management Professional (PMP)® - 35 Contact Hours,www.udemy.com/course/pmp-certification-complete/,LearnSmart LLC,0,199.99,"4.1(4,408 ratings)",Business,,PMP
"PMP Exam Cram Session - PMBOK Guide, 6th Edition",www.udemy.com/course/pmp-exam-cram-session-pmbok6/,Joseph Phillips,99.99,11.39,"4.6(1,666 ratings)",Business,,PMP
PMP PMBOK 6 Practice Exams: Set One for PMP Candidates,www.udemy.com/course/pmp_practice_exams_1/,Joseph Phillips,99.99,15.59,4.2(501 ratings),Business,,PMP
PMP Practice Test Exam 2019-PMBOK6,www.udemy.com/course/pmp-practice-test-2019-pmbok6/,Tridib Roy,24.99,11.39,4.6(209 ratings),Business,,PMP
PMP® Practice Exam 2019,www.udemy.com/course/pmp-practice-exam/,Georgio Daccache™,99.99,14.39,4.2(424 ratings),Business,,PMP
PMP Exam Preparation Course: 35 Contact Hours for PMI,www.udemy.com/course/pmp-exam-perpetration-course-35-contact-hours-for-pmi/,"Shadi Al Sha'er, PMP ®, RMP®, ACP®, PRINCE2® Practitioner",199.99,11.39,4.6(106 ratings),Business,,PMP
"PMP Certification Exam Prep PMBOK 6th Edition, 600 Questions",www.udemy.com/course/pmp-practice-exams-pmbok-guide-6th-edition/,Technical Institute of America,19.99,11.99,4.2(442 ratings),Business,,PMP
PMP® Certification v6: 2 PMP Exams& Detailed PMP Math_14pdus,www.udemy.com/course/pmp-exam-training-project-selection-methods-in-detail/,PMP Sabri C.,184.99,11.39,4.4(764 ratings),Business,,PMP
PMP Math Prep - PMP Math and Formulas,www.udemy.com/course/pmp-math/,Joseph Phillips,19.99,11.39,4.5(222 ratings),Business,,PMP
Project Management Professional (PMP) - 6th Edition,www.udemy.com/course/project-management-professional-pmp-6th-edition/,GreyCampus Inc.,0,199.99,4.4(283 ratings),Business,,PMP
PMP PMBOK 6 Practice Exams: Set Two for PMP Candidates,www.udemy.com/course/pmp-exams-set-2/,Joseph Phillips,99.99,14.99,4.1(247 ratings),Business,,PMP
PMP PMBOK 6 Vocabulary Exams - All PMP Terms,www.udemy.com/course/pmp_vocabulary_exams/,Joseph Phillips,99.99,14.39,4.6(132 ratings),Business,,PMP
PMP® Exam Practice Test-1000 questions+ 400 FREE Questions,www.udemy.com/course/pmp-exam-practice-test/,Ranjana Singh,29.99,11.39,3.9(9 ratings),Business,,PMP
Project Management Professional  : the PMP in Four Weeks,www.udemy.com/course/the-pmp-in-four-weeks/,Marcos Garcia,199.99,11.39,4.4(237 ratings),Business,,PMP
PMP® Exam Prep 6th ed.: Workshop and 3 Full Practice Exams,www.udemy.com/course/pmp-exam-prep-workshop-and-full-practice-exam/,Paul Boudreau,24.99,11.39,4.5(157 ratings),Business,,PMP
[PMBOK® V6] - PMP® Exam Simulator - Two Complete Exams,www.udemy.com/course/pmbok-v6-pmp-exam-simulator/,Leithy Mohamed Leithy,99.99,11.39,3.9(111 ratings),Business,,PMP
PMP Exam Cram Session - 8 PDUs from a PMI REP,www.udemy.com/course/pmp-exam-cram-session-5-pdus-from-a-pmi-rep/,Joseph Phillips,99.99,11.39,4.7(617 ratings),Business,,PMP
"PMP Exam Maths, Formulas & Equations Simplified for PMP 6",www.udemy.com/course/pmp-exam-maths-formulas-equations-numericals-simplified/,Ahsan Riaz PMP,124.99,11.39,4.3(172 ratings),Business,,PMP
PMP Practical Exams​ 2019 Based on PMBOK Guide 6th Edition,www.udemy.com/course/pmp-practical-exams-2018-based-on-pmbok-guide-6th-edition/,Waleed Elbasyouni,19.99,11.39,3.7(290 ratings),Business,,PMP
PMP Exam Prep : 4 Full PMP Exams (800 Questions & Answers),www.udemy.com/course/pmp-exam-prep-4-full-pmp-exams-800-questions-answers/,DIOUAN Abderrazzaq,19.99,11.39,4.2(56 ratings),Business,,PMP
PMP Exam Simulator 6th Edition,www.udemy.com/course/project-management-professional-pmp-exam-preppmbok06/,Mohamed Ezzat Abouzied,29.99,11.39,4.4(7 ratings),Business,,PMP
PMP Certification Practice Test Exam-High Quality Questions,www.udemy.com/course/pmp-certification-full-length-practice-test-exam/,"Umer Waqar,PMP",49.99,15.59,4.1(359 ratings),Business,,PMP
PMP Exam Simulator - PMBOK 6TH Edition -,www.udemy.com/course/pmp-exam-simulator-pmbok-6th-edition/,Khaled Abo Ali,19.99,11.39,3.9(47 ratings),Business,,PMP
PMP Exam by Knowledge areas+01 Full Exam (PMBOK 6th Edition),www.udemy.com/course/pmp-exam-questions-by-knowledge-area-pmbok-6th-edition-u/,Medhat Ragab,0,19.99,4.1(42 ratings),Business,,PMP
PMP Practice Test: High Realistic Exams(270 HQ Questions),www.udemy.com/course/pmp-exam-prep-2019-2-full-real-pmp-exams-400-hq-questions/,PM Academy,194.99,11.39,3.8(141 ratings),Business,,PMP
Project Management Professional (PMP)® certification - PMI,www.udemy.com/course/project-management-professional-pmp-certification-pmi/,Cloud Admins,19.99,11.39,5.0(6 ratings),Business,,PMP
PMP Question Bank as per PMBOK6,www.udemy.com/course/pmp-questions-pmbok6/,Project Management House,49.99,13.79,4.2(209 ratings),Business,,PMP
Learn PMP Math EVM Concepts in 1 Hr to Dominate the PMP Exam,www.udemy.com/course/pmp-exam-math-prep-earned-value-management-evm/,Garrett Heath,39.99,11.39,4.7(131 ratings),Business,,PMP
PMP Certification Exam Prep : 500 Practice Questions,www.udemy.com/course/practice-questions-for-the-pmp-exam/,"Roji Abraham, PMP",34.99,11.39,4.4(28 ratings),Business,,PMP
