Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Mastering Brushstrokes - Part 1,www.udemy.com/course/mastering-brushstrokes-part1/,Jill Poyerd,19.99,11.39,4.6(930 ratings),Lifestyle,,Painting
Discover How to Draw and paint Comics,www.udemy.com/course/learn-to-draw-and-paint/,Neil Fontaine,64.99,11.39,4.2(918 ratings),Lifestyle,,Painting
Mastering Brushstrokes - Part 2,www.udemy.com/course/mastering-brushstrokes-part-2/,Jill Poyerd,19.99,11.39,4.5(183 ratings),Lifestyle,,Painting
OIL PAINTING FROM BEGINNER TO MASTER,www.udemy.com/course/still-life-painting/,Joseph Patric Daniels,154.99,11.99,4.5(206 ratings),Lifestyle,,Painting
Art Fundamentals: Foundations of Painting and Drawing Course,www.udemy.com/course/art-fundamentals-drawing-and-painting-essentials/,Scott Harris,199.99,11.39,4.3(671 ratings),Lifestyle,,Painting
Intro to Abstract Painting #1 and #2,www.udemy.com/course/how-to-paint-abstracts/,Andy Morris,99.99,15.59,4.2(677 ratings),Lifestyle,,Painting
Art for Beginners & Kids: 8 Drawing & Mixed-Media Projects,www.udemy.com/course/beginner-art-class/,Lori Lee Ebiner,199.99,11.39,4.6(91 ratings),Lifestyle,,Painting
Learn to Paint With Impact,www.udemy.com/course/learn-to-paint-with-impact/,Malcolm Dewey,89.99,13.79,4.5(397 ratings),Lifestyle,,Painting
How to Loosen Up Your Painting,www.udemy.com/course/how-to-loosen-up-your-painting/,Malcolm Dewey,84.99,11.39,4.5(108 ratings),Lifestyle,,Painting
Abstract Painting - Going Big,www.udemy.com/course/abstact-painting-going-big/,Andy Morris,99.99,13.19,4.3(135 ratings),Lifestyle,,Painting
"Paint TREES in watercolor,easily. Video demos show you how.",www.udemy.com/course/paint-trees-with-ease-my-simple-video-demos-show-you-how/,Nicola A Blakemore,49.99,11.39,4.5(149 ratings),Lifestyle,,Painting
Learn how to paint Byzantine Icons,www.udemy.com/course/learn-how-to-paint-spiritual-images-byzantine-icons/,Filip Gherghisan,199.99,16.19,4.3(87 ratings),Lifestyle,,Painting
Digital Head and Portrait Painting,www.udemy.com/course/digital-head-and-portrait-painting/,Ryan Nimtz,149.99,15.59,4.2(176 ratings),Lifestyle,,Painting
Exciting 7 Step Method to Abstract Painting,www.udemy.com/course/7-step-method-to-abstract-painting/,Andy Morris,99.99,11.39,4.5(148 ratings),Lifestyle,,Painting
learn alcohol ink and mixed media on canvas,www.udemy.com/course/learn-alcohol-ink-and-mixed-media-on-canvas/,Stacey Oflanagan,0,29.99,4.8(21 ratings),Lifestyle,,Painting
Learn how to PLAN & paint a watercolor from your PHOTOS.,www.udemy.com/course/learn-how-to-plan-paint-a-watercolor-from-your-photos/,Nicola A Blakemore,39.99,11.39,5.0(1 rating),Lifestyle,,Painting
How to Use a Painting Knife for Amazing Paintings,www.udemy.com/course/how-to-use-a-painting-knife-for-amazing-paintings-easy/,Malcolm Dewey,24.99,11.99,4.6(23 ratings),Lifestyle,,Painting
How To Solve Painting Problems,www.udemy.com/course/how-to-solve-painting-problems/,Malcolm Dewey,44.99,11.99,4.7(101 ratings),Lifestyle,,Painting
Acrylic Abstract Painting Atmospheric Landscapes,www.udemy.com/course/acrylic-abstract-painting-atmospheric-landscapes/,Andy Morris,99.99,11.99,4.1(144 ratings),Lifestyle,,Painting
Impressionism - Paint this Venice painting in oil or acrylic,www.udemy.com/course/impressionism-painting-with-light1/,Christopher Clark,39.99,11.99,4.8(91 ratings),Lifestyle,,Painting
"PAINT COLOR. History, codes explained, charts, mixing & tips",www.udemy.com/course/paint-color-history-codes-explained-charts-mixing-tips/,Nicola A Blakemore,49.99,11.99,4.6(11 ratings),Lifestyle,,Painting
Mixed Media Masterclass,www.udemy.com/course/mixed-media-masterclass/,Doris Charest,34.99,11.99,4.3(32 ratings),Lifestyle,,Painting
ACRYLIC LANDSCAPES with a Painting Knife. Beginners Level 1,www.udemy.com/course/acrylic-landscapes-with-a-painting-knife-beginners-level-1/,Gerald Ashcroft,19.99,11.99,4.6(55 ratings),Lifestyle,,Painting
Abstract Painting - Stained Glass Method,www.udemy.com/course/abstract-painting-ideas-for-beginners/,Andy Morris,99.99,11.99,4.8(57 ratings),Lifestyle,,Painting
Paint SKIES & CLOUDS in watercolor. Easy tricks to help you.,www.udemy.com/course/paint-skies-clouds-in-watercolor-easy-tricks-to-help-you/,Nicola A Blakemore,49.99,11.99,4.2(20 ratings),Lifestyle,,Painting
Add WOW to Your Paintings!,www.udemy.com/course/add-wow-to-your-paintings/,Nancy Reyner,49.99,12.50,4.9(35 ratings),Lifestyle,,Painting
