Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Pilates: A New Body in 30 Sessions,www.udemy.com/course/pilates-a-new-body-in-30-sessions/,Josie McKenlay,99.99,16.19,4.4(312 ratings),Health & Fitness,,Pilates
Pilates Teacher Training Course,www.udemy.com/course/pilates-teacher-training-course/,Josie McKenlay,199.99,17.39,4.6(517 ratings),Health & Fitness,,Pilates
Complete Pilates Mat Course: Beginner to Advanced Level,www.udemy.com/course/complete-pilates-mat-course-beginner-to-advanced-level/,Elif ATAY,99.99,15.59,4.4(144 ratings),Health & Fitness,,Pilates
Express Pilates: Build a Daily Practice,www.udemy.com/course/express-pilates/,Josie McKenlay,64.99,11.39,4.5(78 ratings),Health & Fitness,,Pilates
Pilates with props: Transform your body in short time,www.udemy.com/course/pilates-with-props-transform-your-body-get-fit/,Elif ATAY,99.99,11.39,4.9(19 ratings),Health & Fitness,,Pilates
Pilates with Props: Small Ball,www.udemy.com/course/pilates-with-props-small-ball/,Josie McKenlay,24.99,11.39,5.0(5 ratings),Health & Fitness,,Pilates
Pilates Props: The Foam Roller,www.udemy.com/course/pilates-props-the-foam-roller/,Josie McKenlay,24.99,11.39,0.0(0 ratings),Health & Fitness,,Pilates
The Pilates Practice: Uncovering the Basics,www.udemy.com/course/pilates-basics/,Robyn Whale,99.99,11.39,4.8(50 ratings),Health & Fitness,,Pilates
Fully Accredited Easy Pilates Course! Get The Body You Want,www.udemy.com/course/fully-accredited-easy-pilates-course-get-the-body-you-want/,Dr Karen E Wells,94.99,11.39,4.9(10 ratings),Health & Fitness,,Pilates
Pilates Comprehensive Course (from a Pilates Instructor),www.udemy.com/course/pilates-comprehensive-8-week-course/,Chika Orton,199.99,11.39,3.6(2 ratings),Health & Fitness,,Pilates
Pilates For Pregnancy,www.udemy.com/course/pilates-for-pregnancy/,Dr Fleur Castlereagh,44.99,11.39,4.1(23 ratings),Health & Fitness,,Pilates
Beginner Pilates To Reduce Back Pain and Tone Your Body!,www.udemy.com/course/beginner-pilates-for-back-pain-sufferers/,Dr Fleur Castlereagh,44.99,11.39,4.5(27 ratings),Health & Fitness,,Pilates
Pilates for menopause - #justmove,www.udemy.com/course/pilates-for-menopause/,Mark Copeman,49.99,11.39,5.0(4 ratings),Health & Fitness,,Pilates
Postnatal Pilates: 4th Trimester Core Strengthening program,www.udemy.com/course/post-natal-pilates-core-strengthening-exercise-programme/,Josie McKenlay,39.99,11.99,4.4(23 ratings),Health & Fitness,,Pilates
Classical Pilates Mat Beginners Instructor Course.,www.udemy.com/course/classical-pilates-instructor/,Cindy Belliot,49.99,12.50,4.6(4 ratings),Health & Fitness,,Pilates
Pilates Mat Work; Improve Posture and Strengthen your Core,www.udemy.com/course/pilates-mat-work-building-your-strongest-foundation/,Melanie McGray,19.99,11.39,5.0(1 rating),Health & Fitness,,Pilates
Pilates Home Workout Series,www.udemy.com/course/pilates-home-workout-series/,Kate Boyle,89.99,11.39,0.0(0 ratings),Health & Fitness,,Pilates
Pilates Fundamentals for complete beginners.,www.udemy.com/course/pilates-fundamentals-for-complete-beginners/,Niamh Heverin,29.99,11.39,0.0(0 ratings),Health & Fitness,,Pilates
Sayezz Pilates Self-Practice Guide to Mat Fitness Level 1&2,www.udemy.com/course/sayezz-pilates-self-practice-guide-to-mat-fitness-level-12/,Stephanie Yezek Jolivet,24.99,11.39,5.0(5 ratings),Health & Fitness,,Pilates
Sayezz Pilates Self-Practice Guide to Mat FUNdamentals,www.udemy.com/course/sayezz-pilates-beyond-self-practice-guide-to-mat/,Stephanie Yezek Jolivet,24.99,11.39,4.8(14 ratings),Health & Fitness,,Pilates
Pilates From Scratch,www.udemy.com/course/pilates-from-scratch/,Mara Sievers,0,19.99,3.5(1 rating),Health & Fitness,,Pilates
Restore Your Core Pilates with Lana,www.udemy.com/course/restore-your-core-pilates-with-lana/,Lana Dawkins,19.99,11.39,0.0(0 ratings),Health & Fitness,,Pilates
