Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Powerpoint 2016 2019 - Master powerpoint presentation,www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/,Andrzej Pach,194.99,14.99,"4.4(3,953 ratings)",Office Productivity,,PowerPoint
PowerPoint Masterclass - Presentation Design & Animation,www.udemy.com/course/complete-powerpoint-presentation-design/,Andrzej Pach,199.99,13.19,"4.6(1,181 ratings)",Office Productivity,,PowerPoint
Beginner to Pro in PowerPoint: Complete PowerPoint Training,www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/,365 Careers,149.99,13.79,"4.3(2,745 ratings)",Office Productivity,,PowerPoint
How to Create Animated Videos with Powerpoint,www.udemy.com/course/powerpoint-video/,Pavel N. | Business | Innovation | Video,194.99,13.19,"4.6(1,334 ratings)",Office Productivity,,PowerPoint
Microsoft PowerPoint From Beginner to Advanced,www.udemy.com/course/microsoft-powerpoint-beginner-to-advanced-x/,Kyle Pew,149.99,13.79,4.7(76 ratings),Office Productivity,,PowerPoint
Modern PowerPoint Presentation: Be a Creative Pro,www.udemy.com/course/powerpoint-design-animation/,Arun Nagarathanam,199.99,13.19,"4.4(1,442 ratings)",Office Productivity,,PowerPoint
Creative PowerPoint Slide Design & Animation – For Beginners,www.udemy.com/course/creative-powerpoint-slide-design-animation/,Ramgopal from Presentation Process,199.99,13.19,4.6(427 ratings),Office Productivity,,PowerPoint
Advanced Microsoft PowerPoint Training,www.udemy.com/course/powerpoint-speed-training/,Taylor Croonquist,0,199.99,"4.5(1,192 ratings)",Office Productivity,,PowerPoint
PowerPoint Presentation Slide Design and Animation,www.udemy.com/course/powerpoint-presentation-slide-design-and-animation/,PowerPoint School,199.99,17.39,4.5(805 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint - PowerPoint from Beginner to Advanced,www.udemy.com/course/microsoft-powerpoint-from-beginner-to-advanced/,Kirt Kershaw,149.99,13.79,4.4(184 ratings),Office Productivity,,PowerPoint
Ultimate Guide to Microsoft PowerPoint for All Levels,www.udemy.com/course/shortest-powerpoint/,Jed Guinto,19.99,11.99,"4.5(1,526 ratings)",Office Productivity,,PowerPoint
Complete PowerPoint 2016 Masterclass (Office 365),www.udemy.com/course/complete-powerpoint-2016-masterclass/,Ramgopal from Presentation Process,199.99,13.19,4.7(416 ratings),Office Productivity,,PowerPoint
PowerPoint & Excel Fusion (+250 PowerPoint Slides),www.udemy.com/course/powerpoint-excel-fusion-exec-strategies-250-slide-deck/,Dragos Stefanescu,94.99,13.19,4.3(568 ratings),Office Productivity,,PowerPoint
Create Animated Explainer Videos with PowerPoint,www.udemy.com/course/powerpoint-animated-explainer-videos/,Andrzej Pach,149.99,13.19,4.7(216 ratings),Office Productivity,,PowerPoint
PowerPoint Slide Zoom Course 2019,www.udemy.com/course/slide_zoom/,One Skill,0,24.99,4.6(240 ratings),Office Productivity,,PowerPoint
PowerPoint Parallax Course,www.udemy.com/course/powerpoint-parallax/,One Skill,0,199.99,4.8(10 ratings),Office Productivity,,PowerPoint
Advanced PowerPoint for Consultants,www.udemy.com/course/advanced-powerpoint-for-consultants/,Paul Moss,159.99,11.39,4.7(18 ratings),Office Productivity,,PowerPoint
Advanced Animations in PowerPoint,www.udemy.com/course/advanced-animations-in-powerpoint/,Claudiu Titus Georgescu,74.99,13.19,4.3(138 ratings),Office Productivity,,PowerPoint
How to Create Promo Videos in PowerPoint,www.udemy.com/course/how-to-make-explainer-videos-in-powerpoint/,John Piteo,94.99,11.39,4.7(294 ratings),Office Productivity,,PowerPoint
"Microsoft Excel, PowerPoint and Word 2016 for Beginners",www.udemy.com/course/microsoft-excel-powerpoint-and-word-2016-course/,Simon Sez IT,199.99,15.59,4.2(448 ratings),Office Productivity,,PowerPoint
PowerPoint Slide Design for Crucial Presentations,www.udemy.com/course/presentationblueprint/,Guillermo Gonzalez,199.99,13.19,4.2(495 ratings),Office Productivity,,PowerPoint
Create Transparent Powerpoint Animations for your Videos,www.udemy.com/course/talking-head-video-animation-with-powerpoint/,Pavel N. | Business | Innovation | Video,99.99,13.19,4.5(15 ratings),Office Productivity,,PowerPoint
PowerPoint Masterclass: Create Interactive Presentations,www.udemy.com/course/powerpoint-interactive-presentations/,Danny Ballan,149.99,11.39,5.0(29 ratings),Office Productivity,,PowerPoint
Create Beautiful Graphics with PowerPoint SmartArt,www.udemy.com/course/creative-graphics-with-powerpoint-smartart/,Ramgopal from Presentation Process,199.99,13.19,4.5(74 ratings),Office Productivity,,PowerPoint
Creative PowerPoint Photo Editing Course,www.udemy.com/course/creative-powerpoint-photo-editing-course/,Ramgopal from Presentation Process,99.99,13.19,4.5(34 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint - to PowerPoint Specialist intermediate,www.udemy.com/course/master-powerpoint-to-specialist-intermediate-level/,Phillip Burton,124.99,11.39,4.4(86 ratings),Office Productivity,,PowerPoint
PowerPoint 2013/2016 Beginner to Advanced with Animation,www.udemy.com/course/microsoft-powerpoint-2013-beginner-through-advanced-training/,Brian Jackson,19.99,11.39,4.7(193 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Advanced,www.udemy.com/course/powerpoint-2016-advanced/,Intellezy Trainers,39.99,11.39,4.4(416 ratings),Office Productivity,,PowerPoint
"Excel, PowerPoint & Presentations for Investment Bankers",www.udemy.com/course/excel-powerpoint-presentations-for-investment-bankers/,Ali Ilci,99.99,11.39,4.4(58 ratings),Office Productivity,,PowerPoint
Business Presentation in PowerPoint,www.udemy.com/course/business-presentation-skills-training-bpst-with-powerpoint/,Ashish Agarwal,49.99,11.39,4.3(327 ratings),Office Productivity,,PowerPoint
PowerPoint - Impactful Microsoft PowerPoint Presentations,www.udemy.com/course/create-impactful-presentations-with-microsoft-powerpoint/,Kyle Pew,44.99,11.39,4.2(124 ratings),Office Productivity,,PowerPoint
"Master Microsoft Excel, PowerPoint and Word 2013 - 27 Hours",www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word-2013/,Simon Sez IT,149.99,11.39,4.6(163 ratings),Office Productivity,,PowerPoint
ANIMATED INFOGRAPHICS IN POWERPOINT,www.udemy.com/course/powerpoint-videos-animated-infographics-using-powerpoint/,Visual Deck,94.99,11.39,4.3(153 ratings),Office Productivity,,PowerPoint
PowerPoint 101 for Scientists and Medical Writers,www.udemy.com/course/powerpointforscientists/,"Emma Nichols, PhD",19.99,11.39,4.5(52 ratings),Office Productivity,,PowerPoint
PowerPoint VBA Macros and Coding Interactive Presentations,www.udemy.com/course/powerpoint-vba-macros/,Thomas Venables,129.99,11.39,4.0(18 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint in 1 Hour : Introduction to PowerPoint,www.udemy.com/course/microsoft-powerpoint-in-2-hours-time-to-boost-your-career/,365 Careers,94.99,11.39,4.4(797 ratings),Office Productivity,,PowerPoint
Learn Microsoft Powerpoint 2016 - From Beginner to Expert,www.udemy.com/course/learn-microsoft-powerpoint-2016-from-beginner-to-expert/,Scott Falls,79.99,13.19,4.2(93 ratings),Office Productivity,,PowerPoint
Powerpoint in 2 Hours: PowerPoint Training for Beginners,www.udemy.com/course/powerpoint-master-in-2-hours/,Ajay R Warrier,29.99,11.39,4.5(68 ratings),Office Productivity,,PowerPoint
Eye-catching presentations using PowerPoint 2013,www.udemy.com/course/powerpoint2013/,Ulrika Hedlund,19.99,11.39,4.3(905 ratings),Office Productivity,,PowerPoint
PowerPoint Course: Learn Most Used Tips & Tricks in PPT,www.udemy.com/course/powerpoint-2013-learn-powerful-ways-to-present-your-ideas/,Yoda Learning,99.99,11.39,4.7(13 ratings),Office Productivity,,PowerPoint
Get Polished in PowerPoint,www.udemy.com/course/get-polished-in-powerpoint/,Kieran Luke,0,49.99,4.2(322 ratings),Office Productivity,,PowerPoint
Master Microsoft PowerPoint 2016 the Easy Way,www.udemy.com/course/master-microsoft-powerpoint-2016-the-easy-way/,Simon Sez IT,74.99,11.39,4.5(259 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint for Mac - Office 365 on Mac OS,www.udemy.com/course/microsoft-powerpoint-for-mac-office-365-on-mac-os/,Colin Marks,39.99,11.39,4.5(13 ratings),Office Productivity,,PowerPoint
PowerPoint for Beginners,www.udemy.com/course/powerpoint-for-beginners/,Matt Carey,199.99,11.39,4.4(752 ratings),Office Productivity,,PowerPoint
"Ultimate PowerPoint Course, 2016 - 2019 Beginner to Advanced",www.udemy.com/course/ultimate-powerpoint-beginner-to-advanced/,Simon Sez IT,49.99,11.39,0.0(0 ratings),Office Productivity,,PowerPoint
77-729 MOS PowerPoint Certification Complete Techniques,www.udemy.com/course/77-729-powerpoint-complete-certification-techniques/,Ann Murphy,124.99,11.39,4.5(7 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint 2019 - Create Amazing Presentations,www.udemy.com/course/learn-microsoft-powerpoint-2019/,Simon Sez IT,29.99,13.19,4.5(5 ratings),Office Productivity,,PowerPoint
How to Design and Animate your eCourse in Powerpoint,www.udemy.com/course/designanimatepowerpoint/,Nata Aliyeva,0,94.99,4.7(17 ratings),Office Productivity,,PowerPoint
Powerpoint for Scientist: Guides for Presentation and Design,www.udemy.com/course/powerpointforscientist/,Duc Nguyen,19.99,11.39,4.3(16 ratings),Office Productivity,,PowerPoint
Master presentation with powerpoint 2013,www.udemy.com/course/master-presentation-with-powerpoint-2013/,Rhazi Hamid,199.99,11.39,4.5(39 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint 2016 Self-publishing eBook/Book Covers,www.udemy.com/course/book-cover-design-with-microsoft-powerpoint-2013/,Brian Jackson,19.99,11.99,4.9(96 ratings),Office Productivity,,PowerPoint
Kinetic Typography in PowerPoint - Animate in Powerpoint,www.udemy.com/course/powerpoint-kinetic-typography/,Andrzej Pach,94.99,11.39,4.5(115 ratings),Office Productivity,,PowerPoint
Excel VBA Connecting Powerpoint Application Series-13,www.udemy.com/course/excel-vba-connecting-powerpoint-application-series-13/,ajay parmar,24.99,11.39,4.1(12 ratings),Office Productivity,,PowerPoint
"PowerPoint Like a Boss - Get Certified, Make Amazing Slides",www.udemy.com/course/powerpoint-like-a-boss/,Brian Culp,149.99,11.39,4.2(21 ratings),Office Productivity,,PowerPoint
How to Create Awesome PowerPoint Presentations,www.udemy.com/course/how-to-create-awesome-powerpoint-presentations/,Tarik Saydiran,49.99,11.39,4.4(11 ratings),Office Productivity,,PowerPoint
PowerPoint & Camtasia Video Fusion,www.udemy.com/course/powerpoint-and-camtasia-video-fusion/,Dragos Stefanescu,94.99,11.39,3.9(213 ratings),Office Productivity,,PowerPoint
PowerPoint Animation: Make Animated Video & Explainer Video,www.udemy.com/course/create-a-complete-animated-video-with-powerpoint/,Loh Zhen Jie,19.99,11.39,4.7(10 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Foundation Training Course | Office 365,www.udemy.com/course/powerpoint-2016-foundation-training-course-tutorials/,David Murray,199.99,11.39,4.8(215 ratings),Office Productivity,,PowerPoint
PowerPoint 2016: PowerPoint Presentation Mastery,www.udemy.com/course/powerpoint-2016-powerpoint-presentation-mastery/,Anso BC,99.99,11.39,4.3(12 ratings),Office Productivity,,PowerPoint
PowerPoint: The Complete Step X Step PowerPoint Course! 6HR,www.udemy.com/course/powerpoint-the-complete-powerpoint-course/,"Steve Ballinger, MBA",199.99,11.39,4.6(247 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Advanced Training Course | MS Office 365,www.udemy.com/course/powerpoint-2016-advanced-training-course/,David Murray,199.99,11.39,4.5(131 ratings),Office Productivity,,PowerPoint
PowerPoint Animations and Video for Online Instructors,www.udemy.com/course/powerpoint-animations-and-video-for-online-instructors/,Alan Simpson,19.99,11.39,4.7(197 ratings),Office Productivity,,PowerPoint
Powerpoint 4 Video Part A - Introduction+Character Animation,www.udemy.com/course/powerpoint-4-video-create-explainer-videos-in-powerpoint/,"Meike Hohenwarter, MSc",49.99,11.39,4.3(316 ratings),Office Productivity,,PowerPoint
PowerPoint for Mac - From Beginner to Expert in 4 Hours,www.udemy.com/course/powerpoint-for-mac/,Todd McLeod,19.99,11.39,3.9(70 ratings),Office Productivity,,PowerPoint
How to create an animated promo video in PowerPoint,www.udemy.com/course/how-to-create-an-animated-promo-video-in-powerpoint/,Natalia Lyashenko,199.99,11.99,5.0(2 ratings),Office Productivity,,PowerPoint
Structured “Story Telling” via PowerPoint,www.udemy.com/course/structured-story-telling-via-powerpoint/,Stamford Advisory,39.99,11.99,4.0(10 ratings),Office Productivity,,PowerPoint
PowerPoint Video Magic – Top Video Making Tips,www.udemy.com/course/powerpoint-video-training/,Partha Bhattacharya,99.99,11.99,4.1(129 ratings),Office Productivity,,PowerPoint
PowerPoint 2013 2016 - Video Animation in Powerpoint,www.udemy.com/course/logo-intro-animations-for-youtube-in-powerpoint-2013/,Andrzej Pach,144.99,11.99,4.2(101 ratings),Office Productivity,,PowerPoint
PowerPoint,www.udemy.com/course/powerpoint-for-business/,NYIM Training,0,94.99,4.8(3 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint 2010 Tutorial,www.udemy.com/course/microsoft-powerpoint-2010/,Infinite Skills,49.99,11.99,4.5(102 ratings),Office Productivity,,PowerPoint
PowerPoint Presentations: Deliver a Non-Boring Presentation,www.udemy.com/course/how-to-deliver-a-powerpoint-presentation/,TJ Walker,199.99,11.99,4.0(94 ratings),Office Productivity,,PowerPoint
Presenting Financials with Excel and PowerPoint,www.udemy.com/course/presenting-financials/,Learn iT! Anytime,49.99,11.99,4.1(249 ratings),Office Productivity,,PowerPoint
Create and sell animated videos in minutes using PowerPoint,www.udemy.com/course/create-and-sell-animated-videos-in-minutes-using-powerpoint/,Kenz Soliman,174.99,11.99,4.7(206 ratings),Office Productivity,,PowerPoint
PowerPoint Intro Machine - Create Logo Intros in PowerPoint,www.udemy.com/course/powerpoint-intro-machine/,Claudiu Titus Georgescu,49.99,11.99,4.7(12 ratings),Office Productivity,,PowerPoint
Learning PowerPoint 2016 for Mac,www.udemy.com/course/learning-powerpoint-2016-for-mac/,Infinite Skills,49.99,11.99,4.5(36 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint 2016 Made Easy,www.udemy.com/course/microsoft-powerpoint-2016-made-easy/,Dr. Harold L. Fisher,19.99,11.99,4.4(116 ratings),Office Productivity,,PowerPoint
PowerPoint 2019 Advanced,www.udemy.com/course/powerpoint-2019-advanced/,Intellezy Trainers,39.99,11.99,2.1(2 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Essentials for Mac - In-depth training,www.udemy.com/course/powerpoint-2016-essentials-for-mac/,ITPro TV,99.99,11.99,3.9(5 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint Advanced,www.udemy.com/course/microsoft-powerpoint-advanced/,ZandaX Training,19.99,11.99,4.1(10 ratings),Office Productivity,,PowerPoint
Graphic Design using PowerPoint | Beginner to Professional,www.udemy.com/course/graphic-design-using-powerpoint-beginner-to-professional/,Tanmoy Das,159.99,11.99,4.2(6 ratings),Office Productivity,,PowerPoint
PowerPoint Animation Deep Dive: Office Ninja Training,www.udemy.com/course/powerpoint-animation/,Alex Mozes,69.99,11.39,4.4(181 ratings),Office Productivity,,PowerPoint
Camtasia Screencasting: Camtasia Studio 8 w/PowerPoint 2016,www.udemy.com/course/camtasia-8-and-powerpoint-for-udemy-instructors-unofficial/,Brian Jackson,19.99,11.39,4.4(47 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Intermediate Level Training | Office 365,www.udemy.com/course/powerpoint-2016-intermediate-training-video/,David Murray,199.99,11.39,4.0(56 ratings),Office Productivity,,PowerPoint
QUOTE PRINTABLES IN POWERPOINT,www.udemy.com/course/earn-passive-income-creating-printables-in-powerpoint/,Visual Deck,94.99,11.39,4.3(48 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint Level 2 - Advanced PowerPoint,www.udemy.com/course/microsoft-powerpoint-level-2-advanced-powerpoint/,Kirt Kershaw,49.99,11.39,0.0(0 ratings),Office Productivity,,PowerPoint
Microsoft Powerpoint Crash Course: Master Powerpoint,www.udemy.com/course/powerpoint-2013-crash-course-beginner-to-advanced/,Andrzej Pach,94.99,11.39,4.1(68 ratings),Office Productivity,,PowerPoint
PowerPoint 2016 Introduction,www.udemy.com/course/powerpoint-2016-introduction/,Intellezy Trainers,39.99,11.39,4.6(163 ratings),Office Productivity,,PowerPoint
PowerPoint 2013 Microsoft Office Specialist Certification,www.udemy.com/course/microsoftpowerpoint/,Syed Raza,199.99,11.39,4.0(57 ratings),Office Productivity,,PowerPoint
Public Speaking and Presentations PowerPoint: Master Design,www.udemy.com/course/game-changing-powerpoints/,Jason Teteak,99.99,11.39,4.5(13 ratings),Office Productivity,,PowerPoint
Learn Microsoft PowerPoint 2013 the Easy Way - 9 Hours,www.udemy.com/course/learn-microsoft-powerpoint-2013-training/,Simon Sez IT,74.99,11.39,4.8(96 ratings),Office Productivity,,PowerPoint
Advance PowerPoint Animation,www.udemy.com/course/basicpowerpointanimation/,Amardeep Singh,19.99,11.39,4.7(11 ratings),Office Productivity,,PowerPoint
How To Create A Sales Scripts Tool Using MS PowerPoint,www.udemy.com/course/how-to-create-a-sales-scripts-tool/,Martin Aranovitch,29.99,11.39,3.9(8 ratings),Office Productivity,,PowerPoint
Microsoft PowerPoint 2010 Intermediate/Advanced,www.udemy.com/course/sonic-powerpoint-2010-advanced/,SONIC Performance Support - E-Learning Experts,19.99,11.39,4.0(8 ratings),Office Productivity,,PowerPoint
Definitive Guide to Create Promo Videos in PowerPoint (2019),www.udemy.com/course/powerpoint-videos/,Evan VanDerwerker,19.99,11.39,4.1(154 ratings),Office Productivity,,PowerPoint
Get Good At Slides - Powerpoint for Speakers Masterclass,www.udemy.com/course/how-to-create-great-presentation-slides-for-engaging-talks/,Lee Jackson,34.99,11.39,4.4(23 ratings),Office Productivity,,PowerPoint
Powerpoint 4 Video Part B - Animated Backgrounds,www.udemy.com/course/powerpoint-4-video-part-b-animated-backgrounds/,"Meike Hohenwarter, MSc",49.99,11.39,4.4(52 ratings),Office Productivity,,PowerPoint
