Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Become a Probability & Statistics Master,www.udemy.com/course/statistics-probability/,Krista King,199.99,11.39,"4.6(2,826 ratings)",Teaching & Academics,,Probability
Probability for Statistics and Data Science,www.udemy.com/course/probability-for-statistics-and-data-science/,365 Careers,194.99,11.39,4.4(202 ratings),Teaching & Academics,,Probability
Workshop in Probability and Statistics,www.udemy.com/course/statshelp/,George Ingersoll,39.99,11.39,"4.5(2,976 ratings)",Teaching & Academics,,Probability
Probability and Statistics - Practice Tests and Solutions,www.udemy.com/course/probability-and-statistics-quizzes-mcq/,Sandeep Kumar ­,39.99,11.39,5.0(2 ratings),Teaching & Academics,,Probability
Master Special Probability Distributions in Statistics.,www.udemy.com/course/master-special-probability-distributions-in-statistics/,Shilank Singh,174.99,11.39,4.1(15 ratings),Teaching & Academics,,Probability
"Probability & Statistics Mistakes, in Decision Making!",www.udemy.com/course/probability-statistics-mistakes-misconceptions-lessons/,Sivakami S,79.99,11.39,4.7(53 ratings),Teaching & Academics,,Probability
Statistics : Random Variables and Probability Distributions,www.udemy.com/course/random-variables-probability-distributions/,Shubham Kalra,99.99,11.39,4.1(41 ratings),Teaching & Academics,,Probability
Probability and Statistics for Beginners,www.udemy.com/course/statistics-and-probability-basics-introduction-course/,LetsTute Make it Easy,19.99,11.39,3.7(42 ratings),Teaching & Academics,,Probability
Introduction To Applied Probability,www.udemy.com/course/probability-and-statistics-for-machine-learning-1/,Shilank Singh,109.99,11.39,3.9(14 ratings),Teaching & Academics,,Probability
Probability and Statistics 1: The Complete Guide,www.udemy.com/course/probability-and-statistics-1-the-complete-guide/,L Sang,199.99,11.39,4.2(19 ratings),Teaching & Academics,,Probability
GRE Probability,www.udemy.com/course/probability-gre/,SWARTWOOD PREP,129.99,11.39,4.8(5 ratings),Teaching & Academics,,Probability
Introductory Probability (A Crash Course),www.udemy.com/course/introductory-probability/,SWARTWOOD PREP,24.99,11.39,4.7(13 ratings),Teaching & Academics,,Probability
Introductory Probability and Statistics,www.udemy.com/course/introductory-probability-and-statistics/,Ash Narayan Sah,149.99,11.39,4.1(8 ratings),Teaching & Academics,,Probability
Probability made easy: Continuous randomness,www.udemy.com/course/probability-made-easy-continuous-randomness/,Dynamic Lectures,19.99,11.39,4.7(7 ratings),Teaching & Academics,,Probability
Learn Probability concepts and counting techniques ,www.udemy.com/course/learn-probability-concepts-and-counting-techniques/,Luc Zio,49.99,11.39,4.1(13 ratings),Teaching & Academics,,Probability
Basics of Probability,www.udemy.com/course/basics-of-probability/,Paula Cavalcanti,99.99,11.39,5.0(1 rating),Teaching & Academics,,Probability
Probability Made Easy,www.udemy.com/course/probability-made-easy/,Dynamic Lectures,19.99,11.39,4.3(20 ratings),Teaching & Academics,,Probability
A Quick Bite in Probability,www.udemy.com/course/a-quick-bite-in-probability/,Girijesh Pathak,39.99,11.39,4.6(72 ratings),Teaching & Academics,,Probability
Probability - Strengthen your Basics!,www.udemy.com/course/dont-memorise-probability/,Don't Memorise,19.99,11.39,5.0(1 rating),Teaching & Academics,,Probability
Probability For Beginners : Building a  Foundation,www.udemy.com/course/probability-foundation-course/,Surya Kumari Gandikota,39.99,11.39,4.5(12 ratings),Teaching & Academics,,Probability
Probability for beginners | Mathematics & Statistics,www.udemy.com/course/probability-o/,LetsTute Make it Easy,19.99,11.39,4.2(42 ratings),Teaching & Academics,,Probability
Probability made easy: Learn counting techniques,www.udemy.com/course/probability-made-easy-learn-counting-techniques/,Dynamic Lectures,19.99,11.39,4.2(9 ratings),Teaching & Academics,,Probability
VCE Maths Methods Units 1-4: Probability,www.udemy.com/course/vce-maths-methods-units-1-4-probability/,Aaron Ng,44.99,11.39,4.8(3 ratings),Teaching & Academics,,Probability
Probability made easy: Expected value and variance,www.udemy.com/course/probability-made-easy-expected-value-and-variance/,Dynamic Lectures,19.99,11.39,4.7(4 ratings),Teaching & Academics,,Probability
Probability and Counting Techniques,www.udemy.com/course/probability-and-counting-techniques/,Abeer Shaaban,19.99,11.39,3.7(16 ratings),Teaching & Academics,,Probability
