Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
"React - The Complete Guide (incl Hooks, React Router, Redux)",www.udemy.com/course/react-the-complete-guide-incl-redux/,Academind by Maximilian Schwarzmüller,189.99,11.99,"4.6(57,912 ratings)",Development,,React
"Complete React Developer in 2020 (w/ Redux, Hooks, GraphQL)",www.udemy.com/course/complete-react-developer-zero-to-mastery/,Andrei Neagoie,199.99,11.99,"4.7(3,868 ratings)",Development,,React
Modern React with Redux [2019 Update],www.udemy.com/course/react-redux/,Stephen Grider,179.99,11.99,"4.6(51,570 ratings)",Development,,React
The Complete React Developer Course (w/ Hooks and Redux),www.udemy.com/course/react-2nd-edition/,Andrew Mead,99.99,11.99,"4.7(13,732 ratings)",Development,,React
React Front To Back 2019,www.udemy.com/course/modern-react-front-to-back/,Brad Traversy,119.99,11.99,"4.7(2,528 ratings)",Development,,React
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",www.udemy.com/course/modern-react-bootcamp/,Colt Steele,199.99,11.99,"4.7(2,377 ratings)",Development,,React
Node with React: Fullstack Web Development,www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,179.99,11.99,"4.6(10,053 ratings)",Development,,React
GraphQL with React: The Complete Developers Guide,www.udemy.com/course/graphql-with-react-course/,Stephen Grider,149.99,11.99,"4.6(5,916 ratings)",Development,,React
2019 Update! React Testing with Jest and Enzyme,www.udemy.com/course/react-testing-with-jest-and-enzyme/,Bonnie Schulkin,99.99,11.99,"4.4(1,269 ratings)",Development,,React
Advanced React and Redux: 2019 Edition,www.udemy.com/course/react-redux-tutorial/,Stephen Grider,139.99,11.99,"4.6(8,546 ratings)",Development,,React
MERN Stack - The Complete Guide,www.udemy.com/course/mern-stack-the-complete-guide/,Reed Barger,29.99,11.99,4.4(159 ratings),Development,,React
Go Java Full Stack with Spring Boot and React,www.udemy.com/course/full-stack-application-with-spring-boot-and-react/,in28Minutes Official,199.99,11.99,4.5(651 ratings),Development,,React
Complete Next.js with React & Node - Beautiful Portfolio App,www.udemy.com/course/awesome-nextjs-with-react-and-node-amazing-portfolio-app/,Filip Jerga,179.99,11.99,4.5(314 ratings),Development,,React
MERN Stack React Node Multi User Blogging Platform with SEO,www.udemy.com/course/react-node-nextjs-fullstack-multi-user-blogging-platform-with-seo/,Ryan Dhungel,19.99,11.99,4.7(76 ratings),Development,,React
"Build an app with React, Redux and Firestore from scratch",www.udemy.com/course/build-an-app-with-react-redux-and-firestore-from-scratch/,Neil Cummings,189.99,11.99,4.7(939 ratings),Development,,React
Server Side Rendering with React and Redux,www.udemy.com/course/server-side-rendering-with-react-and-redux/,Stephen Grider,39.99,11.99,"4.7(2,338 ratings)",Development,,React
Serverless React with AWS Amplify - The Complete Guide,www.udemy.com/course/serverless-react-with-aws-amplify/,Reed Barger,29.99,11.39,4.6(505 ratings),Development,,React
React js. From the beginning. w/ Redux and React Router,www.udemy.com/course/react-js-from-the-beginning-w-redux-and-react-router/,Robert Bunch,59.99,11.39,4.7(147 ratings),Development,,React
React Tutorial and Projects Course,www.udemy.com/course/react-tutorial-and-projects-course/,John Smilga,19.99,11.39,4.6(628 ratings),Development,,React
The Complete React Js & Redux Course - Build Modern Web Apps,www.udemy.com/course/the-complete-react-js-redux-course-build-modern-web-apps/,Codestars by Rob Percival,199.99,11.39,"4.4(1,318 ratings)",Development,,React
