Course,URL,instructor,Price (full),Price (discount),Rank
Fundamentals of Analyzing Real Estate Investments,www.udemy.com/course/real-estate-investment-analysis/,Symon He,199.99,13.19,"4.5(6,211 ratings)"
The Real Estate Financial Modeling Bootcamp,www.udemy.com/course/the-real-estate-financial-modeling-bootcamp/,Justin Kivel,199.99,11.99,"4.6(1,653 ratings)"
Intro to Analyzing Rental Income Properties,www.udemy.com/course/real-estate-investing-introduction-investment-analysis/,Symon He,149.99,11.39,4.4(717 ratings)
The Real Estate Pro Forma Modeling Master Class,www.udemy.com/course/the-real-estate-pro-forma-modeling-master-class/,Justin Kivel,199.99,12.59,4.8(564 ratings)
The Complete Guide To Multifamily Real Estate Investing,www.udemy.com/course/multifamily-real-estate-masters/,Justin Kivel,199.99,11.39,4.7(478 ratings)
The Advanced Real Estate Financial Modeling Bootcamp,www.udemy.com/course/the-advanced-real-estate-financial-modeling-bootcamp/,Justin Kivel,199.99,11.39,4.8(237 ratings)
The Real Estate Equity Waterfall Modeling Master Class,www.udemy.com/course/the-real-estate-equity-waterfall-modeling-master-class/,Justin Kivel,199.99,11.99,4.8(424 ratings)
The Real Estate Development Modeling Master Class,www.udemy.com/course/the-real-estate-development-pro-forma-modeling-master-class/,Justin Kivel,199.99,11.39,4.8(332 ratings)
"Real Estate Investing: Learn to Fix & Flip , Step by Step!",www.udemy.com/course/discover-how-to-fix-and-flip-houses-step-by-step/,Khari Parker,199.99,11.39,4.4(767 ratings)
Commercial Real Estate Investing 101,www.udemy.com/course/commercial-real-estate-investing-101/,Justin Kivel,199.99,11.39,4.7(402 ratings)
How to Analyze Multifamily Investment Opportunities,www.udemy.com/course/multifamily-investment-analysis/,Symon He,104.99,11.39,4.7(392 ratings)
Pre-Investing: Essential Real Estate Investing Concepts,www.udemy.com/course/pre-investing-real-estate-before-first-investment/,Symon He,174.99,11.39,4.6(611 ratings)
The Real Estate Syndication Process,www.udemy.com/course/the-real-estate-syndication-process/,Justin Kivel,199.99,11.39,4.6(256 ratings)
The Advanced Real Estate Equity Waterfall Modeling Class,www.udemy.com/course/the-advanced-real-estate-equity-waterfall-modeling-course/,Justin Kivel,199.99,11.39,4.9(20 ratings)
Real Estate Asset Management 101,www.udemy.com/course/real-estate-asset-management-101/,Justin Kivel,199.99,11.39,4.6(138 ratings)
The Advanced Real Estate Pro Forma Modeling Master Class,www.udemy.com/course/advanced-commercial-real-estate-pro-forma-modeling-course/,Justin Kivel,199.99,11.39,4.8(47 ratings)
Wholesale Real Estate Contracts: Flip Houses Risk Free,www.udemy.com/course/wholesale-real-estate-contracts/,Ben Clardy,49.99,11.99,4.4(403 ratings)
The Complete Guide To Analyzing Single Family Rental Houses,www.udemy.com/course/single-family-home-rental-property-analysis-course/,Justin Kivel,199.99,11.39,4.7(87 ratings)
The Commercial Real Estate Lease Modeling Master Class,www.udemy.com/course/the-commercial-real-estate-lease-modeling-master-class/,Justin Kivel,199.99,11.39,4.4(110 ratings)
Brief Intro to Commercial Real Estate,www.udemy.com/course/intro-commercial-real-estate-investing-symon-he-brandon-young/,Symon He,199.99,11.99,4.6(159 ratings)
The Complete REIT Investing Course (Updated 2019),www.udemy.com/course/reit-investing-how-to-value-reits/,Wealthy Education,199.99,13.19,4.6(410 ratings)
How To Land a Job In Private Equity Real Estate,www.udemy.com/course/how-to-land-a-job-in-private-equity-real-estate/,Justin Kivel,199.99,11.39,4.8(169 ratings)
How To Analyze Passive Real Estate Investment Opportunities,www.udemy.com/course/how-to-analyze-passive-real-estate-investment-opportunities/,Justin Kivel,199.99,11.39,4.9(42 ratings)
Real Estate Math Made Easy: Pass Your Licensing Exam,www.udemy.com/course/real-estate-math/,Peggy Yee,19.99,11.39,4.6(427 ratings)
How To Build A Real Estate Cash Buyers List,www.udemy.com/course/how-to-build-a-real-estate-cash-buyers-list/,Ben Clardy,49.99,11.39,4.5(241 ratings)
Virtual Real Estate Wholesaling In 30 Days For - BASICS,www.udemy.com/course/virtual-real-estate-wholesaling-in-30-days/,Ebonie Caldwell,89.99,11.39,4.1(253 ratings)
Learn the Secrets of Probate Real Estate Investing,www.udemy.com/course/probate-real-estate-marketing-complete-course/,Greg Vanderford,194.99,11.39,4.6(295 ratings)
Wholesaling Real Estate Made Easy - 2019 (Contract Included),www.udemy.com/course/wholesaling-houses-made-easy-big-profits-real-estate/,Ryan Giambattista,99.99,11.39,4.4(35 ratings)
The Complete Guide To Investing In Office Real Estate,www.udemy.com/course/the-complete-guide-to-office-real-estate-investing/,Justin Kivel,199.99,11.39,4.8(32 ratings)
The Complete Guide To Retail Real Estate Investing,www.udemy.com/course/retail-real-estate-investing-masters/,Justin Kivel,199.99,11.39,4.8(66 ratings)
Virtual Transaction Coordinator for Real Estate Agents,www.udemy.com/course/trans-trac-system/,Brad Gustafson,29.99,11.39,4.7(266 ratings)
How to Get Started Real Estate Investing!,www.udemy.com/course/rei-quick-start/,Dennis Fassett,199.99,11.39,4.5(146 ratings)
The Probate Blueprint: Real Estate Investing Master Class,www.udemy.com/course/the-probate-blueprint-real-estate-investing-master-class/,Ben Clardy,109.99,11.39,4.6(134 ratings)
Creative Real Estate Investing & Flipping Houses,www.udemy.com/course/real-estate-investing-flipping-houses/,Phil Pustejovsky,19.99,11.39,4.0(536 ratings)
Effectively Lease Commercial Real Estate Properties,www.udemy.com/course/effectively-lease-commercial-real-estate-properties/,Heather Boren,144.99,11.39,4.6(101 ratings)
Tools For Inspecting Your Home Or One You May Want To Buy,www.udemy.com/course/do-your-homework/,Bill Sharp,99.99,11.39,4.4(35 ratings)
"Real Estate Investing: Strategies, Tools & Investing Mindset",www.udemy.com/course/real-estate-investing-learn-to-buy-flip-sell-negotiate/,Life Progression Project,194.99,11.39,4.2(185 ratings)
Rent To Rent - Property/Real Estate Investing,www.udemy.com/course/renttorent-rent2rent-cashflow-property-realestate-investing/,Neil McCoy-Ward,0,49.99,4.6(9 ratings)
Investing in Real Estate Tax Lien Certificates: Case Study,www.udemy.com/course/investing-in-real-estate-tax-lien-certificates-case-study/,Larry Aiello,24.99,11.39,4.2(21 ratings)
How to Buy Your First Rental House,www.udemy.com/course/sfrentals101/,Dennis Fassett,94.99,11.39,4.3(39 ratings)
Investing in Mobile Home Parks & RV Parks + Real Estate 101,www.udemy.com/course/mobile-home-parks-real-estate-investing/,COURSE ENVY,49.99,11.99,4.7(67 ratings)
How to complete your Real Estate Investing Docs,www.udemy.com/course/how-to-complete-your-real-estate-investing-docs/,James Bealer,34.99,11.39,4.6(36 ratings)
Rehab Construction for Real Estate Investing,www.udemy.com/course/realestateinvestinghowtorehab/,Ryan Garcilazo,24.99,11.39,4.2(37 ratings)
Learn How to Double or Triple Your Production in Real Estate,www.udemy.com/course/tripleyourincome/,Kristen Crabtree,49.99,11.39,4.3(92 ratings)
Real Estate Investing With Owner Financing To Create Wealth,www.udemy.com/course/ownerfinancing/,Tim Crane,49.99,11.39,4.3(121 ratings)
Real Estate Development in Excel (Includes Template),www.udemy.com/course/real-estate-development-in-excel/,Daniel Davis,64.99,11.39,3.8(43 ratings)
Real Estate School of Sales,www.udemy.com/course/real-estate-career-starting-out-strong/,Jason Keiller,199.99,11.39,4.7(47 ratings)
Learn How to Invest in Tax Lien,www.udemy.com/course/learn-how-to-invest-in-tax-lien-in-30-days/,Marcos Jacober,0,29.99,2.5(3 ratings)
Multifamily Real Estate Investing With No Money Down,www.udemy.com/course/how-to-invest-in-apartments-without-using-your-own-money/,Cory Holmes,199.99,11.39,4.2(18 ratings)
Multifamily Real Estate Investing Rules of Thumb,www.udemy.com/course/rules-of-thumb-for-multifamily-real-estate-investing/,Jake Stenziano & Gino Barbaro,49.99,11.39,4.5(151 ratings)
Wholesaling Real Estate in 30 days step by step,www.udemy.com/course/learn-everything-about-wholesaling-real-estate/,christian Chabi,99.99,13.79,4.2(84 ratings)
Real Estate Investing: Learn How To Fix Up Your Fixer Upper!,www.udemy.com/course/real-estate-investing-learn-how-to-fix-up-your-fixer-upper/,Khari Parker,199.99,11.39,4.5(24 ratings)
Property Flip or Hold - Real Estate Investing Calc Analysis,www.udemy.com/course/property-flip-or-hold/,Marco Napoli,124.99,11.39,5.0(20 ratings)
Real Estate Investing: Fix and Flip Property Walkthroughs!,www.udemy.com/course/real-estate-investing-fix-and-flip-case-studies/,Khari Parker,199.99,11.39,4.2(7 ratings)
"Real Estate Investing: Foreclosures, Flipping Houses Profits",www.udemy.com/course/real-estate-investing-foreclosures/,Scott Paton,199.99,11.39,4.3(62 ratings)
