Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Revit Architecture I Course Complete Beginners Training,www.udemy.com/course/revit-architecture-i/,Webelocity Designs,199.99,11.99,4.5(993 ratings),Design,,Revit
Autodesk Revit - beginner to an intermediate level,www.udemy.com/course/autodesk-revit-for-beginners-up-to-intermediate-level/,S15 Studio,49.99,11.99,"4.5(1,344 ratings)",Design,,Revit
Revit Architecture II Course Complete Intermediate Training,www.udemy.com/course/revit-architecture-intermediate/,Webelocity Designs,199.99,11.99,4.4(191 ratings),Design,,Revit
Revit Architecture III Complete Advanced Features Course,www.udemy.com/course/revit-architecture-iii/,Webelocity Designs,199.99,11.99,4.6(70 ratings),Design,,Revit
Revit Structure 2018 from Zero to Hero,www.udemy.com/course/revit-structure-2018-from-zero-to-hero/,Munir Hamad,19.99,11.99,4.3(734 ratings),Design,,Revit
Revit MEP 2019 Essentials and Intermediate,www.udemy.com/course/revit-mep-2019-essentials-and-intermediate/,Munir Hamad,19.99,11.99,4.4(194 ratings),Design,,Revit
Learning Autodesk Revit MEP 2016,www.udemy.com/course/learning-autodesk-revit-mep-2016/,Infinite Skills,49.99,11.99,4.5(642 ratings),Design,,Revit
Revit 2019 Architectural Course For Beginner With Project,www.udemy.com/course/revit2017/,Awais Jamil,39.99,11.99,4.5(574 ratings),Design,,Revit
Learn to program the Revit API by Boost Your BIM,www.udemy.com/course/revitapi/,Harry Mattison,0,194.99,4.4(170 ratings),Design,,Revit
Revit Structure from Scratch,www.udemy.com/course/revit-structure-from-zero-to-expert/,Creative Engineering Center,119.99,11.99,4.4(62 ratings),Design,,Revit
Revit & Robot From Zero to Expert,www.udemy.com/course/revit-robot-from-zero-to-expert/,Creative Engineering Center,99.99,11.99,4.3(34 ratings),Design,,Revit
Revit Architecture 2020 From Zero to Hero,www.udemy.com/course/revit-architecture-2020/,Munir Hamad,19.99,11.99,4.5(49 ratings),Design,,Revit
Learning Autodesk Revit Architecture 2016,www.udemy.com/course/learning-autodesk-revit-architecture-2016/,Infinite Skills,49.99,11.99,4.7(827 ratings),Design,,Revit
"BIM Clash Detection with Revit, Navisworks, Dynamo 2018",www.udemy.com/course/clash-detection/,Enrique Galicia,49.99,11.99,4.2(137 ratings),Design,,Revit
BIM Mastering Geometry on Revit with Dynamo Samples and Uses,www.udemy.com/course/bimmdgeo/,Enrique Galicia,64.99,11.99,4.0(73 ratings),Design,,Revit
"BIM 4D Simulations Revit, Dynamo, Navisworks & Max 2018",www.udemy.com/course/simulate/,Enrique Galicia,69.99,11.99,4.7(88 ratings),Design,,Revit
The Complete Beginners Guide to Autodesk Revit Architecture,www.udemy.com/course/the-complete-beginners-guide-to-autodesk-revit-architecture/,Ian Nichols,19.99,11.99,4.4(258 ratings),Design,,Revit
Advanced Revit Architecture 2016 Training,www.udemy.com/course/advanced-revit-architecture-2016-training/,Infinite Skills,49.99,11.99,4.5(299 ratings),Design,,Revit
Learning Autodesk Revit Structure 2016,www.udemy.com/course/learning-autodesk-revit-structure-2016/,Infinite Skills,49.99,11.99,4.2(285 ratings),Design,,Revit
"Infraworks,Civil3d,Revit and Dynamo 2018",www.udemy.com/course/icrdyna18/,Enrique Galicia,49.99,11.99,4.6(48 ratings),Design,,Revit
Autodesk Revit 2019 and 2020 From Beginner to Professional,www.udemy.com/course/autodesk-revit-2019-from-beginner-to-professional/,Rayti Paramo,19.99,11.99,4.1(28 ratings),Design,,Revit
Interior Design with Revit for Beginners,www.udemy.com/course/interior-design-with-revit/,Brandon Adams,54.99,11.99,4.1(69 ratings),Design,,Revit
BIM - Project Management in Revit with 4D Time and 5D Cost,www.udemy.com/course/project-management-in-revit-with-4d-time-and-5d-cost/,Boiko Artem,24.99,11.99,0.0(0 ratings),Design,,Revit
Revit Template Creation For a BIM Workflow,www.udemy.com/course/revit-template-creation-for-a-bim-workflow/,Corey Williams,29.99,11.99,4.1(40 ratings),Design,,Revit
Dynamo Player on Revit 2019 for Quantity Takeoff,www.udemy.com/course/dprvtqto/,Enrique Galicia,34.99,11.99,3.6(12 ratings),Design,,Revit
Revit Tips & Tricks,www.udemy.com/course/revit-tips-tricks/,Szymon Janczura,0,99.99,4.4(6 ratings),Design,,Revit
