Course,URL,instructor,Price (full),Price (discount),Rank
SharePoint 2013 Complete Training,www.udemy.com/course/sharepoint-2013-complete-training/,Kyle Pew,99.99,11.99,"4.4(3,799 ratings)"
"SharePoint 2016 Site Owner, User, & 365 (3-course bundle)",www.udemy.com/course/sharepoint-2016-site-owner-user-365-3-course-bundle/,Intellezy Trainers,79.99,11.99,4.3(892 ratings)
Mastering SharePoint 2019,www.udemy.com/course/mastering-sharepoint-2019/,Packt Publishing,124.99,11.99,4.4(82 ratings)
SharePoint 2019 & 2016 A-Z Complete Boot Camp 5 Course in 1,www.udemy.com/course/sharepoint-2019-2016-complete-boot-camp-5-course-bundle/,NPM Global Technologies,19.99,11.99,4.0(147 ratings)
Getting Started With SharePoint Online,www.udemy.com/course/gs-sp-online/,Robert Crane,39.99,11.99,4.0(484 ratings)
SharePoint Designer 2013,www.udemy.com/course/sharepoint-designer-2013/,Intellezy Trainers,64.99,11.99,4.2(387 ratings)
SharePoint 2013 Development using C# - Part I,www.udemy.com/course/sharepoint2013development/,Kameswara Uppuluri,49.99,11.99,4.3(413 ratings)
SharePoint Online - Level 1,www.udemy.com/course/sharepoint-online-level-1/,Robert Crane,49.99,11.99,4.1(216 ratings)
Beginning SharePoint 2013/ 2016 /Online (part of Office 365),www.udemy.com/course/sharepoint-2016-tutorial-online-365/,Jack Singh,194.99,11.99,4.0(366 ratings)
SharePoint 2013 Development Using C# - Part II,www.udemy.com/course/sharepoint2013developmentpart2/,Kameswara Uppuluri,49.99,11.99,4.6(162 ratings)
O365 SharePoint Online- Guide for Super Users and Developers,www.udemy.com/course/o365sharepoint/,Akanksha Gupta,24.99,11.99,3.5(16 ratings)
Sharepoint: SPFx Development Model,www.udemy.com/course/sharepoint-spfx-development-model/,Packt Publishing,124.99,11.99,4.3(104 ratings)
Working with InfoPath 2013 in SharePoint,www.udemy.com/course/infopath-2013/,Intellezy Trainers,39.99,11.99,4.3(191 ratings)
SharePoint 2016 Site Owner,www.udemy.com/course/sharepoint-2016-site-owner/,Intellezy Trainers,39.99,11.99,4.2(560 ratings)
SharePoint Online Basics,www.udemy.com/course/sharepoint-online-basics/,Chip Reaves,24.99,11.99,4.6(59 ratings)
SharePoint 2013: Site Manager,www.udemy.com/course/sharepoint-2013-site-manager/,Learn iT! Anytime,19.99,11.99,4.5(363 ratings)
SharePoint 2016 Branding (Custom Master Page),www.udemy.com/course/sharepoint-2016-branding-custom-master-page/,Lin Zhang,99.99,11.99,3.9(108 ratings)
Microsoft SharePoint Server 2013 Training - Admin (70-331),www.udemy.com/course/microsoft-sharepoint-server-2013/,Infinite Skills,49.99,11.99,4.0(232 ratings)
Microsoft SharePoint 2013 Foundation and Server 2013 Bundle,www.udemy.com/course/microsoft-sharepoint-2013-training/,Simon Sez IT,179.99,11.99,4.4(242 ratings)
SharePoint for Developers: Building Hosted Add-Ins,www.udemy.com/course/sharepoint-for-developers-building-hosted-add-ins/,Packt Publishing,124.99,11.99,3.5(74 ratings)
"SharePoint 2016: Architecture, Deployment and Security",www.udemy.com/course/sharepoint-2016-architecture-deployment-and-security/,Packt Publishing,124.99,11.99,4.0(22 ratings)
"SharePoint Advanced: Metadata,Columns,Lists,Taxonomy & More",www.udemy.com/course/sharepoint-2016-metadata-columns-lists-taxonomy-custom-types-data-sets/,Luke Angel,124.99,11.99,3.5(257 ratings)
"Sharepoint:Powershell,Automation And Provider-Hosted Add-Ins",www.udemy.com/course/sharepointpowershellautomation-and-provider-hosted-add-ins/,Packt Publishing,124.99,11.99,3.9(24 ratings)
Office 365 SharePoint Site User,www.udemy.com/course/office-365-sharepoint-site-user/,Intellezy Trainers,59.99,11.99,4.3(5 ratings)
"Share Point 2016  Codeless Mobile Apps,lists,Flow,Power Apps",www.udemy.com/course/share-point-2016-codeless-mobile-apps-microsoft-lists-flow-powerapps/,Luke Angel,94.99,11.99,3.9(164 ratings)
SharePoint Foundation 2010: Advanced,www.udemy.com/course/sharepoint-foundation-2010-advanced/,Integrity Training,199.99,11.99,3.9(5 ratings)
Practical SharePoint 2013 Deep Dive into the Essentials,www.udemy.com/course/practical-sharepoint-2013-deep-dive-into-the-essentials/,Optima Train,24.99,11.99,4.6(50 ratings)
SharePoint 2016 Site User,www.udemy.com/course/sharepoint-2016-site-user/,Intellezy Trainers,39.99,11.99,4.1(60 ratings)
SharePoint for Site Owners,www.udemy.com/course/sharepoint-for-site-owners/,Chip Reaves,24.99,11.99,4.4(10 ratings)
Sharepoint 2013 Development,www.udemy.com/course/sharepoint-2013-development/,Sandeep Soni,24.99,11.99,4.3(22 ratings)
"SharePoint Online part 1 Sites, Lists and Libraries",www.udemy.com/course/sharepoint-online-part-1/,Kristof De Vos,39.99,11.99,3.9(37 ratings)
SharePoint 2010 Workflows Tutorials,www.udemy.com/course/sharepoint-2010-workflows-video-tutorials-training/,Lin Zhang,59.99,11.99,4.2(53 ratings)
Microsoft 70-331: Core Solutions of SharePoint Server 2013,www.udemy.com/course/microsoft-70-331-core-solutions-of-sharepoint-server-2013/,Stone River eLearning,199.99,11.39,4.6(21 ratings)
SharePoint Document Libraries - Advanced Use & Customization,www.udemy.com/course/sharepoint-document-libraries-advanced-use-customization/,Russell Mangum,19.99,11.39,4.3(6 ratings)
Microsoft SharePoint 2013 Foundation Training,www.udemy.com/course/microsoft-sharepoint-foundation-2013-training/,Simon Sez IT,149.99,11.39,4.3(93 ratings)
Excel on SharePoint,www.udemy.com/course/excel-on-sharepoint/,Russell Mangum,19.99,11.39,5.0(1 rating)
Introduction to SharePoint  For beginners,www.udemy.com/course/introduction-to-sharepoint-for-beginners/,Bluelime Learning Solutions,114.99,11.39,4.0(37 ratings)
InfoPath:  Basic SharePoint List Form Development,www.udemy.com/course/infopath-basic-sharepoint-list-form-development/,Russell Mangum,19.99,11.99,4.1(51 ratings)
SharePoint 2013 Administration,www.udemy.com/course/sharepoint-2013-administration/,Sandeep Soni,19.99,11.39,4.3(21 ratings)
Office 365 SharePoint Site Owner,www.udemy.com/course/office-365-sharepoint-site-owner/,Intellezy Trainers,59.99,11.39,4.2(2 ratings)
Microsoft 70-332: Advanced Solutions of SharePoint Server...,www.udemy.com/course/microsoft-70-332-advanced-solutions-of-sharepoint-server/,Stone River eLearning,199.99,11.39,4.1(18 ratings)
Implementing eDiscovery in SharePoint: The Complete Course,www.udemy.com/course/ediscovery/,Syed Raza,194.99,11.39,4.2(30 ratings)
SharePoint 2013: Survey Creation for SharePoint Admins,www.udemy.com/course/sharepoint2013surveys/,IsáBel .,124.99,11.39,4.4(31 ratings)
Using Microsoft SharePoint 2013 - A Comprehensive Guide,www.udemy.com/course/using-microsoft-sharepoint-2013/,Infinite Skills,49.99,11.39,3.9(41 ratings)
Introduction to Microsoft SharePoint 2016 (MS-55193),www.udemy.com/course/introduction-to-microsoft-sharepoint-2016-ms-55193/,QuickStart Learning Inc.,34.99,11.39,0.0(0 ratings)
SharePoint 2010 Introduction,www.udemy.com/course/sharepoint-2010-introduction/,Intellezy Trainers,39.99,11.39,4.7(250 ratings)
SharePoint 2013 Fundamentals,www.udemy.com/course/sharepoint-2013-fundamentals/,Louiery Sincioco,19.99,11.39,4.1(90 ratings)
Installing SharePoint For Personal Use,www.udemy.com/course/installing-sharepoint-for-personal-use/,Shahid Mahmood,24.99,11.39,4.6(26 ratings)
"SharePoint Online/Office 365 Sample SPFx,Microsoft Graph App",www.udemy.com/course/sharepoint-onlineoffice-365-sample-spfxmicrosoft-graph-app/,Thangu(Thangeswari) N,199.99,11.39,0.0(0 ratings)
Exploring SharePoint 2016,www.udemy.com/course/exploring-sharepoint-2016/,Integrity Training,199.99,11.39,2.0(3 ratings)
Learn SharePoint the Fastest Way Possible,www.udemy.com/course/learn-sharepoint-the-fastest-way-possible/,Tom Vorves,29.99,11.39,3.9(4 ratings)
Office 365 modern SharePoint sites for beginners,www.udemy.com/course/office-365-modern-sharepoint-sites-for-beginners/,Velin Georgiev,19.99,11.39,2.8(2 ratings)
Learn Microsoft SharePoint Foundation 2010,www.udemy.com/course/microsoft-sharepoint-foundation-2010-training/,Simon Sez IT,99.99,11.39,4.3(42 ratings)
Configuring SharePoint 2013 Server for Apps Development,www.udemy.com/course/configuringsharepoint2013server/,Kameswara Uppuluri,19.99,11.39,4.0(21 ratings)
SharePoint 2013 Site Owner,www.udemy.com/course/sharepoint-2013-site-owner/,Intellezy Trainers,39.99,11.39,4.3(31 ratings)
Learn Microsoft SharePoint 2013,www.udemy.com/course/learn-microsoft-sharepoint-2013/,ClipTraining LLC,19.99,11.39,3.9(50 ratings)
