Course,URL,instructor,Price (full),Price (discount),Rank
Learn & Master Sign Language,www.udemy.com/course/learnandmastersignlanguage/,Legacy Learning Systems,0,49.99,4.7(339 ratings)
Breakthrough BSL,www.udemy.com/course/breakthrough-bsl/,Olly Richards,99.99,11.39,4.2(14 ratings)
Visual Sign Language,www.udemy.com/course/visual-sign-language/,Deaf Instructor (ASL),0,19.99,4.8(9 ratings)
SASL 101: South African Sign Language for beginners,www.udemy.com/course/sasl-101-south-african-sign-language-for-beginners/,Karabo Mogonwe,24.99,11.39,0.0(0 ratings)
Indian Sign Language,www.udemy.com/course/indian-sign-language/,Deaf Instructor (ASL),19.99,18.99,5.0(1 rating)
First Grade Signing without Sight Words,www.udemy.com/course/swswfirstgrade/,Rose Glazener,19.99,11.39,5.0(1 rating)
Master Emotions in 2019 with EFT for Deaf & Hard of Hearing,www.udemy.com/course/deaf-people-can-boost-confidence-now/,Alan Kirwan,34.99,11.39,4.4(25 ratings)
Bhagavad Gita As It Is in Sign Language,www.udemy.com/course/bhagavad-gita-as-it-is-in-sign-language/,Hare Krishna Deaf Organisation,19.99,11.39,5.0(2 ratings)
Baby Sign Language (Indian Sign),www.udemy.com/course/baby-sign-language-indian-sign/,Deaf Instructor (ASL),19.99,18.99,0.0(0 ratings)
Cours LSF bébé tout le vocabulaire autour du bébé,www.udemy.com/course/littlebunbaolsf-bebe/,Marie LittleBunBao,0,24.99,4.8(392 ratings)
Vocabulaire LSF du Bambin,www.udemy.com/course/littlebunbao-lsf-vocabulaire-du-bambin/,Marie LittleBunBao,0,24.99,4.9(53 ratings)
Cours Langue des Signes Les émotions + bonus,www.udemy.com/course/littlebunbaolsf_emotion/,Marie LittleBunBao,0,24.99,4.8(53 ratings)
Cours de base pour commencer la LSF + Alphabet,www.udemy.com/course/littlebunbao-lsf-histoire/,Marie LittleBunBao,0,24.99,4.9(143 ratings)
Comptines LSF bébé,www.udemy.com/course/littlebunbao-comptinelsf/,Marie LittleBunBao,0,24.99,4.7(32 ratings)
Les animaux en Langue des Signes,www.udemy.com/course/littlebunbaolsf-animaux/,Marie LittleBunBao,0,24.99,4.9(21 ratings)
Cours LSF: Pack conversation en Langue des Signes,www.udemy.com/course/littlebunbaolsf-conversation/,Marie LittleBunBao,0,24.99,4.5(118 ratings)
Curso de Libras - Aprenda Língua de Sinais de um Jeito Fácil,www.udemy.com/course/libras-curso-lingua-de-sinais/,Atende Libras,49.99,11.39,4.6(609 ratings)
Cours Alimentation en Langue des Signes Française.,www.udemy.com/course/littlebunbao-lsf-alimentation/,Marie LittleBunBao,0,24.99,4.8(13 ratings)
Cours Langue des Signes Les Fruits et Légumes + bonus,www.udemy.com/course/littlebunbaolsf_fruitlegume/,Marie LittleBunBao,0,24.99,4.7(18 ratings)
Cours Langue des Signes La famille et Moyens de transport,www.udemy.com/course/littlebunbaolsf_famille_transport/,Marie LittleBunBao,0,24.99,4.5(18 ratings)
Cours vocabulaire médical en LSF,www.udemy.com/course/littlebunbao-lsf-medical/,Marie LittleBunBao,0,24.99,4.9(28 ratings)
Cours Langue des Signes : le maternage.,www.udemy.com/course/littlebunbaolsf_maternage/,Marie LittleBunBao,0,24.99,4.9(15 ratings)
Cours langue des signes : Le scolaire,www.udemy.com/course/littlebunbao-scolaire/,Marie LittleBunBao,0,24.99,4.9(10 ratings)
人初千日2｜寶寶音樂手語,www.udemy.com/course/baby_sign_language/,親子天下 股份有限公司,0,59.99,4.5(1 rating)
Cours Langue des signes description personne +Transferts,www.udemy.com/course/littlebunbao-transfert-humain/,Marie LittleBunBao,0,24.99,5.0(5 ratings)
Cours Langue des Signes décrire Objets et animaux,www.udemy.com/course/littlebunbao-transfert-objet/,Marie LittleBunBao,0,24.99,5.0(3 ratings)
Curso Básico de Lengua de Señas Mexicana,www.udemy.com/course/curso-basico-de-lengua-de-senas-mexicana-l-s-m/,Jesús Aguirre,104.99,11.39,5.0(2 ratings)
Língua Brasileira de Sinais (LIBRAS) do básico à conversação,www.udemy.com/course/cursodelibras/,Alberto Rainha de Castro,19.99,11.39,4.6(5 ratings)
Básico - Libras com professor surdo,www.udemy.com/course/basico-libras-com-professor-surdo/,Prof: Gustavo Fontes,24.99,11.39,4.3(15 ratings)
İşaret Dili,www.udemy.com/course/isaret-dili/,Bilal Semih Bozdemir,69.99,11.39,3.2(6 ratings)
Lengua de Señas Colombiana [LSC],www.udemy.com/course/lscolombia/,Edgar Andrés Suárez Uribe,19.99,11.39,4.2(25 ratings)
Türk İşaret Dili,www.udemy.com/course/turk-isaret-dili/,Cem Aktuna,0,94.99,5.0(1 rating)
Lengua de Signos para Bebés Oyentes,www.udemy.com/course/lengua-de-signos-para-bebes-oyentes/,Mónica Vega Jiménez,0,24.99,3.8(7 ratings)
Minicurso: Libras para o Contexto Escolar,www.udemy.com/course/minicurso-libras-escolar/,Celimar Morais,0,Free,4.0(12 ratings)
Lengua de Señas nivel 2 - Academia Manos que Hablan,www.udemy.com/course/lengua-de-senas-nivel-2-academia-manos-que-hablan/,Emilia Elena Pérez Gavidia,0,Free,4.7(7 ratings)
