Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
How To Make Soap - Homemade Soap Making for Beginners,www.udemy.com/course/how-to-make-soap/,Shona O'Connor,124.99,11.99,"4.5(1,354 ratings)",Lifestyle,,Soapmaking
Cold Process Soap Making #2 - Natural Colours & Ingredients,www.udemy.com/course/soap-making/,Shona O'Connor,124.99,11.99,4.2(131 ratings),Lifestyle,,Soapmaking
How to Make Melt & Pour Soap - Beginners Step by Step Guide,www.udemy.com/course/glycerin-soap-making/,Shona O'Connor,124.99,11.99,4.4(348 ratings),Lifestyle,,Soapmaking
Cold Process Soap making #3 - Soap Swirling Made Easy,www.udemy.com/course/soap-swirling-techniques/,Shona O'Connor,124.99,11.99,4.6(48 ratings),Lifestyle,,Soapmaking
Soap and Cosmetic Business,www.udemy.com/course/soap-and-cosmetic-business-course/,Erica D Pence,0,139.99,4.1(20 ratings),Lifestyle,,Soapmaking
Scenting in Soapmaking,www.udemy.com/course/scenting-in-soapmaking/,Erica D Pence,0,89.99,4.5(11 ratings),Lifestyle,,Soapmaking
Make your own Olive Shea Butter Soap,www.udemy.com/course/make-your-own-olive-shea-butter-soap/,Anastasia Donecka,99.99,11.99,4.6(22 ratings),Lifestyle,,Soapmaking
Your Craft Business: Step By Step Guide To Make Money Online,www.udemy.com/course/automate-your-art-craft-business-and-make-money-on-autopilot/,Lana King,199.99,11.99,3.8(8 ratings),Lifestyle,,Soapmaking
Learn To Make Organic Handmade Soaps,www.udemy.com/course/learn-to-make-organic-handmade-soaps/,Ritu Gaurav,34.99,11.99,3.7(9 ratings),Lifestyle,,Soapmaking
Melt & Pour Soap Making Home Business Marketing Starter Kit,www.udemy.com/course/melt-and-pour-soap-home-business-starter-kit/,Phillip Dillow,19.99,11.99,3.9(51 ratings),Lifestyle,,Soapmaking
LUXURY HANDMADE SOAPS  inc MAKING SOAPS with ALCOHOL,www.udemy.com/course/cold-process-soap-making-inc-making-soaps-with-alcohol/,Natasha McDowall,99.99,11.99,5.0(1 rating),Lifestyle,,Soapmaking
Advanced Swirling Soapmaking 1,www.udemy.com/course/advanced-swirling-soapmaking-1/,Erica D Pence,0,119.99,4.7(7 ratings),Lifestyle,,Soapmaking
Advanced Soap Decorating 1,www.udemy.com/course/advanced-soap-decorating-1/,Erica D Pence,0,119.99,5.0(5 ratings),Lifestyle,,Soapmaking
CP/HP Advanced Soapmaking Pro,www.udemy.com/course/cphp-advanced-soapmaking-pro/,Erica D Pence,0,149.99,4.8(9 ratings),Lifestyle,,Soapmaking
Packaging and Labeling Soap and Cosmetics,www.udemy.com/course/packaging-and-labeling-soap-and-cosmetics/,Erica D Pence,0,89.99,4.4(8 ratings),Lifestyle,,Soapmaking
Cold Process Intermediate Soapmaking 2,www.udemy.com/course/cold-process-intermediate-soapmaking-2/,Erica D Pence,0,89.99,4.9(12 ratings),Lifestyle,,Soapmaking
Liquid Substitutions in Soapmaking ,www.udemy.com/course/liquid-substitutions-in-soapmaking/,Erica D Pence,0,89.99,4.4(8 ratings),Lifestyle,,Soapmaking
Milk Soapmaking,www.udemy.com/course/milk-soapmaking/,Erica D Pence,0,89.99,4.8(9 ratings),Lifestyle,,Soapmaking
Advanced Swirling Soapmaking 2,www.udemy.com/course/advanced-swirling-soapmaking-2/,Erica D Pence,0,119.99,5.0(3 ratings),Lifestyle,,Soapmaking
Advanced Scenery in Soap,www.udemy.com/course/advanced-scenery-in-soap/,Erica D Pence,0,119.99,5.0(3 ratings),Lifestyle,,Soapmaking
Colorants in Soapmaking,www.udemy.com/course/colorants-in-soapmaking/,Erica D Pence,0,89.99,4.9(11 ratings),Lifestyle,,Soapmaking
Cold Process Beginner Soapmaking,www.udemy.com/course/cold-process-beginner-soapmaking/,Erica D Pence,0,89.99,4.1(39 ratings),Lifestyle,,Soapmaking
デザイン石けん上級講座１　Design Soap Advance Course Part1,www.udemy.com/course/1-design-soap-advance-course-part1/,悦子 Etsuko Watanabe,0,94.99,4.6(35 ratings),Lifestyle,,Soapmaking
Aprende Hacer Jabones para Ventas y Decoración 100% Práctico,www.udemy.com/course/aprende-hacer-lindos-jabones-artesanales-desde-cero/,Norma Mesias,49.99,11.39,4.1(38 ratings),Lifestyle,,Soapmaking
デザイン石けん基礎講座　Design Soap Basic Course,www.udemy.com/course/design-soap-basic-course/,悦子 Etsuko Watanabe,0,59.99,4.7(66 ratings),Lifestyle,,Soapmaking
デザイン石けん上級講座 2　Design Soap Advance Course Part2,www.udemy.com/course/2-design-soap-advance-course-part2/,悦子 Etsuko Watanabe,0,49.99,4.3(35 ratings),Lifestyle,,Soapmaking
フラワーコンフェティの作り方 バラ　How to create a rose flower confetti soap,www.udemy.com/course/flowerconfettisoap/,ひとみ Hitomi 金子 Kaneko,0,39.99,4.4(10 ratings),Lifestyle,,Soapmaking
はじめての手作りデザイン石けん（Cold process法）Design soap of the beginner,www.udemy.com/course/cold-processdesign-soap-of-the-beginner/,悦子 Etsuko Watanabe,0,19.99,4.6(106 ratings),Lifestyle,,Soapmaking
صناعة صابون سائل لليدين بطريقة تجارية,www.udemy.com/course/how-to-make-liquid-hand-soap-commercially-arabic/,معمل الكيميائي,19.99,11.39,4.2(16 ratings),Lifestyle,,Soapmaking
كيفية تصنيع صابون الجسرين الشفاف من البداية حتي الأحتراف,www.udemy.com/course/how-to_make-glycerin_soap/,معمل الكيميائي,49.99,11.39,2.5(2 ratings),Lifestyle,,Soapmaking
การเบสสบู่ และสบู่กลีเซอรีน,www.udemy.com/course/soapbase/,Supanwadee Silaratana,79.99,11.39,5.0(2 ratings),Lifestyle,,Soapmaking
تعلم تصنيع سائل مطهر مستحلب مثل ديتول,www.udemy.com/course/how_make_antiseptic_disinfectant_dettol/,معمل الكيميائي,79.99,11.39,1.8(2 ratings),Lifestyle,,Soapmaking
สบู่เหลวธรรมชาติ (เทคนิค 2 ด่าง),www.udemy.com/course/liquid-soap-new/,Supanwadee Silaratana,49.99,11.99,0.0(0 ratings),Lifestyle,,Soapmaking
手工皂從零開始 Make your natural soap from scratch,www.udemy.com/course/make-your-natural-soap-from-scratch/,Jenny Ho,19.99,11.99,0.0(0 ratings),Lifestyle,,Soapmaking
Waschmittel selbstgemacht - günstig und umweltschonend,www.udemy.com/course/waschmittel-selbstgemacht/,Anita Sturc,29.99,11.99,4.5(1 rating),Lifestyle,,Soapmaking
تعلم كيفية تصنيع شامبو ضد القشرة بإحترافية,www.udemy.com/course/anti-dandruff-shampoo/,معمل الكيميائي,24.99,11.99,3.0(1 rating),Lifestyle,,Soapmaking
كيفية تصنيع ملمعات الزجاج والسيارة ومزيلات الدهون والصدأ,www.udemy.com/course/how-make-glass-grease-taboo-rust/,معمل الكيميائي,19.99,11.99,4.0(2 ratings),Lifestyle,,Soapmaking
تعلم تصنيع الصابون السائل بإحترافية مثل المصانع الكبري,www.udemy.com/course/how-to-make-liquid-soap/,معمل الكيميائي,0,Free,4.1(61 ratings),Lifestyle,,Soapmaking
