Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Investing In Stocks  The Complete Course! (11 Hour),www.udemy.com/course/investing-in-stocks/,"Steve Ballinger, MBA",199.99,14.99,"4.4(9,943 ratings)",Finance & Accounting,,Stock Trading
The Complete Foundation Stock Trading Course,www.udemy.com/course/foundation-course/,Mohsen Hassan,199.99,11.39,"4.6(6,728 ratings)",Finance & Accounting,,Stock Trading
Advanced Stock Trading Course + Strategies,www.udemy.com/course/advanced-course-plus-strategies/,Mohsen Hassan,199.99,11.39,"4.5(1,771 ratings)",Finance & Accounting,,Stock Trading
Stock Trading Strategies : Technical Analysis MasterClass 2,www.udemy.com/course/advance-trading-strategies/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,"4.7(1,066 ratings)",Finance & Accounting,,Stock Trading
Stock Trading & Investing for Beginners 4-in-1 Course Bundle,www.udemy.com/course/complete-stock-market-starter-toolkit-for-beginners/,Indian Insight,199.99,11.99,"4.7(1,384 ratings)",Finance & Accounting,,Stock Trading
Start Trading Stocks Using Technical Analysis!,www.udemy.com/course/professional-stock-trader/,Corey Halliday,149.99,11.99,"4.5(2,759 ratings)",Finance & Accounting,,Stock Trading
CFA Level 1 (2020) - Complete Equity Investments,www.udemy.com/course/cfa-level-1-complete-equity-investments/,"PrepNuggets | Keith Tan, CFA",99.99,11.39,4.7(220 ratings),Finance & Accounting,,Stock Trading
Start Trading Stocks Using Technical Analysis! Part 2,www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/,Corey Halliday,199.99,11.39,4.7(636 ratings),Finance & Accounting,,Stock Trading
Guide to Stock Trading with Candlestick & Technical Analysis,www.udemy.com/course/introduction-to-japanese-candlesticks/,Luca Moschini,199.99,11.39,"4.5(1,578 ratings)",Finance & Accounting,,Stock Trading
The Complete Swing Trading Course (New 2019),www.udemy.com/course/the-complete-swing-trading-course/,Wealthy Education,199.99,11.39,4.4(163 ratings),Finance & Accounting,,Stock Trading
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,www.udemy.com/course/create-your-own-hedge-fund-double-your-money-every-year/,Frank Bunn,174.99,11.39,4.3(524 ratings),Finance & Accounting,,Stock Trading
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,www.udemy.com/course/trading-inside-bars-find-setups-today-make-money-tomorrow/,Frank Bunn,124.99,11.39,3.9(459 ratings),Finance & Accounting,,Stock Trading
Create Your Own Automated Stock Trading Robot In EXCEL!,www.udemy.com/course/automated-trading-excel/,Peter Titus,149.99,11.99,4.3(225 ratings),Finance & Accounting,,Stock Trading
Technical Analysis Elliott Wave Theory for Financial Trading,www.udemy.com/course/technical-analysis-using-elliott-wave-theory/,Indian Insight,119.99,11.39,4.7(293 ratings),Finance & Accounting,,Stock Trading
"Learn How To Trade Stocks, Forex & Crypto: In 5 Simple Steps",www.udemy.com/course/learn-how-to-successfully-trade-stocks-in-5-simple-steps/,Vincent Merven,139.99,11.39,4.3(791 ratings),Finance & Accounting,,Stock Trading
Reversal Candlestick Trading Strategy - Forex/Stock Trading,www.udemy.com/course/mastering-the-strongest-trend-reversal-candlestick-patterns/,Syed Rahman,159.99,11.99,4.4(431 ratings),Finance & Accounting,,Stock Trading
Get Rich Stock Trading : My Killer Stock Trading Strategy,www.udemy.com/course/get-rich-stock-trading-my-killer-stock-trading-strategy/,Yossof Sharifi,34.99,11.39,4.1(66 ratings),Finance & Accounting,,Stock Trading
Stock trading course: Dow Jones Algorithmic trading + 10 EAs,www.udemy.com/course/stock-trading-course-dow-jones-algorithmic-trading-10-eas/,Petko Zhivkov Aleksandrov,199.99,11.39,4.4(13 ratings),Finance & Accounting,,Stock Trading
"Stock Trading With Technical Analysis, Trading Strategies",www.udemy.com/course/trade-with-technical-analysis/,Nrupen Masram,199.99,11.39,4.5(396 ratings),Finance & Accounting,,Stock Trading
Stock Trading Ninja: Complete System For Trading Success,www.udemy.com/course/stock-trading-ninja-learn-how-to-make-money-trading-stocks/,Frank Bunn,154.99,11.39,4.5(951 ratings),Finance & Accounting,,Stock Trading
"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",www.udemy.com/course/elite-trend-trader-how-to-make-a-fortune-trading-the-trend/,Frank Bunn,124.99,11.39,4.6(508 ratings),Finance & Accounting,,Stock Trading
Investing And Trading For Beginners: Mastering Price Charts,www.udemy.com/course/investing-and-trading-for-beginners-mastering-price-charts/,Frank Bunn,64.99,11.39,4.9(338 ratings),Finance & Accounting,,Stock Trading
Technical Analysis 101: Master the Basics of Trading,www.udemy.com/course/master-the-basics-of-trading-through-support-and-resistance/,Luca Moschini,199.99,11.39,4.4(535 ratings),Finance & Accounting,,Stock Trading
Learn ThinkOrSwim TOS Stock Options Trading Platform In 1 HR,www.udemy.com/course/learn-thinkorswim-tos-stock-options-trading-platform-in-1-hr/,Kamlesh Rajpal,99.99,11.39,4.4(11 ratings),Finance & Accounting,,Stock Trading
Stock Market Success : Secret Sauce - Stock Market Trading,www.udemy.com/course/stockmarketsuccesssecretsauce/,Chandra Sekhar,199.99,50.00,4.3(67 ratings),Finance & Accounting,,Stock Trading
Stock Market For Beginners - How To Start Investing Today,www.udemy.com/course/stock-market-for-beginners-how-to-start-investing-today/,Jari Roomer,184.99,11.39,4.3(443 ratings),Finance & Accounting,,Stock Trading
NimblrTA Breakout Strategy for Beginners,www.udemy.com/course/nimblrta/,ORB Academy,74.99,18.75,4.4(72 ratings),Finance & Accounting,,Stock Trading
Stock Market for Beginners: How I Made more than 100% return,www.udemy.com/course/make-money-in-stock-market/,Jatin Taneja,194.99,11.39,3.8(79 ratings),Finance & Accounting,,Stock Trading
How to Buy Stocks Before they Skyrocket,www.udemy.com/course/the-complete-guide-to-online-stock-trading/,Jeff Tompkins,149.99,11.39,4.2(118 ratings),Finance & Accounting,,Stock Trading
How to Consistently Win Trading Stocks in 30 Days or Less,www.udemy.com/course/winningstocktrades/,Jeff Tompkins,144.99,11.39,4.4(282 ratings),Finance & Accounting,,Stock Trading
Spread Trader's Crash Course - Trading Commodity Futures,www.udemy.com/course/spread-traders-crash-course-trading-commodity-futures/,Jonah Ford,29.99,11.39,4.7(10 ratings),Finance & Accounting,,Stock Trading
Stock & Options Strategy: Volatility Surf Trade (low risk),www.udemy.com/course/the-volatility-surf-trade/,"Pedro Branco (Book Author, Options Trader, Instructor)",19.99,11.39,4.4(30 ratings),Finance & Accounting,,Stock Trading
The Complete Stock Trading Course (New 2019),www.udemy.com/course/the-complete-stock-trading-course/,Wealthy Education,199.99,13.19,4.0(17 ratings),Finance & Accounting,,Stock Trading
Trading Breakouts,www.udemy.com/course/tradingbreakouts/,T. Livingston,29.99,11.39,4.7(32 ratings),Finance & Accounting,,Stock Trading
Technical Analysis 102: Secrets of Trading Revealed,www.udemy.com/course/secrets-of-stock-market-trading-revealed/,Luca Moschini,199.99,11.39,4.4(162 ratings),Finance & Accounting,,Stock Trading
The Blueprint for Successful Stock Trading,www.udemy.com/course/stock-market-millionaire-blueprint/,Jeff Tompkins,119.99,11.39,4.5(459 ratings),Finance & Accounting,,Stock Trading
Powerful trading ideas for Earnings reports - EarningsMAX,www.udemy.com/course/powerful-trading-ideas-for-earnings-reports/,Hari Swaminathan,0,199.99,4.8(20 ratings),Finance & Accounting,,Stock Trading
Day Trading Stocks - Gap Trading,www.udemy.com/course/daytradinggaps/,Troy Peterson,199.99,13.19,4.3(16 ratings),Finance & Accounting,,Stock Trading
Advanced Stock Options Daytrading with Chart Pattern Trading,www.udemy.com/course/stock-options-day-trading-expert/,Allen Maxwell,199.99,11.39,4.6(34 ratings),Finance & Accounting,,Stock Trading
Positional Stock Trading Strategies for Financial Markets,www.udemy.com/course/stock-trading-strategies/,Indian Insight,199.99,50.00,4.7(37 ratings),Finance & Accounting,,Stock Trading
Stock Technical Analysis with R,www.udemy.com/course/stock-technical-analysis-with-r/,Diego Fernandez,49.99,11.39,4.2(99 ratings),Finance & Accounting,,Stock Trading
Stock Trading: Technical Analysis Hacks For Stock Trading,www.udemy.com/course/technical-analysis-for-stock-trading/,Wealthy Education,199.99,13.19,3.6(12 ratings),Finance & Accounting,,Stock Trading
How I Make My Profits Fly High Trading Butterfly Spreads,www.udemy.com/course/butterfly-spreads/,Stephen Burnich,199.99,11.39,4.5(9 ratings),Finance & Accounting,,Stock Trading
High Probability Trading Across Any Market: Stocks & Forex,www.udemy.com/course/motrendtum-high-probability-trading/,Vincent Merven,94.99,11.39,4.2(130 ratings),Finance & Accounting,,Stock Trading
15 Years Of Trading Knowledge! PART 1 & 2,www.udemy.com/course/15-years-of-trading-knowledge/,4exPirate Dawid Kowalski,0,99.99,4.9(7 ratings),Finance & Accounting,,Stock Trading
Ultimate Stock Market Investing: Learn How to Value Stocks,www.udemy.com/course/stock-investing/,Margin of Safety Investing,49.99,11.39,3.7(142 ratings),Finance & Accounting,,Stock Trading
Samuel and Co Trading - 5 Star Reviews - Introduction to FX,www.udemy.com/course/samuel-co-forex-and-stock-trading/,Samuel Leach,0,54.99,4.1(163 ratings),Finance & Accounting,,Stock Trading
Learn to Trade for Profit: Find and Trade Winning Stocks,www.udemy.com/course/trading-stocks-successfully-introduction-to-stock-trading/,Luca Moschini,199.99,11.39,4.6(175 ratings),Finance & Accounting,,Stock Trading
