Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Technical Analysis MasterClass:Trading By Technical Analysis,www.udemy.com/course/technical_analysis/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,"4.5(2,498 ratings)",Finance & Accounting,,Technical Analysis
Stock Trading Strategies : Technical Analysis MasterClass 2,www.udemy.com/course/advance-trading-strategies/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,"4.7(1,066 ratings)",Finance & Accounting,,Technical Analysis
Start Trading Stocks Using Technical Analysis!,www.udemy.com/course/professional-stock-trader/,Corey Halliday,149.99,11.99,"4.5(2,759 ratings)",Finance & Accounting,,Technical Analysis
The Complete Technical Analysis Trading Course (New 2019),www.udemy.com/course/the-complete-technical-analysis-course/,Wealthy Education,199.99,11.39,4.4(825 ratings),Finance & Accounting,,Technical Analysis
Technical Analysis Stock Trading -Practice Assignment Course,www.udemy.com/course/technical-analysis-masterclass-practice-assignments-course/,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )",199.99,11.39,4.7(158 ratings),Finance & Accounting,,Technical Analysis
The Complete Options Trading Course (New 2019),www.udemy.com/course/the-complete-options-trading-course/,Wealthy Education,199.99,17.39,4.4(421 ratings),Finance & Accounting,,Technical Analysis
Start Trading Stocks Using Technical Analysis! Part 2,www.udemy.com/course/start-trading-stocks-using-technical-analysis-part-2/,Corey Halliday,199.99,11.39,4.7(636 ratings),Finance & Accounting,,Technical Analysis
The Complete Swing Trading Course (New 2019),www.udemy.com/course/the-complete-swing-trading-course/,Wealthy Education,199.99,11.39,4.4(163 ratings),Finance & Accounting,,Technical Analysis
The Complete Forex Trading Course (New 2019),www.udemy.com/course/the-complete-forex-trading-course/,Wealthy Education,199.99,11.99,4.2(148 ratings),Finance & Accounting,,Technical Analysis
The Advanced Technical Analysis Trading Course (New 2019),www.udemy.com/course/the-advanced-technical-analysis-course/,Wealthy Education,199.99,11.39,4.4(243 ratings),Finance & Accounting,,Technical Analysis
Technical Analysis: Candlestick Trading Mastery (New 2019),www.udemy.com/course/the-complete-candlestick-trading-course/,Wealthy Education,199.99,11.39,4.4(250 ratings),Finance & Accounting,,Technical Analysis
Cryptocurrency Trading From Scratch,www.udemy.com/course/crypto-trading-from-scratch/,Dustin G,199.99,13.79,4.6(75 ratings),Finance & Accounting,,Technical Analysis
"Master ""Technical Analysis and Chart reading skills"" Bundle",www.udemy.com/course/master-technical-analysis-and-chart-reading-skills-bundle/,Hari Swaminathan,0,39.99,"4.3(1,171 ratings)",Finance & Accounting,,Technical Analysis
Advanced Technical Analysis PART1!,www.udemy.com/course/advanced-technical-analysis-part1/,Corey Halliday,99.99,11.39,4.4(555 ratings),Finance & Accounting,,Technical Analysis
Technical Analysis Beginners Guide for Stock Trading & Forex,www.udemy.com/course/technical-analysis-made-easy/,Indian Insight,199.99,11.39,4.7(236 ratings),Finance & Accounting,,Technical Analysis
Advanced Technical Analysis PART 2,www.udemy.com/course/advanced-technical-analysis-part-2/,Corey Halliday,99.99,11.39,4.5(295 ratings),Finance & Accounting,,Technical Analysis
Day Trading 101: How To Day Trade Stocks for Passive Income,www.udemy.com/course/day-trading-stock-market-how-to-day-trade-stocks-for-passive-income/,Luca Moschini,199.99,13.19,4.3(243 ratings),Finance & Accounting,,Technical Analysis
