Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Premiere Pro CC for Beginners: Video Editing in Premiere,www.udemy.com/course/adobe-premiere-pro-video-editing/,Phil Ebiner,199.99,11.39,"4.6(12,416 ratings)",Photography,,Video Editing
Adobe Premiere Pro CC: Video Editing in Adobe Premiere Pro,www.udemy.com/course/adobe-premiere-pro-cc-2017-video-editing/,Louay Zambarakji,199.99,12.59,"4.7(2,800 ratings)",Photography,,Video Editing
Video Editing in DaVinci Resolve 15:  Beginner to Advanced,www.udemy.com/course/davinci-resolve-15-course/,Louay Zambarakji,199.99,14.39,4.5(834 ratings),Photography,,Video Editing
VIDEO EDITING. Techniques loved by pro broadcast filmmakers,www.udemy.com/course/creative-video-editing-how-to-edit-to-engage-your-audience/,Andrew St.Pierre White,99.99,11.39,4.6(669 ratings),Photography,,Video Editing
Guide to DaVinci Resolve 16 Video Editing,www.udemy.com/course/guide-to-davinci-resolve-16-video-editing/,Chris Navarre,29.99,11.39,4.1(83 ratings),Photography,,Video Editing
Learn Adobe After Effects CC 2019 for Beginners,www.udemy.com/course/adobe-after-effects-beginners/,Jordy Vandeput,99.99,11.39,4.9(193 ratings),Photography,,Video Editing
The Complete Adobe Premiere Pro CC Master Class Course,www.udemy.com/course/adobepremiereprocc/,Joe Parys,199.99,14.39,4.5(480 ratings),Photography,,Video Editing
Video Editing: Premiere Pro & After Effects Dynamic Linking,www.udemy.com/course/video-editing-premiere-pro-after-effects-dynamic-linking/,Louay Zambarakji,104.99,11.39,4.9(183 ratings),Photography,,Video Editing
Adobe Premiere Pro CC: Learn Video Editing In Premiere Pro,www.udemy.com/course/learnpremierepro/,Life Progression Project,154.99,11.39,"4.6(1,258 ratings)",Photography,,Video Editing
Learning Final Cut Pro X - Video Editing Mastery ,www.udemy.com/course/learning-final-cut-pro-x-video-editing-mastery/,Infinite Skills,49.99,11.39,4.4(913 ratings),Photography,,Video Editing
Become an iMovie Master - Create Amazing Movies Today,www.udemy.com/course/masteringimovie/,Steve Burnich,199.99,11.39,4.6(437 ratings),Photography,,Video Editing
Shoot & Edit iPhone Video Like a Pro - Masterclass,www.udemy.com/course/make-smartphone-video-like-a-pro-level-1/,Robb Montgomery,199.99,12.59,4.0(499 ratings),Photography,,Video Editing
Adobe Premiere Pro: Ultimate Beginner Course,www.udemy.com/course/premiere-pro-with-brad-newton/,Brad Newton,199.99,11.39,4.5(441 ratings),Photography,,Video Editing
LumaFusion Ver 2+ for Beginners,www.udemy.com/course/luma-fusion-for-beginners/,Lance Tegner,19.99,11.39,4.5(115 ratings),Photography,,Video Editing
Learn to Color Grade and Edit video with DaVinci Resolve 15,www.udemy.com/course/davinciediting/,Logan Bean,99.99,11.39,4.4(728 ratings),Photography,,Video Editing
Final Cut Pro X – Master Class,www.udemy.com/course/fcpx-master-class/,AnDrew Tyler,49.99,11.39,4.6(15 ratings),Photography,,Video Editing
Adobe Premiere Pro CC: Complete A Video Editing Project,www.udemy.com/course/adobe-premiere-pro-cc-complete-a-video-editing-project/,Life Progression Project,184.99,11.99,4.7(189 ratings),Photography,,Video Editing
Sony Vegas Pro Masterclass: The Complete Sony Vegas Course,www.udemy.com/course/become-a-video-editor-in-3-hours/,VideoLab by Jad Khalili,194.99,11.99,3.9(62 ratings),Photography,,Video Editing
iMovie : The Complete Video Editing Course - Beginner to Pro,www.udemy.com/course/imovie-video-editing/,Kashif Altaf,199.99,11.99,4.7(17 ratings),Photography,,Video Editing
Set up Davinci Resolve 16 to RUN LIKE A BEAST,www.udemy.com/course/set-up-davinci-resolve-16-to-run-like-a-beast/,Film Pro,34.99,11.99,3.8(19 ratings),Photography,,Video Editing
Video Editing with Adobe Premiere Pro 2018 for Beginners,www.udemy.com/course/video-editing-adobe-premiere-pro-2018-beginners/,Jordy Vandeput,99.99,11.99,4.6(188 ratings),Photography,,Video Editing
Start Earning Money From Video Editing Using Sony Vegas Pro,www.udemy.com/course/learn-video-editing-using-sony-vegas-pro-14-in-1-hour/,Ahmed Mahdy,199.99,11.99,4.4(90 ratings),Photography,,Video Editing
Filmora 9: Edit Your videos Like A Professional,www.udemy.com/course/filmora-9-edit-your-videos-like-a-professional/,Joseph adam,199.99,11.99,4.2(24 ratings),Photography,,Video Editing
How to Shoot n Edit Real Estate Videos,www.udemy.com/course/how-to-shoot-n-edit-real-estate-videos/,Dave Dwyer,0,79.99,4.6(78 ratings),Photography,,Video Editing
Wondershare Filmora Beginner To Pro Course : Video Editing,www.udemy.com/course/wondershare-filmora-beginner-to-pro-course/,Gurpreet Singh,19.99,11.99,4.5(133 ratings),Photography,,Video Editing
Adobe Premiere Pro CS6: The Complete Video Editing Course,www.udemy.com/course/adobe-premiere-pro/,Phil Ebiner,99.99,11.99,4.5(966 ratings),Photography,,Video Editing
Video Editing for Beginners - Complete Shotcut Masterclass,www.udemy.com/course/video-editing-for-beginners-complete-shotcut-masterclass/,Bryan Guerra,199.99,11.99,4.3(67 ratings),Photography,,Video Editing
PowerDirector 15 - Video Editing for PC Users,www.udemy.com/course/powerdirector/,Phil Ebiner,99.99,11.99,4.4(475 ratings),Photography,,Video Editing
Adobe Premiere Elements for Beginners,www.udemy.com/course/adobe-premiere-elements-for-beginners/,Robin Nichols,19.99,11.99,4.4(47 ratings),Photography,,Video Editing
Video Editing Bootcamp - Blender - Beginners,www.udemy.com/course/learn-video-editing-in-blender/,Thomas McDonald,199.99,11.99,4.5(81 ratings),Photography,,Video Editing
Video editing for busy entrepreneurs: edit video like a boss,www.udemy.com/course/video-editing-for-busy-entrepreneurs-edit-video-like-a-boss/,Kenz Soliman,199.99,11.99,4.8(49 ratings),Photography,,Video Editing
Video Editing for Beginners: Edit smartphone mobile videos,www.udemy.com/course/turn-your-iphone-into-the-ultimate-travel-camera-multimedia-video/,Robb Montgomery,39.99,11.99,4.5(60 ratings),Photography,,Video Editing
HitFilm Express: Create and Edit Videos,www.udemy.com/course/hitfilm-express/,Living Bookshelf eLearning,19.99,11.99,4.5(82 ratings),Photography,,Video Editing
iMovie - How To Create And Edit A Film You're Proud Of,www.udemy.com/course/imoviecourse/,Eric John Campbell,19.99,11.99,4.9(107 ratings),Photography,,Video Editing
VIDEO EDITING: How to Edit Videos with FILMORA 8,www.udemy.com/course/video-editing-create-great-looking-videos-using-filmora/,R. Keating,154.99,11.39,4.2(108 ratings),Photography,,Video Editing
Complete Video Production: OBS Studio & DaVinci Resolve,www.udemy.com/course/complete-video-production-obs-studio-davinci-resolve/,Chris Navarre,39.99,11.39,3.8(24 ratings),Photography,,Video Editing
Mocha Pro 2019 for After Effects Track & Replace Masterclass,www.udemy.com/course/mocha-after-effects/,Film Pro,74.99,11.39,3.9(11 ratings),Photography,,Video Editing
Beginners Guide to Video Editing With Open Source Software,www.udemy.com/course/open-source-video-editing-b/,Robert Lee Reed,19.99,11.99,4.6(17 ratings),Photography,,Video Editing
"Movavi Tutorial, Full Course",www.udemy.com/course/movavi-tutorial-full-course/,Warrick Klimaytys,19.99,11.99,4.0(34 ratings),Photography,,Video Editing
Final Cut Pro X - 2019 version 10.4 - Creating Short Videos,www.udemy.com/course/final-cut-pro-x-2019-version-104-creating-short-videos/,Brian Garcia,19.99,11.39,4.9(4 ratings),Photography,,Video Editing
How to Create Videos using Adobe Premiere Rush,www.udemy.com/course/adobe-premiere-rush/,Rosie Sue,99.99,11.39,4.3(6 ratings),Photography,,Video Editing
Complete iMovie Master Class - Go From Beginner To Advanced,www.udemy.com/course/imoviemasterclass/,Joe Parys,199.99,11.39,4.4(11 ratings),Photography,,Video Editing
Phantom & Mavic Editing school - edit like a pro!,www.udemy.com/course/phantom-editing-school-the-easy-way-to-edit-like-a-pro/,Laurence Seberini,49.99,11.39,4.5(136 ratings),Photography,,Video Editing
Video Editing - Adobe Premiere Pro 2019,www.udemy.com/course/video-editing-adobe-premier-pro-2019/,Mitchell McKenna,19.99,11.39,4.1(26 ratings),Photography,,Video Editing
The Complete Audio Guide for Video Editors,www.udemy.com/course/the-complete-audio-guide-for-video-editors/,Jason Brandel,199.99,11.39,3.9(40 ratings),Photography,,Video Editing
Sony Vegas Pro : Master Video Editing School,www.udemy.com/course/reversesonyvegas/,Reverse Cuts,199.99,11.39,3.7(44 ratings),Photography,,Video Editing
GoPro for Beginners: How to Shoot & Edit Video with a GoPro,www.udemy.com/course/gopro-tutorials-for-beginners-how-to-shoot-edit-video-online-course/,Phil Ebiner,99.99,13.19,3.2(166 ratings),Photography,,Video Editing
Complete Guide to DaVinci Resolve 15 Video Editing,www.udemy.com/course/resolve15/,Chris Navarre,29.99,11.39,4.5(10 ratings),Photography,,Video Editing
Wondershare Filmora Zero to Hero Filmora Beginner's Course,www.udemy.com/course/wondershare-filmora-scratch-to-advanced-course/,Gurpreet Singh,19.99,11.99,4.3(27 ratings),Photography,,Video Editing
Camtasia 9 - Become a Guru in Creating E Learning Videos,www.udemy.com/course/camtasia-9-become-a-guru-in-creating-e-learning-videos/,Khaled Alkhudari,49.99,11.99,4.3(82 ratings),Photography,,Video Editing
The Complete Camtasia Course for Content Creators: Start Now,www.udemy.com/course/the-complete-camtasia-course-for-content-creators/,Jewel & Auret,149.99,11.99,0.0(0 ratings),Photography,,Video Editing
Wondershare Filmora:Learn Video Editing using Filmora 9,www.udemy.com/course/wondershare-filmora-learn-video-editing-using-filmora-9/,Vinod Kj,19.99,11.99,4.0(28 ratings),Photography,,Video Editing
Learn All About Creating Subtitles (SRT) and Closed-Captions,www.udemy.com/course/learn-all-about-creating-subtitles-and-closed-captions/,‫Ali Desoki,19.99,11.99,4.2(63 ratings),Photography,,Video Editing
Wondershare Filmora 9 Complete Essential Guide 2019,www.udemy.com/course/wondershare-filmora-complete-essential-guide-2019/,HEMENDAR SINGH RAJPUROHIT BAKILYAS,19.99,11.99,4.3(6 ratings),Photography,,Video Editing
After Effects CC: Create Stunning Video Transitions Quickly!,www.udemy.com/course/after-effects-cc-video-transitions-motion-graphics/,Video Course Center Inc.,19.99,11.99,4.6(17 ratings),Photography,,Video Editing
Filmmaking Using DaVinci Resolve. Free Software Included,www.udemy.com/course/davinci-resolve-video-editing/,IFH Courses,99.99,11.99,4.1(21 ratings),Photography,,Video Editing
Camtasia Masterclass: Become a YouTube Star & Video Creator!,www.udemy.com/course/camtasiavideoproduction/,Mammoth Interactive,199.99,11.99,4.4(3 ratings),Photography,,Video Editing
Video Editing For Beginners: Learn How To Edit,www.udemy.com/course/video-editing-101-learn-the-basics-of-video-editing/,Christian Figueroa,19.99,11.99,3.8(6 ratings),Photography,,Video Editing
Adobe Premiere CC 2019 - Quick Start Zero To Hero,www.udemy.com/course/videoeditadobepremiere/,Greg Hung,99.99,11.99,4.5(11 ratings),Photography,,Video Editing
Editing Masterful Videos with Soul in Adobe Premiere Pro,www.udemy.com/course/editing-masterful-videos-with-soul/,Dandan Liu,99.99,11.99,5.0(4 ratings),Photography,,Video Editing
Camtasia Studio 9 Masterclass - Become a Video Editing Boss,www.udemy.com/course/camtasia-mastery-9-become-a-video-editing-guru/,Nafiul Alam Nayem,199.99,11.99,4.9(4 ratings),Photography,,Video Editing
VIDEO EDITING: HOW TO MAKE AN EPIC VIDEO,www.udemy.com/course/make-an-epic-video-with-your-gopro-footage-in-imovie/,Allison Diemer,19.99,11.99,4.3(58 ratings),Photography,,Video Editing
Final Cut Pro 7 from Scratch: Become a Great Video Editor,www.udemy.com/course/videoediting/,Phil Ebiner,99.99,11.99,4.3(73 ratings),Photography,,Video Editing
Video Production Video Editing & Video Marketing Made Simple,www.udemy.com/course/video-design-mastery-create-awesome-videos-fast/,John Colley,199.99,50.00,3.6(31 ratings),Photography,,Video Editing
Video Creation for Content Marketing and Social Media,www.udemy.com/course/video-creation-for-content-marketing-and-social-media/,Sayed N,49.99,11.39,5.0(1 rating),Photography,,Video Editing
"KineMaster, Powerful Smartphone Video Editing (Android, iOS)",www.udemy.com/course/kinemaster-powerful-smartphone-video-editing-android-ios/,Martin Ambrus,59.99,11.39,3.8(4 ratings),Photography,,Video Editing
PowerPoint Video Machine - Create Promo Videos in PowerPoint,www.udemy.com/course/powerpoint-video-machine-create-promo-videos-in-powerpoint/,Claudiu Titus Georgescu,79.99,11.39,4.1(11 ratings),Photography,,Video Editing
Video Editing Course,www.udemy.com/course/video-editing-course/,Melissa Fonseca,19.99,11.39,4.1(6 ratings),Photography,,Video Editing
Learn Expert Video Editing using KineMaster App,www.udemy.com/course/learn-expert-video-editing-using-kinemaster-app/,Shaharyar Abdul Khaliq,19.99,11.39,4.4(7 ratings),Photography,,Video Editing
Wondershare Filmora 9 Tutorial : Video Editing Tips & Tricks,www.udemy.com/course/flimora-9-complete-video-editing-tutorial/,Henry Lee,24.99,11.39,3.3(31 ratings),Photography,,Video Editing
Learn video editing techniques for drama.,www.udemy.com/course/learn-video-editing-techniques-for-drama/,George Kingsnorth,19.99,11.39,4.4(16 ratings),Photography,,Video Editing
Filmora for Beginners: Master Video Editing School,www.udemy.com/course/filmorareverse/,Reverse Cuts,199.99,11.39,3.9(23 ratings),Photography,,Video Editing
Editing short fashion promo video in DaVinci Resolve,www.udemy.com/course/editing-in-resolve/,Anton Khumala,69.99,11.39,4.0(4 ratings),Photography,,Video Editing
Video editing for YouTubers,www.udemy.com/course/video-editing-for-youtubers/,Talita Almeida,19.99,11.39,4.3(4 ratings),Photography,,Video Editing
Video Editing For Beginners Using Filmora,www.udemy.com/course/video-editing-for-beginners-using-filmora/,Hamid Sami,104.99,11.39,4.6(32 ratings),Photography,,Video Editing
Shooting and Editing Basics,www.udemy.com/course/shooting-and-editing-basics/,Erika Gilsdorf & Scott Stohler,19.99,11.39,5.0(5 ratings),Photography,,Video Editing
HOW TO EDIT TRAVEL VIDEOS AND VLOGS by Martin Karner,www.udemy.com/course/how-to-edit-travel-videos-and-vlogs-by-martin-karner/,Martin Karner,0,39.99,0.0(0 ratings),Photography,,Video Editing
How to edit videos on your phone like a professional,www.udemy.com/course/vloglikeapro/,Timothy Maxwell,199.99,11.39,4.2(2 ratings),Photography,,Video Editing
Create a Perfect White Background for Video!,www.udemy.com/course/whitebackground/,Mark de Heide,19.99,11.99,4.7(20 ratings),Photography,,Video Editing
"Web Video Editing and Production (Camtasia, PPT, Audacity)",www.udemy.com/course/become-a-web-video-producer-and-publisher-fast/,Daniele Protti,79.99,11.39,4.1(6 ratings),Photography,,Video Editing
Editing Better Video for Video Editors & Videographers,www.udemy.com/course/editing-better-video-for-video-editors-videographers/,Albert Polanco,49.99,11.99,3.8(9 ratings),Photography,,Video Editing
Video Editing in DaVinci Resolve : Beginner to Advanced,www.udemy.com/course/video-editing-in-davinci-resolve-beginner-to-advanced/,Moditha Damindu,34.99,11.99,4.0(1 rating),Photography,,Video Editing
Video Editing With Hitfilm Express For Beginners,www.udemy.com/course/video-editing-with-hitfilm-express-for-beginners/,James Woo,0,39.99,0.0(0 ratings),Photography,,Video Editing
Wondershare Filmora Beginner To Pro Course,www.udemy.com/course/wondershare-filmora-full-video-editing-course/,Sagar Kundu,19.99,11.99,4.0(19 ratings),Photography,,Video Editing
Video Editing for Beginners: Adobe Premiere Pro CC,www.udemy.com/course/editingforbeginners/,Kwaku Agyekum,19.99,11.99,5.0(1 rating),Photography,,Video Editing
Closed Captions # 3 -Tools & Free Resources to do CC Smartly,www.udemy.com/course/closed-captions-3-tools-free-resources-subtitle-softwares/,Rose Suen,194.99,11.99,4.3(13 ratings),Photography,,Video Editing
How to edit Drone and 4K Footage with your Smartphone,www.udemy.com/course/dronesmartphoneediting/,Greg Hung,24.99,11.99,5.0(1 rating),Photography,,Video Editing
