Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Film using ANY Camera! Basics of Shooting Video Correctly,www.udemy.com/course/videocamerabasics/,Gene Nagata,0,49.99,4.8(480 ratings),Photography,,Videography
VIDEO CINEMATOGRAPHY techniques loved by pro filmmakers,www.udemy.com/course/motivate-inspire-and-empower-your-video-audience/,Andrew St.Pierre White,99.99,11.39,"4.4(1,165 ratings)",Photography,,Videography
Cinematography Course: Shoot Expert Video on Any Camera,www.udemy.com/course/cinematographycourse/,Dale McManus,74.99,11.39,"4.6(1,435 ratings)",Photography,,Videography
Cinematic Wedding Films: A Guide to Wedding Videography,www.udemy.com/course/cinematic-wedding-films/,Matti Haapoja,94.99,23.75,4.2(689 ratings),Photography,,Videography
Videography for Beginners: Shooting With a DSLR /Mirrorless,www.udemy.com/course/videography-for-beginners-shooting-with-a-dslr-mirrorless/,Kush Sharma,149.99,11.39,4.5(37 ratings),Photography,,Videography
Wedding Videography: Learn To Shoot And Edit Wedding Videos,www.udemy.com/course/weddingvideographybyzafertanyas/,Zafer Tanyaş,94.99,11.39,4.3(133 ratings),Photography,,Videography
Wedding Videography: Complete Guide to Wedding Videography,www.udemy.com/course/weddings/,Phil Ebiner,199.99,11.39,4.2(202 ratings),Photography,,Videography
Drones: Learn Aerial Photography and Videography Basics,www.udemy.com/course/aerial-photography-and-videography-with-drones/,Mark Richardson,199.99,15.59,3.7(193 ratings),Photography,,Videography
Honoring Memories,www.udemy.com/course/honoring-memories/,Paul Jenkins,194.99,11.39,5.0(6 ratings),Photography,,Videography
Canon DSLR Videography - Better your Video Production Skills,www.udemy.com/course/on-point-dslr-video-production/,James Buffin,59.99,11.39,4.2(23 ratings),Photography,,Videography
Smartphone Video: Learn to Produce Professional Mobile Video,www.udemy.com/course/healthy-smartphone-videos/,James Hasler-Bail,54.99,13.75,4.5(26 ratings),Photography,,Videography
Video Filming And Audio Recording On A Budget For Beginners,www.udemy.com/course/video-filming-and-audio-recording-on-a-budget/,Mark Timberlake,19.99,11.99,4.0(22 ratings),Photography,,Videography
Wedding Videography,www.udemy.com/course/wedding-videography/,Aaron Benitez,24.99,11.39,4.6(89 ratings),Photography,,Videography
Wedding Videography: A Plan for Monetary Success,www.udemy.com/course/wedding-videography-a-plan-for-monetary-success/,Steve Oliver,89.99,11.39,4.0(12 ratings),Photography,,Videography
Videographer's Boot Camp™-Basic Training,www.udemy.com/course/videographers-boot-camp/,Derek Fremd,29.99,11.39,4.6(23 ratings),Photography,,Videography
iPhone Filmmaking | iPhone Video Production & Video Editing,www.udemy.com/course/iphone-videography-filmmaking-pro/,Michael Harrison,49.99,11.39,4.1(33 ratings),Photography,,Videography
The Complete Videography Masterclass: How to Film Videos,www.udemy.com/course/the-complete-videography-masterclass-how-to-film-videos/,Kelechi Mgbemena,154.99,11.39,4.0(1 rating),Photography,,Videography
Mobile Video Workshop with ex BBC ITV reporter,www.udemy.com/course/mobilevideoworkshop/,Anna Brees,19.99,11.39,4.4(37 ratings),Photography,,Videography
Stock Footage MasterClass - Full Workflows for Agencies,www.udemy.com/course/stockfootage2/,Greg Hung,99.99,11.39,3.6(26 ratings),Photography,,Videography
Smartphone Cinematography 101: Learn to Shoot Mobile Video,www.udemy.com/course/smartphone-cinematography-101/,Mobile Filmmaker Academy,0,99.99,0.0(0 ratings),Photography,,Videography
DSLR Video For Beginners,www.udemy.com/course/how-to-master-dslr-video-create-a-profitable-business/,Mark Beniston,99.99,11.39,4.1(32 ratings),Photography,,Videography
Wedding Videography,www.udemy.com/course/wedding-videography-v/,Nathan Strubhar,19.99,11.39,4.5(92 ratings),Photography,,Videography
Smartphone Storytelling: The Complete Mobile Video Guide ,www.udemy.com/course/mobilejournalism/,Amani Channel,19.99,11.39,4.0(5 ratings),Photography,,Videography
The Ultimate Guide to Digital Videography for Beginners,www.udemy.com/course/the-ultimate-guide-to-digital-videography-for-beginners/,Megan Hartman,19.99,11.39,4.3(7 ratings),Photography,,Videography
Smartphone Videography: A Practical Guide,www.udemy.com/course/smartphone-videography-a-practical-guide/,Forge Productions,59.99,11.39,4.1(6 ratings),Photography,,Videography
What They Didn't Teach you in Film School,www.udemy.com/course/nofilmschool/,Greg Hung,99.99,11.39,0.0(0 ratings),Photography,,Videography
Video Content Accelerator: improve your video skills,www.udemy.com/course/video-content-accelerator-improve-your-video-skills/,Yarin Goren,94.99,11.39,4.4(12 ratings),Photography,,Videography
Sports videography: How to Shoot Football Games like a pro,www.udemy.com/course/shootfootballgameslikeapro/,John Bennardo,39.99,11.39,4.7(2 ratings),Photography,,Videography
Video and Film Art Department Fundamentals,www.udemy.com/course/video-and-film-art-department-fundamentals/,Academy of Film Fashion and Design,19.99,11.39,4.5(7 ratings),Photography,,Videography
Introduction to Wedding videography,www.udemy.com/course/introduction-to-wedding-videography/,Oluwadamilola Adewale,39.99,11.39,0.0(0 ratings),Photography,,Videography
Learn to shoot quality sports videos with your mobile device,www.udemy.com/course/learn-to-shoot-quality-sports-videos-with-your-mobile-device/,Dave Basulto,99.99,11.39,3.4(4 ratings),Photography,,Videography
Creating Amazing Videos Using  Artificial Intelligence.,www.udemy.com/course/creating-20-videos-a-day-using-artificial-intelligence/,Chitula Lukonde,24.99,11.39,4.0(4 ratings),Photography,,Videography
How to Make a Video That Doesn't Suck for Your Non-Profit,www.udemy.com/course/how-to-make-a-video-that-doesnt-suck-for-your-non-profit/,Benjamin Packard,19.99,11.39,4.2(75 ratings),Photography,,Videography
"Green screen basics: shoot, light & edit green screen videos",www.udemy.com/course/green-screen-basics-shoot-light-edit-green-screen-videos/,Luchia Dragosh,19.99,11.39,0.0(0 ratings),Photography,,Videography
Create Custom Soundtracks for Your Videos with Filmstro,www.udemy.com/course/filmstro/,"Michael Wood, M.Ed., M.S.",39.99,11.39,0.0(0 ratings),Photography,,Videography
Videohive - Video Stock Bulk Preparation And Submission,www.udemy.com/course/videhive-video-stock-bulk-preparation-and-submission/,Oz-air Rao,24.99,11.39,0.0(0 ratings),Photography,,Videography
How to Create a Basketball Highlight Video for Recruiting,www.udemy.com/course/how-to-create-a-basketball-highlight-video-for-recruiting/,Boris Davis,19.99,11.39,0.0(0 ratings),Photography,,Videography
Video Shooting Tips and Techniques,www.udemy.com/course/video-shooting-tips-and-techniques/,Bluefx .,74.99,11.39,0.0(0 ratings),Photography,,Videography
Videography for Beginners:Learning the Basics made simple,www.udemy.com/course/videography-for-beginners-is-a-fun-coarse-i-hope-it-helps/,Sherley Delma,24.99,11.39,0.0(0 ratings),Photography,,Videography
How to Become a Freelance Videographer,www.udemy.com/course/how-to-become-a-freelance-videographer/,Charlotte Armitage,0,99.99,3.8(16 ratings),Photography,,Videography
"Webcam Videography: Better Videos, Webinars, Livestreams",www.udemy.com/course/webcam-video-course/,Phil Ebiner,0,Free,4.3(607 ratings),Photography,,Videography
VIDEO BASICS: Setup and Operate a Video Camera,www.udemy.com/course/video-basics-x/,Kane Hamilton,0,Free,3.9(90 ratings),Photography,,Videography
独立を目指す！企画から納品まで企業VPの作り方,www.udemy.com/course/videocreatorjapan/,OMOKAGE TV,99.99,11.39,4.2(190 ratings),Photography,,Videography
Video 1x1 - tolle Videos einfach erstellen,www.udemy.com/course/video-1x1-tolle-videos-einfach-erstellen/,Matthias Butz,99.99,11.39,4.6(23 ratings),Photography,,Videography
Creare video con la fotocamera Reflex,www.udemy.com/course/video-con-la-reflex/,Davide Vasta,199.99,11.39,4.9(391 ratings),Photography,,Videography
Maîtrisez votre DSLR et Mirrorless en mode vidéo,www.udemy.com/course/maitrisez-votre-appareil-photo-en-mode-video/,Bernard Bertrand,119.99,11.39,4.4(138 ratings),Photography,,Videography
Como Gravar Vídeos 3x mais Rápido - Produtividade e Gravação,www.udemy.com/course/produtividade-em-video/,Vitor Alli,189.99,11.39,4.5(116 ratings),Photography,,Videography
零基础视频拍摄完全教程,www.udemy.com/course/video-production-course-chinese/,Video School Online Inc,29.99,11.39,4.8(42 ratings),Photography,,Videography
Vídeos Sem Mistérios com o Windows Movie Maker,www.udemy.com/course/videos-sem-misterios/,Leila Adriano Ostoyke,39.99,11.99,4.7(300 ratings),Photography,,Videography
Crie Facebook Ads que convertem em 2020 (em menos de 5min).,www.udemy.com/course/video-ads-em-5min/,Gustavo Loureiro dos Reis,84.99,11.99,4.4(41 ratings),Photography,,Videography
Come fare il tuo primo video su YouTube e Facebook,www.udemy.com/course/farevideo/,Giulio Gaudiano,149.99,11.99,3.9(45 ratings),Photography,,Videography
Aprende After Effects CC 2019: Todos los Niveles,www.udemy.com/course/adobe-after-effects-cc-2019-todos-los-niveles/,Haniel Sosa,149.99,11.99,4.8(6 ratings),Photography,,Videography
Videomaker in 24 ore,www.udemy.com/course/videomaker/,Michele Bonechi,0,19.99,3.8(6 ratings),Photography,,Videography
Curso General de Cine y Vídeo,www.udemy.com/course/curso-general-de-cine-y-video/,Juanjo Castro,19.99,11.99,4.5(38 ratings),Photography,,Videography
Hagamos un Video Musical de CERO!,www.udemy.com/course/video_musical_de_cero/,Angel Ortez,19.99,11.99,4.7(91 ratings),Photography,,Videography
Rap Do Início Ao Fim,www.udemy.com/course/rap-do-inicio-ao-fim/,Daily Beats,99.99,11.99,0.0(0 ratings),Photography,,Videography
Bロールのアイディア - Aロールを際立たせるBロールとは？,www.udemy.com/course/broll-idea/,石崎力也 (RIKIYA ISHIZAKI),199.99,11.99,5.0(1 rating),Photography,,Videography
Davinci Resolve 16 Kurgu Dersleri Türkçe,www.udemy.com/course/davinci-resolve-16-kurgu-dersleri-turkce/,Isa Ilker Akkoç,94.99,11.99,0.0(0 ratings),Photography,,Videography
Herramientas Básicas de Videografía,www.udemy.com/course/herramientas-basicas-de-videogafia/,Universidad Meridiano,19.99,11.99,3.6(68 ratings),Photography,,Videography
動画を内製化しよう！スマホで撮影、パワポで編集（製造業編）,www.udemy.com/course/douga-seisakusho-1/,菅野 契也,0,199.99,4.3(2 ratings),Photography,,Videography
Macro y aproximación para fotografía y vídeo,www.udemy.com/course/macro-y-aproximacion-para-fotografia-y-video/,Daniel Vega Martínez,39.99,11.99,4.5(10 ratings),Photography,,Videography
用摄像头制作专业水准录播课,www.udemy.com/course/webcam-video-course-chinese/,Phil Ebiner,0,Free,4.5(4 ratings),Photography,,Videography
