Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
BEGINNERS Watercolor. Get clear on the basics and just paint,www.udemy.com/course/painting-for-the-petrified/,Nicola A Blakemore,99.99,11.99,"4.5(1,145 ratings)",Lifestyle,,Watercolor Painting
The Mechanics of Watercolor Painting,www.udemy.com/course/the-mechanics-of-watercolor-painting/,Jill Poyerd,19.99,11.99,4.8(143 ratings),Lifestyle,,Watercolor Painting
Paint Realistic Watercolor and Botanicals - STUDIO BASICS,www.udemy.com/course/paint-realistic-watercolor-and-botanicals-studio-basics/,Heidi Willis,69.99,11.99,"4.6(1,682 ratings)",Lifestyle,,Watercolor Painting
The Watercolor Workshop,www.udemy.com/course/the-watercolor-workshop/,Matthew Fussell,34.99,11.99,4.5(562 ratings),Lifestyle,,Watercolor Painting
Foundations for Mastering Watercolor Painting,www.udemy.com/course/foundations-for-mastering-watercolor-painting/,Jill Poyerd,19.99,11.99,"4.7(1,026 ratings)",Lifestyle,,Watercolor Painting
Beginners Watercolor Techniques with Geoff Hutchins,www.udemy.com/course/beginners-watercolor-techniques-with-geoff-hutchins/,Geoff Hutchins,39.99,11.99,4.3(321 ratings),Lifestyle,,Watercolor Painting
Paint Realistic Watercolour and Botanicals - MAGNOLIAS,www.udemy.com/course/paint-realistic-watercolour-and-botanicals-magnolias/,Heidi Willis,69.99,11.99,4.6(357 ratings),Lifestyle,,Watercolor Painting
Paint Realistic Watercolour and Botanicals - CHASING AUTUMN,www.udemy.com/course/chasing-autumn-paint-realistic-watercolour-and-botanicals/,Heidi Willis,69.99,11.99,4.6(435 ratings),Lifestyle,,Watercolor Painting
Paint Landscapes in Watercolor Part 1,www.udemy.com/course/paint-landscapes-in-watercolor-part-1/,Andy Walker,24.99,11.99,4.6(237 ratings),Lifestyle,,Watercolor Painting
Art for Kids & Beginners: Drawing and Watercolor Painting,www.udemy.com/course/art-for-kids-how-to-draw-and-watercolor-paint-step-by-step/,Em Winn,24.99,11.99,5.0(318 ratings),Lifestyle,,Watercolor Painting
Watercolor Landscape Painting for Beginners,www.udemy.com/course/watercolor-landscape-painting-for-beginners/,Liron Yanconsky,49.99,11.99,4.5(87 ratings),Lifestyle,,Watercolor Painting
Paint Realistic Watercolour and Botanicals - LOTUS,www.udemy.com/course/paint-realistic-watercolour-and-botanicals-lotus/,Heidi Willis,69.99,11.99,4.9(93 ratings),Lifestyle,,Watercolor Painting
Paint Landscapes in Watercolor Part 2,www.udemy.com/course/paint-landscapes-in-watercolor-part-2/,Andy Walker,24.99,11.99,4.9(64 ratings),Lifestyle,,Watercolor Painting
Fountain Pen Ink Art - The Basics,www.udemy.com/course/fountain-pen-ink-art-the-basics/,Nick Stewart,0,49.99,4.8(55 ratings),Lifestyle,,Watercolor Painting
watercolor fantasy flowers,www.udemy.com/course/watercolor-fantasy-flowers/,Stacey Oflanagan,0,24.99,4.8(45 ratings),Lifestyle,,Watercolor Painting
Painting SPECIAL EFFECTS & pro tips for more watercolor fun.,www.udemy.com/course/watercolour-painting-techniques-a-must-have-for-painters/,Nicola A Blakemore,44.99,11.99,4.3(103 ratings),Lifestyle,,Watercolor Painting
