Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
"UX & Web Design Master Course: Strategy, Design, Development",www.udemy.com/course/ux-web-design-master-course-strategy-design-development/,Joe Natoli,194.99,11.99,"4.4(9,451 ratings)",Design,,Web Design
"Learn Photoshop, Web Design & Profitable Freelancing",www.udemy.com/course/learn-photoshop-web-design-profitable-freelancing/,Cristian Doru Barin,199.99,11.99,"4.6(4,451 ratings)",Design,,Web Design
Web Design for Beginners: Real World Coding in HTML & CSS,www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/,Brad Schiff,129.99,11.99,"4.6(7,442 ratings)",Design,,Web Design
Landing Page Design & Conversion Rate Optimization 2018,www.udemy.com/course/landing-page-design-best-practices/,Isaac Rudansky,199.99,11.99,"4.7(5,078 ratings)",Design,,Web Design
Ultimate Web Designer & Developer Course: Build 23 Projects!,www.udemy.com/course/web-developer-course/,Brad Hussey,199.99,11.99,"4.5(10,399 ratings)",Design,,Web Design
UI & Web Design using Adobe Illustrator CC,www.udemy.com/course/ui-web-design-using-adobe-illustrator-2017/,Daniel Walter Scott,199.99,11.99,"4.6(1,693 ratings)",Design,,Web Design
Master Web Design in Photoshop,www.udemy.com/course/master-web-design-in-photoshop/,Cristian Doru Barin,124.99,11.99,"4.5(1,808 ratings)",Design,,Web Design
Web Design in Affinity Designer Masterclass,www.udemy.com/course/web-design-affinity-designer-affinity-photo-windows-serif/,Dawid Tuminski,194.99,11.99,4.5(287 ratings),Design,,Web Design
"Adobe Photoshop CC - Web Design, Responsive Design & UI",www.udemy.com/course/photoshop-cc-2015-building-website-designs-in-photoshop/,Daniel Walter Scott,94.99,11.99,4.7(483 ratings),Design,,Web Design
HTML CSS and JavaScript for Beginners - Web Design Course,www.udemy.com/course/html-css-javascript-course/,Laurence Svekis,199.99,11.99,4.6(107 ratings),Design,,Web Design
"Easy AF web design, using Squarespace for your web business",www.udemy.com/course/easy-af-web-design-using-squarespace-for-your-web-business/,Megan dorien,34.99,11.99,4.7(224 ratings),Design,,Web Design
Bootstrap 3 Responsive Design in Adobe Dreamweaver CC 2017,www.udemy.com/course/make-money-building-responsive-websites-using-dreamweaver/,Daniel Walter Scott,94.99,11.99,4.6(478 ratings),Design,,Web Design
Web Design -Your Own Website in Just 5 Hours -Even Beginners,www.udemy.com/course/easy-web-design/,Chris Towland,194.99,11.99,4.5(137 ratings),Design,,Web Design
Complete Web Design and Development Course : 14 Courses in 1,www.udemy.com/course/complete-web-design-course/,Supriyo Kundu,199.99,11.99,4.5(8 ratings),Design,,Web Design
Dreamweaver - Coding your first website using Dreamweaver,www.udemy.com/course/coding-for-designers-in-dreamweaver-cc-2017/,Daniel Walter Scott,94.99,11.99,4.8(326 ratings),Design,,Web Design
7 Photoshop Web Design Projects.  Learn Web Design by Doing.,www.udemy.com/course/7-photoshop-web-design-projects-learn-by-doing-web-design/,Chris Parker,199.99,11.99,4.6(182 ratings),Design,,Web Design
Workflow of Modern Web Design from Wireframes to Style Guide,www.udemy.com/course/workflow-of-responsive-web-design-from-sketching-to-style-guides/,Muhammad Ahsan Pervaiz,199.99,11.39,4.0(425 ratings),Design,,Web Design
Demystifying Parallax: Learn to Create Interactive Web Pages,www.udemy.com/course/demystifying-parallax-learn-to-create-interactive-web-pages/,Rich Armstrong,49.99,11.39,4.8(24 ratings),Design,,Web Design
Web Design with WordPress: Everything from Beginning to End,www.udemy.com/course/web-design-with-wordpress/,Derrick Mitchell,24.99,11.39,4.2(519 ratings),Design,,Web Design
How to Design a Website on Squarespace - No Coding Required,www.udemy.com/course/squarespace-website-design/,Vigasan Gunasegaran,24.99,11.39,4.4(211 ratings),Design,,Web Design
Website Design From Scratch In Adobe Xd 2019,www.udemy.com/course/website-design-from-scratch-in-adobe-xd-2019/,Aleksandar Cucukovic,99.99,11.39,3.8(5 ratings),Design,,Web Design
HTML5 & CSS3 for Beginners | The Ultimate Guide,www.udemy.com/course/html5-and-css3-step-by-step-from-the-complete-scratch/,Islam Elgaeidy,104.99,11.39,4.7(283 ratings),Design,,Web Design
Create a website without writing code,www.udemy.com/course/create-a-website-without-writing-code/,Jake Jorgovan,34.99,11.39,4.0(147 ratings),Design,,Web Design
Learning Dynamic Website Design - PHP MySQL and JavaScript,www.udemy.com/course/learning-dynamic-website-design/,Infinite Skills,49.99,11.39,4.4(467 ratings),Design,,Web Design
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,www.udemy.com/course/build-beautiful-html5-website/,Brad Hussey,74.99,11.39,4.3(890 ratings),Design,,Web Design
WordPress – The Complete Business Web Design Course,www.udemy.com/course/wordpress-course-for-small-business/,KC Tan,194.99,11.39,4.7(209 ratings),Design,,Web Design
Become a Professional Web Designer,www.udemy.com/course/become-a-professional-web-designer/,Stone River eLearning,199.99,11.39,4.1(42 ratings),Design,,Web Design
Learn HTML and CSS from Scratch - Build Responsive Websites,www.udemy.com/course/learn-html-and-css-from-scratch-build-responsive-websites/,Himanshu Verma,199.99,11.39,4.3(106 ratings),Design,,Web Design
Web Development Building Websites Web Design HTML and CSS,www.udemy.com/course/building-websites-web-design-html-and-css/,Laurence Svekis,199.99,11.39,4.2(161 ratings),Design,,Web Design
Fast-Track Wix Website Design for Entrepreneurs -No Coding!,www.udemy.com/course/weekendwebsitewarrior/,Traci Synatschk,49.99,11.39,3.9(63 ratings),Design,,Web Design
Design & Build a Website without Code,www.udemy.com/course/bloc-design-without-code/,Joey Kirk,19.99,11.99,3.5(160 ratings),Design,,Web Design
Sell More Websites & Get Clients With #1 Sales Secret,www.udemy.com/course/lumpymail/,Ivan Westen,179.99,11.39,4.6(149 ratings),Design,,Web Design
The Ultimate Web Designing Course in Photoshop,www.udemy.com/course/ultimate-web-design-in-photoshop/,Supriyo Kundu,199.99,11.39,4.5(461 ratings),Design,,Web Design
Create Tour Website With Travel / Tour Packages In WordPress,www.udemy.com/course/tour-travel-website-with-travel-tour-packages-in-wordpress/,Shashank WordPress Dev,19.99,11.39,4.6(18 ratings),Design,,Web Design
Create A 100% Free and Responsive Website (Without Coding!),www.udemy.com/course/how-to-create-a-website-for-free-without-coding/,Thomas Wiesner,99.99,11.39,4.6(10 ratings),Design,,Web Design
Practical Web Design & Development: 7 Courses in 1,www.udemy.com/course/learn-web-design-html-css-adobe-photoshop/,Creative Online School,199.99,11.39,4.4(466 ratings),Design,,Web Design
Learn Adobe Dreamweaver CC - For Absolute Beginners,www.udemy.com/course/dreamweaver-cc-for-beginners/,Simon Sez IT,99.99,11.39,4.3(78 ratings),Design,,Web Design
Learn CSS Web Design & Development Beginner CSS introduction,www.udemy.com/course/learn-css/,Laurence Svekis,199.99,11.39,4.8(140 ratings),Design,,Web Design
Sketch 3: learn to create mobile and web designs,www.udemy.com/course/learn-sketch-design/,Adria Jimenez,54.99,11.39,4.0(559 ratings),Design,,Web Design
