Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Internationally Accredited Diploma in Weight Loss,www.udemy.com/course/internationally-accredited-diploma-in-weight-loss/,Akash Sehrawat,199.99,11.39,4.3(400 ratings),Health & Fitness,,Weight Loss
Self-Control Psychology and Weight Loss,www.udemy.com/course/self-control-psychology-diet/,"Andrew Luttrell, Ph.D.",94.99,12.59,4.6(304 ratings),Health & Fitness,,Weight Loss
Weight Loss for Life with Mini Habits,www.udemy.com/course/weight-loss-mini-habits/,Stephen Guise,129.99,11.39,4.4(263 ratings),Health & Fitness,,Weight Loss
"EFT Tapping 4 - Weight Loss, Improved Body Image, No Dieting",www.udemy.com/course/eft-3-weight-loss/,Cha~zay Sandhriel Ph.D.,94.99,11.39,4.8(90 ratings),Health & Fitness,,Weight Loss
Weight Loss Coach Certification (Accredited): All Levels,www.udemy.com/course/weight-loss-coach-certification-accredited-all-levels/,Felix Harder,199.99,11.39,4.5(102 ratings),Health & Fitness,,Weight Loss
Weight-Loss Coach Certificate: Profit & Business in 7 Days,www.udemy.com/course/weight-loss-coach/,Elmira Strange,104.99,11.39,4.2(317 ratings),Health & Fitness,,Weight Loss
Weight Loss And Nutrition: Lose Fat & Get Your Dream Body,www.udemy.com/course/weight-loss-masterclass-lose-fat-get-your-dream-body-now/,Felix Harder,99.99,11.39,4.4(334 ratings),Health & Fitness,,Weight Loss
The Alkaline Diet Made Easy: Lose Weight & Heal Naturally,www.udemy.com/course/lose-weight-with-the-vegan-alkaline-diet/,Laura Rimmer (née Wilson),199.99,12.59,4.1(127 ratings),Health & Fitness,,Weight Loss
The Mental Game of Getting Lean,www.udemy.com/course/the-mental-game-of-getting-lean/,Neil O'Nova,199.99,11.39,3.9(267 ratings),Health & Fitness,,Weight Loss
The Ultimate Hypnosis Weight Loss Course,www.udemy.com/course/the-ultimate-hypnosis-weight-loss-course/,Jonathan Pickstock,94.99,11.39,4.7(18 ratings),Health & Fitness,,Weight Loss
How to Lose Weight: Keto + Paleo + Intermittent Fasting 2019,www.udemy.com/course/the-primal-fast-diet/,James J Forno,199.99,11.39,4.6(70 ratings),Health & Fitness,,Weight Loss
Weight Loss - Lose Weight - Up to 14lbs in just 1 Week!,www.udemy.com/course/weight-loss-lose-weight-up-to-14lbs-in-just-1-week/,Annette Reilly,99.99,11.39,4.8(19 ratings),Health & Fitness,,Weight Loss
Weight Loss with Self Hypnosis: Hypnotherapy to lose weight,www.udemy.com/course/self-hypnosis-for-weight-loss/,Nicholas Harris,94.99,11.99,4.4(89 ratings),Health & Fitness,,Weight Loss
Weight Loss Course - Virtual Gastric Band - Lose Weight Fast,www.udemy.com/course/virtual-gastric-band-lose-weight-fast-with-sue-peckham/,and James Holmes,19.99,11.39,4.5(187 ratings),Health & Fitness,,Weight Loss
The 30 in 45 Weight Loss & Body Transformation Program,www.udemy.com/course/the-30-in-45-weight-loss-body-transformation-program/,Anthony Robinson,144.99,11.39,4.7(144 ratings),Health & Fitness,,Weight Loss
Weight Loss And Fitness: Build Your Perfect Fat Loss Workout,www.udemy.com/course/weight-loss-and-fitness-build-your-perfect-fat-loss-workout/,Felix Harder,99.99,11.39,4.7(49 ratings),Health & Fitness,,Weight Loss
The Fastest Way to Lose Belly Fat,www.udemy.com/course/losebellyfat/,Jack Wilson,194.99,11.39,4.0(194 ratings),Health & Fitness,,Weight Loss
Weight Loss Happiness Science of Healthy Habits [Accredited],www.udemy.com/course/weight-loss-loose-weight-no-diet-be-healthy-and-happy/,Braco Pobric,114.99,11.39,4.7(98 ratings),Health & Fitness,,Weight Loss
Fully Accredited Easy & Achievable Weight Loss Diploma,www.udemy.com/course/fully-accredited-easy-achievable-weight-loss-diploma/,Dr Karen E Wells,94.99,11.39,4.3(15 ratings),Health & Fitness,,Weight Loss
Tabata Training: Lose Weight and Workout at Home,www.udemy.com/course/tabataworkout/,Jack Wilson,189.99,11.39,4.6(78 ratings),Health & Fitness,,Weight Loss
Weight Loss Masterclass,www.udemy.com/course/uplevel-weight-loss-masterclass/,Rebecca Forcier,129.99,11.39,5.0(3 ratings),Health & Fitness,,Weight Loss
Train Your Mind And Body For Permanent Weight Loss,www.udemy.com/course/how-to-train-your-mind-to-lose-weight-permanently/,Ruth Cale,0,199.99,0.0(0 ratings),Health & Fitness,,Weight Loss
A Transformational Dietary Makeover for Weight Loss & Health,www.udemy.com/course/get-a-hot-body-4-week-dietary-makeover/,Susan Teton,0,199.99,4.8(5 ratings),Health & Fitness,,Weight Loss
Become a ThinnerYou™ in 7 Weeks,www.udemy.com/course/the-afterdiet/,Dee Wolk,0,199.99,5.0(1 rating),Health & Fitness,,Weight Loss
6-Week Weight Loss Diet: Weight Loss Plan with 150+ Recipes.,www.udemy.com/course/weight-loss-diet/,Chane de Kock,184.99,11.39,3.9(34 ratings),Health & Fitness,,Weight Loss
Weight Loss Mastery: Weight Loss the way it should be,www.udemy.com/course/lose-fat-and-keep-it-off/,Jack Wilson,199.99,11.39,4.3(237 ratings),Health & Fitness,,Weight Loss
The Lean Lifestyle,www.udemy.com/course/the-lean-lifestyle/,Nathan Loy,124.99,11.39,4.9(22 ratings),Health & Fitness,,Weight Loss
Weight Loss: Love Food and Lose Weight Without Dieting,www.udemy.com/course/love-food-and-lose-weight-without-dieting-/,Elaine Hilides,59.99,11.39,4.7(38 ratings),Health & Fitness,,Weight Loss
Intermittent Fasting & Keto:  The Fastest Way To Lose Weight,www.udemy.com/course/lose-bellly-fat-fast-by-eating-foods-you-were-told-to-avoid/,Tim Ernst,94.99,11.39,4.4(45 ratings),Health & Fitness,,Weight Loss
Fat Loss 4 Minute Bodyweight Home Workout For Busy People!,www.udemy.com/course/fat-loss-4-minute-bodyweight-workouts-for-busy-men-and-women/,Tim Ernst,94.99,11.39,3.9(25 ratings),Health & Fitness,,Weight Loss
SomAtomic Weight Loss - Leaner For Life,www.udemy.com/course/somatomic-weight-loss-burn-fat-for-good/,Mitaka Di,54.99,11.39,4.2(106 ratings),Health & Fitness,,Weight Loss
Guided Meditations for Weight Loss,www.udemy.com/course/guided-meditations-for-weight-loss/,Joseph Drumheller,199.99,11.39,5.0(2 ratings),Health & Fitness,,Weight Loss
Lose Weight Diet Free Virtual Gastric Band for (2019),www.udemy.com/course/weight-loss-without-dieting/,Alan Kirwan,34.99,11.99,4.7(71 ratings),Health & Fitness,,Weight Loss
Accelerated Weight Loss in Just 1 Week!,www.udemy.com/course/accelerated-weight-loss-in-just-1-week/,Annette Reilly,59.99,11.99,4.3(28 ratings),Health & Fitness,,Weight Loss
"Stop Binge Eating in Just 10 Weeks, Be Healthier & Happier",www.udemy.com/course/stop-binge-eating-in-just-10-weeks-be-healthier-happier/,Pauline Hanuise,59.99,11.99,2.5(15 ratings),Health & Fitness,,Weight Loss
Body 4 Believers Weight loss ,www.udemy.com/course/body4believers/,Greg Locklear,0,34.99,4.6(99 ratings),Health & Fitness,,Weight Loss
Fitness Kickboxing For Weight Loss and Health - Home Workout,www.udemy.com/course/fitness-kickboxing-for-weight-loss-and-health-2019-new-years/,Taylor Kelley,199.99,11.99,4.9(4 ratings),Health & Fitness,,Weight Loss
Fit & Lean - Body Transformation,www.udemy.com/course/fit-and-lean/,Mitaka Di,59.99,11.99,4.5(26 ratings),Health & Fitness,,Weight Loss
How to get over binge eating - The Emotions Hypnosis System,www.udemy.com/course/how-to-get-over-binge-eating-the-emotions-hypnosis-system/,"Sabbir Muslim BSc (Hons), MBA, ARCS",74.99,11.99,4.3(3 ratings),Health & Fitness,,Weight Loss
"14 Day Weight Loss Challenge for Mind, Body and Soul",www.udemy.com/course/14-day-weight-loss-challenge-for-mind-body-and-soul/,Marisa Russo,24.99,11.99,5.0(1 rating),Health & Fitness,,Weight Loss
"Weight Loss: Nutrition, Lose Fat, Eat Healthy & Set Goals",www.udemy.com/course/thenutritioncourse/,Life Progression Project,134.99,11.99,4.5(74 ratings),Health & Fitness,,Weight Loss
Law of Attraction Weight Loss,www.udemy.com/course/law-of-attraction-weight-loss/,Wendy Tomlinson,34.99,11.99,4.5(7 ratings),Health & Fitness,,Weight Loss
Hypnosis – Lose Weight Automatically With Self Hypnosis,www.udemy.com/course/hypnosis-lose-weight-automatically-with-self-hypnosis/,Pradeep Aggarwal,89.99,11.99,3.9(23 ratings),Health & Fitness,,Weight Loss
Rapid Fat Loss Mastery.,www.udemy.com/course/rapid-fat-loss-mastery/,"Nick Jackson, PharmD, Pn1",34.99,11.99,4.7(12 ratings),Health & Fitness,,Weight Loss
EFT Out Your Addiction to Junk Food and Sugar - BAM!!,www.udemy.com/course/eft-tapping-sugar-addiction/,Scott Paton,199.99,11.99,4.1(22 ratings),Health & Fitness,,Weight Loss
Taming Your Inner Cookie Monster,www.udemy.com/course/taming-your-inner-cookie-monster/,Neil O'Nova,99.99,11.99,4.3(55 ratings),Health & Fitness,,Weight Loss
Psychology of Weight Loss,www.udemy.com/course/physiology-of-weight-loss/,John Cassidy-Rice,99.99,11.99,4.3(4 ratings),Health & Fitness,,Weight Loss
10 Minute Hell: The Ultimate Weight Loss Home Workouts,www.udemy.com/course/10-minute-hell-workout/,Dakota Carroll,94.99,11.99,4.7(21 ratings),Health & Fitness,,Weight Loss
Christian Nutrition/Fitness Weight Loss & Health Principles,www.udemy.com/course/christian-weight-loss/,Jeremy Belter,199.99,11.39,3.7(2 ratings),Health & Fitness,,Weight Loss
Habits for Weight Loss,www.udemy.com/course/habits-for-weight-loss/,Akash Sehrawat,74.99,11.39,4.6(38 ratings),Health & Fitness,,Weight Loss
Overcome your overweight,www.udemy.com/course/overcome-your-overweight/,Bertold Ulsamer,0,59.99,4.5(11 ratings),Health & Fitness,,Weight Loss
37 Intermediate Health & Fat-Burning Hacks,www.udemy.com/course/37-intermediate-health-fat-burning-hacks/,Neil O'Nova,49.99,11.39,4.3(64 ratings),Health & Fitness,,Weight Loss
Weight Loss for Women in their 50s,www.udemy.com/course/weight-loss-for-women-in-their-50s/,"Emma Nichols, PhD",19.99,11.39,4.8(3 ratings),Health & Fitness,,Weight Loss
Get Fit: For Men,www.udemy.com/course/getfitformen/,A Wildes,29.99,11.39,5.0(2 ratings),Health & Fitness,,Weight Loss
Lose Weight with Crockpot Cooking,www.udemy.com/course/crockpot/,Jack Wilson,99.99,11.39,3.8(42 ratings),Health & Fitness,,Weight Loss
Weight Loss Mastery For The Busy Professional,www.udemy.com/course/weight-loss-mastery/,Michael Weir,44.99,11.39,4.5(65 ratings),Health & Fitness,,Weight Loss
28 Day Virtual Gastric Band Weight loss/weightloss Programme,www.udemy.com/course/hypnotic-virtual-gastric-band-weightloss-programme/,Loran Northey,19.99,11.39,3.4(4 ratings),Health & Fitness,,Weight Loss
Fit and Fierce body with celebrity trainer Sima,www.udemy.com/course/fit-and-fierce-body-with-sima/,Sima Cohen,59.99,11.39,0.0(0 ratings),Health & Fitness,,Weight Loss
Intermittent Fasting for Women,www.udemy.com/course/howtodointermittentfastingforwomen/,Jen The Trainer,24.99,11.39,4.0(1 rating),Health & Fitness,,Weight Loss
Getting the Body you Want by Understanding the Body you Have,www.udemy.com/course/getting-the-body-you-want-by-understanding-the-body-you-have/,Jules Allen-Rowland,19.99,11.39,4.9(23 ratings),Health & Fitness,,Weight Loss
EFT Weight Loss - Tapping into Exercise,www.udemy.com/course/eft-weight-loss-tapping-into-exercise/,Scott Paton,94.99,11.39,3.7(20 ratings),Health & Fitness,,Weight Loss
5-Day Juice & Green Smoothie Detox For Weight Loss,www.udemy.com/course/5-day-juice-green-smoothie-detox-for-weight-loss/,Laura Rimmer (née Wilson),49.99,11.39,4.7(14 ratings),Health & Fitness,,Weight Loss
"Nutrition, Fat Loss, and Calories - 2017 Update Course",www.udemy.com/course/calculate-my-macros/,"Nick Helton, MPT, CSCS",64.99,11.39,4.6(16 ratings),Health & Fitness,,Weight Loss
The Complete Workout Guide: PROVEN Workout/Nutrition Plan,www.udemy.com/course/lose-weight-fast-and-get-stronger/,Greg Gottfried,149.99,11.39,4.8(15 ratings),Health & Fitness,,Weight Loss
The Complete Workout Guide: PROVEN Workout/Nutrition Plan,www.udemy.com/course/lose-weight-fast-and-get-stronger/,Greg Gottfried,149.99,11.99,4.8(15 ratings),Health & Fitness,,Weight Loss
Weight Loss for (2019) ➤Slim Thinking Permanent Weight Loss,www.udemy.com/course/secret-recipe-to-slim-thinking-and-permanent-weight-loss/,Alan Kirwan,34.99,11.99,4.1(14 ratings),Health & Fitness,,Weight Loss
Nutrition & Fitness Masterclass: ULTIMATE STEP-BY-STEP GUIDE,www.udemy.com/course/be-your-own-personal-trainer/,Dana Haba,49.99,11.99,4.1(22 ratings),Health & Fitness,,Weight Loss
Asian Slim Secrets 201: How We Control Our Appetite,www.udemy.com/course/asian-slim-secrets-101/,"Linda Yo, MS",19.99,11.99,4.6(113 ratings),Health & Fitness,,Weight Loss
Lose Belly Fat with The 15 Minute Morning Workout,www.udemy.com/course/15minuteweightloss/,Jack Wilson,194.99,11.99,4.1(48 ratings),Health & Fitness,,Weight Loss
Mind Skills For Weight Loss - When Will Power Isn't Enough.,www.udemy.com/course/mind-skills-for-weight-loss/,Anne Watkins,29.99,11.99,4.7(10 ratings),Health & Fitness,,Weight Loss
Gastric Bypass Alternative: Lose Weight Without Surgery,www.udemy.com/course/gastric-bypass-alternative/,Nader Nadernejad,199.99,11.99,4.7(2 ratings),Health & Fitness,,Weight Loss
Long Term Fat Loss for Busy People,www.udemy.com/course/long-term-fat-loss-for-busy-people/,Justin Gordon,49.99,11.99,4.8(15 ratings),Health & Fitness,,Weight Loss
Get Your Sexy Back: Naturally Lose Weight & Boost Sex Drive,www.udemy.com/course/naturally-revive-sex-drive-lose-weight/,Melinda Jones,19.99,11.99,3.8(12 ratings),Health & Fitness,,Weight Loss
EFT Weight Loss Emotional Eating Issues - No Diet,www.udemy.com/course/eft-weight-loss-emotional-eating/,Scott Paton,94.99,11.99,3.4(59 ratings),Health & Fitness,,Weight Loss
7 Unorthodox No-diet Rules for Achieving Ideal Body Weight,www.udemy.com/course/7-unorthodox-no-diet-rules-for-achieving-ideal-body-weight/,Ivan Nikolov,0,44.99,4.9(15 ratings),Health & Fitness,,Weight Loss
"The Truth About Coconut Oil, Saturated Fat & Cholesterol",www.udemy.com/course/the-truth-about-coconut-oil/,Healthy Body Tips,29.99,11.99,4.6(7 ratings),Health & Fitness,,Weight Loss
Healthy Weight Loss,www.udemy.com/course/healthy-weight-loss/,Nick Kowalski,99.99,11.99,5.0(2 ratings),Health & Fitness,,Weight Loss
The Lazy Way to Weight Loss ... If You Hate Diet & Exercise!,www.udemy.com/course/the-lazy-way-to-weight-loss-if-you-hate-diet-exercise/,James Burchill,99.99,11.99,3.8(113 ratings),Health & Fitness,,Weight Loss
Be in control of your Impulsive Overeating,www.udemy.com/course/be-in-control-of-your-impulsive-overeating/,Impulsivity Project Online Online,149.99,11.99,4.2(4 ratings),Health & Fitness,,Weight Loss
"Intermittent Fasting: Lose Weight Fast, Safely and Naturally",www.udemy.com/course/intermittent-fasting-lose-weight-fast/,Dr. Malik Haruna King,59.99,11.99,4.0(1 rating),Health & Fitness,,Weight Loss
