Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Microsoft Windows Server 2016 Training for Beginners,www.udemy.com/course/windows-server-2016/,Paul Hill,194.99,14.99,"4.5(5,252 ratings)",IT & Software,,Windows Server
Windows Server 2016 Administration with Lab,www.udemy.com/course/windows-server-2016-administration-and-deployment/,Kevin Brown,199.99,13.79,"4.5(1,682 ratings)",IT & Software,,Windows Server
Active Directory on Windows Server 2016 with Lab,www.udemy.com/course/active-directory-on-windows-server-2016/,Kevin Brown,199.99,13.19,"4.5(1,173 ratings)",IT & Software,,Windows Server
Active Directory with Windows Server 2016: The Total Course,www.udemy.com/course/active-directory-with-windows-server-2016-the-total-course/,"Total Seminars • 200,000+ Students",194.99,13.19,4.4(683 ratings),IT & Software,,Windows Server
Microsoft 70-741 – Networking with Windows Server 2016,www.udemy.com/course/microsoft-70-741-networking-with-windows-server-2016/,Integrity Training,199.99,13.19,4.2(198 ratings),IT & Software,,Windows Server
"Microsoft windows server 2016 industry lab MCSA ""fast track""",www.udemy.com/course/microsoft-server-2016-mcsa-industry-labs/,Dante Leo,199.99,15.59,4.1(844 ratings),IT & Software,,Windows Server
Complete Windows Server 2016 Administration Course,www.udemy.com/course/complete-windows-server-2016-administration-course/,Imran Afzal,199.99,13.19,4.4(458 ratings),IT & Software,,Windows Server
"Microsoft 70-740 - Install, Storage & Compute w/ Server 2016",www.udemy.com/course/microsoft-70-740-install-storage-compute-w-server-2016/,Integrity Training,199.99,13.79,4.1(606 ratings),IT & Software,,Windows Server
Mastering Group Policy on Windows Server 2016 w/ Lab Access,www.udemy.com/course/mastering-group-policy-on-windows-server-2016/,Kevin Brown,199.99,13.19,4.6(472 ratings),IT & Software,,Windows Server
Mastering DNS on Windows Server 2016,www.udemy.com/course/mastering-dns-on-windows-server-2016/,Robert Hill,19.99,11.99,4.4(741 ratings),IT & Software,,Windows Server
Windows Server 2012 System Administration: Get an IT Job!,www.udemy.com/course/systems-administration-101-active-directory/,Paul Hill,199.99,13.19,"4.5(4,017 ratings)",IT & Software,,Windows Server
Windows Server 2016 --  Certification 70-740 Training,www.udemy.com/course/mastering-microsoft-windows-server/,Simply edukator,34.99,13.79,4.2(810 ratings),IT & Software,,Windows Server
Certified Information Systems Auditor (CISA) (Part 2 of 2),www.udemy.com/course/certified-information-systems-auditor-part2-of-part2/,Stone River eLearning,19.99,11.99,4.5(78 ratings),IT & Software,,Windows Server
Microsoft 70-742: Identity in Windows Server 2016,www.udemy.com/course/microsoft-70-742-identity-in-windows-server-2016/,Integrity Training,199.99,13.79,4.3(292 ratings),IT & Software,,Windows Server
"Windows Server 2019: Active Directory, GPO, R. Server Access",www.udemy.com/course/windows-server-2019-active-directory-and-group-policies-gpo/,Denilson Bonatti,199.99,13.19,4.5(62 ratings),IT & Software,,Windows Server
Microsoft 70-744: Securing Windows Server 2016,www.udemy.com/course/microsoft-70-744-securing-windows-server-2016/,Integrity Training,199.99,13.19,4.0(251 ratings),IT & Software,,Windows Server
Windows Server 2019 Training for Beginners,www.udemy.com/course/windows-server-2019-training/,Paul Hill,199.99,13.79,4.4(250 ratings),IT & Software,,Windows Server
Windows Server Update Services (WSUS) Training For Beginners,www.udemy.com/course/windows-server-update-services-wsus/,Paul Hill,199.99,13.19,4.5(412 ratings),IT & Software,,Windows Server
Securing Windows Server 2016,www.udemy.com/course/securing-windows-server-2016/,Kevin Brown,99.99,13.19,4.4(198 ratings),IT & Software,,Windows Server
Microsoft Windows Server 2016 Certification (70-741),www.udemy.com/course/microsoft-windows-server-2016-beginner-to-expert/,"BlueTech Academy, Inc.",194.99,13.79,4.4(391 ratings),IT & Software,,Windows Server
MTA: Windows Server 2016 Administration Fundamentals: 98-365,www.udemy.com/course/mta-windows-server-2016-administration-fundamentals-98-365/,Marious Kuriata,34.99,13.19,4.2(433 ratings),IT & Software,,Windows Server
Course 1: Set Windows Server 2019 Network-Microsoft series,www.udemy.com/course/course1-set-your-windows-server-2019-network-beginners/,Dante Leo,74.99,13.19,4.4(45 ratings),IT & Software,,Windows Server
Microsoft Windows Server 2012 Certification - Exam 70-411 ,www.udemy.com/course/microsoft-windows-server-2012-certification-exam-70-411/,Infinite Skills,49.99,13.19,4.6(481 ratings),IT & Software,,Windows Server
Course 3: MCSA Windows Server 2019 Active Directory,www.udemy.com/course/course-3-mcsa-windows-server-2019-active-directory/,Dante Leo,149.99,13.19,4.0(16 ratings),IT & Software,,Windows Server
MCSA: Windows Server 2016 Certification (70-742),www.udemy.com/course/mcsa-windows-server-70-742-course/,"Smartech Academy, Inc.",199.99,14.99,4.2(123 ratings),IT & Software,,Windows Server
Introduction to Windows Server 2016 for Beginners,www.udemy.com/course/introduction-to-windows-server-2016-for-beginners/,Alton Hardin,94.99,13.19,4.5(67 ratings),IT & Software,,Windows Server
MTA: Windows Server Administration Fundamentals: 98-365,www.udemy.com/course/mta-windows-server-administration-fundamentals/,Marious Kuriata,24.99,13.19,4.4(918 ratings),IT & Software,,Windows Server
Windows Deployment Services: Build Your Server From Scratch,www.udemy.com/course/wds-server/,Omar Dabbas,194.99,13.19,4.2(356 ratings),IT & Software,,Windows Server
Remote Desktop Services Windows Server 2016,www.udemy.com/course/rds-windows-server/,Hasan Aboul Hasan,49.99,11.39,4.4(62 ratings),IT & Software,,Windows Server
Windows Server 2016 -- Certification 70-742 Training,www.udemy.com/course/windows-server-2016-an-introduction/,Simply edukator,39.99,13.19,4.8(77 ratings),IT & Software,,Windows Server
Windows Server 2016 Active Directory DNS DHCP File Server,www.udemy.com/course/windows-server-2016-build-network-from-scratch/,iDevMaster.com Dev and IT Courses,169.99,13.19,4.5(183 ratings),IT & Software,,Windows Server
Beginning Windows System Administration,www.udemy.com/course/beginning-windows-system-administration/,David Fitzpatrick,19.99,11.99,4.4(68 ratings),IT & Software,,Windows Server
Course 5: MCSA Windows Server 2019 Enterprise Storage,www.udemy.com/course/course-5-mcsa-windows-server-2019-enterprise-storage/,Dante Leo,159.99,11.39,5.0(3 ratings),IT & Software,,Windows Server
Citrix - Troubleshooting App & Desktop Virtualization - 7.6,www.udemy.com/course/windows-server-2016-what-new-in-it/,Vista Skills,29.99,11.39,4.1(76 ratings),IT & Software,,Windows Server
Server 2012 R2 - Hands-on Training Part I,www.udemy.com/course/windows-server-2012-r2-installation-and-configuration/,Prof. K,19.99,11.39,4.6(458 ratings),IT & Software,,Windows Server
Mastering Hyper-V Windows Server 2019,www.udemy.com/course/mastering-hyper-v-windows-server-2019/,Packt Publishing,124.99,11.39,4.2(25 ratings),IT & Software,,Windows Server
"Windows Server 2019 Hyper-V, Storage, Clustering and NLB",www.udemy.com/course/windows-server-2019-high-availability-solutions/,Cristian Calinescu,199.99,11.39,3.7(11 ratings),IT & Software,,Windows Server
Microsoft 70-411: Administering Windows Server 2012 R2,www.udemy.com/course/microsoft-70-411-administering-windows-server-2012-r2/,Stone River eLearning,199.99,11.39,4.2(166 ratings),IT & Software,,Windows Server
Server 2012 R2 - Hands-on Training Part II,www.udemy.com/course/windows-server-2012r2-hands-on-training-part-ii/,Prof. K,19.99,11.39,4.7(107 ratings),IT & Software,,Windows Server
Installing and Configuring Windows Server 2012 (70-410),www.udemy.com/course/installing-and-configuring-windows-server-2012-70-410/,LearnSmart LLC,0,174.99,4.6(584 ratings),IT & Software,,Windows Server
"Windows Server 2019, Upgrade & Migrate from 2008,2012 & 2016",www.udemy.com/course/windows-server-2019-upgrade-migrate-from-2008-2012-2016/,Dante Leo,49.99,11.39,4.1(39 ratings),IT & Software,,Windows Server
Learning Windows Server 2019,www.udemy.com/course/learning-windows-server-2019/,Packt Publishing,124.99,11.39,4.2(14 ratings),IT & Software,,Windows Server
Mastering Windows Server 2019,www.udemy.com/course/mastering-windows-server-2019/,Packt Publishing,124.99,11.39,4.5(1 rating),IT & Software,,Windows Server
Learning Windows Server Hyper-V 2016,www.udemy.com/course/learning-windows-server-hyper-v-2016/,Packt Publishing,114.99,11.39,3.7(94 ratings),IT & Software,,Windows Server
Windows Server Administration: Beginner To Pro In 7 Days,www.udemy.com/course/windowsserver2012/,Ivan Westen,189.99,11.39,3.8(123 ratings),IT & Software,,Windows Server
"Windows Server-Installation, Storage, Compute (Exam 70-740)",www.udemy.com/course/windows-server-installation-storage-compute-exam-70-740/,Intellezy Trainers,64.99,11.39,4.3(116 ratings),IT & Software,,Windows Server
Windows Server 2016 Administration Masterclass: 2-In-1,www.udemy.com/course/windows-server-2016-administration-masterclass-2-in-1/,Packt Publishing,199.99,11.39,4.9(5 ratings),IT & Software,,Windows Server
Windows Server 2012 R2 - Preparation to exam 70-410,www.udemy.com/course/windows-server-2012-r2-preparation-to-exam-70-410/,Educativo Courses,99.99,11.39,4.5(322 ratings),IT & Software,,Windows Server
Microsoft Windows Radius server (NPS) : Configure and Manage,www.udemy.com/course/microsoft-windows-radius-server-nps-configure-and-manage/,Edward James,124.99,11.39,4.3(70 ratings),IT & Software,,Windows Server
"Windows Server 2016: Active Directory and Group Policy, GPO",www.udemy.com/course/windows-server-2016-active-directory-and-group-policy-gpo/,Vitalii Shumylo,119.99,11.39,3.8(158 ratings),IT & Software,,Windows Server
