Course,URL,instructor,Price (full),Price (discount),Rank,Category 1,Category 2,Category 3
Internationally Accredited Diploma in Yoga Training,www.udemy.com/course/internationally-accredited-diploma-in-yoga-training/,Akash Sehrawat,199.99,16.79,4.4(936 ratings),Health & Fitness,,Yoga
Sounds True Presents: The Yoga of Awakening,www.udemy.com/course/seane-corn/,Sounds True,199.99,50.00,"4.9(2,266 ratings)",Health & Fitness,,Yoga
Yoga for Back Pain Relief & Prevention✅Certification Course,www.udemy.com/course/yoga-for-spinal-health-lower-back-pain-relief/,Yoga Instructor Seva Samadhi,194.99,17.39,4.6(402 ratings),Health & Fitness,,Yoga
Yoga Medicine’s Guide to Therapeutic Yoga,www.udemy.com/course/yoga-medicines-guide-to-therapeutic-yoga/,Tiffany Cruikshank,99.99,25.00,5.0(439 ratings),Health & Fitness,,Yoga
Professional Accredited Yoga Teacher Training Diploma Course,www.udemy.com/course/professional-accredited-yoga-teacher-training-course/,Dr Karen E Wells,94.99,11.39,4.0(584 ratings),Health & Fitness,,Yoga
Yoga Nidra Facilitators Course: Teacher Training Program,www.udemy.com/course/yoga-nidra-facilitators-course-teacher-training-program/,Tripura Yoga,44.99,11.39,4.4(97 ratings),Health & Fitness,,Yoga
Learn to Teach Yoga to Children,www.udemy.com/course/using-yoga-with-young-children/,Sara J. Weis,49.99,11.39,4.0(178 ratings),Health & Fitness,,Yoga
Sounds True Presents: Mystic Flow - The Yoga of Awakening,www.udemy.com/course/mystic-flow-by-seane-corn/,Sounds True,99.99,25.00,4.9(301 ratings),Health & Fitness,,Yoga
Beginner’s Yoga Workout System For Inflexible People,www.udemy.com/course/guyoga-beginners-yoga-for-men/,Body By Yoga,24.99,11.39,4.6(172 ratings),Health & Fitness,,Yoga
The Revolution Yoga Anatomy Teacher Training Course,www.udemy.com/course/yogaanatomyrevolution/,Sadie Nardini,99.99,11.39,4.7(158 ratings),Health & Fitness,,Yoga
Embody Your Voice: The Yoga of Sound,www.udemy.com/course/embodiedvoice/,Destiny Love,199.99,14.39,4.7(152 ratings),Health & Fitness,,Yoga
Total Transformation Yoga Teacher Training: Anatomy & Flow!,www.udemy.com/course/total-transformation/,Sadie Nardini,194.99,11.99,4.4(406 ratings),Health & Fitness,,Yoga
